name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016
TotalRevenue,"312,305,000","79,053,000","78,414,000","77,165,000","77,673,000","71,431,000","72,536,000","73,723,000","64,137,000","60,687,000","65,782,000","70,695,000","66,790,000","60,496,000","65,604,000","62,721,000","52,087,000","43,723,000","43,674,000","42,439,000","42,203,000","41,277,000","37,992,000","25,198,000","26,393,000","24,947,000"
	OperatingRevenue,"312,305,000","79,053,000","78,414,000","77,165,000","77,673,000","71,431,000","72,536,000","73,723,000","64,137,000","60,687,000","65,782,000","70,695,000","66,790,000","60,496,000","65,604,000","62,721,000","52,087,000","43,723,000","43,674,000","42,439,000","42,203,000","41,277,000","37,992,000","25,198,000","26,393,000","24,947,000"
PretaxIncome,"123,651,000","28,612,000","23,067,000","33,808,000","38,164,000","29,173,000","16,453,000","18,331,000","12,867,000","4,016,000","20,349,000","21,265,000","18,286,000","17,395,000","23,581,000","19,938,000","3,832,000","8,089,000","11,085,000","8,365,000","10,240,000","11,104,000","2,892,000","1,574,000","2,610,000","-1,592,000"
TaxProvision,"30,353,000","6,301,000","5,878,000","8,502,000","9,672,000","7,375,000","4,162,000","5,260,000","3,728,000","1,050,000","4,497,000","5,923,000","5,075,000","4,798,000","6,460,000","5,402,000","1,064,000","1,321,000","11,851,000","-1,390,000","4,094,000","4,544,000","-61,023,000","9,000","9,000","-240,000"
NetIncomeCommonStockholders,"92,515,000","22,115,000","16,993,000","25,110,000","28,297,000","21,602,000","12,095,000","12,875,000","8,944,000","2,770,000","15,656,000","15,146,000","13,016,000","12,401,000","16,925,000","14,340,000","2,570,000","6,575,000","-962,000","9,560,000","-4,551,000","6,371,000","63,915,000","1,565,000","2,601,000","-1,352,000"
	NetIncome,"93,298,000","22,311,000","17,189,000","25,306,000","28,492,000","21,798,000","12,291,000","13,071,000","9,139,000","2,966,000","15,852,000","15,342,000","13,211,000","12,597,000","17,121,000","14,536,000","2,768,000","6,768,000","-766,000","9,755,000","6,146,000","6,560,000","63,915,000","1,565,000","2,601,000","-1,352,000"
		NetIncomeIncludingNoncontrollingInterests,"93,298,000","22,311,000","17,189,000","25,306,000","28,492,000","21,798,000","12,291,000","13,071,000","9,139,000","2,966,000","15,852,000","15,342,000","13,211,000","12,597,000","17,121,000","14,536,000","2,768,000","6,768,000","-766,000","9,755,000","6,146,000","6,560,000","63,915,000","1,565,000","2,601,000","-1,352,000"
			NetIncomeContinuousOperations,"93,298,000","22,311,000","17,189,000","25,306,000","28,492,000","21,798,000","12,291,000","13,071,000","9,139,000","2,966,000","15,852,000","15,342,000","13,211,000","12,597,000","17,121,000","14,536,000","2,768,000","6,768,000","-766,000","9,755,000","6,146,000","6,560,000","63,915,000","1,565,000","2,601,000","-1,352,000"
	PreferredStockDividends,"783,000","196,000","196,000","196,000","195,000","196,000","196,000","196,000","195,000","196,000","196,000","196,000","195,000","196,000","196,000","196,000","198,000","193,000","196,000","195,000","10,697,000","189,000",,,,
DilutedNIAvailtoComStockholders,"92,515,000","22,115,000","16,993,000","25,110,000","28,297,000","21,602,000","12,095,000","12,875,000","8,944,000","2,770,000","15,656,000","15,146,000","13,016,000","12,401,000","16,925,000","14,340,000","2,570,000","6,575,000","-962,000","9,560,000","-4,551,000","6,371,000","63,915,000","1,565,000","2,601,000","-1,352,000"
BasicEPS,,"0.6","0.46","0.68","0.75","0.57","0.32","0.34","0.24","0.07","0.41","0.4","0.35","0.34","0.47","0.4","0.08","0.22","-0.03","0.33","-0.18","0.224",,"0.063","0.105","-0.055"
DilutedEPS,,"0.58","0.45","0.66","0.73","0.56","0.31","0.34","0.24","0.07","0.41","0.39","0.34","0.34","0.46","0.39","0.08","0.22","-0.03","0.32","-0.18","0.224",,"0.063","0.105","-0.055"
BasicAverageShares,,"37,123,161","37,124,176","37,200,778","37,965,658","38,164,201","38,202,665","38,057,350","37,919,480","37,943,333","37,872,835","37,831,356","37,263,352","36,169,477","36,116,189","36,042,914","31,614,973","29,291,179","29,246,900","29,246,900","24,667,587","28,391,900",,"24,667,587","24,667,587","24,667,587"
DilutedAverageShares,,"38,042,822","37,999,401","38,018,301","38,696,036","38,915,482","38,574,129","38,249,335","38,027,289","38,663,658","38,537,899","38,487,180","37,948,006","36,876,574","36,906,379","36,958,209","32,568,396","29,913,633","29,246,900","29,752,331","24,667,587","28,391,900",,"24,667,587","24,667,587","24,667,587"
NetIncomeFromContinuingAndDiscontinuedOperation,"93,298,000","22,311,000","17,189,000","25,306,000","28,492,000","21,798,000","12,291,000","13,071,000","9,139,000","2,966,000","15,852,000","15,342,000","13,211,000","12,597,000","17,121,000","14,536,000","2,768,000","6,768,000","-766,000","9,755,000","6,146,000","6,560,000","63,915,000","1,565,000","2,601,000","-1,352,000"
NormalizedIncome,"102,147,090.941","22,311,000","17,189,000","25,306,000","28,492,000","21,798,000","12,291,000","13,071,000","9,139,000","2,966,000","15,852,000","15,342,000","13,211,000","12,597,000","17,121,000","14,536,000","2,768,000","6,768,000","-766,000","9,755,000","6,146,000","6,560,000","63,915,000","1,565,000","2,601,000","-1,352,000"
InterestIncome,"250,585,000","61,818,000","64,684,000","62,772,000","61,311,000","60,159,000","59,925,000","58,234,000","57,905,000","63,166,000","65,915,000","71,029,000","66,760,000","61,110,000","62,895,000","61,073,000","44,841,000","38,142,000","35,956,000","35,044,000","33,315,000","32,488,000","30,776,000","22,657,000","22,055,000","22,877,000"
InterestExpense,"12,102,000","3,082,000","2,956,000","2,927,000","3,137,000","3,519,000","3,905,000","4,710,000","5,296,000","10,341,000","12,001,000","13,191,000","12,312,000","11,025,000","9,634,000","8,480,000","5,785,000","4,447,000","3,805,000","3,632,000","3,504,000","2,950,000","2,524,000","1,792,000","1,674,000","1,757,000"
NetInterestIncome,"238,483,000","58,736,000","61,728,000","59,845,000","58,174,000","56,640,000","56,020,000","53,524,000","52,609,000","52,825,000","53,914,000","57,838,000","54,448,000","50,085,000","53,261,000","52,593,000","39,056,000","33,695,000","32,151,000","31,412,000","29,811,000","29,538,000","28,252,000","20,865,000","20,381,000","21,120,000"
