name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005
TotalRevenue,"1,094,815,000","272,450,000","281,252,000","275,436,000","315,763,000","278,445,000","315,602,000","289,260,000","278,336,000","285,922,000","348,133,000","352,997,000","333,597,000","313,638,000","345,974,000","322,141,000","310,364,000","260,482,000","294,666,000","259,162,000","249,363,000","226,828,000","244,346,000","244,686,000","242,095,000","247,010,000","273,208,000","276,853,000","262,360,000","227,410,000","297,761,000","275,044,000","280,378,000","237,229,000","259,579,000","270,449,000","245,340,000","212,388,000","250,117,000","204,509,000","209,024,000","173,665,000","217,019,000","184,289,000","184,335,000","134,908,000","174,618,000","153,844,000","131,006,000","114,686,000","137,667,000","175,628,000","180,241,000","186,196,000","261,912,000","278,647,000","282,644,000","245,766,000","289,666,000","270,587,000","233,145,000","209,736,000","215,488,000","204,135,000","202,536,000","182,210,000","185,474,000","148,456,000"
	OperatingRevenue,"1,088,446,000","270,980,000","279,725,000","273,737,000","312,715,000","275,857,000","312,703,000","286,587,000","275,631,000","283,201,000","345,180,000","349,926,000","330,622,000","310,862,000","326,263,000","302,474,000","291,577,000","243,894,000","276,314,000","240,666,000","232,058,000","210,865,000","227,533,000","227,340,000","225,911,000","231,861,000","256,119,000","259,413,000","246,052,000","213,037,000","281,687,000","258,825,000","265,265,000","224,566,000","246,024,000","256,719,000","232,043,000","200,345,000","203,902,000","204,509,000","209,024,000","173,665,000","217,019,000","184,289,000","174,937,000","134,908,000","174,618,000","153,844,000","131,006,000","108,292,000","163,491,000","167,502,000","171,625,000","186,196,000","261,912,000","278,647,000","282,644,000","245,766,000","289,666,000","270,587,000","233,145,000","209,736,000","215,488,000","204,135,000","202,536,000","182,210,000","185,474,000","148,456,000"
CostOfRevenue,"651,284,000","160,870,000","163,029,000","161,528,000","204,398,000","185,442,000","209,603,000","190,193,000","186,266,000","180,439,000","219,572,000","220,869,000","208,816,000","199,938,000","222,858,000","207,411,000","202,261,000","167,897,000","193,796,000","165,136,000","162,023,000","149,156,000","159,712,000","156,561,000","160,387,000","165,866,000","183,057,000","184,016,000","175,956,000","151,070,000","202,741,000","183,978,000","191,310,000","164,445,000","177,935,000","190,149,000","169,928,000","147,908,000","176,624,000","137,586,000","144,789,000","121,014,000","160,968,000","130,548,000","136,540,000","99,792,000","132,863,000","115,924,000","98,627,000","90,801,000","106,922,000","135,661,000","135,735,000","135,916,000","187,656,000","196,150,000","202,081,000","173,042,000","204,446,000","186,688,000","161,935,000","144,025,000","145,372,000","135,388,000","134,241,000","126,187,000","168,961,000","87,304,000"
GrossProfit,"443,531,000","111,580,000","118,223,000","113,908,000","111,365,000","93,003,000","105,999,000","99,067,000","92,070,000","105,483,000","128,561,000","132,128,000","124,781,000","113,700,000","123,116,000","114,730,000","108,103,000","92,585,000","100,870,000","94,026,000","87,340,000","77,672,000","84,634,000","88,125,000","81,708,000","81,144,000","90,151,000","92,837,000","86,404,000","76,340,000","95,020,000","91,066,000","89,068,000","72,784,000","81,644,000","80,300,000","75,412,000","64,480,000","73,493,000","66,923,000","64,235,000","52,651,000","56,051,000","53,741,000","47,795,000","35,116,000","41,755,000","37,920,000","32,379,000","23,885,000","30,745,000","39,967,000","44,506,000","50,280,000","74,256,000","82,497,000","80,563,000","72,724,000","85,220,000","83,899,000","71,210,000","65,711,000","70,116,000","68,747,000","68,295,000","56,023,000","16,513,000","61,152,000"
OperatingExpense,"300,262,000","78,278,000","76,870,000","74,403,000","77,006,000","73,953,000","71,739,000","70,040,000","67,861,000","79,624,000","77,243,000","77,296,000","77,840,000","78,647,000","73,026,000","70,346,000","69,046,000","65,880,000","60,456,000","55,203,000","59,807,000","57,318,000","55,744,000","55,962,000","57,049,000","59,374,000","57,642,000","54,704,000","54,414,000","53,466,000","54,156,000","51,585,000","51,883,000","48,856,000","48,715,000","46,977,000","47,106,000","46,264,000","45,149,000","42,402,000","41,399,000","40,380,000","38,401,000","38,670,000","37,494,000","37,996,000","39,368,000","36,469,000","36,630,000","35,938,000","34,179,000","35,362,000","36,323,000","39,147,000","65,740,000","45,337,000","45,700,000","46,545,000","47,899,000","41,512,000","38,321,000","36,847,000","34,991,000","33,877,000","33,324,000","32,944,000","29,991,000","28,101,000"
	SellingGeneralAndAdministration,"300,262,000","78,278,000","76,870,000","74,403,000","77,006,000","73,953,000","71,739,000","70,040,000","67,861,000","79,624,000","77,243,000","77,296,000","77,840,000","78,647,000","73,026,000","70,346,000","69,046,000","65,880,000","60,456,000","55,203,000","59,807,000","57,318,000","55,744,000","55,962,000","57,049,000","59,374,000","57,642,000","54,704,000","54,414,000","53,466,000","54,156,000","51,585,000","51,883,000","48,856,000","48,715,000","46,977,000","47,106,000","46,264,000","45,149,000","42,402,000","41,399,000","40,703,000","38,673,000","39,042,000","37,546,000","38,093,000","39,044,000","36,594,000","36,765,000","35,874,000","34,118,000","35,073,000","36,122,000","39,147,000","42,940,000","45,556,000","45,857,000","46,684,000","47,924,000","41,609,000","38,360,000","37,155,000","35,070,000","34,118,000","33,384,000","33,043,000","30,067,000","28,219,000"
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14,354,000"
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14,354,000"
	OtherOperatingExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-323,000","-272,000","-372,000","-52,000","-97,000",,"-125,000","-135,000","64,000","61,000","289,000","201,000",,"22,800,000","-219,000","-157,000","-139,000","-25,000","-97,000","-39,000","-308,000","-79,000","-241,000","-60,000","-99,000","39,318,000","-14,472,000"
OperatingIncome,"143,269,000","33,302,000","41,353,000","39,505,000","34,359,000","19,050,000","34,260,000","29,027,000","24,209,000","25,859,000","51,318,000","54,832,000","46,941,000","35,053,000","50,090,000","44,384,000","39,057,000","26,705,000","40,414,000","38,823,000","27,533,000","20,354,000","28,890,000","32,163,000","24,659,000","21,770,000","32,509,000","38,133,000","31,990,000","22,874,000","40,864,000","39,481,000","37,185,000","23,928,000","32,929,000","33,323,000","28,306,000","18,216,000","28,344,000","24,521,000","22,836,000","12,271,000","17,650,000","15,071,000","10,301,000","-2,880,000","2,387,000","1,451,000","-4,251,000","-12,053,000","-3,434,000","4,605,000","8,183,000","11,133,000","8,516,000","37,160,000","34,863,000","26,179,000","37,321,000","42,387,000","32,889,000","28,864,000","35,125,000","34,870,000","34,971,000","23,079,000","-13,478,000","33,051,000"
NetNonOperatingInterestIncomeExpense,"-53,762,000","-13,447,000","-13,460,000","-13,430,000","-13,425,000","-13,443,000","-15,301,000","-14,887,000","-15,572,000","-16,030,000","-16,824,000","-17,331,000","-17,267,000","-16,855,000","-16,646,000","-16,715,000","-15,693,000","-14,653,000","-13,293,000","-15,060,000","-13,373,000","-13,232,000","-13,375,000","-13,469,000","-13,353,000","-13,407,000","-13,355,000","-13,481,000","-13,749,000","-13,445,000","-13,610,000","-13,171,000","-12,922,000","-12,650,000","-12,854,000","-13,193,000","-13,085,000","-12,272,000","-11,873,000","-9,825,000","-6,973,000","-6,870,000","-7,120,000","-7,222,000","-7,178,000","-7,207,000","-7,295,000","-7,287,000","-7,203,000","-7,291,000","-7,300,000","-7,847,000","-8,011,000","-8,181,000",,,,,,,,,,,,,,
	InterestExpenseNonOperating,"53,762,000","13,447,000","13,460,000","13,430,000","13,425,000","13,443,000","15,301,000","14,887,000","15,572,000","16,030,000","16,824,000","17,331,000","17,267,000","16,855,000","16,646,000","16,715,000","15,693,000","14,653,000","13,293,000","15,060,000","13,373,000","13,232,000","13,375,000","13,469,000","13,353,000","13,407,000","13,355,000","13,481,000","13,749,000","13,445,000","13,610,000","13,171,000","12,922,000","12,650,000","12,854,000","13,193,000","13,085,000","12,272,000","11,873,000","9,825,000","6,973,000","6,870,000","7,120,000","7,222,000","7,178,000","7,207,000","7,295,000","7,287,000","7,203,000","7,291,000","7,300,000","7,847,000","8,011,000","8,181,000",,,,,,,,,,,,,,
