name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,12/31/2014
TotalAssets,"1,998,309,000","1,902,980,000","1,838,110,000","1,753,290,000","1,697,277,000","1,668,179,000","1,573,625,000","1,512,155,000","1,563,227,000","1,446,070,000","1,347,780,000","1,344,971,000","1,349,557,000","1,343,098,000","1,236,178,000","1,122,874,000","1,075,751,000","1,068,659,000","1,061,774,000","1,054,293,000","943,898,000","937,151,000","866,385,000","864,700,000","864,673,000","929,437,000","11,460,000","11,758,000","11,949,000"
	CurrentAssets,"64,249,000","12,288,000","13,250,000","33,253,000","21,130,000","19,338,000","23,212,000","13,390,000","95,818,000","10,723,000","32,425,000","41,368,000","83,560,000","96,824,000","29,604,000","91,440,000","55,550,000","71,941,000","89,135,000","84,109,000","20,930,000","28,338,000","32,261,000","39,348,000","37,013,000","99,030,000","219,000","325,000","182,000"
		CashCashEquivalentsAndShortTermInvestments,"58,109,000","6,300,000","7,809,000","27,096,000","11,483,000","11,064,000","17,735,000","5,098,000","90,491,000","5,083,000","29,789,000","39,289,000","81,013,000","92,041,000","26,890,000","88,371,000","53,066,000","64,466,000","82,865,000","81,328,000","18,070,000","26,643,000","18,870,000","38,732,000","36,088,000","98,073,000","7,000","7,000","7,000"
			CashAndCashEquivalents,"58,109,000","6,300,000","7,809,000","27,096,000","11,483,000","11,064,000","17,735,000","5,098,000","90,491,000","5,083,000","29,789,000","39,289,000","81,013,000","92,041,000","26,890,000","88,371,000","53,066,000","64,466,000","82,865,000","81,328,000","18,070,000","26,643,000","18,870,000","38,732,000","36,088,000","98,073,000","7,000","7,000","7,000"
				CashFinancial,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,000","7,000","7,000"
		Receivables,"1,554,000","1,312,000","992,000","1,249,000","1,023,000","1,035,000","1,860,000","4,401,000","492,000","380,000","187,000","251,000","257,000","782,000","411,000","431,000","332,000","383,000","217,000","207,000","241,000","162,000","72,000","90,000","254,000","70,000",,,
			AccountsReceivable,"1,554,000","1,312,000","992,000","1,249,000","1,023,000","1,035,000","1,860,000","4,401,000","492,000","380,000","187,000","251,000","257,000","782,000","411,000","431,000","332,000","383,000","217,000","207,000","241,000","162,000","72,000","90,000","254,000","70,000",,,
			OtherReceivables,,,,"51,610,000","49,825,000","47,938,000","45,868,000","43,621,000","41,512,000","39,350,000","37,151,000","34,736,000","32,501,000","30,141,000","27,799,000","25,505,000","23,413,000","21,130,000","0","0","0","0","0","0","0","0",,,
		Inventory,"227,000","252,000","186,000","228,000","4,154,000","2,946,000","126,000","179,000","170,000","196,000","132,000","155,000","164,000","183,000","147,000","156,000","157,000","186,000","1,871,000","1,843,000","1,888,000","202,000","12,464,000","166,000","170,000","198,000","162,000","264,000","113,000"
			FinishedGoods,"227,000","0","186,000","228,000","4,154,000","2,763,000","126,000","179,000","170,000",,"132,000","155,000","164,000",,"147,000","156,000",,,"1,712,000","1,691,000","1,710,000",,"12,318,000",,,,,,
			OtherInventories,,"252,000",,,,"183,000",,,,"196,000",,,,"183,000",,"156,000","157,000","186,000","159,000","152,000","178,000","202,000","146,000","166,000","170,000","198,000",,"264,000","113,000"
		PrepaidAssets,"4,359,000","4,424,000","4,263,000","4,680,000","4,470,000","4,293,000","3,491,000","3,712,000","4,665,000","5,064,000","2,317,000","1,673,000","2,126,000","2,617,000","2,156,000","2,204,000","1,995,000","2,001,000","1,152,000","731,000","731,000","1,331,000","855,000","360,000","501,000","689,000","50,000","54,000","62,000"
		RestrictedCash,,,,,,,,,,"0","0","0","0","1,201,000","0","278,000","0","4,905,000","3,030,000",,,,,,,,,,
		CurrentDeferredAssets,,,,,,,,,,,,,,,,,,,,,,,,,,"0","45,000","51,000","38,000"
		AssetsHeldForSaleCurrent,,,,,,,,,,,,,,,,,,,"1,712,000","1,691,000","1,710,000",,"12,318,000",,,,,,
		OtherCurrentAssets,,,,,,,,,,,,,,,,,,"5,513,000","1,712,000","1,691,000","1,710,000","0","12,318,000","0","0","0","0","0","0"
	TotalNonCurrentAssets,"1,934,060,000","1,890,692,000","1,824,860,000","1,720,037,000","1,676,147,000","1,648,841,000","1,550,413,000","1,498,765,000","1,467,409,000","1,435,347,000","1,315,355,000","1,303,603,000","1,265,997,000","1,246,274,000","1,206,574,000","1,031,434,000","1,020,201,000","996,718,000","972,639,000","970,184,000","922,968,000","908,813,000","834,124,000","825,352,000","827,660,000","830,407,000","11,241,000","11,433,000","11,767,000"
		NetPPE,"4,798,000","4,919,000","5,040,000","5,160,000","5,279,000","5,397,000","5,515,000","5,632,000","3,783,000","3,810,000","5,609,000","5,647,000","5,685,000",,,,,"966,109,000","948,283,000","949,428,000","904,127,000","894,258,000","824,768,000","818,427,000","823,509,000","828,691,000","11,189,000","11,375,000","11,722,000"
			GrossPPE,"4,798,000","4,919,000","5,040,000","5,160,000","5,279,000","5,397,000","5,515,000","5,632,000","3,783,000","3,810,000","5,609,000","5,647,000","5,685,000",,,,,"1,564,955,000","1,541,892,000","1,539,341,000","1,490,613,000","1,477,565,000","1,407,638,000","1,397,254,000","1,397,235,000","1,397,230,000","15,622,000","15,607,000","15,582,000"
				Properties,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","0","0",,,"0"
				LandAndImprovements,,,,,,,,,,,,,,,,,,"449,331,000","441,462,000","441,035,000","425,401,000","421,941,000","405,245,000","404,812,000","404,812,000","404,812,000",,,"3,069,000"
				BuildingsAndImprovements,,,,,,,,,,,,,,,,,,"1,115,624,000","1,100,430,000","1,098,306,000","1,065,212,000","1,055,624,000","1,002,393,000","992,442,000","992,423,000","992,418,000",,,"8,992,000"
				MachineryFurnitureEquipment,,,,,,,,,,,,,,,,,,,,,"138,652,000","139,180,000",,,,,,,"3,521,000"
