name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012
TotalRevenue,"493,203,000","140,751,000","132,711,000","115,396,000","104,345,000","99,749,000","88,590,000","83,740,000","79,884,000","77,583,000","74,120,000","67,110,000","63,722,000","59,706,000","56,239,000","54,585,000","51,756,000","48,536,000","45,880,000","43,339,000","36,564,000","35,127,000","34,546,000","33,075,000","30,608,000","27,504,000","26,164,000","23,521,000","22,442,000","21,063,000","19,576,000","17,755,000","14,718,000","13,415,000","12,448,000","10,498,000","9,185,000","9,227,000","7,847,000","7,785,000","7,909,000"
	OperatingRevenue,"493,203,000","140,751,000","132,711,000","115,396,000","104,345,000","99,749,000","88,590,000","83,740,000","79,884,000","77,583,000","74,120,000","67,110,000","63,722,000","59,706,000","56,239,000","54,585,000","51,756,000","48,536,000","45,880,000","43,339,000","36,564,000","35,127,000","34,546,000","33,075,000","30,608,000","27,504,000","26,164,000","23,521,000","22,442,000","21,063,000","19,576,000","17,755,000","14,718,000","13,415,000","12,448,000","10,498,000","9,185,000","9,227,000","7,847,000","7,785,000","7,909,000"
CostOfRevenue,"117,575,000","33,429,000","32,090,000","27,501,000","24,555,000","23,575,000","22,034,000","20,684,000","18,884,000","18,114,000","18,156,000","16,165,000","15,139,000","13,812,000","13,642,000","13,294,000","12,775,000","11,960,000","12,152,000","11,229,000","9,536,000","9,222,000","9,139,000","8,978,000","7,959,000","7,543,000","7,118,000","6,237,000","5,874,000","5,771,000","5,477,000","4,879,000","3,892,000","4,134,000","3,877,000","2,886,000","2,512,000","2,444,000","2,389,000","2,537,000","2,263,000"
GrossProfit,"375,628,000","107,322,000","100,621,000","87,895,000","79,790,000","76,174,000","66,556,000","63,056,000","61,000,000","59,469,000","55,964,000","50,945,000","48,583,000","45,894,000","42,597,000","41,291,000","38,981,000","36,576,000","33,728,000","32,110,000","27,028,000","25,905,000","25,407,000","24,097,000","22,649,000","19,961,000","19,046,000","17,284,000","16,568,000","15,292,000","14,099,000","12,876,000","10,826,000","9,281,000","8,571,000","7,612,000","6,673,000","6,783,000","5,458,000","5,248,000","5,646,000"
OperatingExpense,"210,823,000","57,188,000","56,230,000","50,482,000","46,923,000","46,624,000","39,596,000","38,275,000","37,353,000","36,840,000","35,092,000","32,936,000","31,823,000","29,340,000","26,968,000","26,373,000","26,281,000","25,614,000","24,325,000","23,814,000","19,638,000","18,685,000","18,467,000","18,408,000","17,131,000","14,816,000","14,773,000","14,420,000","14,230,000","13,430,000","11,929,000","11,305,000","8,783,000","8,735,000","8,488,000","4,960,000","4,361,000","4,749,000","4,764,000","4,029,000","4,509,000"
	SellingGeneralAndAdministration,"52,227,000","14,717,000","15,009,000","11,806,000","10,695,000","11,480,000","9,042,000","9,464,000","8,972,000","9,317,000","8,215,000","7,440,000","7,301,000","7,344,000","6,297,000","6,229,000","6,506,000","6,162,000","5,558,000","5,843,000","5,123,000","5,086,000","4,225,000","5,067,000","4,521,000","3,602,000","3,952,000","3,778,000","3,740,000","3,546,000","3,486,000","3,273,000","2,780,000","2,605,000","2,827,000","1,396,000","1,153,000","1,262,000","1,727,000","1,180,000","983,000"
		GeneralAndAdministrativeExpense,"52,227,000","14,717,000","15,009,000","11,806,000","10,695,000","11,480,000","9,042,000","9,464,000","8,972,000","9,317,000","8,215,000","7,440,000","7,301,000","7,344,000","6,297,000","6,229,000","6,506,000","6,162,000","5,558,000","5,843,000","5,123,000","5,086,000","4,225,000","5,067,000","4,521,000","3,602,000","3,952,000","3,778,000","3,740,000","3,546,000","3,486,000","3,273,000","2,780,000","2,605,000","2,827,000","1,396,000","1,153,000","1,262,000","1,727,000","1,180,000","983,000"
			OtherGandA,"52,227,000","14,717,000","15,009,000","11,806,000","10,695,000","11,480,000","9,042,000","9,464,000","8,972,000","9,317,000","8,215,000","7,440,000","7,301,000","7,344,000","6,297,000","6,229,000","6,506,000","6,162,000","5,558,000","5,843,000","5,123,000","5,086,000","4,225,000","5,067,000","4,521,000","3,602,000","3,952,000","3,778,000","3,740,000","3,546,000","3,486,000","3,273,000","2,780,000","2,605,000","2,827,000","1,396,000","1,153,000","1,262,000","1,727,000","1,180,000","983,000"
	DepreciationAmortizationDepletionIncomeStatement,"158,596,000","42,471,000","41,221,000","38,676,000","36,228,000","35,144,000","30,554,000","28,811,000","28,381,000","27,523,000","26,877,000","25,496,000","24,522,000","21,996,000","20,671,000","20,144,000","19,775,000","19,452,000","18,767,000","17,971,000","14,515,000","13,599,000","14,242,000","13,341,000","12,610,000","11,214,000","10,821,000","10,642,000","10,490,000","9,884,000","8,443,000","8,032,000","6,003,000","6,130,000","5,661,000","3,564,000","3,208,000","3,487,000","3,037,000","2,849,000","3,526,000"
		DepreciationAndAmortizationInIncomeStatement,"158,596,000","42,471,000","41,221,000","38,676,000","36,228,000","35,144,000","30,554,000","28,811,000","28,381,000","27,523,000","26,877,000","25,496,000","24,522,000","21,996,000","20,671,000","20,144,000","19,775,000","19,452,000","18,767,000","17,971,000","14,515,000","13,599,000","14,242,000","13,341,000","12,610,000","11,214,000","10,821,000","10,642,000","10,490,000","9,884,000","8,443,000","8,032,000","6,003,000","6,130,000","5,661,000","3,564,000","3,208,000","3,487,000","3,037,000","2,849,000","3,526,000"
