name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,06/30/2014
TotalAssets,"1,363,773,000","1,349,421,000","1,327,936,000","1,309,939,000","1,304,440,000","1,292,117,000","1,219,366,000","1,233,798,000","4,309,586,000","4,081,555,000","3,961,634,000","3,763,551,000","3,918,453,000","3,798,509,000","3,728,289,000","3,736,173,000","3,781,181,000","3,714,271,000","3,660,537,000","3,712,753,000","3,735,695,000","3,552,785,000","3,459,671,000","3,543,950,000","3,610,169,000","3,746,103,000","3,744,876,000","2,148,942,000","2,208,373,000","2,165,161,000","2,137,191,000"
	CurrentAssets,"264,069,000","218,555,000","165,951,000","185,246,000","202,364,000","175,480,000","96,100,000","128,278,000","1,742,086,000","1,405,169,000","1,335,759,000","1,413,109,000","1,614,551,000","1,515,074,000","1,335,456,000","1,415,669,000","1,414,574,000","1,355,268,000","1,379,500,000","1,449,729,000","1,413,987,000","1,589,000,000","1,481,434,000","1,603,853,000","1,656,785,000","1,740,168,000","1,709,720,000","168,635,000","212,730,000","191,532,000","157,919,000"
		CashCashEquivalentsAndShortTermInvestments,"49,176,000","54,815,000","33,610,000","64,902,000","69,128,000","70,762,000","23,527,000","77,852,000","1,337,312,000","1,113,123,000","1,056,783,000","1,194,788,000","1,263,984,000","1,227,861,000","1,068,883,000","1,225,638,000","1,176,554,000","1,125,647,000","1,163,947,000","1,238,114,000","1,140,903,000","1,410,345,000","1,294,081,000","1,444,317,000","1,451,687,000","1,558,897,000","1,467,093,000","14,211,000","14,141,000","18,057,000","6,143,000"
			CashAndCashEquivalents,"49,176,000","54,815,000","33,610,000","64,902,000","69,128,000","70,762,000","23,527,000","77,852,000","1,006,293,000","1,000,103,000","952,186,000","1,086,372,000","1,153,060,000","1,227,861,000","1,068,883,000","1,225,638,000","1,176,554,000","1,125,647,000","1,163,947,000","1,238,114,000","1,140,903,000","1,410,345,000","1,294,081,000","1,444,317,000","1,451,687,000","1,558,897,000","1,467,093,000","14,211,000","14,141,000","18,057,000","6,143,000"
			OtherShortTermInvestments,,,,,,,,,"331,019,000","113,020,000","104,597,000","108,416,000","110,924,000",,,,,,,,,,,,,,,,,,
		Receivables,"144,085,000","111,488,000","64,417,000","80,617,000","87,566,000","36,832,000","24,369,000","7,538,000","133,122,000","132,640,000","122,408,000","98,339,000","197,280,000","159,704,000","125,423,000","101,292,000","145,453,000","120,682,000","99,236,000","104,799,000","136,929,000","94,833,000","94,363,000","80,077,000","123,823,000","99,794,000","93,654,000","82,897,000","109,478,000","78,403,000","82,060,000"
			AccountsReceivable,"92,694,000","79,737,000","54,872,000","74,197,000","82,518,000","24,897,000","15,465,000","7,403,000","130,824,000","130,890,000","120,880,000","96,856,000","195,851,000","157,310,000","123,821,000","100,725,000","143,876,000","119,158,000","95,811,000","102,085,000","131,636,000","90,837,000","88,328,000","75,998,000","109,492,000","74,602,000","58,101,000","51,734,000","78,264,000","46,888,000","51,810,000"
				GrossAccountsReceivable,"92,694,000","79,737,000",,,,,,,,,,"98,670,000",,,,"101,502,000",,,,,,,,,,,,"52,201,000",,,
				AllowanceForDoubtfulAccountsReceivable,"0","0",,,,,,,,,,"-1,814,000",,,,"-777,000",,,,,,,,,,,,"-467,000",,,
			LoansReceivable,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","30,836,000","30,543,000","30,251,000","29,683,000"
			DuefromRelatedPartiesCurrent,"51,391,000","31,751,000","9,545,000","6,420,000","5,048,000","11,935,000","8,904,000","135,000","2,298,000","1,750,000","1,528,000","1,483,000","1,429,000","2,394,000","1,602,000","567,000","1,577,000","1,524,000","3,425,000","2,714,000","5,293,000","3,996,000","6,035,000","4,079,000","14,331,000","25,192,000","35,553,000","327,000","671,000","1,264,000","567,000"
		PrepaidAssets,"21,696,000","33,996,000","48,528,000","16,724,000","25,598,000","47,535,000","35,618,000","20,634,000","66,515,000","65,350,000","82,134,000","45,150,000","55,065,000","53,351,000","58,588,000","28,761,000","37,326,000","44,132,000","55,246,000","23,358,000","40,370,000","40,460,000","48,745,000","27,031,000","33,280,000","38,381,000","50,770,000","23,879,000","32,851,000","41,040,000","21,444,000"
		RestrictedCash,"979,000","745,000","6,668,000","7,134,000","8,896,000","9,500,000","2,679,000","12,821,000","38,844,000","43,001,000","31,349,000","31,529,000","29,033,000","23,717,000","32,330,000","30,982,000","27,837,000","23,332,000","34,255,000","34,000,000","32,647,000","19,652,000","14,746,000","27,091,000","28,102,000","20,653,000","12,592,000","12,590,000","20,530,000","14,180,000","9,823,000"
		AssetsHeldForSaleCurrent,,,,,,,,"0","109,155,000",,,,,,,,,,,,,,,,,,,,,,
		OtherCurrentAssets,"48,133,000","17,511,000","12,728,000","15,869,000","11,176,000","10,851,000","9,907,000","9,433,000","57,138,000","51,055,000","43,085,000","43,303,000","69,189,000","50,441,000","50,232,000","28,996,000","27,404,000","41,475,000","26,816,000","49,458,000","63,138,000","23,710,000","29,499,000","25,337,000","19,893,000","22,443,000","85,611,000","35,058,000","35,730,000","39,852,000","38,449,000"
	TotalNonCurrentAssets,"1,099,704,000","1,130,866,000","1,161,985,000","1,124,693,000","1,102,076,000","1,116,637,000","1,123,266,000","1,105,520,000","2,567,500,000","2,676,386,000","2,625,875,000","2,350,442,000","2,303,902,000","2,283,435,000","2,392,833,000","2,320,504,000","2,366,607,000","2,359,003,000","2,281,037,000","2,263,024,000","2,321,708,000","1,963,785,000","1,978,237,000","1,940,097,000","1,953,384,000","2,005,935,000","2,035,156,000","1,980,307,000","1,995,643,000","1,973,629,000","1,979,272,000"
		NetPPE,"723,070,000","731,542,000","737,339,000","739,237,000","743,278,000","748,916,000","758,607,000","757,648,000","1,817,383,000","1,817,950,000","1,707,401,000","1,380,392,000","1,317,688,000","1,288,412,000","1,269,685,000","1,253,671,000","1,245,433,000","1,235,133,000","1,153,175,000","1,159,271,000","1,166,508,000","1,131,236,000","1,142,513,000","1,160,609,000","1,173,126,000","1,193,695,000","1,214,941,000","1,188,693,000","1,202,109,000","1,220,029,000","1,231,300,000"
			GrossPPE,"768,939,000","776,326,000","781,173,000","781,910,000","785,684,000","790,014,000","798,363,000","796,009,000","2,615,855,000","2,632,982,000","2,498,432,000","2,146,457,000","2,103,400,000","2,049,577,000","2,006,491,000","1,967,028,000","1,945,390,000","1,909,947,000","1,802,305,000","1,782,357,000","1,780,639,000","1,720,882,000","1,707,808,000","1,701,410,000","1,700,462,000","1,696,978,000","1,694,045,000","1,644,398,000","1,699,772,000","1,714,331,000","1,672,965,000"
				Properties,,,,"0",,,,"0","0","0","0","0",,,,"0","0","0",,"0",,,,"0","0","0","0","0","0","0","0"
				LandAndImprovements,,,,"5,153,000",,,,"5,153,000","147,084,000",,,"172,558,000",,,,"175,731,000","180,895,000","177,855,000",,"91,678,000",,,,"91,678,000","91,678,000","91,678,000","91,678,000","91,678,000","91,678,000","91,678,000","91,678,000"
				BuildingsAndImprovements,,,,"757,343,000",,,,"771,674,000","1,281,659,000","241,833,000","251,346,000","1,126,621,000",,,,"1,118,526,000","1,117,337,000","1,112,527,000",,"1,110,366,000",,,,"1,107,027,000","1,107,386,000","1,106,887,000","1,105,851,000","1,098,191,000","1,098,080,000","1,098,258,000","1,077,782,000"
				MachineryFurnitureEquipment,,,,"291,000",,,,"377,000","80,500,000",,,"91,661,000",,,,"90,383,000","89,979,000","88,135,000",,"87,712,000",,,,"88,124,000","88,122,000","87,809,000","87,518,000","49,400,000","92,536,000","94,073,000","94,088,000"
