name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994
TotalRevenue,"551,222,000","145,544,000","139,652,000","-337,736,000","315,349,000","286,586,000","249,503,000","246,196,000","220,350,000","220,227,000","210,500,000","199,211,000","203,880,000","198,390,000","179,368,000","11,492,000","223,480,000","207,260,000","189,328,000","181,880,000","181,717,000","169,333,000","159,955,000","157,553,000","147,534,000","135,281,000","119,955,000","145,765,000","144,894,000","139,313,000","122,736,000","122,517,000","117,359,000","125,900,000","124,587,000","118,236,000","118,072,000","116,619,000","98,025,000","119,449,000","140,437,000","139,337,000","120,228,000","130,951,000","186,136,000","192,651,000","178,367,000","181,632,000","156,790,000","148,353,000","106,197,000","64,085,000","43,876,000","37,299,000","73,443,000","106,870,000","124,016,000","147,647,000","147,833,000","166,503,000","190,461,000","194,926,000","191,368,000","210,323,000","186,195,000","169,177,000","127,175,000","103,299,000","113,760,000","129,473,000","117,818,000","164,005,000","155,234,000","137,984,000","82,546,000","81,746,000","84,045,000","92,964,000","84,855,000","103,186,000","85,762,000","58,316,000","61,455,000","71,631,000","93,767,000","111,160,000","107,578,000","99,319,000","87,827,000","73,010,000","50,300,000","34,500,000","26,400,000","23,300,000","19,800,000","32,700,000","22,300,000","20,200,000","24,600,000","30,800,000","23,100,000","16,400,000","16,100,000","24,000,000","25,300,000","22,600,000","16,800,000","14,500,000","12,700,000","10,000,000","8,400,000"
	OperatingRevenue,"551,222,000","145,544,000","139,652,000","-337,736,000","315,349,000","286,586,000","249,503,000","246,196,000","220,350,000","220,227,000","210,500,000","199,211,000","203,880,000","198,390,000","179,368,000","11,492,000","223,480,000","207,260,000","189,328,000","181,880,000","181,717,000","169,333,000","159,955,000","157,553,000","147,534,000","135,281,000","119,955,000","145,765,000","144,894,000","139,313,000","122,736,000","122,517,000","117,359,000","125,900,000","124,587,000","118,236,000","118,072,000","116,619,000","98,025,000","119,449,000","140,437,000","139,337,000","120,228,000","130,951,000","186,136,000","192,651,000","178,367,000","181,632,000","156,790,000","148,353,000","106,197,000","64,085,000","43,876,000","37,299,000","73,443,000","106,870,000","124,016,000","147,647,000","147,833,000","166,503,000","190,461,000","194,926,000","191,368,000","210,323,000","186,195,000","169,177,000","127,175,000","103,299,000","113,760,000","129,473,000","117,818,000","164,005,000","155,234,000","137,984,000","82,546,000","81,746,000","84,045,000","92,964,000","84,855,000","103,186,000","85,762,000","58,316,000","61,455,000","71,631,000","93,767,000","108,740,000","107,578,000","99,319,000","87,827,000","73,010,000","50,300,000","34,500,000","26,400,000","23,300,000","19,800,000","32,700,000","22,300,000","20,200,000","24,600,000","30,800,000","23,100,000","16,400,000","16,100,000","24,000,000","25,300,000","22,600,000","16,800,000","14,500,000","12,700,000","10,000,000","8,400,000"
CostOfRevenue,"284,779,000","74,719,000","72,608,000","-196,743,000","170,949,000","159,312,000","136,375,000","134,227,000","127,562,000","129,946,000","125,514,000","119,057,000","120,370,000","117,874,000","107,287,000","14,076,000","134,259,000","123,031,000","114,113,000","107,515,000","110,145,000","104,809,000","103,012,000","100,989,000","93,371,000","88,481,000","79,401,000","92,960,000","93,707,000","93,288,000","83,648,000","81,115,000","76,613,000","81,602,000","79,937,000","77,710,000","78,386,000","80,007,000","68,867,000","80,842,000","94,197,000","91,055,000","79,871,000","83,893,000","129,166,000","130,977,000","121,048,000","126,438,000","110,885,000","109,403,000","79,951,000","52,223,000","40,326,000","65,095,000","67,055,000","83,787,000","95,159,000","111,208,000","109,384,000","126,516,000","133,025,000","132,436,000","131,686,000","133,696,000","114,712,000","109,437,000","90,241,000","66,508,000","73,675,000","85,903,000","76,138,000","98,697,000","97,373,000","87,074,000","52,301,000","54,700,000","56,451,000","68,312,000","60,481,000","86,506,000","59,090,000","38,273,000","37,341,000","57,060,000","50,745,000","61,968,000","56,482,000","47,994,000","47,912,000","36,300,000","24,000,000","14,800,000","12,400,000","11,200,000","9,400,000","15,800,000","15,900,000","17,700,000","14,900,000","18,800,000","14,100,000","10,900,000","9,700,000","13,100,000","14,100,000","12,300,000",,,,,
GrossProfit,"266,443,000","70,825,000","67,044,000","-140,993,000","144,400,000","127,274,000","113,128,000","111,969,000","92,788,000","90,281,000","84,986,000","80,154,000","83,510,000","80,516,000","72,081,000","-2,584,000","89,221,000","84,229,000","75,215,000","74,365,000","71,572,000","64,524,000","56,943,000","56,564,000","54,163,000","46,800,000","40,554,000","52,805,000","51,187,000","46,025,000","39,088,000","41,402,000","40,746,000","44,298,000","44,650,000","40,526,000","39,686,000","36,612,000","29,158,000","38,607,000","46,240,000","48,282,000","40,357,000","47,058,000","56,970,000","61,674,000","57,319,000","55,194,000","45,905,000","38,950,000","26,246,000","11,862,000","3,550,000","-27,796,000","6,388,000","23,083,000","28,857,000","36,439,000","38,449,000","39,987,000","57,436,000","62,490,000","59,682,000","76,627,000","71,483,000","59,740,000","36,934,000","36,791,000","40,085,000","43,570,000","41,680,000","65,308,000","57,861,000","50,910,000","30,245,000","27,046,000","27,594,000","24,652,000","24,374,000","16,680,000","26,672,000","20,043,000","24,114,000","14,571,000","43,022,000","49,192,000","51,096,000","51,325,000","39,915,000","36,710,000","26,300,000","19,700,000","14,000,000","12,100,000","10,400,000","16,900,000","6,400,000","2,500,000","9,700,000","12,000,000","9,000,000","5,500,000","6,400,000","10,900,000","11,200,000","10,300,000",,,,,
OperatingExpense,"292,973,000","75,411,000","67,196,000","1,557,000","94,167,000","96,677,000","82,113,000","77,607,000","73,718,000","75,131,000","73,744,000","68,334,000","66,831,000","66,474,000","66,689,000","36,762,000","62,460,000","60,361,000","54,375,000","56,421,000","51,974,000","48,863,000","42,807,000","43,929,000","44,673,000","45,803,000","47,399,000","41,656,000","40,659,000","42,287,000","42,900,000","40,397,000","43,534,000","41,130,000","39,961,000","39,520,000","34,736,000","36,815,000","37,465,000","45,099,000","37,035,000","36,799,000","38,691,000","39,624,000","34,701,000","34,687,000","33,376,000","32,619,000","29,101,000","28,519,000","26,520,000","25,946,000","27,108,000","32,873,000","36,911,000","238,120,000","35,906,000","41,449,000","41,535,000","41,469,000","42,741,000","43,840,000","44,086,000","59,142,000","54,463,000","50,793,000","46,823,000","37,889,000","37,309,000","37,896,000","37,658,000","51,218,000","40,526,000","39,042,000","-6,533,000","75,523,000","40,740,000","43,717,000","55,827,000","547,637,000","54,445,000","37,076,000","36,672,000","55,093,000","46,569,000","44,468,000","43,921,000","48,303,000","34,889,000","32,470,000","22,200,000","26,200,000","14,100,000","12,600,000","11,500,000","28,300,000","8,300,000","9,900,000","10,800,000","9,800,000","8,300,000","7,400,000","6,300,000","7,700,000","7,400,000","7,100,000",,,,,
	SellingGeneralAndAdministration,"267,504,000","68,515,000","60,711,000","30,455,000","75,883,000","79,734,000","66,030,000","62,271,000","59,714,000","59,809,000","59,343,000","53,451,000","52,596,000","52,373,000","53,541,000","30,327,000","48,283,000","47,236,000","41,175,000","43,565,000","40,016,000","37,518,000","31,962,000","31,594,000","31,854,000","32,692,000","34,121,000","28,425,000","27,825,000","29,609,000","29,411,000","26,286,000","30,040,000","28,637,000","26,766,000","26,213,000","22,600,000","24,785,000","25,947,000","33,804,000","25,344,000","24,270,000","26,742,000","28,143,000","24,676,000","25,245,000","24,478,000","24,576,000","21,200,000","20,842,000","18,979,000","18,831,000","19,559,000","25,207,000","27,634,000","25,881,000","25,636,000","29,896,000","29,103,000","28,939,000","29,924,000","30,562,000","30,996,000","40,090,000","36,277,000","33,471,000","30,712,000","22,457,000","20,503,000","20,695,000","20,856,000","32,728,000","22,804,000","21,469,000","19,767,000","19,483,000","21,697,000","23,022,000","34,106,000","34,977,000","28,244,000","19,079,000","18,905,000","29,122,000","22,472,000","22,447,000","21,878,000","22,904,000","23,563,000","15,208,000","12,500,000","12,500,000","7,200,000","6,200,000","5,700,000","14,800,000","3,700,000","4,000,000","4,000,000","3,800,000","3,400,000","3,000,000","2,600,000","3,300,000","3,400,000","3,200,000",,,,,
		GeneralAndAdministrativeExpense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"33,804,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			SalariesAndWages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,937,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"24,867,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	ResearchAndDevelopment,"25,469,000","6,896,000","6,485,000","-28,898,000","18,284,000","16,943,000","16,083,000","15,336,000","14,004,000","15,322,000","14,401,000","14,883,000","14,235,000","14,101,000","13,148,000","6,435,000","14,177,000","13,125,000","13,200,000","12,856,000","11,958,000","11,345,000","10,845,000","12,335,000","12,819,000","13,111,000","13,278,000","13,231,000","12,834,000","12,678,000","13,489,000","14,111,000","13,494,000","12,493,000","13,195,000","13,307,000","12,136,000","12,030,000","11,518,000","11,295,000","11,691,000","12,529,000","11,949,000","11,481,000","10,025,000","9,442,000","8,898,000","8,043,000","7,901,000","7,677,000","7,541,000","7,115,000","7,549,000","7,666,000","9,277,000","8,669,000","10,270,000","11,553,000","12,432,000","12,530,000","12,817,000","13,278,000","13,090,000","19,052,000","18,186,000","17,322,000","16,111,000","14,696,000","16,069,000","16,464,000","15,912,000","17,599,000","16,832,000","16,634,000","16,068,000","15,363,000","18,103,000","19,754,000","19,674,000","24,801,000","20,679,000","15,441,000","14,134,000","16,263,000","16,253,000","15,079,000","13,273,000","13,524,000","11,326,000","9,770,000","7,100,000","8,700,000","4,900,000","4,700,000","4,100,000","9,600,000","3,400,000","4,600,000","5,100,000","4,500,000","3,600,000","3,300,000","2,800,000","3,400,000","3,300,000","3,200,000",,,,,
