name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012
TotalAssets,"11,476,244,000","9,534,031,000","9,264,398,000","8,976,892,000","8,016,955,000","5,372,095,000","5,317,510,000","5,460,932,000","5,270,050,000","4,977,018,000","4,123,019,000","3,840,323,000","3,279,014,000","3,036,843,000","2,900,759,000","2,812,980,000","2,640,954,000","2,523,503,000","2,503,143,000","2,446,920,000","2,527,522,000","2,605,267,000","588,630,124","565,352,636","802,670,568","775,138,921","779,100,280","782,645,192","813,388,363","792,398,605","721,621,407","713,161,117","698,216,777","620,081,058","559,545,372","607,858,180","491,744,654","201,648,007","182,333,348"
	CurrentAssets,,,,,,,,,,,,,"1,339,432,000","1,489,582,000","66,709,000","120,941,000","1,424,194,000","81,585,000","186,641,000","81,494,000","299,628,000","399,740,000","189,169,782","193,384,125","70,764,887","25,165,441","33,392,498","30,916,668","41,052,697","40,934,091",,"35,763,095","35,935,374","59,189,042","24,499,695","33,720,488","22,668,924","22,829,261","18,387,371"
		CashCashEquivalentsAndShortTermInvestments,,,,,,,,,,,,,"47,597,000","54,406,000","47,845,000","105,833,000","86,773,000","63,425,000","170,584,000","63,931,000","279,856,000","379,550,000","184,951,991","188,537,658","66,604,813","20,793,716","29,366,231","28,635,539","38,022,318","33,791,013",,"27,619,043","30,085,010","57,060,806","21,467,891","21,174,544","12,808,368","19,061,110","15,265,259"
			CashAndCashEquivalents,"213,482,000","229,531,000","209,769,000","200,723,000","308,428,000","138,975,000","149,847,000","257,017,000","122,265,000","67,928,000","52,727,000","41,925,000","47,597,000","54,406,000","47,845,000","105,833,000","86,773,000","63,425,000","70,590,000","63,931,000","40,000,000","59,566,000","184,951,991","188,537,658","66,604,813","20,793,716","29,366,231","28,635,539","38,022,318","33,791,013","25,777,158","27,619,043","30,085,010","57,060,806","21,467,891","21,174,544","12,808,368","19,061,110","15,265,259"
				CashFinancial,,,,,,,,,,,,,,,,"105,833,000","86,773,000","63,425,000",,,,,,,,"20,793,716","29,366,231","28,635,539","38,022,318","33,791,013","25,777,158","27,619,043","30,085,010","57,060,806","21,467,891","21,174,544","12,808,368","19,061,110","15,265,259"
			OtherShortTermInvestments,,,,,,,,,,,,,,,,,,"0","99,994,000",,"239,856,000","319,984,000",,,,,,,,,,,,,,,,,
		Receivables,"87,922,000","83,179,000","45,039,000","46,668,000","77,260,000","41,135,000","37,376,000","48,961,000","79,358,000","67,994,000","29,083,000","23,099,000","15,998,000","23,425,000","18,440,000","16,269,000","23,940,000","23,214,000","18,093,000","122,458,000","146,426,000","39,855,000",,,,,,,,,,,,"0","0","0","0","6,801,398",
			AccountsReceivable,"46,364,000","21,873,000","25,194,000","21,582,000","16,120,000","12,656,000","10,266,000","9,332,000","11,383,000","10,583,000","8,645,000","6,882,000","8,185,000","7,253,000","8,153,000","6,268,000","6,836,000","6,494,000","5,284,000","5,825,000","5,715,000","5,606,000",,,,,,,,,,,,,,,,,
			LoansReceivable,,,,,,,,,,,,,"1,245,858,000","1,290,236,000",,"1,114,953,000","1,178,948,000",,,,,,,,,,,,,,,,,,,,,,
			AccruedInterestReceivable,,,,,,,,,,,,,"8,185,000","7,253,000",,,"6,836,000","6,494,000",,,,,,,,,,,,,,,,,,,,,
			DuefromRelatedPartiesCurrent,,,,,,,,,,,,,"7,095,000","16,172,000",,"980,000",,,,,,,,,,,,,,,,,,,,,,,
			OtherReceivables,"41,558,000","61,306,000","19,845,000","25,086,000","61,140,000","28,479,000","27,110,000","39,629,000","67,975,000","57,411,000","20,438,000","16,217,000","7,813,000","16,172,000","10,287,000","10,001,000","17,104,000","16,720,000","12,809,000","116,633,000","140,711,000","34,249,000",,,,,,,,,,,,,,,,"6,801,398",
			ReceivablesAdjustmentsAllowances,,,,,,,,,,,,,,"-22,664,000",,,"-40,430,000",,,,,,,,,,,,,,,,,,,,,,
		Inventory,,,,,,,,,,,,,,,,,,,,,,"3,933,000",,,,,,,,,,,,,,,,,
			FinishedGoods,,,,,,,,,,,,,,,,,,,,,,"3,933,000",,,,,,,,,,,,,,,,,
		PrepaidAssets,,,,,,,"12,933,000",,,,,,,"0","2,150,000","3,045,000","3,682,000","6,014,000","5,300,000","5,356,000","2,852,000","3,273,000",,,,,,,,,,,,,,,,,
		RestrictedCash,,,,,,,,,,,,,"29,979,000","28,921,000","18,864,000","15,108,000","13,964,000","11,666,000","16,057,000","17,563,000","19,772,000","20,190,000","4,217,791","4,846,467","4,160,074","4,371,725","4,026,267","2,281,129","3,030,379","7,143,078",,"8,144,052","5,850,364","2,128,236","3,031,804","12,545,944","9,860,556","3,768,151","3,122,112"
		AssetsHeldForSaleCurrent,,,,,,,,,,,,,,"115,258,000",,"188,752,000","160,999,000",,,,,,,,,,,,,,,,,,,,,,
		OtherCurrentAssets,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","0","0","0","0","0","0",,"0","0","0","0","0","0","0","0"
	TotalNonCurrentAssets,,,,,,,,,,,,,"1,939,582,000","1,547,261,000","2,834,050,000","2,692,039,000","1,216,760,000","2,441,918,000","2,316,502,000","2,365,426,000","2,227,894,000","2,205,527,000","399,460,342","371,968,511","731,905,681","749,973,480","745,707,782","751,728,524","772,335,666","751,464,514",,"677,398,022","662,281,403","560,892,016","535,045,677","574,137,692","469,075,730","178,818,746","163,945,977"
		NetPPE,"2,089,000","2,402,000","2,685,000","2,890,000","3,138,000","3,172,000","3,608,000","4,263,000","4,586,000","4,531,000","2,852,000",,,,,,"1,652,000",,"1,329,000","1,361,000",,,,,,,,,,,,,,,,,,,
			GrossPPE,"2,089,000","2,402,000","2,685,000","2,890,000","3,138,000","3,172,000","3,608,000","4,263,000","4,586,000","4,531,000","2,852,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
				OtherProperties,"2,089,000","2,402,000","2,685,000","2,890,000","3,138,000","3,172,000","3,608,000","4,263,000","4,586,000","4,531,000","2,852,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
