name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019
TotalAssets,"2,319,480,000","2,215,106,000","2,187,834,000","2,043,975,000","1,990,401,000","1,940,904,000","1,931,856,000","1,930,322,000","1,886,071,000","1,729,291,000","1,788,263,000"
	CurrentAssets,"520,851,000","437,019,000","532,398,000","494,146,000","457,780,000","428,992,000","424,695,000","436,540,000","381,215,000","237,295,000","290,590,000"
		CashCashEquivalentsAndShortTermInvestments,"25,812,000","66,056,000","250,536,000","220,464,000","151,317,000","210,034,000","215,012,000","215,111,000","94,698,000","22,468,000","105,947,000"
			CashAndCashEquivalents,"25,812,000","66,056,000","250,536,000","220,464,000","151,317,000","210,034,000","215,012,000","215,111,000","94,698,000","22,468,000","105,947,000"
		Receivables,"171,685,000","63,057,000","77,316,000","90,186,000","128,463,000","41,234,000","70,886,000","79,605,000","125,022,000","55,546,000","52,623,000"
			AccountsReceivable,"171,685,000","63,057,000","77,316,000","90,186,000","128,463,000","41,234,000","70,886,000","79,605,000","125,022,000","55,546,000","52,623,000"
				GrossAccountsReceivable,"172,857,000","64,131,000",,,,"42,572,000",,,,,
				AllowanceForDoubtfulAccountsReceivable,"-1,172,000","-1,074,000",,,,"-1,338,000",,,,,
		Inventory,"299,160,000","289,059,000","188,888,000","172,791,000","166,498,000","166,151,000","130,070,000","130,626,000","138,313,000","139,317,000","115,391,000"
			RawMaterials,"74,120,000","66,758,000","46,046,000","39,417,000","34,357,000","37,544,000","33,850,000","34,353,000","35,409,000","31,355,000","36,855,000"
			WorkInProcess,"37,826,000","30,997,000","27,278,000","24,371,000","21,873,000","19,604,000","19,935,000","19,557,000","19,928,000","20,025,000","19,514,000"
			FinishedGoods,"187,214,000","191,304,000","115,564,000","109,003,000","110,268,000","109,003,000","76,285,000","76,716,000","82,976,000","87,937,000","59,022,000"
		PrepaidAssets,"18,203,000","17,641,000","14,212,000","10,207,000","10,975,000","11,412,000","8,367,000","10,323,000","9,116,000","8,147,000","6,037,000"
		OtherCurrentAssets,"5,991,000","1,206,000","1,446,000","498,000","527,000","161,000","360,000","875,000","14,066,000","11,817,000","10,592,000"
	TotalNonCurrentAssets,"1,798,629,000","1,778,087,000","1,655,436,000","1,549,829,000","1,532,621,000","1,511,912,000","1,507,161,000","1,493,782,000","1,504,856,000","1,491,996,000","1,497,673,000"
		NetPPE,"474,340,000","435,304,000","391,012,000","341,685,000","311,850,000","279,183,000","261,774,000","235,229,000","233,548,000","216,227,000","208,694,000"
			GrossPPE,"753,292,000","700,069,000","642,073,000","588,048,000","545,384,000","500,963,000","472,175,000","435,355,000","421,028,000","393,464,000","376,914,000"
				Properties,"0","0","0","0","0","0","0","0","0","0","0"
