name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018
OperatingCashFlow,"250,917,000","88,305,000","60,844,000","18,296,000","83,472,000","85,871,000","73,716,000","23,841,000","37,008,000","64,641,000","11,132,000","-252,395,000","34,167,000","62,208,000","8,773,000","17,600,000","58,560,000"
	CashFlowFromContinuingOperatingActivities,"250,917,000","88,305,000","60,844,000","18,296,000","83,472,000","85,871,000","73,716,000","23,841,000","37,008,000","64,641,000","11,132,000","-252,395,000","34,167,000","62,208,000","8,773,000","17,600,000","58,560,000"
		NetIncomeFromContinuingOperations,"52,451,000","929,000","14,587,000","23,641,000","13,294,000","26,954,000","18,416,000","17,479,000","12,865,000","46,702,000","1,763,000","-417,334,000","-49,155,000","-30,598,000","-22,102,000","-39,938,000","-23,556,000"
		DepreciationAmortizationDepletion,"56,876,000","14,406,000","14,364,000","14,119,000","13,987,000","15,329,000","15,806,000","15,220,000","14,609,000","16,246,000","16,294,000","16,666,000","17,115,000","19,834,000","19,995,000","19,996,000","20,286,000"
			DepreciationAndAmortization,"56,876,000","14,406,000","14,364,000","14,119,000","13,987,000","15,329,000","15,806,000","15,220,000","14,609,000","16,246,000","16,294,000","16,666,000","17,115,000","19,834,000","19,995,000","19,996,000","20,286,000"
				Depreciation,"10,638,000","2,850,000","2,739,000","2,574,000","2,475,000","2,433,000","2,792,000","2,207,000","1,590,000","1,887,000","2,006,000","1,937,000","2,034,000","1,894,000","1,840,000","1,642,000","1,943,000"
				AmortizationCashFlow,"46,238,000","11,556,000","11,625,000","11,545,000","11,512,000","12,896,000","13,014,000","13,013,000","13,019,000","14,359,000","14,288,000","14,729,000","15,081,000","17,940,000","18,155,000","18,354,000","18,343,000"
					AmortizationOfIntangibles,"46,238,000","11,556,000","11,625,000","11,545,000","11,512,000","12,896,000","13,014,000","13,013,000","13,019,000","14,359,000","14,288,000","14,729,000","15,081,000","17,940,000","18,155,000","18,354,000","18,343,000"
		DeferredTax,"-12,401,000","-12,435,000","31,000","5,000","-2,000","-4,022,000","146,000","-2,985,000","-175,000","-13,590,000","2,880,000","-39,689,000","-8,877,000","-18,235,000","-6,542,000","-5,084,000","-4,353,000"
			DeferredIncomeTax,"-12,401,000","-12,435,000","31,000","5,000","-2,000","-4,022,000","146,000","-2,985,000","-175,000","-13,590,000","2,880,000","-39,689,000","-8,877,000","-18,235,000","-6,542,000","-5,084,000","-4,353,000"
		StockBasedCompensation,"99,536,000","27,586,000","27,123,000","25,575,000","19,252,000","14,693,000","15,588,000","14,831,000","12,672,000","12,794,000","13,513,000","154,746,000","41,425,000","28,866,000","6,057,000","23,030,000","13,198,000"
