name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009
TotalRevenue,"8,363,700,000","2,238,076,000","2,030,520,000","2,106,038,000","1,989,066,000","1,979,280,000","1,904,020,000","2,019,185,000","1,956,453,000","1,969,647,000","1,849,441,000","1,819,577,000","1,825,176,000","1,780,080,000","1,663,112,000","1,613,997,000","1,646,848,000","1,636,284,000","1,499,914,000","1,542,085,000","1,493,570,000","1,582,071,000","1,404,638,000","1,394,853,000","1,422,722,000","1,424,317,000","1,307,663,000","1,322,154,000","1,351,604,000","1,342,946,000","1,304,686,000","1,304,841,000","1,322,297,000","1,399,832,000","1,273,150,000","1,378,020,000","1,427,691,000","1,545,290,000","1,392,695,000","1,387,650,000","1,432,424,000","1,540,620,000","1,442,718,000","1,429,044,000","1,446,836,000","1,492,977,000","1,389,176,000","1,367,214,000","1,341,929,000","1,352,564,000","1,261,353,000","1,279,257,000","1,229,459,000"
	OperatingRevenue,"8,363,700,000","2,238,076,000","2,030,520,000","2,106,038,000","1,989,066,000","1,979,280,000","1,904,020,000","2,019,185,000","1,956,453,000","1,969,647,000","1,849,441,000","1,819,577,000","1,825,176,000","1,780,080,000","1,663,112,000","1,613,997,000","1,646,848,000","1,636,284,000","1,499,914,000","1,542,085,000","1,493,570,000","1,582,071,000","1,404,638,000","1,394,853,000","1,422,722,000","1,424,317,000","1,307,663,000","1,322,154,000","1,351,604,000","1,342,946,000","1,304,686,000","1,304,841,000","1,322,297,000","1,399,832,000","1,273,150,000","1,378,020,000","1,427,691,000","1,545,290,000","1,392,695,000","1,387,650,000","1,432,424,000","1,540,620,000","1,442,718,000","1,429,044,000","1,446,836,000","1,492,977,000","1,389,176,000","1,367,214,000","1,341,929,000","1,352,564,000","1,261,353,000","1,279,257,000","1,229,459,000"
CostOfRevenue,"3,899,622,000","1,059,578,000","929,568,000","947,689,000","962,719,000","899,260,000","866,771,000","942,597,000","948,902,000","881,084,000","813,500,000","843,942,000","840,654,000","815,404,000","750,680,000","748,570,000","785,812,000","755,401,000","712,255,000","700,909,000","698,538,000","724,724,000","652,236,000","658,068,000","656,954,000","680,650,000","630,189,000","626,155,000","643,032,000","664,882,000","641,541,000","642,425,000","645,001,000","667,450,000","662,053,000","685,138,000","701,472,000","748,884,000","692,920,000","702,066,000","727,370,000","761,928,000","729,977,000","715,642,000","726,831,000","742,723,000","718,574,000","698,563,000","677,095,000","688,800,000","660,947,000","665,706,000","638,690,000"
GrossProfit,"4,464,078,000","1,178,498,000","1,100,952,000","1,158,349,000","1,026,347,000","1,080,020,000","1,037,249,000","1,076,588,000","1,007,551,000","1,088,563,000","1,035,941,000","975,635,000","984,522,000","964,676,000","912,432,000","865,427,000","861,036,000","880,883,000","787,659,000","841,176,000","795,032,000","857,347,000","752,402,000","736,785,000","765,768,000","743,667,000","677,474,000","695,999,000","708,572,000","678,064,000","663,145,000","662,416,000","677,296,000","732,382,000","611,097,000","692,882,000","726,219,000","796,406,000","699,775,000","685,584,000","705,054,000","778,692,000","712,741,000","713,402,000","720,005,000","750,254,000","670,602,000","668,651,000","664,834,000","663,764,000","600,406,000","613,551,000","590,769,000"
OperatingExpense,"3,778,897,000","1,030,153,000","923,740,000","939,982,000","885,090,000","909,014,000","852,992,000","869,367,000","815,664,000","939,487,000","866,896,000","803,600,000","805,476,000","829,577,000","750,500,000","721,676,000","699,424,000","744,835,000","669,572,000","714,690,000","655,568,000","728,186,000","644,278,000","619,124,000","636,467,000","639,159,000","572,358,000","587,183,000","582,428,000","585,504,000","557,889,000","540,433,000","538,273,000","643,145,000","514,063,000","557,215,000","587,546,000","683,533,000","583,179,000","583,555,000","590,318,000","665,575,000","614,553,000","619,737,000","621,883,000","666,595,000","595,471,000","596,742,000","576,089,000","615,211,000","559,694,000","555,613,000","538,418,000"
	SellingGeneralAndAdministration,"3,633,150,000","989,329,000","884,164,000","902,380,000","857,345,000","887,559,000","831,879,000","848,352,000","794,932,000","918,714,000","846,241,000","783,968,000","785,455,000","811,361,000","732,720,000","705,250,000","683,271,000","728,275,000","652,871,000","698,644,000","640,119,000","712,230,000","629,868,000","604,447,000","621,966,000","624,240,000","556,210,000","571,831,000","567,311,000","570,077,000","542,698,000","524,623,000","522,041,000","625,195,000","496,118,000","539,113,000","569,216,000","663,767,000","565,052,000","565,942,000","571,815,000","646,294,000","595,023,000","601,201,000","604,025,000","645,760,000","574,675,000","577,154,000","556,705,000","592,121,000","535,049,000","531,588,000","514,415,000"
		GeneralAndAdministrativeExpense,"3,633,150,000","989,329,000","884,164,000","902,380,000","857,345,000","887,559,000","831,879,000","848,352,000","794,932,000","918,714,000","846,241,000","783,968,000","785,455,000","811,361,000","732,720,000","705,250,000","683,271,000","728,275,000","652,871,000","698,644,000","640,119,000","712,230,000","629,868,000","604,447,000","621,966,000","624,240,000","556,210,000","571,831,000","567,311,000","570,077,000","542,698,000","524,623,000","522,041,000","625,195,000","496,118,000","539,113,000","569,216,000","663,767,000","565,052,000",,,,,,,,,,,,,,
			OtherGandA,"3,633,150,000","989,329,000","884,164,000","902,380,000","857,345,000","887,559,000","831,879,000","848,352,000","794,932,000","918,714,000","846,241,000","783,968,000","785,455,000","811,361,000","732,720,000","705,250,000","683,271,000","728,275,000","652,871,000","698,644,000","640,119,000","712,230,000","629,868,000","604,447,000","621,966,000","624,240,000","556,210,000","571,831,000","567,311,000","570,077,000","542,698,000","524,623,000","522,041,000","625,195,000","496,118,000","539,113,000","569,216,000","663,767,000","565,052,000",,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"145,747,000","40,824,000","39,576,000","37,602,000","27,745,000","21,455,000","21,113,000","21,015,000","20,732,000","20,773,000","20,655,000","19,632,000","20,021,000","18,216,000","17,780,000","16,426,000","16,153,000","16,560,000","16,701,000","16,046,000","15,449,000","15,956,000","14,410,000","14,677,000","14,501,000","14,919,000","16,148,000","15,352,000","15,117,000","15,427,000","15,191,000","15,810,000","16,232,000","17,950,000","17,945,000","18,102,000","18,330,000","19,766,000","18,127,000","17,613,000","18,503,000","19,281,000","19,530,000","18,536,000","17,858,000","20,835,000","20,796,000","19,588,000","19,384,000","23,090,000","24,645,000","24,025,000","24,003,000"
		DepreciationAndAmortizationInIncomeStatement,"145,747,000","40,824,000","39,576,000","37,602,000","27,745,000","21,455,000","21,113,000","21,015,000","20,732,000","20,773,000","20,655,000","19,632,000","20,021,000","18,216,000","17,780,000","16,426,000","16,153,000","16,560,000","16,701,000","16,046,000","15,449,000","15,956,000","14,410,000","14,677,000","14,501,000","14,919,000","16,148,000","15,352,000","15,117,000","15,427,000","15,191,000","15,810,000","16,232,000","17,950,000","17,945,000","18,102,000","18,330,000","19,766,000","18,127,000","17,613,000","18,503,000","19,281,000","19,530,000","18,536,000","17,858,000","20,835,000","20,796,000","19,588,000","19,384,000","23,090,000","24,645,000","24,025,000","24,003,000"
