name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011
TotalAssets,"17,535,000,000","17,341,000,000","17,882,000,000","17,577,000,000","17,263,000,000","17,176,000,000","16,701,000,000","16,731,000,000","16,949,000,000","17,024,000,000","16,469,000,000","8,809,000,000","8,984,000,000","8,972,000,000","9,131,000,000","9,042,000,000","9,107,000,000","8,420,000,000","8,476,000,000","8,545,000,000","8,541,000,000","7,511,000,000","7,653,000,000","7,805,000,000","7,798,000,000","7,710,000,000","5,028,000,000","5,011,000,000","5,214,000,000","5,176,000,000","5,268,000,000","5,419,000,000","5,367,000,000","5,264,000,000","5,135,000,000","5,045,000,000","5,082,000,000","5,050,000,000","5,106,000,000","5,114,000,000","5,053,000,000","5,000,000,000","5,217,000,000"
	CurrentAssets,"4,983,000,000","4,688,000,000","5,094,000,000","4,588,000,000","4,315,000,000","3,983,000,000","3,817,000,000","3,857,000,000","4,053,000,000","3,673,000,000","3,757,000,000","2,179,000,000","2,267,000,000","2,206,000,000","2,285,000,000","2,337,000,000","2,261,000,000","1,981,000,000","2,004,000,000","2,022,000,000","1,996,000,000","1,743,000,000","1,792,000,000","1,766,000,000","1,712,000,000","1,692,000,000","1,383,000,000","1,328,000,000","1,488,000,000","1,402,000,000","1,432,000,000","1,508,000,000","1,516,000,000","1,444,000,000","1,337,000,000","1,219,000,000","1,249,000,000","1,195,000,000","1,233,000,000","1,225,000,000","1,205,000,000","1,112,000,000","1,255,000,000"
		CashCashEquivalentsAndShortTermInvestments,"622,000,000","582,000,000","1,091,000,000","804,000,000","843,000,000","847,000,000","750,000,000","906,000,000","953,000,000","673,000,000","750,000,000","255,000,000","353,000,000","293,000,000","381,000,000","365,000,000","291,000,000","228,000,000","306,000,000","275,000,000","293,000,000","331,000,000","323,000,000","236,000,000","212,000,000","282,000,000","228,000,000","62,000,000","119,000,000","53,000,000","129,000,000","45,000,000","126,000,000","162,000,000","142,000,000","25,000,000","16,000,000","32,000,000","87,000,000","38,000,000","32,000,000","29,000,000","42,000,000"
			CashAndCashEquivalents,"622,000,000","582,000,000","1,091,000,000","804,000,000","843,000,000","847,000,000","750,000,000","906,000,000","953,000,000","673,000,000","750,000,000","255,000,000","353,000,000","293,000,000","381,000,000","365,000,000","291,000,000","228,000,000","306,000,000","275,000,000","293,000,000","331,000,000","323,000,000","236,000,000","212,000,000","282,000,000","228,000,000","62,000,000","119,000,000","53,000,000","129,000,000","45,000,000","126,000,000","162,000,000","142,000,000","25,000,000","16,000,000","32,000,000","87,000,000","38,000,000","32,000,000","29,000,000","42,000,000"
				CashFinancial,"622,000,000","582,000,000",,"804,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Receivables,"1,996,000,000","1,828,000,000","1,879,000,000","1,851,000,000","1,682,000,000","1,456,000,000","1,469,000,000","1,471,000,000","1,537,000,000","1,400,000,000","1,526,000,000","853,000,000","907,000,000","879,000,000","941,000,000","932,000,000","918,000,000","780,000,000","847,000,000","844,000,000","799,000,000","622,000,000","704,000,000","725,000,000","703,000,000","625,000,000","434,000,000","473,000,000","481,000,000","442,000,000","491,000,000","523,000,000","470,000,000","405,000,000","449,000,000","468,000,000","458,000,000","396,000,000","455,000,000","513,000,000","490,000,000","462,000,000","543,000,000"
			AccountsReceivable,"1,996,000,000","1,828,000,000","1,879,000,000","1,851,000,000","1,682,000,000","1,456,000,000","1,469,000,000","1,471,000,000","1,537,000,000","1,400,000,000","1,526,000,000","853,000,000","907,000,000","879,000,000","941,000,000","932,000,000","918,000,000","780,000,000","847,000,000","844,000,000","799,000,000","622,000,000","704,000,000","725,000,000","703,000,000","625,000,000","434,000,000","473,000,000","481,000,000","442,000,000","491,000,000","523,000,000","470,000,000","405,000,000","449,000,000","468,000,000","458,000,000","396,000,000","455,000,000","513,000,000","490,000,000","462,000,000","543,000,000"
				GrossAccountsReceivable,"2,015,000,000","1,848,000,000","1,900,000,000","1,873,000,000","1,703,000,000",,"1,494,000,000","1,499,000,000","1,565,000,000","1,428,000,000","1,554,000,000","867,000,000","921,000,000","892,000,000","954,000,000","945,000,000","931,000,000","793,000,000",,"857,000,000","812,000,000","630,000,000","712,000,000","735,000,000","712,000,000","634,000,000","437,000,000","476,000,000","483,000,000","445,000,000","494,000,000","527,000,000","473,000,000","408,000,000","452,000,000","471,000,000","461,000,000","399,000,000","458,000,000","516,000,000","492,000,000","466,000,000","547,000,000"
				AllowanceForDoubtfulAccountsReceivable,"-19,000,000","-20,000,000","-21,000,000","-22,000,000","-21,000,000",,"-25,000,000","-28,000,000","-28,000,000","-28,000,000","-28,000,000","-14,000,000","-14,000,000","-13,000,000","-13,000,000","-13,000,000","-13,000,000","-13,000,000",,"-13,000,000","-13,000,000","-8,000,000","-8,000,000","-10,000,000","-9,000,000","-9,000,000","-3,000,000","-3,000,000","-2,000,000","-3,000,000","-3,000,000","-4,000,000","-3,000,000","-3,000,000","-3,000,000","-3,000,000","-3,000,000","-3,000,000","-3,000,000","-3,000,000","-2,000,000","-4,000,000","-4,000,000"
		Inventory,"1,964,000,000","2,041,000,000","1,907,000,000","1,735,000,000","1,560,000,000","1,503,000,000","1,268,000,000","1,318,000,000","1,366,000,000","1,412,000,000","1,324,000,000","865,000,000","929,000,000","956,000,000","887,000,000","955,000,000","951,000,000","878,000,000","762,000,000","811,000,000","802,000,000","686,000,000","660,000,000","708,000,000","702,000,000","681,000,000","522,000,000","574,000,000","609,000,000","619,000,000","604,000,000","665,000,000","626,000,000","572,000,000","575,000,000","577,000,000","610,000,000","551,000,000","535,000,000","568,000,000","576,000,000","523,000,000","578,000,000"
