name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,12/31/2014
TotalAssets,"623,108,000","677,483,000","717,019,000","755,880,000","780,294,000","572,602,000","597,157,000","655,481,000","466,737,000","508,885,000","372,359,000","355,625,000","378,916,000","420,386,000","387,630,000","393,530,000","403,982,000","373,260,000","339,127,000","368,849,000","395,041,000","229,182,000","242,153,000","249,602,000","248,808,000","149,363,000","159,745,000","12,188,000"
	CurrentAssets,"497,031,000","507,310,000","567,608,000","616,292,000","632,316,000","419,087,000","506,827,000","610,126,000","425,106,000","463,844,000","339,211,000","324,240,000","347,067,000","374,776,000","342,553,000","348,237,000","362,812,000","332,199,000","298,416,000","327,872,000","353,786,000","187,183,000","203,449,000","221,218,000","232,186,000","144,985,000","156,941,000","10,716,000"
		CashCashEquivalentsAndShortTermInvestments,"488,362,000","499,845,000","557,841,000","610,553,000","625,333,000","402,110,000","495,305,000","598,720,000","414,993,000","457,140,000","332,616,000","317,930,000","342,065,000","368,955,000","337,492,000","344,080,000","358,821,000","329,139,000","295,691,000","324,795,000","351,552,000","185,323,000","199,874,000","217,650,000","229,204,000","143,180,000","155,301,000","10,623,000"
			CashAndCashEquivalents,"210,881,000","203,519,000","259,884,000","337,834,000","354,918,000","139,682,000","279,576,000","485,819,000","232,850,000","238,183,000","104,772,000","210,605,000","157,932,000","134,776,000","111,701,000","131,924,000","217,671,000","146,630,000","86,542,000","144,096,000","351,552,000","185,323,000","199,874,000","217,650,000","229,204,000","143,180,000","155,301,000","10,623,000"
				CashEquivalents,,,,,,,,,,,,,,,,,,,,"144,096,000",,,,,,,,
			OtherShortTermInvestments,"277,481,000","296,326,000","297,957,000","272,719,000","270,415,000","262,428,000","215,729,000","112,901,000","182,143,000","218,957,000","227,844,000","107,325,000","184,133,000","234,179,000","225,791,000","212,156,000","141,150,000","182,509,000","209,149,000","180,699,000",,,,,,,,
		Receivables,"1,371,000","267,000","251,000","331,000","672,000","6,048,000","1,055,000","1,865,000","1,832,000","418,000","311,000","12,000","0","30,000","43,000","362,000","931,000","679,000","695,000","820,000","945,000","88,000","1,122,000","1,195,000","1,108,000","1,019,000","1,040,000","0"
			AccountsReceivable,"1,371,000","267,000","251,000","331,000","672,000","6,048,000","1,055,000","1,865,000","1,832,000","418,000","311,000","12,000","0","30,000","43,000","362,000","931,000","679,000","695,000","820,000","945,000","88,000","1,122,000","1,195,000","1,108,000","1,019,000","1,040,000","0"
		PrepaidAssets,"7,298,000","7,198,000","9,516,000","5,408,000","6,311,000","10,929,000","10,467,000","9,541,000","8,281,000","6,286,000","6,284,000","6,298,000","5,002,000","2,918,000","5,018,000","3,795,000","3,060,000","1,864,000","2,030,000","2,257,000","1,289,000","1,662,000","2,453,000","2,373,000","1,874,000","460,000","230,000","93,000"
		RestrictedCash,,,,,,,,,,,,,,,,,,,,,,,,,,"320,000","370,000","0"
