name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004
TotalAssets,"19,817,834,000","20,519,801,000","19,711,987,000","19,086,155,000","18,745,675,000","16,829,014,000","15,978,415,000","15,448,070,000","15,238,087,000","14,467,331,000","12,452,153,000","10,123,211,000","9,231,453,000","8,843,643,000","8,774,516,000","8,956,824,000","9,031,840,000","9,020,288,000","8,927,040,000","7,327,837,000","6,780,730,000","6,418,536,000","6,095,337,000","5,117,933,000","5,710,395,000","5,609,351,000","5,633,323,000","4,226,125,000","3,823,049,000","3,747,336,000","3,169,140,000","3,190,044,000","3,026,592,000","2,904,570,000","2,563,150,000","2,254,476,000","2,227,196,000","2,178,886,000","2,158,399,000","2,038,531,000","2,048,462,000","1,621,874,000","1,595,689,000","1,678,720,000","1,449,088,000","1,348,814,000","1,362,009,000","1,382,285,000","1,288,311,000","1,309,898,000","1,307,798,000","1,301,214,000","1,309,654,000","1,311,440,000","1,298,551,369","1,265,787,985","1,115,776,236","1,051,660,686","912,518,417","802,807,112","813,949,360","744,756,745","639,920,269","510,259,617","482,907,315","501,173,546","431,592,587","333,744,392","326,304,079","306,506,063"
	CurrentAssets,"1,042,163,000","2,706,874,000","2,691,310,000","2,910,884,000","2,859,362,000","2,032,870,000","1,573,548,000","1,586,293,000","1,441,096,000","2,463,048,000","1,308,666,000","1,115,287,000","1,629,294,000","1,502,526,000","1,476,686,000","594,902,000","571,438,000","641,419,000","611,892,000","605,624,000","792,771,000","457,805,000","1,418,668,000","584,577,000","1,010,927,000","1,016,485,000","1,163,440,000","720,488,000","739,559,000","876,557,000","386,873,000","435,039,000","303,058,000","311,297,000","272,114,000","278,901,000","322,027,000","277,703,000","116,322,000","202,650,000","195,643,000","166,581,000","177,793,000","287,566,000","64,663,000","153,496,000","163,370,000","178,773,000","66,420,000","62,691,000","57,498,000","47,245,000","44,930,000","169,809,000","48,098,969",,,,,,,,,,,,,,,
		CashCashEquivalentsAndShortTermInvestments,"248,846,000","459,227,000","349,652,000","721,321,000","746,753,000","549,884,000","183,794,000","374,962,000","500,213,000","1,462,286,000","461,622,000","451,652,000","995,548,000","820,868,000","710,965,000","146,569,000","138,314,000","171,472,000","188,224,000","236,364,000","446,948,000","83,240,000","1,094,917,000","181,561,000","206,410,000","195,541,000","332,235,000","45,904,000","33,548,000","144,541,000","132,812,000","197,023,000","50,309,000","45,979,000","12,124,000","26,072,000","75,675,000","37,311,000","36,163,000","127,639,000","126,500,000","102,726,000","114,368,000","227,906,000","7,010,000","98,408,000","106,481,000","121,637,000","10,798,000","15,307,000","13,094,000","7,922,000","11,209,000","11,748,000","9,611,295","3,676,748","147,001,752","94,215,134","7,720,381","8,588,912","31,996,738","4,102,873","1,187,026","1,833,614","5,424,613","59,115,832","100,826,702","34,357,866",,"97,543,677"
			CashAndCashEquivalents,"248,846,000","459,227,000","349,652,000","721,321,000","746,753,000","549,884,000","183,794,000","374,962,000","500,213,000","1,462,286,000","461,622,000","451,652,000","995,548,000","820,868,000","710,965,000","146,569,000","138,314,000","171,472,000","188,224,000","236,364,000","446,948,000","83,240,000","1,094,917,000","181,561,000","206,410,000","195,541,000","332,235,000","45,904,000","33,548,000","144,541,000","132,812,000","197,023,000","50,309,000","45,979,000","12,124,000","26,072,000","75,675,000","37,311,000","36,163,000","127,639,000","126,500,000","102,726,000","114,368,000","227,906,000","7,010,000","98,408,000","106,481,000","121,637,000","10,798,000","15,307,000","13,094,000","7,922,000","11,209,000","11,748,000","9,611,295","3,676,748","147,001,752","94,215,134","7,720,381","8,588,912","31,996,738","4,102,873","1,187,026","1,833,614","5,424,613","59,115,832","100,826,702","34,357,866",,"97,543,677"
		Receivables,"793,317,000","2,113,404,000","2,228,728,000","2,189,563,000","2,112,609,000","1,395,038,000","1,389,754,000","1,211,331,000","940,883,000","910,420,000","847,044,000","663,635,000","633,746,000","619,901,000","765,721,000","448,333,000","433,124,000","414,771,000","423,668,000","369,260,000","345,823,000","330,280,000","323,751,000","403,016,000","804,517,000","793,916,000","831,205,000","674,584,000","706,011,000","673,432,000","254,061,000","238,016,000","252,749,000","265,318,000","259,990,000","252,829,000","246,352,000","240,392,000","80,159,000","75,011,000","69,143,000","63,855,000","63,425,000","59,660,000","57,653,000","55,088,000","56,889,000","57,136,000","55,622,000","47,384,000","44,404,000","39,323,000","33,721,000","141,363,000","38,487,674","31,694,108","26,951,745","33,963,049","30,817,303","26,064,505","26,963,124","24,580,489","25,991,630","21,660,783","18,067,734","14,832,304","11,252,713","8,654,279",,"3,626,629"
			AccountsReceivable,"726,354,000","784,751,000","726,051,000","677,717,000","589,943,000","536,670,000","479,287,000","419,320,000","394,192,000","365,588,000","325,646,000","293,004,000","268,344,000","246,703,000","283,268,000","300,478,000","284,282,000","264,562,000","271,959,000","216,292,000","191,791,000","174,559,000","157,967,000","143,687,000","141,258,000","129,094,000","121,129,000","125,719,000","104,054,000","100,265,000","106,643,000","97,546,000","111,197,000","104,328,000","98,745,000","95,578,000","88,399,000","81,149,000","38,065,000","36,973,000","35,493,000","33,993,000","34,603,000","32,983,000","30,675,000","28,912,000","28,233,000","29,292,000","29,456,000",,,,"20,906,000","32,840,000","19,739,430",,,,,,,,,,,,,,,
			LoansReceivable,"66,963,000","1,328,653,000","1,502,677,000","1,511,846,000","1,522,666,000","858,368,000","910,467,000","792,011,000","546,691,000","544,832,000","521,398,000","370,631,000","365,402,000","373,198,000","482,453,000","147,855,000","148,842,000","150,209,000","151,709,000","152,968,000","154,032,000","155,721,000","165,784,000","259,329,000","663,259,000","664,822,000","710,076,000","548,865,000","601,957,000","573,167,000","147,418,000","140,470,000","141,552,000","160,990,000","161,245,000","157,251,000","157,953,000","159,243,000",,,,,,,,,,,,,,,,"108,523,000",,,,,,,,,,,,,,,,
			AccruedInterestReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"42,094,000","38,038,000","33,650,000","29,862,000","28,822,000","26,677,000","26,978,000","26,176,000","28,656,000","27,844,000","26,166,000",,,,"12,815,000",,"18,748,244",,,,,,,,,,,,,,,
		PrepaidAssets,,"134,243,000","112,930,000",,,"87,948,000",,,,"90,342,000",,,,"61,757,000",,,,"55,176,000",,,,"44,285,000",,,,"27,028,000",,,,"58,584,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherCurrentAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16,698,000",,,,,,,,,,,,,,,,
