name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020
TotalAssets,"281,080,000","287,401,000","294,812,000","78,909,000","76,188,000","79,107,000"
	CurrentAssets,"267,168,000","280,851,000","288,216,000","72,550,000","70,023,000","72,845,000"
		CashCashEquivalentsAndShortTermInvestments,"238,576,000","255,477,000","258,478,000","47,026,000","53,632,000","58,569,000"
			CashAndCashEquivalents,"238,576,000","255,477,000","258,478,000","47,026,000","53,632,000","58,569,000"
		Receivables,"24,930,000","20,740,000","23,180,000","21,195,000","14,952,000","12,912,000"
			AccountsReceivable,"24,930,000","20,740,000","23,180,000","21,195,000","14,952,000","12,912,000"
				GrossAccountsReceivable,"26,030,000",,"24,280,000",,,
				AllowanceForDoubtfulAccountsReceivable,"-1,100,000",,"-1,100,000",,,
		OtherCurrentAssets,"3,662,000","4,634,000","6,558,000","4,329,000","1,439,000","1,364,000"
	TotalNonCurrentAssets,"13,912,000","6,550,000","6,596,000","6,359,000","6,165,000","6,262,000"
		NetPPE,"6,457,000","6,199,000","6,062,000","5,858,000","5,630,000","5,723,000"
			GrossPPE,"10,522,000","9,871,000","9,701,000","9,081,000","8,453,000","8,129,000"
				Properties,"0","0","0","0","0","0"
				MachineryFurnitureEquipment,"9,801,000","8,896,000","8,475,000","7,606,000","6,734,000","6,168,000"
				OtherProperties,"609,000","864,000","1,115,000","1,364,000","1,608,000","1,850,000"
				Leases,"112,000","111,000","111,000","111,000","111,000","111,000"
			AccumulatedDepreciation,"-4,065,000","-3,672,000","-3,639,000","-3,223,000","-2,823,000","-2,406,000"
		GoodwillAndOtherIntangibleAssets,"7,071,000",,,,"3,618,000",
			Goodwill,"5,898,000",,,,,
			OtherIntangibleAssets,"1,173,000",,,,"3,618,000",
		OtherNonCurrentAssets,"384,000","351,000","534,000","501,000","535,000","539,000"
TotalLiabilitiesNetMinorityInterest,"20,249,000","18,724,000","20,824,000","177,704,000","173,403,000","174,030,000"
	CurrentLiabilities,"19,596,000","18,649,000","20,723,000","16,452,000","11,880,000","12,241,000"
		PayablesAndAccruedExpenses,"15,864,000","15,485,000","17,972,000","13,802,000","7,983,000","9,469,000"
			Payables,"7,545,000","4,686,000","7,953,000","6,144,000","4,267,000","3,588,000"
				AccountsPayable,"7,545,000","4,686,000","7,953,000","6,144,000","4,267,000","3,588,000"
			CurrentAccruedExpenses,"8,319,000","10,799,000","10,019,000","7,658,000","3,716,000","5,881,000"
		CurrentDebtAndCapitalLeaseObligation,"697,000","989,000","1,176,000","1,161,000","1,145,000","1,130,000"
			CurrentCapitalLeaseObligation,"697,000","989,000","1,176,000","1,161,000","1,145,000","1,130,000"
		CurrentDeferredLiabilities,"3,035,000","2,175,000","1,575,000","1,489,000","2,752,000","1,642,000"
			CurrentDeferredRevenue,"3,035,000","2,175,000","1,575,000","1,489,000","2,752,000","1,642,000"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"653,000","75,000","101,000","161,252,000","161,523,000","161,789,000"
		LongTermDebtAndCapitalLeaseObligation,,"0","101,000","401,000","697,000","989,000"
			LongTermCapitalLeaseObligation,,"0","101,000","401,000","697,000","989,000"
		PreferredSecuritiesOutsideStockEquity,,"0","0","160,851,000","160,826,000","160,800,000"
		OtherNonCurrentLiabilities,"653,000","75,000",,,,
TotalEquityGrossMinorityInterest,"260,831,000","268,677,000","273,988,000","-98,795,000","-97,215,000","-94,923,000"
	StockholdersEquity,"260,831,000","268,677,000","273,988,000","-98,795,000","-97,215,000","-94,923,000"
		CapitalStock,"293,000","291,000","288,000","71,000","68,000","68,000"
			PreferredStock,"0","0","0",,,
			CommonStock,"293,000","291,000","288,000","71,000","68,000","68,000"
		AdditionalPaidInCapital,"399,851,000","395,850,000","392,056,000","10,265,000","8,765,000","8,129,000"
		RetainedEarnings,"-139,313,000","-127,464,000","-118,356,000","-109,131,000","-106,048,000","-103,120,000"
TotalCapitalization,"260,831,000","268,677,000","273,988,000","-98,795,000","-97,215,000","-94,923,000"
CommonStockEquity,"260,831,000","268,677,000","273,988,000","-98,795,000","-97,215,000","-94,923,000"
CapitalLeaseObligations,"697,000","989,000","1,277,000","1,562,000","1,842,000","2,119,000"
NetTangibleAssets,"253,760,000","268,677,000","273,988,000","-98,795,000","-97,215,000","-94,923,000"
WorkingCapital,"247,572,000","262,202,000","267,493,000","56,098,000","58,143,000","60,604,000"
InvestedCapital,"260,831,000","268,677,000","273,988,000","-98,795,000","-97,215,000","-94,923,000"
TangibleBookValue,"253,760,000","268,677,000","273,988,000","-98,795,000","-97,215,000","-94,923,000"
TotalDebt,"697,000","989,000","1,277,000","1,562,000","1,842,000","2,119,000"
ShareIssued,"58,427,000","58,010,000","57,557,000","56,378,863","56,378,863","56,378,863"
OrdinarySharesNumber,"58,427,000","58,010,000","57,557,000","56,378,863","56,378,863","56,378,863"
