name,ttm,01/31/2022,10/31/2021,07/31/2021,04/30/2021,01/31/2021,10/31/2020,07/31/2020,04/30/2020,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019,10/31/2018,07/31/2018,04/30/2018,01/31/2018,10/31/2017,07/31/2017,04/30/2017,01/31/2017,10/31/2016,07/31/2016,04/30/2016,01/31/2016,10/31/2015,07/31/2015,04/30/2015,01/31/2015,10/31/2014,07/31/2014,04/30/2014,01/31/2014,10/31/2013,07/31/2013,04/30/2013,01/31/2013,10/31/2012,07/31/2012,04/30/2012,01/31/2012,10/31/2011,07/31/2011,04/30/2011,01/31/2011,10/31/2010,07/31/2010,04/30/2010,01/31/2010,10/31/2009,07/31/2009,04/30/2009,01/31/2009,10/31/2008,07/31/2008,04/30/2008,01/31/2008,10/31/2007,07/31/2007,04/30/2007,01/31/2007,10/31/2006,07/31/2006,04/30/2006,01/31/2006,10/31/2005,07/31/2005,04/30/2005,01/31/2005,10/31/2004,07/31/2004,04/30/2004,01/31/2004,10/31/2003,07/31/2003,04/30/2003,01/31/2003,10/31/2002,07/31/2002,04/30/2002,01/31/2002,10/31/2001,07/31/2001,04/30/2001,01/31/2001,10/31/2000,07/31/2000,04/30/2000,01/31/2000,10/31/1999,07/31/1999,04/30/1999
OperatingCashFlow,,"264,001,000","118,021,000","-160,545,000","197,128,000","146,355,000","52,212,000","-144,262,000","179,212,000","161,235,000","57,821,000","-161,919,000","157,848,000","133,146,000","85,303,000","-117,492,000","159,533,000","115,752,000","53,413,000","-109,573,000","92,373,000","102,323,000","47,406,000","-136,038,000","81,452,000","56,070,000","16,752,000","-90,193,000","89,191,000","70,100,000","38,032,000","-90,047,000","96,406,000","68,683,000","31,722,000","-67,329,000","63,912,000","41,128,000","31,197,000","-74,530,000","67,052,000","39,143,000","47,763,000","-82,983,000","68,992,000","34,333,000","33,105,000","-40,796,000","39,916,000","-1,972,000","-2,416,000","-66,374,000","38,125,000","29,117,000","24,800,000","-88,871,000","85,806,000","67,075,000","30,016,000","-73,386,000","71,639,000","44,373,000","33,413,000","-47,094,000","64,587,000","34,757,000","27,742,000","-46,630,000","49,677,000","31,928,000","27,886,000","-21,708,000","28,895,000","13,365,000","10,848,000","-22,149,000","15,762,000","12,881,000","2,612,000","-6,760,000","17,057,000","8,684,000","-5,522,000","-79,738,000","51,526,000","42,662,000","33,222,000","-63,974,000","40,653,000","34,700,000","26,300,000","-27,400,000","25,000,000"
	CashFlowFromContinuingOperatingActivities,,"264,001,000","118,021,000","-160,545,000","197,128,000","146,355,000","52,212,000","-144,262,000","179,212,000","161,235,000","57,821,000","-161,919,000","157,848,000","133,146,000","85,303,000","-117,492,000","159,533,000","115,752,000","53,413,000","-109,573,000","92,373,000","102,323,000","47,406,000","-136,038,000","81,452,000","56,070,000","16,752,000","-90,193,000","89,191,000","70,100,000","38,032,000","-90,047,000","96,406,000","68,683,000","31,722,000","-67,329,000","63,912,000","41,128,000","31,197,000","-74,530,000","67,052,000","39,143,000","47,763,000","-82,983,000","68,992,000","34,333,000","33,105,000","-40,796,000","39,916,000","-1,972,000","-2,416,000","-66,374,000","38,125,000","29,117,000","24,800,000","-88,871,000","85,806,000","67,075,000","30,016,000","-73,386,000","71,639,000","44,373,000","33,413,000","-47,094,000","64,587,000","34,757,000","27,742,000","-46,630,000","49,677,000","31,928,000","27,886,000","-21,708,000","28,895,000","13,365,000","10,848,000","-22,149,000","15,762,000","12,881,000","2,612,000","-6,760,000","17,057,000","8,684,000","-5,522,000","-79,738,000","51,526,000","42,662,000","33,222,000","-63,974,000","40,653,000","34,700,000","26,300,000","-27,400,000","25,000,000"
		NetIncomeFromContinuingOperations,,"85,057,000","76,332,000","76,397,000","66,751,000","51,588,000","28,078,000","-30,855,000","-621,000","20,956,000","43,032,000","43,650,000","50,627,000","45,444,000","47,317,000","-38,592,000","42,309,000","27,427,000","36,732,000","29,429,000","27,736,000","24,378,000","31,056,000","4,068,000","6,375,000","-15,995,000","17,971,000","23,082,000","25,482,000","22,939,000","25,403,000","14,533,000","21,211,000","21,304,000","18,759,000","11,417,000","12,197,000","9,482,000",,,,,,,"20,339,000","13,975,000","13,656,000","10,904,000","8,916,000","7,910,000","2,745,000","-14,273,000","-17,200,000","-22,356,000","13,560,000","15,904,000","15,746,000","16,256,000","17,109,000","17,100,000","13,539,000","14,730,000","13,566,000","13,663,000","20,300,000","16,613,000","10,904,000","11,613,000","11,715,000","9,824,000","8,710,000","8,371,000","8,734,000","3,885,000","1,973,000","-9,189,000","-1,743,000","-2,559,000","-18,017,000","-583,000","-13,272,000","-7,253,000","-30,867,000","-46,859,000","7,995,000","6,903,000","6,108,000","10,007,000","10,411,000","8,300,000","6,500,000","5,600,000","-72,900,000"
		OperatingGainsLosses,,"7,675,000","-4,799,000","-5,242,000","-11,353,000","-15,151,000","-475,000","-11,550,000","10,407,000","-5,220,000","-1,176,000","-1,945,000","-6,804,000","-2,166,000","4,837,000","-4,001,000","3,744,000","-7,225,000","-3,368,000","-3,429,000","-3,752,000","-3,864,000","689,000","-3,915,000","-5,571,000","7,086,000","2,483,000","-665,000","-4,501,000","199,000","-2,509,000","-2,018,000","-1,920,000","-1,209,000","-4,428,000","-1,941,000","-2,629,000","-1,620,000","-3,467,000","160,000","-5,843,000","-4,341,000","2,234,000","604,000","-5,260,000","-3,773,000","-6,005,000","1,273,000","-3,490,000","-1,646,000","-2,093,000","-3,585,000","7,047,000","-21,000","5,346,000","-14,000","-5,210,000","-1,144,000","-3,928,000","-719,000","-2,431,000","-3,298,000","-2,243,000","187,000","-14,639,000","-2,924,000","3,663,000","2,580,000","-1,831,000","1,619,000","2,397,000","4,376,000","1,222,000","1,263,000","1,899,000","1,912,000","724,000","2,296,000","5,388,000","3,079,000","5,417,000","-3,649,000","31,268,000","51,934,000","10,831,000","7,024,000","6,134,000","4,662,000","3,424,000","4,900,000","2,500,000","2,500,000","74,200,000"
			GainLossOnSaleOfPPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,000","30,000","-115,000","12,000","3,000","-5,000","22,000","60,000","121,000","-235,000","-78,000","515,000","3,492,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,,"7,675,000","-4,799,000","-5,242,000","-11,353,000","-15,151,000","-475,000","-11,550,000","10,407,000","-5,220,000","-1,176,000","-1,945,000","-6,804,000","-2,166,000","4,837,000","-4,001,000","3,744,000","-7,225,000","-3,368,000","-3,429,000","-3,752,000","-3,864,000","689,000","-3,915,000","-5,571,000","7,086,000","2,483,000","-665,000","-4,501,000","199,000","-2,509,000","-2,018,000","-1,920,000","-1,209,000","-4,428,000","-1,941,000","-2,629,000","-3,798,000","-1,960,000","831,000","-2,967,000","-2,162,000","2,491,000","1,625,000","-3,412,000","-2,355,000",,,,,,,"3,776,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,,"16,104,000","15,633,000","15,644,000","15,777,000","15,735,000","15,298,000","15,035,000","14,956,000","14,863,000","12,715,000","12,777,000","11,999,000","11,741,000","11,018,000","11,731,000","11,707,000","12,225,000","12,447,000","12,209,000","12,290,000","11,774,000","11,752,000","11,444,000","11,287,000","10,330,000","7,180,000","7,423,000","7,234,000","6,814,000","6,779,000","6,770,000","7,315,000","6,333,000","6,580,000","5,944,000","5,877,000","5,088,000","4,297,000","3,742,000","3,650,000","3,523,000","3,475,000","3,369,000","3,320,000","3,239,000","3,144,000","2,968,000","3,049,000","2,755,000","2,860,000","2,829,000","2,946,000","2,925,000","2,880,000","2,832,000","2,740,000","2,812,000","2,539,000","2,350,000","2,066,000","2,557,000","2,368,000","2,289,000","2,405,000","2,177,000","2,219,000","2,201,000","3,128,000","2,341,000","2,140,000","2,242,000","2,197,000","2,546,000","2,500,000","2,787,000","3,869,000","4,079,000","4,142,000","4,315,000","4,341,000","4,337,000","5,056,000","4,215,000","8,058,000","6,921,000","6,867,000","5,868,000","4,533,000","3,800,000","2,600,000","2,400,000","2,300,000"
			DepreciationAndAmortization,,"16,104,000","15,633,000","15,644,000","15,777,000","15,735,000","15,298,000","15,035,000","14,956,000","14,863,000","12,715,000","12,777,000","11,999,000","11,741,000","11,018,000","11,731,000","11,707,000","12,225,000","12,447,000","12,209,000","12,290,000","11,774,000","11,752,000","11,444,000","11,287,000","10,330,000","7,180,000","7,423,000","7,234,000","6,814,000","6,779,000","6,770,000","7,315,000","6,333,000","6,580,000","5,944,000","5,877,000","5,088,000","4,297,000","3,742,000","3,650,000","3,523,000","3,475,000","3,369,000","3,320,000","3,239,000","3,144,000","2,968,000","3,049,000","2,755,000","2,860,000","2,829,000","2,946,000","2,925,000","2,880,000","2,832,000","2,740,000","2,812,000","2,539,000","2,350,000","2,066,000","2,557,000","2,368,000","2,289,000","2,405,000","2,177,000","2,219,000","2,201,000","3,128,000","2,341,000","2,140,000","2,242,000","2,197,000","2,546,000","2,500,000","2,787,000","3,869,000","4,079,000","4,142,000","4,315,000","4,341,000","4,337,000","5,056,000","4,215,000","8,058,000","6,921,000","6,867,000","5,868,000","4,533,000","3,800,000","2,600,000","2,400,000","2,300,000"
				Depreciation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,174,000","2,527,000","2,483,000","2,769,000","3,534,000","3,673,000","3,784,000","3,871,000","3,831,000","4,139,000","4,594,000","3,969,000",,,,,,,,,
				AmortizationCashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"23,000","19,000","17,000","18,000","335,000","406,000","358,000","444,000","510,000","198,000","462,000","246,000",,,,,,,,,
