name,ttm,01/31/2022,09/30/2021,06/30/2021,03/31/2021,01/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992
OperatingCashFlow,"190,406,000","34,051,000","51,241,000","71,337,000","16,293,000","62,251,000","62,251,000","53,357,000","31,241,000","36,240,000","22,687,000","51,612,000","55,977,000","23,215,000","37,601,000","44,351,000","29,747,000","-35,735,000","70,515,000","31,930,000","13,753,000","55,199,000","70,955,000","-12,517,000","66,246,000","35,544,000","44,909,000","61,730,000","74,225,000","43,573,000","47,347,000","87,099,000","62,971,000","27,300,000","23,652,000","31,584,000","45,683,000","31,640,000","89,965,000","25,148,000","41,994,000","41,796,000","27,792,000","32,244,000","10,172,000","36,039,000","45,805,000","16,157,000","21,235,000","15,551,000","8,923,000","33,694,000","47,715,000","32,537,000","34,804,000","63,063,000","3,081,000","62,975,000","43,265,000","57,276,000","37,456,000","66,499,000","18,578,000","51,805,000","55,237,000","46,105,000","52,693,000","56,259,000","17,255,000","47,139,000","33,553,000","45,056,000","22,615,000","78,054,000","53,926,000","48,003,000","36,528,000","24,614,000","38,667,000","38,793,000","37,115,000","42,722,000","40,356,000","52,915,000","50,832,000","31,121,000","38,479,000","46,678,000","30,234,000","59,248,000","5,900,000","72,700,000","31,700,000","35,500,000","16,800,000","64,500,000","800,000","73,700,000","11,500,000","24,700,000","29,900,000","25,300,000","19,600,000","18,600,000","33,100,000","5,700,000","26,700,000","23,900,000","31,400,000","-20,100,000","-1,700,000","3,200,000","4,100,000","11,400,000","10,700,000","12,300,000","5,500,000","-23,800,000","31,700,000","27,000,000","25,700,000"
	CashFlowFromContinuingOperatingActivities,"190,406,000","34,051,000","51,241,000","71,337,000","16,293,000","62,251,000","62,251,000","53,357,000","31,241,000","36,240,000","22,687,000","51,612,000","55,977,000","23,215,000","37,601,000","44,687,000","30,091,000","-24,453,000","53,730,000","31,930,000","13,753,000","55,199,000","70,955,000","-12,517,000","66,246,000","35,544,000","44,909,000","61,730,000","74,225,000","43,573,000","47,347,000","87,099,000","62,971,000","27,300,000","23,652,000","31,584,000","45,683,000","31,640,000","89,965,000","25,148,000","41,994,000","41,796,000","27,792,000","32,244,000","10,172,000","36,039,000","45,805,000","16,157,000","21,235,000","17,723,000","8,923,000","35,221,000","44,762,000","32,537,000","34,804,000","63,063,000","3,081,000","62,975,000","43,265,000","57,276,000","37,456,000","66,499,000","18,578,000","51,805,000","55,237,000","46,105,000","52,693,000","56,259,000","17,255,000","47,139,000","33,553,000","45,056,000","22,615,000","78,054,000","53,926,000","48,003,000","36,528,000","24,614,000","38,667,000","38,793,000","37,115,000","42,722,000","40,356,000","52,915,000","50,832,000","31,121,000","38,479,000","46,678,000","30,234,000","59,248,000","5,900,000","72,700,000","31,700,000","35,500,000","16,800,000","64,500,000","800,000","73,700,000","11,500,000","24,700,000","29,900,000","25,300,000","19,600,000","18,600,000","33,100,000","5,700,000","26,700,000","23,900,000","31,400,000","-20,100,000","-1,700,000","3,200,000","4,100,000","11,400,000","10,700,000","12,300,000","5,500,000","-23,800,000","31,700,000","27,000,000","25,700,000"
		NetIncomeFromContinuingOperations,"126,028,000","39,270,000","38,934,000","40,028,000","35,934,000","50,859,000","50,859,000","37,858,000","32,176,000","11,463,000","7,897,000","22,023,000","13,473,000","25,130,000","31,121,000","18,336,000","48,133,000","24,981,000","12,889,000","29,958,000","36,351,000","33,094,000","35,929,000","31,981,000","30,189,000","28,682,000","33,221,000","23,141,000","26,831,000","23,005,000","35,835,000","16,160,000","24,703,000","15,801,000","32,286,000","22,828,000","-5,655,000","13,290,000","20,689,000","12,477,000","11,592,000","21,632,000","11,950,000","22,653,000","18,744,000","6,802,000","32,401,000","4,040,000","24,242,000","17,680,000","24,248,000","40,617,000","32,171,000","29,861,000","28,397,000","26,874,000","29,437,000","26,429,000","36,539,000","26,998,000","34,743,000","27,209,000","37,354,000","33,180,000","27,841,000","21,787,000","25,223,000","21,544,000","23,886,000","20,677,000","25,430,000","17,848,000","21,624,000","19,605,000","15,607,000","16,367,000","19,772,000","16,319,000","21,160,000","13,984,000","24,202,000","18,186,000","26,674,000","17,974,000","21,954,000","18,234,000","24,039,000","42,979,000","20,808,000","16,077,000","20,400,000","18,400,000","17,400,000","24,900,000","15,800,000","12,500,000","12,600,000","34,300,000","11,700,000","9,600,000","10,000,000","6,700,000","9,000,000","5,900,000","5,500,000","4,000,000","4,700,000","3,800,000","2,600,000","-54,900,000","-20,500,000","-19,300,000","-3,400,000","-9,200,000","-4,400,000","19,700,000","-45,400,000","-29,300,000","10,900,000","8,600,000","7,800,000"
		OperatingGainsLosses,"781,000","-572,000","-6,055,000","117,000","-1,100,000","-3,172,000","-3,172,000","730,000","216,000","779,000","26,966,000","25,016,000","-5,276,000","-430,000","872,000","-1,872,000","-27,662,000","-4,637,000","-8,042,000","-14,446,000","-11,325,000","-6,272,000","1,859,000","3,463,000","3,353,000","4,110,000","3,982,000","3,885,000","5,118,000","8,570,000","6,162,000","9,501,000","3,759,000","2,962,000","4,764,000","188,000","10,805,000","10,854,000","8,943,000","-4,376,000","9,298,000","-7,828,000","1,431,000","-5,736,000","-4,899,000","-588,000","-17,739,000","-12,461,000","-13,970,000","4,903,000","751,000","-35,791,000","-4,731,000","-15,012,000","843,000","-28,315,000","2,447,000","-11,494,000","-4,403,000","-7,871,000","-14,795,000","-1,993,000","-6,343,000","-15,239,000","4,756,000","-4,145,000","4,272,000","-3,186,000","-23,203,000","-3,934,000","-3,181,000","-1,499,000","-4,312,000","-3,920,000","4,793,000","-1,376,000","-7,149,000","-8,645,000","-6,355,000","10,208,000","-100,000","3,086,000","514,000",,,,,,,,,,,,,,,,,,,,,,,,,"0","0","51,800,000","5,400,000","1,300,000","-400,000",,,,,,,,
			GainLossOnSaleOfBusiness,"-2,246,000","-48,000","-1,124,000","-264,000","-1,532,000","-1,283,000","-1,283,000","-636,000","-1,050,000","0","-1,575,000","-1,147,000","0","0","-219,000","-3,076,000","-28,676,000","-5,472,000","-8,940,000","-16,868,000","-13,250,000","-7,779,000","-137,000","-6,000","-409,000","3,000","-818,000","-1,214,000","183,000","5,020,000","-850,000","5,790,000","-24,000","-1,757,000","-461,000","-7,819,000","1,509,000","2,418,000","-748,000",,,,,"-61,125,000",,,,"-18,934,000","-23,687,000","-2,987,000","-9,380,000","-34,322,000","-44,320,000","0","-958,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnSaleOfPPE,"-5,243,000","-617,000","-5,134,000","177,000","229,000","-2,160,000","-2,160,000","618,000","-216,000","267,000","-10,437,000","-488,000","-5,618,000","-773,000","635,000","669,000","477,000","298,000","183,000","1,449,000","952,000","535,000","699,000","359,000","649,000","995,000","651,000","773,000","608,000","-777,000","1,243,000","536,000","608,000","753,000","992,000","819,000","2,109,000","1,248,000","-832,000","-7,693,000","-2,829,000","-12,303,000","-39,000","40,506,000","-9,530,000","1,750,000","-25,076,000","4,899,000","3,498,000","1,178,000","1,182,000","3,397,000","39,080,000","-15,805,000","-14,006,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			PensionAndEmployeeBenefitExpense,"570,000","93,000","203,000","204,000","203,000","271,000","271,000","748,000","1,482,000","512,000","38,978,000","343,000","342,000","343,000","456,000","535,000","537,000","537,000","715,000","973,000","973,000","972,000","1,297,000","3,110,000","3,113,000","3,112,000","4,149,000","4,326,000","4,327,000","4,327,000","5,769,000","3,175,000","3,175,000","3,177,000","4,233,000","7,188,000","7,187,000","7,188,000","9,584,000","6,673,000","12,481,000","6,160,000","8,212,000","5,502,000","5,503,000","5,503,000","7,337,000","6,767,000","6,712,000","6,712,000","8,949,000","2,824,000","2,825,000","2,826,000","3,768,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"45,274,000","12,496,000","10,844,000","10,389,000","10,696,000","14,571,000","14,571,000","11,647,000","12,141,000","12,282,000","16,728,000","12,536,000","12,786,000","12,690,000","17,169,000","13,116,000","13,194,000","13,955,000","19,157,000","19,412,000","20,361,000","21,179,000","27,987,000","22,530,000","20,983,000","20,817,000","28,514,000","21,263,000","20,330,000","20,505,000","27,370,000","20,799,000","20,860,000","21,271,000","28,454,000","21,349,000","22,280,000","22,574,000","30,016,000","23,748,000","22,336,000","22,340,000","29,534,000","21,805,000","22,525,000","22,235,000","29,582,000","24,871,000","22,491,000","23,023,000","31,129,000","23,441,000","23,502,000","22,206,000","31,681,000","23,820,000","23,862,000","23,665,000","31,080,000","22,808,000","22,479,000","22,087,000","28,375,000","21,121,000","20,509,000","20,897,000","26,900,000","20,473,000","20,728,000","20,535,000","26,798,000","25,058,000","19,875,000","18,209,000","23,344,000","14,659,000","18,673,000","16,152,000","21,299,000","15,420,000","17,597,000","16,146,000","21,107,000","13,996,000","15,344,000","15,118,000","19,737,000","12,339,000","13,717,000","13,410,000","17,300,000","12,200,000","11,400,000","10,400,000","13,700,000","9,800,000","9,600,000","9,600,000","13,100,000","9,500,000","9,200,000","9,100,000","12,200,000","8,900,000","9,100,000","9,000,000","12,000,000","9,100,000","9,000,000","8,700,000","11,500,000","8,400,000","8,200,000","8,000,000","18,000,000","11,000,000","12,900,000","12,900,000","16,700,000","8,400,000","12,700,000"
			DepreciationAndAmortization,"45,274,000","12,496,000","10,844,000","10,389,000","10,696,000","14,571,000","14,571,000","11,647,000","12,141,000","12,282,000","16,728,000","12,536,000","12,786,000","12,690,000","17,169,000","13,116,000","13,194,000","13,955,000","19,157,000","19,412,000","20,361,000","21,179,000","27,987,000","22,530,000","20,983,000","20,817,000","28,514,000","21,263,000","20,330,000","20,505,000","27,370,000","20,799,000","20,860,000","21,271,000","28,454,000","21,349,000","22,280,000","22,574,000","30,016,000","23,748,000","22,336,000","22,340,000","29,534,000","21,805,000","22,525,000","22,235,000","29,582,000","24,871,000","22,491,000","23,023,000","31,129,000","23,441,000","23,502,000","22,206,000","31,681,000","23,820,000","23,862,000","23,665,000","31,080,000","22,808,000","22,479,000","22,087,000","28,375,000","21,121,000","20,509,000","20,897,000","26,900,000","20,473,000","20,728,000","20,535,000","26,798,000","25,058,000","19,875,000","18,209,000","23,344,000","14,659,000","18,673,000","16,152,000","21,299,000","15,420,000","17,597,000","16,146,000","21,107,000","13,996,000","15,344,000","15,118,000","19,737,000","12,339,000","13,717,000","13,410,000","17,300,000","12,200,000","11,400,000","10,400,000","13,700,000","9,800,000","9,600,000","9,600,000","13,100,000","9,500,000","9,200,000","9,100,000","12,200,000","8,900,000","9,100,000","9,000,000","12,000,000","9,100,000","9,000,000","8,700,000","11,500,000","8,400,000","8,200,000","8,000,000","18,000,000","11,000,000","12,900,000","12,900,000","16,700,000","8,400,000","12,700,000"
				Depreciation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"23,461,000","23,596,000","23,306,000","30,602,000","22,450,000","22,120,000","21,701,000","28,035,000","20,855,000","20,242,000",,,"20,170,000","20,055,000","19,821,000","26,110,000","24,662,000","18,534,000","18,075,000","23,175,000","16,760,000","16,309,000","16,035,000","21,182,000",,,,,,,"14,858,000","19,098,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
