name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,12/31/2011
TotalAssets,"1,385,748,000","1,351,550,000","1,261,836,000","1,201,634,000","1,134,466,000","1,067,289,000","878,377,000","856,689,000","841,120,000","816,787,000","757,027,000","628,723,000","575,949,000","565,119,000","509,896,000","475,211,000","472,916,000","462,278,000","456,560,000","417,020,000","386,982,000","333,985,019","316,306,732","275,185,109","256,970,629","229,738,247","219,190,114","189,215,674","172,103,621","151,702,624","120,621,425","93,771,099","91,623,638","93,673,464","85,701,381","88,205,335","90,013,631","40,500,901","40,284,218","32,353,302","32,768,277"
	CurrentAssets,"49,381,000","16,708,000","66,491,000","66,789,000","72,894,000","9,218,000","6,455,000","24,779,000","30,232,000","13,688,000","3,992,000","28,705,000","23,108,000","14,730,000","2,929,000","2,583,000","4,738,000","4,466,000","3,758,000","2,766,000","2,473,000","2,438,021","2,396,852","2,077,250","2,193,360","2,532,522","2,701,450","3,158,707","2,180,340","3,433,207","3,714,433","4,511,901","14,227,863","16,951,766","40,058,209","43,085,610","49,751,319","873,474","1,205,797","1,490,542","2,003,854"
		CashCashEquivalentsAndShortTermInvestments,"49,381,000","16,708,000","66,491,000","66,789,000","72,894,000","9,218,000","6,455,000","24,779,000","30,232,000","13,688,000","3,992,000","28,705,000","23,108,000","14,730,000","2,929,000","2,583,000","2,679,000","2,938,000","3,758,000","2,766,000","2,473,000","2,438,021","2,396,852","2,077,250","2,193,360","2,532,522","2,701,450","3,158,707","2,180,340","3,300,466","3,712,148","4,510,372","14,227,082","16,951,725","40,058,209","43,085,610","49,751,319","873,474","1,205,797","1,490,542","2,003,854"
			CashAndCashEquivalents,"49,381,000","16,708,000","66,491,000","66,789,000","72,894,000","9,218,000","6,455,000","24,779,000","30,232,000","13,688,000","3,992,000","28,705,000","23,108,000","14,730,000","2,929,000","2,583,000","2,679,000","2,938,000","3,758,000","2,766,000","2,473,000","2,438,021","2,396,852","2,077,250","2,193,360","2,532,522","2,701,450","3,158,707","2,180,340","2,619,342","3,031,196","3,829,591","13,546,471","16,271,282","39,377,937","42,405,551","29,074,835","873,474","1,205,797","1,490,542","2,003,854"
			OtherShortTermInvestments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"681,124","680,952","680,781","680,611","680,443","680,272","680,059","20,676,484",,,,
		Inventory,,,,,,,,,,,,,,"0","0",,"2,059,000","1,528,000",,,,,,,,,,,,,,,,,,,,,,,
		RestrictedCash,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","132,741","2,285","1,529","781","41",,,,,"0","0","0"
	TotalNonCurrentAssets,"1,336,367,000","1,334,842,000","1,195,345,000","1,134,845,000","1,061,572,000","1,058,071,000","871,922,000","831,910,000","810,888,000","803,099,000","753,035,000","600,018,000","552,841,000","550,389,000","506,967,000","472,628,000","468,178,000","457,812,000","452,802,000","414,254,000","384,509,000","331,546,998","313,909,880","273,107,859","254,777,269","227,205,725","216,488,664","186,056,967","169,923,281","148,269,417","116,906,992","89,259,198","77,395,775","76,721,698","45,643,172","45,119,725","40,262,312","39,627,427","39,078,421","30,862,760","30,764,423"
		NetPPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"37,278,940","30,179,404","30,276,898"
			GrossPPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"39,678,968","32,474,363","32,399,715"
				Properties,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0"
				LandAndImprovements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30,828,325","26,190,550","26,115,902"
				BuildingsAndImprovements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,311,027","1,311,027","1,311,027"
				MachineryFurnitureEquipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,576,373","696,121","696,121"
				OtherProperties,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,963,243","4,276,665","4,276,665"
			AccumulatedDepreciation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-2,400,028","-2,294,959","-2,122,817"
