name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007
TotalAssets,"2,922,214,000","2,928,844,000","2,898,236,000","2,859,559,000","2,844,771,000","2,861,848,000","2,921,376,000","3,030,133,000","2,963,891,000","2,913,757,000","2,933,342,000","2,968,969,000","2,994,406,000","3,003,071,000","3,014,535,000","3,049,669,000","3,049,723,000","3,039,198,000","2,860,899,000","2,825,708,000","2,748,537,000","2,662,969,000","2,586,501,000","2,566,942,000","2,381,270,000","2,310,635,000","2,062,814,000","1,956,437,000","1,948,952,000","1,851,696,385","1,770,584,104","1,766,939,554","1,503,180,658","1,439,089,843","1,312,610,504","1,126,880,932","992,372,928","950,911,527","820,427,924","770,730,279","714,229,444","694,432,627","650,701,720","500,424,917","493,263,598","464,192,502","428,303,579","400,024,823","402,053,850","403,873,513","412,112,865","411,765,718","412,066,563","412,387,958","411,904,352","410,724,498","412,852,809","410,273,506","627,306","244,037"
	CurrentAssets,"84,729,000","81,362,000","157,238,000","109,829,000","74,505,000","75,162,000","122,834,000","212,505,000","128,339,000","67,448,000","68,738,000","68,075,000","61,896,000","58,475,000","51,144,000","56,073,000","62,011,000","63,575,000","55,993,000","54,220,000","60,019,000","52,387,000","47,035,000","51,079,000","47,609,000","40,176,000","35,471,000","36,224,000","39,103,000","41,266,443","55,454,904","37,037,470","38,900,488","31,753,727","30,000,489","36,692,159","38,139,520","32,093,890","36,340,188","23,138,568","20,663,332","42,944,202","14,983,646","21,743,967","18,762,516","91,130,552","184,732,146","277,410,074","334,501,845","383,240,827","410,188,562","410,645,419","411,328,072","411,712,205","411,904,352","410,724,498","412,852,809","410,273,506","627,306","244,037"
		CashCashEquivalentsAndShortTermInvestments,"17,867,000","13,218,000","91,150,000","45,033,000","4,843,000","4,822,000","58,458,000","151,372,000","63,077,000","3,800,000","6,608,000","7,488,000","9,649,000","6,076,000","3,046,000","10,958,000","13,012,000","11,553,000","10,073,000","11,408,000","19,430,000","13,125,000","10,447,000","17,535,000","14,987,000","8,844,000","6,953,000","7,541,000","11,683,000","10,773,406","10,996,030","9,537,945","12,764,579","7,919,697","9,834,336","6,393,868","6,893,609","4,692,230","23,488,823","12,004,000","10,738,987","34,817,588","8,260,434","17,328,508","11,764,093","84,736,410","180,723,373","272,268,822","330,017,232","383,217,881","183,252","57,385","4,017","411,298,798","410,754,131","408,976,939","412,414,621","410,012,307","130,589","225,000"
			CashAndCashEquivalents,"17,867,000","13,218,000","91,150,000","45,033,000","4,843,000","4,822,000","58,458,000","151,372,000","63,077,000","3,800,000","6,608,000","7,488,000","9,649,000","6,076,000","3,046,000","10,958,000","13,012,000","11,553,000","10,073,000","11,408,000","19,430,000","13,125,000","10,447,000","17,535,000","14,987,000","8,844,000","6,953,000","7,541,000","11,683,000","10,773,406","10,996,030","9,537,945","12,764,579","7,919,697","9,834,336","6,393,868","6,893,609","4,692,230","23,488,823","12,004,000","10,738,987","34,817,588","8,260,434","17,328,508","11,764,093","84,736,410","180,723,373","272,268,822","330,017,232","383,217,881","183,252","57,385","4,017","4,222","8,965","77,167","1,853,999","198,570","130,589","225,000"
				CashFinancial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"383,217,881",,,,,,,,,,
				CashEquivalents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26,088,823","12,004,000",,"34,817,588",,"17,328,508",,,,,,,,,,,,,,,,
			OtherShortTermInvestments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"411,294,576","410,745,166","408,899,772","410,560,622","409,813,737",,
		Receivables,"59,582,000","60,662,000","61,441,000","60,650,000","64,208,000","63,715,000","61,101,000","57,805,000","60,344,000","58,821,000","58,899,000","57,554,000","47,744,000","46,832,000","45,243,000","42,095,000","43,560,000","43,257,000","39,431,000","36,645,000","35,946,000","35,820,000","31,100,000","30,480,000","30,310,000","28,652,000","26,635,000","23,509,000","24,182,000","23,024,678","25,487,717","25,435,735","22,781,025","20,389,068","16,665,091","25,302,749","24,267,065","22,455,190","10,939,801","9,414,203","7,721,266","6,895,806","5,039,050","3,430,249","2,961,203","2,055,881","3,401,898","2,673,810","2,387,152",,"763,593","366,254","282,999",,"506,278","1,222,447",,,,
			AccountsReceivable,"54,729,000","55,787,000","56,545,000","55,733,000","59,269,000","58,756,000","56,122,000","52,805,000","47,344,000","45,821,000","45,649,000","44,304,000","47,744,000","46,832,000","45,243,000","42,095,000","43,560,000","43,257,000","39,431,000","36,645,000","35,946,000","35,820,000","31,100,000","30,480,000","30,310,000","28,652,000","26,635,000","23,509,000","24,182,000","23,024,678","25,487,717","25,435,735","22,781,025","20,389,068","16,665,091","15,008,749","13,973,065","12,455,190",,,,,,,,"2,055,881","2,358,258","1,658,102","1,404,890",,,,,,,,,,,
				GrossAccountsReceivable,"73,329,000","74,187,000","76,345,000",,,"77,356,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-18,600,000","-18,400,000","-19,800,000",,,"-18,600,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			NotesReceivable,"4,853,000","4,875,000","4,896,000","4,917,000","4,939,000","4,959,000","4,979,000","5,000,000","13,000,000","13,000,000","13,250,000","13,250,000",,,,,,,,,,,,,,,,,,,,,,"0","0","10,294,000","10,294,000","10,000,000",,,,,,,,,"1,043,640","1,015,708","982,262",,,,,,,,,,,
			TaxesReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,
		PrepaidAssets,"4,794,000","5,337,000","2,328,000","2,168,000","3,305,000","4,811,000","1,285,000","1,642,000","3,067,000","3,169,000","1,198,000","1,479,000","2,958,000","4,194,000","1,244,000","1,600,000","3,441,000","3,353,000","6,489,000","6,167,000","4,480,000","3,317,000","5,327,000","2,943,000","2,022,000","2,453,000","1,597,000","4,399,000","2,370,000","6,954,441","5,544,177","840,737","1,771,393","2,146,296","1,523,510","2,935,801","5,099,149","3,245,778",,,,,,,"962,306",,"175,039","357,841","364,900",,"10,222","51,112","7,508","413,407","7,069","47,718","87,924","128,130",,
		RestrictedCash,"2,486,000","2,145,000","2,319,000","1,978,000","2,149,000","1,814,000","1,990,000","1,686,000","1,851,000","1,658,000","2,033,000","1,554,000","1,545,000","1,373,000","1,611,000","1,420,000","1,998,000","5,412,000","0","0","163,000","125,000","161,000","121,000","290,000","227,000","286,000","775,000","868,000","513,918","13,426,980","1,223,053","1,583,491","1,298,666","1,977,552","2,059,741","1,879,697","1,700,692","1,911,564","1,720,365","1,703,079","1,230,808","1,684,162","985,210","3,074,914","2,838,261","431,836",,,"22,946","409,231,495","410,170,668","411,033,548",,,,,,,
