name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989
OperatingCashFlow,"633,000,000","-711,000,000","1,064,000,000","69,000,000","211,000,000","-282,000,000","1,354,000,000","581,000,000","-259,000,000","-561,000,000","1,346,000,000","152,000,000","73,000,000","-364,000,000","940,000,000","60,000,000","305,000,000","-389,000,000","1,312,000,000","31,000,000","101,000,000","-286,000,000","1,267,000,000","357,000,000","261,000,000","-381,000,000","1,052,000,000","361,000,000","536,000,000","-262,000,000","1,279,000,000","195,000,000","409,000,000","-1,543,000,000","1,236,000,000","164,000,000","475,000,000","-937,000,000","1,367,000,000","122,000,000","303,000,000","-754,000,000","1,745,000,000","-303,000,000","-236,000,000","-433,000,000","841,000,000","-100,000,000","60,000,000","123,000,000","868,000,000","422,000,000","332,000,000","-325,000,000","656,000,000","-1,186,000,000","132,000,000","-347,000,000","785,000,000","-145,000,000","-108,000,000","-400,000,000","958,000,000","-195,000,000","99,000,000","-302,000,000","696,000,000","128,000,000","233,000,000","-172,000,000","677,500,000","35,200,000","227,400,000","-220,300,000","527,200,000","222,600,000","-683,300,000","-373,200,000","562,800,000","53,000,000","263,700,000","-203,100,000","837,900,000","318,800,000","530,100,000","-420,300,000","663,500,000","-9,900,000","-9,400,000","-134,400,000","411,600,000","16,400,000","307,500,000","-100,800,000","749,500,000","16,900,000","24,700,000","-352,000,000","533,800,000","285,300,000","301,500,000","-52,800,000","552,600,000","407,900,000","170,700,000","-233,700,000","673,500,000","220,600,000","5,200,000","-246,500,000","387,600,000","181,400,000","251,400,000","-55,800,000","480,700,000","212,200,000","162,700,000","-152,500,000","232,400,000","242,100,000","172,100,000","-29,800,000","343,300,000","225,400,000","108,200,000","-104,500,000","389,500,000","265,600,000","137,100,000","-217,900,000","865,500,000"
	CashFlowFromContinuingOperatingActivities,"633,000,000","-711,000,000","1,064,000,000","69,000,000","211,000,000","-282,000,000","1,354,000,000","581,000,000","-259,000,000","-561,000,000","1,346,000,000","152,000,000","73,000,000","-364,000,000","940,000,000","60,000,000","305,000,000","-389,000,000","1,312,000,000","31,000,000","101,000,000","-286,000,000","1,267,000,000","357,000,000","261,000,000","-381,000,000","1,052,000,000","361,000,000","536,000,000","-262,000,000","1,279,000,000","195,000,000","409,000,000","-1,543,000,000","1,236,000,000","164,000,000","475,000,000","-937,000,000","1,367,000,000","122,000,000","303,000,000","-754,000,000","1,745,000,000","-303,000,000","-236,000,000","-433,000,000","841,000,000","-100,000,000","60,000,000","123,000,000","868,000,000","422,000,000","332,000,000","-325,000,000","656,000,000","-1,186,000,000","132,000,000","-347,000,000","776,000,000","329,000,000","-158,000,000","-392,000,000","958,000,000","-195,000,000","99,000,000","-302,000,000","696,000,000","128,000,000","233,000,000","-172,000,000","677,500,000","35,200,000","227,400,000","-220,300,000","527,200,000","222,600,000","-683,300,000","-373,200,000","562,800,000","53,000,000","263,700,000","-203,100,000","837,900,000","318,800,000","530,100,000","-420,300,000","663,500,000","-9,900,000","-9,400,000","-134,400,000","411,600,000","16,400,000","307,500,000","-100,800,000","749,500,000","16,900,000","24,700,000","-352,000,000","533,800,000","285,300,000","301,500,000","-52,800,000","552,600,000","407,900,000","170,700,000","-233,700,000","673,500,000","220,600,000","5,200,000","-246,500,000","387,600,000","181,400,000","251,400,000","-55,800,000","480,700,000","212,200,000","162,700,000","-152,500,000","232,400,000","242,100,000","172,100,000","-29,800,000","343,300,000","225,400,000","108,200,000","-104,500,000","389,500,000","265,600,000","137,100,000","-217,900,000","865,500,000"
		NetIncomeFromContinuingOperations,"858,000,000","96,000,000","557,000,000","134,000,000","71,000,000","18,000,000","67,000,000","3,000,000","-703,000,000","-617,000,000","-399,000,000","90,000,000","56,000,000","-44,000,000","110,000,000","354,000,000","164,000,000","80,000,000","-90,000,000","132,000,000","154,000,000","169,000,000","567,000,000","320,000,000","208,000,000","189,000,000","-373,000,000","305,000,000","208,000,000","236,000,000","2,128,000,000","199,000,000","232,000,000","-38,000,000","256,000,000","195,000,000","193,000,000","31,000,000","-7,000,000","133,000,000","103,000,000","8,000,000","26,000,000","211,000,000","56,000,000","124,000,000","-166,000,000","-13,000,000","39,000,000","-24,000,000","135,000,000","102,000,000","-253,000,000","-348,000,000","-330,000,000","31,000,000","75,000,000","147,000,000","52,000,000","668,000,000","-8,000,000","-110,000,000","-358,000,000","-48,000,000","2,000,000","74,000,000","-51,000,000","142,000,000","69,000,000","68,000,000","127,100,000","39,500,000","25,100,000","-76,900,000","-469,700,000","-95,500,000","-73,600,000","-163,300,000","-1,105,200,000","33,700,000","28,900,000","-63,200,000","-174,000,000","9,300,000","7,800,000","-46,700,000","-76,400,000","-6,600,000","59,700,000","63,600,000","40,800,000","109,100,000","65,700,000","25,500,000","121,500,000","185,000,000","199,000,000","176,800,000","2,000,000","194,100,000","192,200,000","170,400,000","-408,200,000","170,200,000","187,900,000","151,800,000","146,400,000","157,500,000","173,800,000","133,300,000","136,500,000","151,300,000","185,800,000","93,400,000","113,200,000","136,200,000","152,200,000","87,100,000","88,000,000","103,300,000","109,700,000","66,300,000","99,300,000","42,800,000","22,500,000","-90,100,000","11,600,000","-56,400,000","-10,000,000","16,500,000","-2,700,000"
		OperatingGainsLosses,,"-4,000,000","3,000,000","1,000,000",,,"-1,000,000","16,000,000","4,000,000","1,000,000","-6,000,000","2,000,000","-1,000,000","-5,000,000","9,000,000","9,000,000","1,000,000","2,000,000","6,000,000","11,000,000","-11,000,000","-1,000,000","1,000,000","-28,000,000","14,000,000","-1,000,000","703,000,000","10,000,000","0","-154,000,000","38,000,000","5,000,000","-5,000,000","202,000,000","-2,000,000","-3,000,000","-5,000,000","134,000,000","470,000,000","-201,000,000","-141,000,000","-103,000,000","-145,000,000","-46,000,000","-100,000,000","-19,000,000","-204,000,000","-123,000,000","-96,000,000","-55,000,000","-88,000,000","-110,000,000","-54,000,000","-107,000,000","-209,000,000","-955,000,000","69,000,000","-61,000,000","-705,000,000","2,000,000","3,000,000","28,000,000","-492,000,000","-24,000,000","59,000,000","47,000,000","43,000,000","-195,000,000","-140,000,000","19,000,000","-553,400,000","62,600,000","-5,200,000","56,100,000","40,200,000","-164,300,000","-555,200,000","-6,400,000","-2,700,000","12,000,000","69,400,000","-57,100,000","-81,300,000","128,900,000","285,800,000","43,200,000","93,700,000","-2,000,000",,,"6,800,000","-139,100,000","-6,000,000","116,000,000","-25,500,000","-8,800,000","6,600,000","-18,200,000",,,,,,,,,,,,,,,,,,,,"50,200,000",,"0",,,,,,,,,,,
			NetForeignCurrencyExchangeGainLoss,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","45,000,000","-2,000,000","0","157,000,000","0","0","0","115,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			PensionAndEmployeeBenefitExpense,,,"13,000,000","11,000,000","19,000,000","0","-1,000,000","16,000,000","1,000,000","2,000,000","5,000,000","1,000,000",,,"9,000,000","10,000,000",,,"6,000,000","12,000,000",,,"4,000,000","-1,000,000",,,"137,000,000","0","2,000,000","0","0","0","0","39,000,000",,,,,,"-263,000,000","-113,000,000","-114,000,000","-73,000,000","-115,000,000","-89,000,000","-17,000,000","-157,000,000","-121,000,000","-88,000,000","-39,000,000","-126,000,000","-103,000,000","-95,000,000","-106,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"930,000,000","244,000,000","238,000,000","240,000,000","208,000,000","197,000,000","194,000,000","193,000,000","276,000,000","196,000,000","211,000,000","195,000,000","196,000,000","193,000,000","189,000,000","197,000,000","193,000,000","199,000,000","195,000,000","199,000,000","202,000,000","185,000,000","191,000,000","181,000,000","181,000,000","174,000,000","176,000,000","173,000,000","177,000,000","172,000,000","179,000,000","182,000,000","188,000,000","183,000,000","183,000,000","182,000,000","180,000,000","177,000,000","174,000,000","176,000,000","167,000,000","170,000,000","168,000,000","173,000,000","192,000,000","182,000,000","165,000,000","166,000,000","162,000,000","159,000,000","151,000,000","173,000,000","160,000,000","152,000,000","166,000,000","157,000,000","166,000,000","171,000,000","167,000,000","159,000,000","173,000,000","160,000,000","181,000,000","151,000,000","199,000,000","163,000,000","228,000,000","171,000,000","150,000,000","157,000,000","255,300,000","150,400,000","149,600,000","159,500,000","234,600,000","157,000,000","153,800,000","147,900,000","151,500,000","149,100,000","155,400,000","146,800,000","159,600,000","154,100,000","162,600,000","160,400,000","154,600,000","155,500,000","159,800,000","160,400,000","188,100,000","140,200,000","119,900,000","133,500,000","136,000,000","121,400,000","106,000,000","124,400,000","118,400,000","113,500,000","121,300,000","116,100,000","105,600,000","129,200,000","114,400,000","111,600,000","113,700,000","108,400,000","107,600,000","105,200,000","109,700,000","103,000,000","98,900,000","98,700,000","99,800,000","97,400,000","98,800,000","96,900,000","111,800,000","113,700,000","111,200,000","109,100,000","113,700,000","112,700,000","107,400,000","107,700,000","102,600,000","111,100,000","102,100,000","99,200,000","112,500,000"
			DepreciationAndAmortization,"930,000,000","244,000,000","238,000,000","240,000,000","208,000,000","197,000,000","194,000,000","193,000,000","276,000,000","196,000,000","211,000,000","195,000,000","196,000,000","193,000,000","189,000,000","197,000,000","193,000,000","199,000,000","195,000,000","199,000,000","202,000,000","185,000,000","191,000,000","181,000,000","181,000,000","174,000,000","176,000,000","173,000,000","177,000,000","172,000,000","179,000,000","182,000,000","188,000,000","183,000,000","183,000,000","182,000,000","180,000,000","177,000,000","174,000,000","176,000,000","167,000,000","170,000,000","168,000,000","173,000,000",,,"165,000,000","166,000,000","162,000,000","159,000,000","151,000,000","173,000,000","160,000,000","152,000,000","166,000,000","157,000,000","166,000,000","171,000,000","167,000,000","159,000,000","173,000,000","160,000,000","181,000,000","151,000,000","199,000,000","163,000,000","228,000,000","171,000,000","150,000,000","157,000,000","255,300,000","150,400,000","149,600,000","159,500,000","234,600,000","157,000,000","153,800,000","147,900,000","151,500,000","149,100,000","155,400,000","146,800,000","159,600,000","154,100,000","162,600,000","160,400,000","154,600,000","155,500,000","159,800,000","160,400,000","188,100,000","140,200,000","119,900,000","133,500,000","136,000,000","121,400,000","106,000,000","124,400,000","118,400,000","113,500,000","121,300,000","116,100,000","105,600,000","129,200,000","114,400,000","111,600,000","113,700,000","108,400,000","107,600,000","105,200,000","109,700,000","103,000,000","98,900,000","98,700,000","99,800,000","97,400,000","98,800,000","96,900,000","111,800,000","113,700,000","111,200,000","109,100,000","113,700,000","112,700,000","107,400,000","107,700,000","102,600,000","111,100,000","102,100,000","99,200,000","112,500,000"
				Depreciation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"163,000,000","155,000,000","161,000,000","153,000,000","146,000,000","154,000,000","176,000,000","146,000,000","195,000,000","158,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
