name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014
TotalRevenue,"52,898,000","970,000","1,011,000","20,890,000","30,027,000","11,247,000","60,000,000","0","0","15,000,000","3,000,000","0","5,000,000","0","0","5,000,000","0","0","3,000,000","0","7,000,000","0","2,754,000","3,214,000","5,850,000","4,866,000","4,054,000","4,538,000","4,882,000","4,097,000","3,705,000","6,154,000"
	OperatingRevenue,"52,898,000","970,000","1,011,000","20,890,000","30,027,000","11,247,000","60,000,000","0","0","15,000,000","3,000,000","0","5,000,000","0","0","5,000,000","0","0","3,000,000","0","7,000,000","0","2,754,000","3,214,000","5,850,000","4,866,000","4,054,000","4,538,000","4,882,000","4,097,000","606,000","6,887,000"
OperatingExpense,"123,100,000","32,719,000","32,168,000","27,653,000","30,560,000","29,608,000","26,655,000","24,336,000","22,635,000","25,253,000","25,258,000","33,745,000","31,657,000","24,772,000","19,663,000","21,887,000","14,415,000","15,757,000","10,151,000","9,087,000","9,555,000","9,988,000","5,928,000","4,289,000","3,487,000","6,005,000","7,646,000","5,232,000","4,269,000","3,746,000","3,179,000","2,681,000"
	SellingGeneralAndAdministration,"26,273,000","10,203,000","5,392,000","5,432,000","5,246,000","5,423,000","5,088,000","4,794,000","4,687,000","4,285,000","3,832,000","3,814,000","4,307,000","4,141,000","3,743,000","4,004,000","3,832,000","3,947,000","2,545,000","2,390,000","2,350,000","2,053,000","912,000","1,007,000","1,152,000","1,219,000","1,074,000","889,000","944,000","682,000","574,000","550,000"
		GeneralAndAdministrativeExpense,"26,273,000","10,203,000","5,392,000","5,432,000","5,246,000","5,423,000","5,088,000","4,794,000","4,687,000","4,285,000","3,832,000","3,814,000","4,307,000","4,141,000","3,743,000","4,004,000","3,832,000","3,947,000","2,545,000","2,390,000","2,350,000","2,053,000","912,000","1,007,000","1,152,000","1,219,000","1,074,000","889,000","944,000","682,000","574,000","550,000"
			OtherGandA,"26,273,000","10,203,000","5,392,000","5,432,000","5,246,000","5,423,000","5,088,000","4,794,000","4,687,000","4,285,000","3,832,000","3,814,000","4,307,000","4,141,000","3,743,000","4,004,000","3,832,000","3,947,000","2,545,000","2,390,000","2,350,000","2,053,000","912,000","1,007,000","1,152,000","1,219,000","1,074,000","889,000","944,000","682,000","574,000","550,000"
	ResearchAndDevelopment,"96,827,000","22,516,000","26,776,000","22,221,000","25,314,000","24,185,000","21,567,000","19,542,000","17,948,000","20,968,000","21,426,000","29,931,000","27,350,000","20,631,000","15,920,000","17,883,000","10,583,000","11,810,000","7,606,000","6,697,000","7,205,000","7,935,000","5,016,000","3,282,000","2,335,000","4,786,000","6,572,000","4,343,000","3,325,000","3,064,000","2,605,000","2,131,000"
OperatingIncome,"-70,202,000","-31,749,000","-31,157,000","-6,763,000","-533,000","-18,361,000","33,345,000","-24,336,000","-22,635,000","-10,253,000","-22,258,000","-33,745,000","-26,657,000","-24,772,000","-19,663,000","-16,887,000","-14,415,000","-15,757,000","-7,151,000","-9,087,000","-2,555,000","-9,988,000","-3,174,000","-1,075,000","2,363,000","-1,139,000","-3,592,000","-694,000","613,000","351,000","526,000","3,473,000"
NetNonOperatingInterestIncomeExpense,"-5,726,000","-4,512,000","-1,382,000","64,000","104,000","195,000","376,000","625,000","1,061,000","1,897,000","2,082,000","2,517,000","2,676,000","2,668,000","2,469,000","969,000","861,000","734,000","1,167,000","-452,000","-439,000","-428,000","-111,000","-116,000","-116,000","-93,000","-116,000","-115,000","-115,000","-114,000","-10,000","-1,000"
	InterestIncomeNonOperating,"578,000","342,000","68,000","64,000","104,000","195,000","376,000","625,000","1,061,000","1,897,000","2,282,000","2,757,000","2,957,000","2,988,000","2,834,000","1,369,000","1,297,000","1,185,000","862,000",,,,,,,"22,000",,,,,,
	InterestExpenseNonOperating,"6,304,000","4,854,000","1,450,000",,,,"0","0","0","0","200,000","240,000","281,000","320,000","365,000","400,000","436,000","451,000","456,000","452,000","439,000","428,000","111,000","116,000","116,000","115,000","116,000","115,000","115,000","114,000","10,000","1,000"
OtherIncomeExpense,"40,000","6,000","1,000","33,000",,"3,000","-75,000","-56,000","26,000","94,000","-109,000","144,000","-41,000","7,000","8,000","-40,000","-64,000","-63,000","-877,000","449,000","310,000","-1,019,000","-1,293,000","76,000","75,000","344,000","285,000","-603,000","-553,000","-613,000","-14,000","-14,000"
	GainOnSaleOfSecurity,,,,,,,,,,,,,,,,,,,"0",,,"-1,366,000","-1,091,000","-47,000","3,000","344,000","251,000","-377,000","-538,000","-613,000","-15,000","-14,000"
	OtherNonOperatingIncomeExpenses,"40,000","6,000","1,000","33,000",,"3,000","-75,000","-56,000","26,000","94,000","-109,000","144,000","-41,000","7,000","8,000","-40,000","-64,000","-63,000","-877,000","449,000","310,000","347,000","-202,000","123,000","72,000",,"34,000","-226,000",,,"1,000","0"
PretaxIncome,"-75,888,000","-36,255,000","-32,538,000","-6,666,000","-429,000","-18,163,000","33,646,000","-23,767,000","-21,548,000","-8,262,000","-20,285,000","-31,084,000","-24,022,000","-22,097,000","-17,186,000","-15,958,000","-13,618,000","-15,086,000","-6,861,000","-9,090,000","-2,684,000","-11,435,000","-4,578,000","-1,115,000","2,322,000","-888,000","-3,423,000","-1,412,000","-55,000","-376,000","502,000","3,458,000"
TaxProvision,,,,,,,"0","0","0","0","-22,000","-51,000","-60,000","-19,000","-192,000",,,,,,,,"0",,,,"89,000",,,,,
NetIncomeCommonStockholders,"-75,888,000","-36,255,000","-32,538,000","-6,666,000","-429,000","-18,163,000","33,646,000","-23,767,000","-21,548,000","-8,262,000","-20,263,000","-31,033,000","-23,962,000","-22,078,000","-16,994,000","-15,958,000","-13,618,000","-15,086,000","-6,861,000","-9,090,000","-2,684,000","-11,435,000","-4,259,000","-1,115,000","181,000","-888,000","-3,512,000","-1,462,000","-55,000","-376,000","3,243,000","717,000"
	NetIncome,"-75,888,000","-36,255,000","-32,538,000","-6,666,000","-429,000","-18,163,000","33,646,000","-23,767,000","-21,548,000","-8,262,000","-20,263,000","-31,033,000","-23,962,000","-22,078,000","-16,994,000","-15,958,000","-13,618,000","-15,086,000","-6,861,000","-9,090,000","-2,684,000","-11,435,000","-4,578,000","-1,115,000","2,322,000","-888,000","-3,512,000","-1,462,000","-55,000","-376,000","502,000","3,458,000"
		NetIncomeIncludingNoncontrollingInterests,"-75,888,000","-36,255,000","-32,538,000","-6,666,000","-429,000","-18,163,000","33,646,000","-23,767,000","-21,548,000","-8,262,000","-20,263,000","-31,033,000","-23,962,000","-22,078,000","-16,994,000","-15,958,000","-13,618,000","-15,086,000","-6,861,000","-9,090,000","-2,684,000","-11,435,000","-4,578,000","-1,115,000","2,322,000","-888,000","-3,512,000","-1,462,000","-55,000","-376,000","502,000","3,458,000"
