name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000
TotalRevenue,"4,950,300,000","1,293,800,000","1,201,500,000","1,219,800,000","1,235,200,000","1,162,300,000","997,000,000","924,500,000","609,100,000","711,500,000","658,600,000","705,300,000","903,800,000","899,900,000","834,000,000","883,000,000","914,800,000","901,600,000","800,600,000","818,500,000","814,100,000","898,800,000","787,700,000","843,600,000","861,500,000","847,000,000","775,800,000","841,600,000","887,100,000","873,100,000","869,300,000","958,400,000","1,005,500,000","1,002,300,000","923,600,000","1,008,900,000","1,037,600,000","801,100,000","679,300,000","740,200,000","792,000,000","781,000,000","640,400,000","735,800,000","768,800,000","718,500,000","617,800,000","680,800,000","692,900,000","630,400,000","552,500,000","548,300,000","496,500,000","463,400,000","541,800,000","735,100,000","748,100,000","713,700,000","631,300,000","664,800,000","688,800,000","657,800,000","595,200,000","666,200,000","686,400,000","674,600,000","711,500,000","579,000,000","583,400,000","576,700,000","515,900,000","552,200,000","557,800,000","535,600,000","37,800,000","630,300,000","650,900,000","645,500,000","524,500,000","668,500,000","692,000,000","613,200,000","589,900,000","659,600,000","695,400,000","709,700,000","693,300,000","487,800,000"
	OperatingRevenue,"4,950,300,000","1,293,800,000","1,201,500,000","1,219,800,000","1,235,200,000","1,162,300,000","997,000,000","924,500,000","609,100,000","711,500,000","658,600,000","705,300,000","903,800,000","899,900,000","834,000,000","883,000,000","914,800,000","901,600,000","800,600,000","818,500,000","814,100,000","898,800,000","787,700,000","843,600,000","861,500,000","847,000,000","775,800,000","841,600,000","887,100,000","873,100,000","869,300,000","958,400,000","1,005,500,000","1,002,300,000","923,600,000","1,008,900,000","1,037,600,000","801,100,000","679,300,000","740,200,000","792,000,000","781,000,000","640,400,000","735,800,000","768,800,000","718,500,000","617,800,000","680,800,000","692,900,000","630,400,000","552,500,000","548,300,000","496,500,000","463,400,000","541,800,000","735,100,000","748,100,000","713,700,000","631,300,000","664,800,000","688,800,000","657,800,000","595,200,000","666,200,000","686,400,000","674,600,000","711,500,000","579,000,000","583,400,000","576,700,000","515,900,000","552,200,000","557,800,000","535,600,000","37,800,000","630,300,000","650,900,000","645,500,000","524,500,000","668,500,000","692,000,000","613,200,000","589,900,000","659,600,000","695,400,000","709,700,000","693,300,000","487,800,000"
CostOfRevenue,"3,859,400,000","1,000,100,000","948,400,000","964,400,000","946,500,000","859,900,000","744,100,000","714,300,000","459,400,000","540,000,000","505,300,000","544,800,000","698,300,000","703,600,000","669,000,000","698,100,000","718,300,000","703,100,000","631,400,000","639,000,000","626,100,000","711,400,000","632,400,000","670,500,000","669,200,000","661,500,000","618,900,000","672,500,000","701,400,000","703,300,000","716,700,000","775,800,000","821,000,000","814,100,000","808,700,000","827,600,000","833,900,000","638,800,000","553,100,000","597,500,000","637,300,000","640,400,000","543,600,000","621,800,000","639,600,000","595,800,000","530,300,000","569,600,000","566,200,000","526,900,000","464,800,000","441,000,000","410,200,000","404,200,000","483,800,000","669,900,000","659,600,000","617,400,000","556,500,000","623,000,000","594,100,000","562,700,000","518,000,000","588,400,000","592,700,000","583,700,000","624,300,000","511,700,000","512,900,000","504,600,000","460,200,000","469,100,000","465,400,000","448,600,000","13,400,000","539,800,000","559,400,000","552,100,000","451,900,000","564,700,000","577,700,000","503,900,000","497,300,000","548,500,000","578,800,000","598,400,000","595,400,000","409,600,000"
GrossProfit,"1,090,900,000","293,700,000","253,100,000","255,400,000","288,700,000","302,400,000","252,900,000","210,200,000","149,700,000","171,500,000","153,300,000","160,500,000","205,500,000","196,300,000","165,000,000","184,900,000","196,500,000","198,500,000","169,200,000","179,500,000","188,000,000","187,400,000","155,300,000","173,100,000","192,300,000","185,500,000","156,900,000","169,100,000","185,700,000","169,800,000","152,600,000","182,600,000","184,500,000","188,200,000","114,900,000","181,300,000","203,700,000","162,300,000","126,200,000","142,700,000","154,700,000","140,600,000","96,800,000","114,000,000","129,200,000","122,700,000","87,500,000","111,200,000","126,700,000","103,500,000","87,700,000","107,300,000","86,300,000","59,200,000","58,000,000","65,200,000","88,500,000","96,300,000","74,800,000","41,800,000","94,700,000","95,100,000","77,200,000","77,800,000","93,700,000","90,900,000","87,200,000","67,300,000","70,500,000","72,100,000","55,700,000","83,100,000","92,400,000","87,000,000","24,400,000","90,500,000","91,500,000","93,400,000","72,600,000","103,800,000","114,300,000","109,300,000","92,600,000","111,100,000","116,600,000","111,300,000","97,900,000","78,200,000"
OperatingExpense,"701,500,000","165,100,000","179,100,000","176,700,000","180,600,000","182,000,000","187,900,000","176,700,000","111,700,000","118,700,000","132,800,000","117,400,000","133,900,000","128,000,000","118,000,000","114,400,000","119,100,000","119,700,000","123,400,000","111,800,000","108,000,000","106,000,000","97,400,000","101,900,000","110,800,000","114,200,000","125,600,000","99,900,000","105,400,000","99,700,000","166,900,000","119,000,000","135,100,000","131,800,000","93,000,000","119,700,000","123,000,000","121,900,000","130,900,000","92,300,000","101,600,000","95,700,000","136,600,000","71,500,000","78,700,000","76,800,000","134,400,000","66,600,000","65,200,000","75,400,000","68,700,000","56,300,000","87,200,000","70,200,000","93,900,000","63,900,000","64,500,000","76,200,000","56,200,000","65,400,000","82,300,000","68,600,000","54,200,000","41,700,000","30,200,000","23,000,000","26,700,000","68,700,000","28,000,000","33,200,000","39,500,000","45,300,000","45,700,000","62,400,000","29,900,000","83,600,000","80,700,000","109,600,000","88,000,000","77,200,000","91,600,000","102,800,000","118,700,000","95,500,000","99,300,000","129,300,000","54,700,000","73,100,000"
	SellingGeneralAndAdministration,"701,500,000","165,100,000","179,100,000","176,700,000","180,600,000","182,000,000","187,900,000","176,700,000","111,700,000","118,700,000","132,800,000","117,400,000","133,900,000","128,000,000","118,000,000","114,400,000","119,100,000","119,700,000","123,400,000","111,800,000","108,000,000","106,000,000","97,400,000","101,900,000","110,800,000","114,200,000","125,600,000","99,900,000","105,400,000","99,700,000","166,900,000","119,000,000","135,100,000","131,800,000","93,000,000","119,700,000","123,000,000","121,900,000","130,500,000","92,300,000","101,600,000","96,100,000","154,700,000","71,500,000","78,700,000","76,800,000","72,600,000","77,100,000","73,000,000","73,900,000","68,700,000","56,300,000","77,100,000","70,200,000","69,500,000","69,700,000","75,000,000","68,500,000","52,600,000","63,000,000","66,200,000","61,000,000","50,500,000","51,600,000","49,900,000","47,300,000","41,300,000","42,900,000","47,700,000","59,200,000","27,800,000","56,200,000","52,400,000","60,200,000","34,400,000","67,300,000","70,300,000","71,800,000","75,600,000","69,600,000","76,300,000","81,100,000","70,900,000","73,800,000","77,600,000","81,900,000","64,200,000","59,300,000"
		GeneralAndAdministrativeExpense,,,,,,,"173,500,000","163,400,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,,,,,,,"173,500,000","163,400,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		SellingAndMarketingExpense,,,,,,,"14,400,000","13,300,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15,800,000","14,700,000","14,100,000","14,500,000","14,100,000","14,300,000","14,200,000","14,300,000","14,300,000","12,400,000","13,400,000","12,400,000",,"19,200,000","9,100,000","11,000,000","11,600,000","-3,700,000","18,200,000","18,400,000","18,500,000","16,200,000","18,900,000","19,100,000","18,300,000","18,400,000","20,600,000","25,900,000","26,400,000","24,700,000","13,800,000"
