name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014
OperatingCashFlow,"580,815,000","63,967,000","97,192,000","254,281,000","165,375,000","66,970,000","86,276,000","92,743,000","106,735,000","-2,889,000","52,173,000","89,515,000","77,390,000","2,512,000","40,277,000","25,125,000","67,360,000","4,278,000","48,940,000","55,871,000","40,686,000","-7,072,000","32,169,000","71,628,000","2,861,000","30,212,000","51,945,000","110,850,000","30,296,000","6,616,000","-6,689,000"
	CashFlowFromContinuingOperatingActivities,"580,815,000","63,967,000","97,192,000","254,281,000","165,376,000","66,969,000","86,276,000","92,743,000","106,735,000","-2,889,000","52,173,000","89,515,000","77,390,000","2,512,000","40,277,000","25,125,000","67,360,000","4,278,000","48,940,000","55,871,000","40,686,000","-7,072,000","32,169,000","71,628,000","2,861,000","30,212,000","51,945,000","110,850,000","30,296,000","6,616,000","-6,689,000"
		NetIncomeFromContinuingOperations,"816,178,000","233,477,000","204,843,000","202,561,000","175,297,000","124,933,000","85,066,000","54,241,000","24,078,000","39,193,000","34,790,000","45,997,000","36,550,000","29,555,000","26,949,000","32,699,000","34,199,000","42,558,000","27,189,000","20,857,000","27,465,000","18,935,000","17,382,000","15,572,000","20,645,000","14,007,000","8,572,000","-27,051,000","19,058,000","5,800,000","-2,762,000"
		OperatingGainsLosses,,,,"-661,000","4,223,000",,,"-3,182,000","1,896,000",,,,,,,"0","-838,000",,,"-5,093,000","5,171,000","-5,604,000","10,238,000","-369,000","-5,000","-1,651,000","7,000","186,000",,,
			GainLossOnSaleOfBusiness,,,,,,,,,,,,"-7,384,000","0",,,"0","-838,000",,,,,,,,,,,,,,
			GainLossOnSaleOfPPE,,,,"70,000","21,000",,,"-3,455,000","1,896,000",,,,,,,,,,,,,"-5,604,000","433,000","-369,000","-5,000","10,000","7,000","186,000","1,054,000",,
		DepreciationAmortizationDepletion,"94,267,000","23,359,000","23,170,000","24,052,000","23,686,000","22,938,000","22,396,000","22,754,000","21,927,000","22,235,000","22,357,000","18,286,000","17,760,000","18,280,000","18,021,000","17,635,000","16,192,000","15,853,000","17,210,000","14,485,000","13,341,000","13,273,000","13,628,000","14,953,000","13,322,000","13,249,000","13,493,000","16,092,000","14,349,000","14,308,000","14,716,000"
			DepreciationAndAmortization,"94,267,000","23,359,000","23,170,000","24,052,000","23,686,000","22,938,000","22,396,000","22,754,000","21,927,000","22,235,000","22,357,000","18,286,000","17,760,000","18,280,000","18,021,000","17,635,000","16,192,000","15,853,000","17,210,000","14,485,000","13,341,000","13,273,000","13,628,000","14,953,000","13,322,000","13,249,000","13,493,000","16,092,000","14,349,000","14,308,000","14,716,000"
				Depreciation,"94,267,000","23,359,000","23,170,000","24,052,000","23,686,000","22,938,000","22,396,000","22,754,000","21,927,000","22,235,000","22,357,000",,,,,,,,,,,,,,,,,,,,
		DeferredTax,"-52,268,000","1,450,000","-5,720,000","-61,245,000","13,247,000","3,575,000","1,117,000","6,128,000","-2,681,000","-2,052,000","3,088,000","-2,678,000","2,983,000","205,000","-1,306,000","-4,654,000","-687,000","1,667,000","-5,334,000","2,686,000","249,000","-1,640,000","-357,000","-395,000","-4,069,000","2,471,000","4,549,000","-3,169,000","-3,621,000","3,236,000","-96,000"
