name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,12/31/2012
TotalAssets,"1,015,277,000","905,137,000","850,279,000","795,250,000","754,273,000","716,415,000","672,988,000","616,239,000","343,327,000","326,110,000","292,647,000","255,081,000","214,698,000","206,294,000","181,606,000","157,994,000","144,699,000","95,346,000","87,977,000","98,543,000","112,714,000","112,392,000","90,334,000","109,190,000","120,642,000","125,119,000","128,518,000","141,334,000","155,125,000","106,464,000","116,564,699","130,017,056","142,388,917","162,215,133","48,572,738","59,226,639","39,817,319"
	CurrentAssets,"818,464,000","811,520,000","754,947,000","698,285,000","661,696,000","637,235,000","592,293,000","539,679,000","280,873,000","276,141,000","246,598,000","213,156,000","186,028,000","187,885,000","162,671,000","128,343,000","114,343,000","64,156,000","55,992,000","65,133,000","79,934,000","92,092,000","70,986,000","90,881,000","102,567,000","106,984,000","110,923,000","124,059,000","139,150,000","90,751,000","101,049,596","114,422,564","128,359,223","148,989,182","33,834,820","46,678,816","27,814,188"
		CashCashEquivalentsAndShortTermInvestments,"635,391,000","623,811,000","594,993,000","545,302,000","513,437,000","484,936,000","464,522,000","426,285,000","160,208,000","176,458,000","156,947,000","131,388,000","125,604,000","129,027,000","113,581,000","86,505,000","71,878,000","14,179,000","12,538,000","27,794,000","44,010,000","53,538,000","34,078,000","54,318,000","68,426,000","71,106,000","81,751,000","97,746,000","116,383,000","67,282,000","79,876,879","94,305,207","110,773,743","129,480,468","15,550,023","30,132,652","17,162,730"
			CashAndCashEquivalents,"93,681,000","71,181,000","112,375,000","98,578,000","120,791,000","94,613,000","129,481,000","222,479,000","74,485,000","51,175,000","46,060,000","38,157,000","40,445,000","41,826,000","32,327,000","50,548,000","62,583,000","13,700,000","12,079,000","27,351,000","40,334,000","44,678,000","17,956,000","30,250,000","40,610,000","43,088,000","43,205,000","45,921,000","62,549,000","31,176,000","35,558,073","64,207,844","76,825,800","124,385,137","15,550,023","30,132,652","17,162,730"
				CashFinancial,"48,776,000","22,895,000","11,516,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				CashEquivalents,"44,905,000","48,286,000","100,859,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherShortTermInvestments,"541,710,000","552,630,000","482,618,000","446,724,000","392,646,000","390,323,000","335,041,000","203,806,000","85,723,000","125,283,000","110,887,000","93,231,000","85,159,000","87,201,000","81,254,000","35,957,000","9,295,000","479,000","459,000","443,000","3,676,000","8,860,000","16,122,000","24,068,000","27,816,000","28,018,000","38,546,000","51,825,000","53,834,000","36,106,000","44,318,806","30,097,363","33,947,943","5,095,331",,,
		Receivables,"94,133,000","110,725,000","87,462,000","80,212,000","73,673,000","82,195,000","52,104,000","45,031,000","53,962,000","46,585,000","45,325,000","48,438,000","33,027,000","35,193,000","21,689,000","13,914,000","13,043,000","20,793,000","10,582,000","9,029,000","7,687,000","11,172,000","8,198,000","9,426,000","9,093,000","14,055,000","7,006,000","7,473,000","5,226,000","7,652,000","5,842,849","4,362,238","3,423,030","5,298,502","4,166,916","2,732,969","2,436,952"
			AccountsReceivable,"94,133,000","110,725,000","87,462,000","80,212,000","73,673,000","82,195,000","52,104,000","45,031,000","53,962,000","46,585,000","45,325,000","48,438,000","33,027,000","35,193,000","21,689,000","13,914,000","13,043,000","20,793,000","10,582,000","9,029,000","7,687,000","11,172,000","8,198,000","9,426,000","9,093,000","14,055,000","7,006,000","7,473,000","5,226,000","7,652,000","5,842,849","4,362,238","3,423,030","5,298,502","4,166,916","2,732,969","2,411,952"
				GrossAccountsReceivable,"98,477,000","114,974,000","91,256,000","83,885,000","77,232,000","86,052,000","55,568,000","48,170,000","57,346,000","49,889,000",,,,"37,030,000",,,,"22,071,000",,,,"12,112,000",,,,"14,583,000",,,,"7,905,000",,,,"5,516,000","4,357,000","2,875,000","2,458,000"
				AllowanceForDoubtfulAccountsReceivable,"-4,344,000","-4,249,000","-3,794,000","-3,673,000","-3,559,000","-3,857,000","-3,464,000","-3,139,000","-3,384,000","-3,304,000",,,,"-1,837,000",,,,"-1,278,000",,,,"-940,000",,,,"-528,000",,,,"-253,000",,,,"-217,000","-190,084","-142,031","-46,000"
			NotesReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","25,000"
		Inventory,"79,987,000","68,551,000","65,734,000","66,705,000","66,816,000","63,721,000","70,644,000","62,263,000","60,469,000","49,073,000","40,732,000","27,341,000","22,826,000","19,896,000","24,366,000","24,912,000","26,486,000","26,993,000","29,985,000","25,823,000","23,748,000","21,195,000","22,896,000","21,692,000","20,196,000","17,543,000","17,552,000","14,670,000","13,581,000","11,913,000","11,891,586","11,121,021","10,164,723","10,330,156","10,798,963","9,788,849","6,260,808"
			RawMaterials,"28,223,000","26,911,000","17,939,000","22,684,000","27,001,000","30,880,000","36,111,000","34,216,000","31,795,000","20,699,000","12,488,000","10,311,000","9,585,000","6,622,000","8,609,000","10,265,000","10,395,000","10,328,000","10,138,000","9,317,000","9,616,000","9,375,000","9,879,000","12,071,000","11,541,000","10,606,000","10,649,000","9,132,000","8,091,000","7,085,000","6,098,000","5,831,000","6,200,000","6,363,000","4,621,000","4,180,000","2,775,000"
			WorkInProcess,"18,520,000","16,612,000","22,086,000","16,360,000","15,327,000","15,664,000","14,316,000","12,329,000","14,543,000","16,532,000","11,051,000","5,300,000","3,560,000","2,710,000","4,489,000","3,125,000","3,761,000","3,812,000","5,497,000","6,580,000","6,148,000","4,395,000","4,589,000","4,595,000","3,692,000","3,394,000","3,470,000","2,629,000","3,205,000","2,288,000","3,832,000","3,413,000","1,978,000","2,169,000","3,913,000","2,953,000","1,724,000"
			FinishedGoods,"33,244,000","25,028,000","25,709,000","27,661,000","24,488,000","17,177,000","20,217,000","15,718,000","14,131,000","11,842,000","17,192,000","11,730,000","9,681,000","10,564,000","11,268,000","11,522,000","12,330,000","12,853,000","14,350,000","9,926,000","7,984,000","7,425,000","8,428,000","5,026,000","4,963,000","3,543,000","3,433,000","2,909,000","2,512,000","2,856,000","2,191,000","2,307,000","2,782,723","3,535,000","2,265,000","2,656,000","1,762,000"
			OtherInventories,,,,,,,,,,,"1,000",,,,,,,,,,,,,,,,,,,,"-414","21",,"156","-37","-151","-192"
			InventoriesAdjustmentsAllowances,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-227,000","-316,000","-229,000","-430,000","-796,000","-1,737,000",,,
		PrepaidAssets,"8,953,000","8,433,000","6,758,000","6,066,000","7,770,000","6,383,000","5,023,000","6,100,000","6,234,000","4,025,000","3,594,000","5,989,000","4,571,000","3,769,000","3,035,000","3,012,000","2,936,000","2,191,000","2,887,000","2,487,000","4,489,000","4,187,000","3,814,000","3,445,000","2,852,000","2,280,000","2,614,000","2,170,000","1,960,000","1,904,000","1,438,282","2,634,098","1,947,727","1,830,056","1,091,118","1,795,365","1,903,698"
		RestrictedCash,,,,,,,,,,,,,,,,,,"0","0","0","0","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,050,000","2,050,000","2,227,800","2,228,981","50,000"
		OtherCurrentAssets,,"8,433,000",,,,"6,383,000","5,023,000","6,100,000",,"4,025,000",,,,"3,769,000",,,"2,936,000","2,191,000",,,,"4,187,000",,,,"2,280,000",,,,"1,904,000",,"2,635,000",,,,,
	TotalNonCurrentAssets,"196,813,000","93,617,000","95,332,000","96,965,000","92,577,000","79,180,000","80,695,000","76,560,000","62,454,000","49,969,000","46,049,000","41,925,000","28,670,000","18,409,000","18,935,000","29,651,000","30,356,000","31,190,000","31,985,000","33,410,000","32,780,000","20,300,000","19,348,000","18,309,000","18,075,000","18,135,000","17,595,000","17,275,000","15,975,000","15,713,000","15,515,103","15,594,492","14,029,694","13,225,746","14,737,628","12,547,502","12,003,591"
		NetPPE,"181,045,000","77,889,000","79,304,000","80,389,000","83,718,000","69,795,000","70,645,000","65,938,000","60,640,000","48,484,000","44,649,000","40,415,000","27,269,000","17,151,000","17,582,000","18,212,000","18,860,000","19,631,000","20,286,000","21,664,000","20,927,000","18,409,000","17,370,000","16,242,000","15,939,000","15,526,000","14,888,000","14,325,000","12,928,000","12,581,000","12,344,942","12,476,109","10,813,661","9,886,000","9,595,000","9,037,000","8,988,591"
			GrossPPE,"181,045,000","127,058,000","79,304,000","80,389,000","83,718,000","108,728,000","70,645,000","65,938,000","60,640,000","78,349,000","44,649,000","40,415,000","27,269,000","42,779,000",,,,"45,155,000",,,,"37,665,000",,,,"31,071,000",,,,"23,821,000",,,,"17,466,000","16,628,000","15,442,000","13,941,591"
				Properties,"0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0","0","0","0"
				MachineryFurnitureEquipment,,"21,487,000",,,,"22,095,000",,,,"16,266,000",,,,"13,160,000",,,,"13,726,000",,,,"12,029,000",,,,"10,497,000",,,,"8,709,000",,,,"6,836,000","6,331,000","5,897,000","5,002,000"
				OtherProperties,"49,987,000","52,823,000","49,621,000","48,890,000","50,445,000","44,026,000","49,320,000","44,385,000","37,626,000","33,422,000","28,072,000","22,750,000","17,182,000","18,306,000",,,,"17,505,000",,,,"16,785,000",,,,"12,793,000",,,,"9,110,000",,,,"6,510,000","6,376,000","5,712,000","5,108,591"
				Leases,"131,058,000","52,748,000","29,683,000","31,499,000","33,273,000","42,607,000","21,325,000","21,553,000","23,014,000","28,661,000","16,577,000","17,665,000","10,087,000","11,313,000",,,,"13,924,000",,,,"8,851,000",,,,"7,781,000",,,,"6,002,000",,,,"4,120,000","3,921,000","3,833,000","3,831,000"
			AccumulatedDepreciation,,"-49,169,000",,,,"-38,933,000",,,,"-29,865,000",,,,"-25,628,000",,,,"-25,524,000",,,,"-19,256,000",,,,"-15,545,000",,,,"-11,240,000",,,,"-7,580,000","-7,033,000","-6,405,000","-4,953,000"
		GoodwillAndOtherIntangibleAssets,,"6,636,000",,,,"8,805,000",,,,"777,000","885,000","967,000","1,048,000","1,130,000","1,212,000","1,294,000","1,375,000","1,457,000","1,539,000","1,620,000","1,704,000","1,784,000","1,865,000","1,947,000","2,029,000","2,110,000","2,192,000","2,274,000","2,355,000","2,441,000","2,459,230","2,538,560","2,617,890","2,697,000","2,777,000","2,856,000","3,015,000"
			OtherIntangibleAssets,,"6,636,000",,,,"8,805,000",,,,"777,000","885,000","967,000","1,048,000","1,130,000","1,212,000","1,294,000","1,375,000","1,457,000","1,539,000","1,620,000","1,704,000","1,784,000","1,865,000","1,947,000","2,029,000","2,110,000","2,192,000","2,274,000","2,355,000","2,441,000","2,459,230","2,538,560","2,617,890","2,697,000","2,777,000","2,856,000","3,015,000"
		NonCurrentNoteReceivables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0",
		NonCurrentDeferredAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,365,628","654,502",
		OtherNonCurrentAssets,"15,768,000","9,092,000","16,028,000","16,576,000","8,859,000","580,000","10,050,000","10,622,000","1,814,000","708,000","515,000","543,000","353,000","128,000","141,000","10,145,000","10,121,000","10,102,000","10,160,000","10,126,000","10,149,000","107,000","113,000","120,000","107,000","499,000","515,000","676,000","692,000","691,000","710,931","579,823","598,143","642,746",,,
TotalLiabilitiesNetMinorityInterest,"577,895,000","472,025,000","460,625,000","449,165,000","440,859,000","350,110,000","346,444,000","348,535,000","136,151,000","131,131,000","125,653,000","109,736,000","93,736,000","75,019,000","66,177,000","131,989,000","132,851,000","124,494,000","115,935,000","116,822,000","114,582,000","118,319,000","85,137,000","77,117,000","74,698,000","61,651,000","57,284,000","53,582,000","52,877,000","51,892,000","49,081,423","46,469,589","45,128,344","46,677,951","192,011,697","190,712,652","145,869,259"
	CurrentLiabilities,"131,815,000","131,856,000","119,650,000","108,723,000","103,410,000","103,852,000","105,506,000","114,307,000","99,647,000","99,396,000","100,266,000","84,214,000","76,680,000","66,288,000","58,550,000","42,507,000","43,711,000","36,085,000","29,411,000","30,839,000","29,215,000","31,476,000","34,820,000","27,065,000","24,824,000","26,520,000","22,320,000","18,485,000","18,770,000","18,094,000","15,655,954","13,210,680","13,135,541","14,599,232","20,018,631","17,467,434","17,052,365"
		PayablesAndAccruedExpenses,"51,703,000","37,451,000","33,303,000","33,909,000","33,242,000","22,588,000","26,848,000","20,934,000","27,679,000","25,759,000","24,292,000","15,054,000","14,582,000","10,754,000","10,129,000","7,924,000","6,950,000","7,982,000","10,141,000","7,380,000","7,374,000","9,142,000","7,629,000","9,018,000","8,147,000","7,355,000","6,621,000","5,913,000","6,673,000","4,869,000","4,237,283","4,207,337","3,542,040","4,225,602","5,212,125","3,221,124","3,224,452"
			Payables,"45,341,000","28,032,000","26,973,000","27,504,000","28,184,000","17,805,000","20,499,000","16,371,000","21,783,000","17,745,000","16,314,000","9,268,000","11,206,000","6,824,000","6,198,000","3,646,000","3,751,000","5,150,000","7,605,000","6,624,000","4,890,000","7,513,000","5,607,000","6,841,000","5,974,000","5,234,000","4,018,000","3,999,000","4,087,000","1,949,000","3,046,800","2,520,912","2,053,359","2,352,037",,,
				AccountsPayable,"45,341,000","28,032,000","26,973,000","27,504,000","28,184,000","17,805,000","20,499,000","16,371,000","21,783,000","17,745,000","16,314,000","9,268,000","11,206,000","6,824,000","6,198,000","3,646,000","3,751,000","5,150,000","7,605,000","6,624,000","4,890,000","7,513,000","5,607,000","6,841,000","5,974,000","5,234,000","4,018,000","3,999,000","4,087,000","1,949,000","3,046,800","2,520,912","2,053,359","2,352,037",,,
			CurrentAccruedExpenses,"6,362,000","9,419,000","6,330,000","6,405,000","5,058,000","4,783,000","6,349,000","4,563,000","5,896,000","8,014,000","7,978,000","5,786,000","3,376,000","3,930,000","3,931,000","4,278,000","3,199,000","2,832,000","2,536,000","756,000","2,484,000","1,629,000","2,022,000","2,177,000","2,173,000","2,121,000","2,603,000","1,914,000","2,586,000","2,920,000","1,190,483","1,686,425","1,488,681","1,873,565",,,
		PensionandOtherPostRetirementBenefitPlansCurrent,"38,258,000","51,556,000","47,219,000","36,476,000","32,711,000","34,159,000","30,526,000","25,731,000","22,059,000","28,320,000","28,207,000","23,896,000","17,047,000","24,030,000","17,229,000","13,641,000","10,510,000","14,488,000","11,413,000","13,121,000","11,630,000","10,183,000","10,536,000","10,952,000","9,538,000","11,761,000","9,854,000","8,677,000","8,789,000","9,722,000","8,367,716","5,497,815","6,574,937","5,876,011","4,721,218","3,940,829","1,990,770"
