name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,12/31/2011,09/30/2011,12/31/2010,09/30/2010
OperatingCashFlow,"508,379,000","153,539,000","146,711,000","105,227,000","102,902,000","117,028,000","117,638,000","139,787,000","230,932,000","252,514,000","242,734,000","191,146,000","193,679,000","221,080,000","216,680,000","172,444,000","142,714,000","153,002,000","135,876,000","125,239,000","66,193,000","119,865,000","92,666,000","120,200,000","81,915,000","98,592,000","78,380,000","70,619,000","47,057,000","87,865,000","72,135,000","119,904,000","125,898,000","111,998,000","122,428,000","107,237,000","62,750,000","81,017,000","50,484,000","81,106,000"
	CashFlowFromContinuingOperatingActivities,"508,379,000","153,539,000","146,711,000","105,227,000","102,902,000","117,028,000","117,641,000","139,796,000","230,932,000","252,802,000","198,703,000","191,146,000","193,679,000","221,080,000","216,680,000","172,444,000","142,714,000","153,002,000","135,876,000","125,239,000","66,193,000","119,865,000","92,666,000","120,200,000","81,915,000","98,592,000","78,380,000","70,619,000","47,057,000","87,865,000","72,135,000","119,904,000","125,898,000","111,998,000","122,428,000","107,237,000","62,750,000","81,017,000","50,484,000","81,106,000"
		NetIncomeFromContinuingOperations,"233,540,000","52,443,000","48,738,000","51,809,000","80,550,000","75,971,000","230,776,000","93,667,000","48,026,000","5,460,000","-50,553,000","27,085,000","25,063,000","35,017,000","8,671,000","15,304,000","18,225,000","27,898,000","6,883,000","-3,368,000","11,873,000","13,852,000","8,714,000","7,837,000","8,188,000","9,863,000","4,181,000","4,417,000","10,864,000","24,530,000","22,502,000","18,485,000","30,629,000","40,055,000","19,714,000","17,088,000","6,546,000","11,329,000","4,516,000","6,988,000"
		OperatingGainsLosses,,,"842,000","0","0","378,000",,,,,"0","0","0","2,321,000","7,812,000","12,469,000","0","4,710,000","7,968,000",,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"38,262,000","9,514,000","12,374,000","8,914,000","7,460,000","6,627,000","8,288,000","3,770,000","4,004,000","3,670,000","3,213,000","3,716,000","3,942,000","4,184,000","3,827,000","3,688,000","3,837,000","3,838,000","3,992,000","3,533,000","3,366,000","3,497,000","3,560,000","3,789,000","4,228,000","3,987,000","4,190,000","3,882,000","5,033,000","5,283,000","4,960,000","5,338,000","4,316,000","4,118,000","4,157,000","3,958,000","2,689,000","2,852,000","2,424,000","2,074,000"
			DepreciationAndAmortization,"38,262,000","9,514,000","12,374,000","8,914,000","7,460,000","6,627,000","8,288,000","3,770,000","4,004,000","3,670,000","3,213,000","3,716,000","3,942,000","4,184,000","3,827,000","3,688,000","3,837,000","3,838,000","3,992,000","3,533,000","3,366,000","3,497,000","3,560,000","3,789,000","4,228,000","3,987,000","4,190,000","3,882,000","5,033,000","5,283,000","4,960,000","5,338,000","4,316,000","4,118,000","4,157,000","3,958,000","2,689,000","2,852,000","2,424,000","2,074,000"
		DeferredTax,"34,262,000","8,398,000","15,726,000","5,211,000","4,927,000","13,442,000","7,414,000","-2,381,000","1,419,000","-3,212,000","2,924,000","230,000","-5,973,000","7,560,000","-12,923,000","32,436,000","-930,000","3,388,000","-8,544,000","-6,209,000","-389,000","10,400,000","-837,000","-668,000","-9,155,000","8,459,000","1,726,000","-232,000","-9,595,000","6,702,000","6,148,000","-968,000","1,629,000","5,336,000","2,014,000","-2,635,000","-5,600,000","-3,274,000","5,699,000","-1,626,000"
			DeferredIncomeTax,"34,262,000","8,398,000","15,726,000","5,211,000","4,927,000","13,442,000","7,414,000","-2,381,000","1,419,000","-3,212,000","2,924,000","230,000","-5,973,000","7,560,000","-12,923,000","32,436,000","-930,000","3,388,000","-8,544,000","-6,209,000","-389,000","10,400,000","-837,000","-668,000","-9,155,000","8,459,000","1,726,000","-232,000","-9,595,000","6,702,000","6,148,000","-968,000","1,629,000","5,336,000","2,014,000","-2,635,000","-5,600,000","-3,274,000","5,699,000","-1,626,000"
		UnrealizedGainLossOnInvestmentSecurities,"274,716,000","115,629,000",,,,"21,078,000","20,349,000","22,777,000","120,672,000","235,719,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		StockBasedCompensation,"20,742,000","5,367,000","5,107,000","5,018,000","5,250,000","5,804,000","7,153,000","3,768,000","3,660,000","3,460,000","2,183,000","3,387,000","3,323,000","3,074,000","3,511,000","2,882,000","2,834,000","2,433,000","3,004,000","2,996,000","2,987,000","2,320,000","2,108,000","2,265,000","2,181,000","1,968,000","3,089,000","2,625,000","2,204,000","1,712,000","407,000","87,000","85,000","85,000","-128,000","86,000","26,000","50,000","18,000","19,000"
