name,ttm,03/31/2022,09/30/2021,03/31/2021
TotalRevenue,"124,536,000","41,998,000","0","0"
	OperatingRevenue,"124,536,000","41,998,000","0","0"
OperatingExpense,"806,554,000","185,142,000","7,194,644","191,789,000"
	SellingGeneralAndAdministration,"114,297,000","31,052,000","7,194,644","32,680,000"
		GeneralAndAdministrativeExpense,,,"7,194,644",
			OtherGandA,,,"7,194,644",
	ResearchAndDevelopment,"692,257,000","154,090,000",,"159,109,000"
OperatingIncome,"-682,018,000","-143,144,000","-7,194,644","-191,789,000"
NetNonOperatingInterestIncomeExpense,"536,000","581,000","0","570,000"
	InterestIncomeNonOperating,"536,000","581,000",,"570,000"
OtherIncomeExpense,"35,985,000","65,757,000","6,804,119","-44,000"
	GainOnSaleOfSecurity,,"65,810,000","6,804,119",
	OtherNonOperatingIncomeExpenses,"-5,193,000","-53,000",,"-44,000"
PretaxIncome,"-645,497,000","-76,806,000","-390,525","-191,263,000"
TaxProvision,"-1,855,000","2,000",,"-2,644,000"
NetIncomeCommonStockholders,"-643,642,000","-76,808,000","-390,525","-188,619,000"
	NetIncome,"-643,642,000","-76,808,000","-390,525","-188,619,000"
		NetIncomeIncludingNoncontrollingInterests,"-643,642,000","-76,808,000","-390,525","-188,619,000"
			NetIncomeContinuousOperations,"-643,642,000","-76,808,000","-390,525","-188,619,000"
DilutedNIAvailtoComStockholders,"-643,642,000","-76,808,000","-390,525","-188,619,000"
BasicEPS,,"-0.07","-0","-0.696"
DilutedEPS,,"-0.07","-0","-0.696"
BasicAverageShares,,"1,126,147,810","1,123,977,525","270,940,197"
DilutedAverageShares,,"1,126,147,810","1,123,977,525","270,940,197"
TotalOperatingIncomeAsReported,"-682,018,000","-143,144,000","-7,194,644","-191,789,000"
TotalExpenses,"806,554,000","185,142,000","7,194,644","191,789,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"-643,642,000","-76,808,000","-390,525","-188,619,000"
NormalizedIncome,"-684,701,664.531","-116,294,000","-7,194,644","-188,619,000"
InterestIncome,"536,000","581,000",,"570,000"
NetInterestIncome,"536,000","581,000","0","570,000"
EBIT,"-682,018,000","-143,144,000","-7,194,644","-191,789,000"
EBITDA,"-666,645,000"
ReconciledDepreciation,"15,373,000","5,786,000",,"5,994,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"-643,642,000","-76,808,000","-390,525","-188,619,000"
TotalUnusualItemsExcludingGoodwill,"41,178,000","65,810,000","6,804,119",
TotalUnusualItems,"41,178,000","65,810,000","6,804,119",
NormalizedEBITDA,"-707,823,000","-203,168,000","-13,998,763","-185,795,000"
TaxRateForCalcs,"0.003","0.4","0","0.014"
TaxEffectOfUnusualItems,"118,335.469","26,324,000","0","0"
