name,ttm,03/31/2022
MarketCap,"754,416,212","1,256,516,869"
EnterpriseValue,"1,144,377,212","1,256,913,722"
PeRatio,,"56.377"
PsRatio,,"1.899"
PbRatio,"1.18","2.748"
EnterprisesValueEBITDARatio,"-85.867"
