name,ttm,02/28/2022,11/30/2021,08/31/2021,05/31/2021,02/28/2021,11/30/2020,08/31/2020,05/31/2020,02/29/2020,11/30/2019,08/31/2019,05/31/2019,02/28/2019,11/30/2018,08/31/2018,05/31/2018,02/28/2018,11/30/2017,08/31/2017,05/31/2017,02/28/2017,11/30/2016,08/31/2016,05/31/2016,02/29/2016,11/30/2015,08/31/2015,05/31/2015,02/28/2015,11/30/2014,08/31/2014,05/31/2014,02/28/2014,11/30/2013,08/31/2013,05/31/2013,02/28/2013,11/30/2012,08/31/2012,05/31/2012,02/29/2012,11/30/2011,08/31/2011,05/31/2011,02/28/2011,11/30/2010,08/31/2010,05/31/2010,02/28/2010,11/30/2009,08/31/2009,05/31/2009,02/28/2009,11/30/2008,08/31/2008,05/31/2008,02/29/2008,11/30/2007,08/31/2007,05/31/2007,02/28/2007,11/30/2006,08/31/2006,05/31/2006,02/28/2006,11/30/2005,08/31/2005,05/31/2005,02/28/2005,11/30/2004,08/31/2004,05/31/2004,02/29/2004,11/30/2003,08/31/2003,05/31/2003,02/28/2003,11/30/2002,08/31/2002,05/31/2002,02/28/2002,11/30/2001,08/31/2001,05/31/2001,02/28/2001,11/30/2000,08/31/2000,05/31/2000,02/29/2000,11/30/1999,08/31/1999,05/31/1999,02/28/1999,11/30/1998,08/31/1998,05/31/1998,02/28/1998,11/30/1997,08/31/1997,05/31/1997,02/28/1997,11/30/1996,08/31/1996,05/31/1996,02/29/1996,11/30/1995,08/31/1995,05/31/1995,02/28/1995,11/30/1994,08/31/1994
		CashDividendsPaid,"-65,955,000","-16,300,000","-10,300,000","-10,018,000","-29,245,000","-9,702,000","-11,990,000","-11,646,000","-36,478,000","-21,144,000","-4,874,000","-13,285,000","-15,078,000","-18,057,000","-3,652,000","-11,668,000","-35,975,000","-28,085,000","-27,219,000","-7,515,000","-14,262,000","-14,292,000","-17,332,000","-38,323,000","-14,954,000","-47,359,000","-17,759,000","-12,308,000","-12,120,000","-10,163,000","-2,275,000","-6,090,000","-1,505,000",,,,,,,,,,,,,,,"0","0",,,"0","0",,,"-1,328,000","-1,328,000",,,"-1,293,000","-1,294,000",,,"-1,276,000","-1,271,000",,,"-1,197,000","-899,000",,,,,,,,,,,"0","0","0","-847,000","-1,271,000","-1,270,000","-1,271,000","-1,274,000","-1,282,000",,,"-1,300,000","-3,000,000","-900,000","-800,000","-900,000","-800,000","-900,000","-800,000","-900,000","-900,000","-800,000","-800,000","-900,000","-900,000","-800,000","-800,000","-900,000","-900,000","-800,000","-800,000","-900,000",
			CommonStockDividendPaid,,,,,,,"-11,990,000","-11,646,000","-36,478,000","-21,144,000","-4,874,000","-13,285,000","-15,078,000","-18,057,000","-3,652,000","-11,668,000","-35,975,000","-28,085,000","-27,219,000","-7,515,000","-14,262,000","-14,292,000","-17,332,000","-38,323,000","-14,954,000","-47,359,000","-17,759,000","-12,308,000","-12,120,000","-10,163,000","-2,275,000","-6,090,000","-1,505,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		ProceedsFromStockOptionExercised,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,412,000","1,259,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		NetOtherFinancingCharges,"-24,605,000","-4,100,000","-4,600,000","-8,436,000","-7,512,000","-20,000","-2,337,000","0","-371,000","-21,000","-1,874,000","-5,656,000","-1,763,000","-19,000","-7,513,000","-7,000","-2,517,000","-138,000","1,439,000","2,396,000","425,000","-9,439,000","-2,464,000","-854,000","5,388,000","303,000","-1,672,000","-56,000","-1,142,000","888,000","13,970,000","-11,000,000","-383,000","-42,000","571,000","752,000","1,216,000","731,000","1,399,000","-91,000",,,,"-3,612,000","-7,872,000","-405,000","26,000","1,000","28,000",,,"-348,000","-764,000","0","1,400,000","515,000","1,362,000","3,996,000","651,000","2,295,000","4,752,000","1,353,000","2,069,000","7,236,000","0",,,,,,,"-11,093,000",,,,,,,,,,,,,,,,"-6,426,000",,,,"0",,,"100,000","0","-100,000",,,"0","-100,000",,,,,"-200,000","100,000","100,000","9,200,000",,,"-800,000"
	CashFromDiscontinuedFinancingActivities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","-968,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EndCashPosition,"596,573,000","602,500,000","437,900,000","671,396,000","636,889,000","602,113,000","733,094,000","842,087,000","743,962,000","178,468,000","262,250,000","338,487,000","381,096,000","363,084,000","471,669,000","530,655,000","589,969,000","586,008,000","591,406,000","611,466,000","465,413,000","545,752,000","233,790,000","222,679,000","214,440,000","283,541,000","197,633,000","172,930,000","122,783,000","145,512,000","118,958,000","184,916,000","198,492,000","143,929,000","81,226,000","97,435,000","31,606,000","55,637,000","41,284,000","53,571,000","44,915,000","40,666,000","20,855,000","50,222,000","34,302,000","99,089,000","49,247,000","98,864,000","116,595,000","67,907,000","65,393,000","76,187,000","17,024,000","41,066,000","18,765,000","5,957,000","0","6,434,000","6,685,000","20,808,000","28,319,000","6,169,000","14,359,000","142,894,000","186,660,000","51,665,000","100,695,000","73,204,000","67,288,000","12,063,000","16,305,000","12,110,000","13,793,000","4,247,000","51,212,000","75,700,000","73,100,000","59,240,000","57,488,000","58,777,000","66,455,000","49,544,000","68,518,000","77,299,000","39,257,000","11,283,000","5,610,000","12,819,000","9,953,000","35,833,000","16,900,000","77,200,000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
	ChangesInCash,"-5,527,000","156,800,000","-224,700,000","34,056,000","28,294,000","-129,176,000","-114,201,000","93,031,000","580,363,000","-79,977,000","-77,218,000","-32,809,000","21,703,000","-111,849,000","-65,366,000","-57,110,000","15,958,000","-6,669,000","-18,324,000","142,894,000","-90,509,000","304,201,000","19,702,000","5,819,000","-71,795,000","88,350,000","31,673,000","54,036,000","-21,814,000","29,704,000","-63,948,000","-10,347,000","54,960,000","61,949,000","-18,294,000","65,378,000","-22,403,000","15,431,000","-13,387,000","4,522,000","7,580,000","10,371,000","-24,158,000","19,428,000","-64,780,000","49,069,000","-49,242,000","-16,789,000","49,582,000","432,000","-10,258,000","53,196,000","-28,481,000","28,809,000","19,422,000","6,688,000","-7,673,000","-930,000","-14,639,000","-8,074,000","20,794,000","-8,814,000","-128,371,000","-43,501,000","135,760,000","-49,444,000","28,155,000","5,732,000","58,228,000","-4,404,000","-4,000","-1,683,000","9,546,000","-48,563,000","-24,488,000","2,600,000","13,860,000","1,752,000","-1,289,000","-4,926,000","16,911,000","-18,974,000","-8,781,000","38,042,000","27,974,000","5,673,000","-7,298,000","2,866,000","-25,880,000","18,872,000","-60,200,000","30,300,000","20,400,000","-9,300,000","-6,200,000","5,500,000","1,100,000","-19,700,000","40,600,000","9,600,000","-400,000","-9,200,000","8,300,000","300,000","-3,600,000","5,500,000","-6,500,000","1,800,000","0","-31,400,000","-10,300,000","46,700,000"
	EffectOfExchangeRateChanges,"5,936,000","7,800,000","-8,800,000","451,000","6,482,000","-1,805,000","5,208,000","5,094,000","-14,869,000","-3,805,000","981,000","-9,800,000","-3,691,000","3,264,000","-2,439,000","-2,204,000","-11,997,000","1,271,000","-1,736,000","3,159,000","10,170,000","7,761,000","-8,591,000","2,420,000","2,694,000","-2,442,000","-6,970,000","-3,889,000","-915,000","-3,150,000","-2,010,000","-3,229,000","-397,000","754,000","2,085,000","451,000","-1,628,000","-1,078,000","1,100,000","4,134,000","-3,331,000","9,440,000","-5,209,000","-3,508,000","-7,000","773,000","-375,000","-942,000","-894,000","2,082,000","-536,000","5,967,000","4,439,000","-6,508,000","-6,614,000","-731,000","1,239,000","679,000","516,000","563,000","1,356,000","624,000","-164,000","-265,000","-765,000","414,000","-664,000","184,000","-3,003,000","162,000","4,199,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	BeginningCashPosition,"602,100,000","437,900,000","671,400,000","636,889,000","602,113,000","733,094,000","842,087,000","743,962,000","178,468,000","262,250,000","338,487,000","381,096,000","363,084,000","471,669,000","539,474,000","589,969,000","586,008,000","591,406,000","611,466,000","465,413,000","545,752,000","233,790,000","222,679,000","214,440,000","283,541,000","197,633,000","172,930,000","122,783,000","145,512,000","118,958,000","184,916,000","198,492,000","143,929,000","81,226,000","97,435,000","31,606,000","55,637,000","41,284,000","53,571,000","44,915,000","40,666,000","20,855,000","50,222,000","34,302,000","99,089,000","49,247,000","98,864,000","116,595,000","67,907,000","65,393,000","76,187,000","17,024,000","41,066,000","18,765,000","5,957,000","0","6,434,000","6,685,000","20,808,000","28,319,000","6,169,000","14,359,000","142,894,000","186,660,000","51,665,000","100,695,000","73,204,000","67,288,000","12,063,000","16,305,000","12,110,000","13,793,000","4,247,000","51,212,000","75,700,000","73,100,000","59,240,000","57,488,000","58,777,000","66,455,000","49,544,000","68,518,000","77,299,000","39,257,000","11,283,000","5,610,000","12,908,000","9,953,000","35,833,000","16,900,000","77,200,000","0","0","0","41,900,000","0","0","0","14,400,000","0","0","0","6,100,000","0","0","0","10,400,000","0","0","0","50,200,000","0"
	OtherCashAdjustmentOutsideChangeinCash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-100,000","46,900,000","-20,400,000","9,300,000","-35,700,000","-5,500,000","-1,100,000","19,700,000","-55,000,000","-9,600,000","400,000","9,200,000","-14,400,000","-300,000","3,600,000","-5,500,000","-3,900,000","-1,800,000","0","31,400,000","-39,900,000","-46,700,000"
IncomeTaxPaidSupplementalData,"5,703,000",,,"1,163,000","2,808,000","1,929,000","5,203,000","23,546,000","10,890,000","13,811,000","11,692,000","16,180,000","14,410,000","24,007,000","7,487,000","-128,642,000","41,430,000","20,404,000","385,000","4,693,000","21,769,000","8,385,000","10,433,000","47,588,000","14,817,000","14,701,000","48,349,000","52,131,000","37,259,000","22,083,000","28,487,000","27,620,000","12,360,000","11,589,000","17,694,000","13,276,000","8,116,000",,,"4,588,000","1,530,000","-130,000","2,613,000","-189,000","353,000",,,,,"695,000","250,000","293,000","559,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
InterestPaidSupplementalData,"27,225,000","4,300,000","10,600,000","7,455,000","4,915,000","9,408,000","6,347,000","14,953,000","5,149,000","5,007,000","6,601,000","6,980,000","2,750,000","6,860,000","1,740,000","-31,958,000","3,846,000","5,572,000","3,662,000","5,462,000","3,556,000","1,433,000","3,511,000","1,425,000","3,924,000","2,870,000","4,058,000","2,026,000","6,070,000","1,703,000","5,736,000","1,531,000","6,206,000","1,141,000","5,469,000","1,120,000","5,977,000",,,"1,920,000","2,647,000","1,694,000","6,476,000","2,022,000","11,777,000",,,,,"942,000","12,854,000","1,375,000","13,492,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CapitalExpenditure,"-286,711,000","-11,100,000","-186,900,000","-76,237,000","-12,421,000","-11,749,000","-38,604,000","-11,553,000","-14,492,000","-17,618,000","-23,216,000","-48,288,000","-51,769,000","-69,499,000","-28,677,000","-58,192,000","-65,153,000","-23,610,000","-29,893,000","-32,217,000","-32,654,000","-8,610,000","-12,584,000","-87,306,000","-23,733,000","-12,379,000","-15,595,000","-30,097,000","-22,036,000","-22,542,000","-31,314,000","-35,705,000","-17,993,000","-9,987,000","-6,542,000","-11,150,000","-14,152,000","-10,384,000","-25,141,000","-45,768,000","-36,404,000","-20,706,000","-15,007,000","-24,613,000","-29,557,000","-18,596,000","-11,536,000","-10,723,000","-8,650,000","-7,677,000","-11,939,000","-5,342,000","-18,357,000","-6,675,000","-8,473,000","-13,167,000","-48,479,000","-1,523,000","-14,475,000","-10,852,000","-48,090,000","-47,894,000","-30,458,000","-73,423,000","-5,522,000","-17,223,000","-44,401,000","-19,645,000","-14,634,000","-22,449,000","-12,395,000","-9,682,000","-15,085,000","-8,692,000","-9,500,000","-2,706,000","-2,460,000","-1,393,000","-3,535,000","-8,538,000","-2,337,000","-8,515,000","-2,012,000","-26,221,000","-9,681,000","-6,262,000","-31,172,000","-39,360,000","-7,616,000","-27,045,000","-19,800,000","-31,600,000","-18,300,000","-22,100,000","-10,200,000","-11,900,000","-12,000,000","-19,100,000","-7,300,000","-6,300,000","-6,100,000","-36,300,000","-15,700,000",,"-43,700,000","-24,800,000","-33,600,000","-15,100,000","-21,000,000","-8,300,000","-9,100,000","-6,200,000"
IssuanceOfCapitalStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0",,,"0","0",,,,,,,,,,"1,152,000","1,086,000","1,178,000","960,000","783,000","873,000","968,000","771,000","877,000","747,000","1,388,000","2,817,000","805,000","127,080,000","1,528,000","1,966,000","174,000","2,209,000","619,000","2,731,000","534,000",,,,,,,,,,,,,,,,,,,,"100,000","100,000","600,000",,,,,,,,,,,,,,,
IssuanceOfDebt,"715,190,000","323,300,000","0","18,140,000","373,750,000","2,000,000","110,000,000","1,500,000","175,000,000","0","0","300,000,000","0","0","225,000,000","22,000","-180,000","11,791,000","2,138,000","1,093,000","0",,,,,,"0","1,888,000","0","19,507,000","23,056,000","3,145,000","202,936,000","24,264,000","7,474,000","8,516,000","11,879,000","10,773,000","9,195,000","7,379,000","9,998,000","39,089,000","10,057,000","11,786,000","234,623,000","2,751,000","7,249,000","6,026,000","-1,541,000","1,541,000","1,712,000","69,768,000","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RepaymentOfDebt,"-331,354,000","-5,600,000","-2,000,000","-30,286,000","-293,478,000","-117,082,000","-183,908,000","-6,177,000","-6,882,000","-7,371,000","-9,749,000","-3,168,000","-3,162,000","-3,188,000","-173,453,000","-2,995,000","-3,218,000","-13,247,000","-2,809,000","-2,828,000","-1,750,000","-1,969,000","-1,750,000","-2,838,000","-15,731,000","-3,857,000","-1,761,000","-21,478,000","-19,820,000","-15,453,000","-6,368,000","-10,122,000","-135,951,000","-37,570,000","-18,101,000","-9,328,000","-67,220,000","-7,078,000","-10,171,000","-11,403,000","-8,999,000","-13,753,000","-6,849,000","-76,597,000","-242,440,000","-1,089,000","-1,234,000","-13,478,000","-26,446,000","1,102,000","-5,143,000","-82,339,000","-7,954,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RepurchaseOfCapitalStock,,,,"0",,,,,,,,,,,,,,,,"0","0","0","0","0","-252,000","-13,043,000","-20,203,000","-21,499,000","-1,505,000","-25,216,000","-21,730,000","-7,290,000","-17,404,000","-8,018,000","-871,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,"0","0","-125,000","-834,000",,,,,,,,,,,,,,,,,,,,,,,,,
FreeCashFlow,"-452,736,000","-34,700,000","-383,600,000","7,076,000","-41,485,000","-115,194,000","-29,933,000","171,676,000","207,714,000","-80,473,000","-93,535,000","24,594,000","730,000","-119,002,000","-125,796,000","-34,477,000","22,126,000","8,391,000","-69,547,000","175,449,000","-41,793,000","44,246,000","16,422,000","49,686,000","21,630,000","200,427,000","-79,086,000","132,679,000","15,314,000","23,495,000","-85,144,000","18,462,000","-3,073,000","70,288,000","-19,997,000","74,205,000","-28,503,000","48,689,000","-50,626,000","16,655,000","25,145,000","-19,630,000","-23,999,000","18,442,000","-55,119,000","-22,895,000","-58,982,000","-4,386,000","19,784,000","-4,984,000","-6,842,000","25,882,000","15,062,000","71,521,000","-30,847,000","-1,009,000","42,412,000","-63,684,000","-23,245,000","5,665,000","58,425,000","-82,660,000","-72,397,000","-41,523,000","25,485,000","-48,952,000","-36,037,000","2,731,000","-6,960,000","-51,929,000","-34,904,000","7,604,000","20,373,000","-60,857,000","-24,134,000","7,711,000","11,335,000","-6,179,000","-1,845,000","-1,039,000","15,008,000","-5,805,000","-2,293,000","47,154,000","-14,531,000","-10,337,000","-54,206,000","3,185,000","-51,380,000","3,385,000","-77,300,000","-400,000","16,600,000","-38,200,000","-21,800,000","4,700,000","12,500,000","-16,000,000","24,400,000","-23,300,000","-6,700,000","-51,100,000","35,300,000","-10,200,000","-13,600,000","-3,500,000","-32,700,000","-5,000,000","-8,200,000","-25,300,000","500,000","10,700,000"
