name,04/30/2022,01/31/2022,10/31/2021,07/31/2021,04/30/2021,01/31/2021,10/31/2020,07/31/2020,04/30/2020,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019,10/31/2018,07/31/2018,04/30/2018,01/31/2018,10/31/2017,07/31/2017,04/30/2017,01/31/2017,10/31/2016,07/31/2016,04/30/2016,01/31/2016,10/31/2015,07/31/2015,04/30/2015,01/31/2015,10/31/2014,07/31/2014,04/30/2014,01/31/2014,10/31/2013,07/31/2013,04/30/2013,01/31/2013,10/31/2012,07/31/2012,04/30/2012,01/31/2012,10/31/2011,07/31/2011,04/30/2011,01/31/2011,10/31/2010,07/31/2010,04/30/2010,01/31/2010,10/31/2009,07/31/2009,04/30/2009,01/31/2009,10/31/2008,07/31/2008,04/30/2008,01/31/2008,10/31/2007,07/31/2007,04/30/2007,01/31/2007,07/31/2006,04/30/2006,04/30/2005
TotalAssets,"914,200,000","905,263,000","925,307,000","908,553,000","928,566,000","590,992,000","588,007,000","577,819,000","584,954,000","559,080,000","544,493,000","534,582,000","508,844,000","498,963,000","486,567,000","480,361,000","472,911,000","432,845,000","429,263,000","420,739,000","432,500,000","387,456,000","389,898,000","389,534,000","410,393,000","389,491,000","380,029,000","383,274,000","397,467,000","386,471,000","386,129,000","378,603,000","384,954,000","366,881,000","350,816,000","351,559,000","363,465,000","358,790,000","356,306,000","340,488,000","369,151,000","324,545,000","322,939,000","301,472,000","331,747,000","292,893,000","276,207,000","259,984,000","281,971,000","253,295,000","245,646,000","235,529,000","253,181,000","230,109,000","220,925,000","204,230,000","202,779,000","188,823,000","177,550,000","168,054,000","168,177,000","157,196,000","55,776,000","64,778,000","50,364,000"
	CurrentAssets,"368,909,000","354,522,000","364,077,000","344,918,000","401,638,000","521,544,000","507,599,000","486,792,000","503,927,000","457,334,000","456,152,000","455,329,000","469,588,000","436,875,000","421,912,000","410,203,000","399,147,000","355,255,000","357,674,000","346,994,000","354,085,000","308,948,000","313,887,000","323,765,000","349,703,000","329,630,000","321,320,000","318,181,000","329,032,000","309,896,000","311,567,000","313,731,000","306,857,000","289,379,000","265,763,000","250,565,000","263,454,000","266,809,000","263,950,000","254,985,000","281,769,000","257,207,000","271,623,000","267,243,000","298,031,000","259,258,000","241,989,000","224,519,000","245,595,000","220,986,000","212,547,000","203,673,000","221,374,000","204,134,000","196,170,000","189,751,000","189,564,000","177,688,000","167,003,000","159,580,000","161,068,000","149,360,000","47,492,000","56,508,000","45,452,000"
		CashCashEquivalentsAndShortTermInvestments,"101,947,000","86,497,000","111,081,000","111,877,000","180,712,000","373,042,000","347,236,000","318,173,000","302,649,000","279,998,000","292,377,000","300,728,000","323,195,000","294,184,000","289,791,000","289,091,000","257,166,000","221,847,000","227,860,000","225,304,000","199,875,000","194,373,000","207,084,000","224,115,000","227,691,000","220,398,000","205,999,000","217,468,000","228,791,000","203,558,000","207,459,000","224,892,000","197,608,000","167,579,000","143,803,000","128,813,000","148,573,000","133,786,000","135,464,000","122,683,000","141,372,000","154,437,000","177,371,000","188,130,000","188,880,000","161,883,000","157,341,000","157,618,000","164,435,000","119,915,000","124,673,000","140,797,000","138,024,000","123,452,000","116,646,000","113,356,000","118,439,000","110,345,000","106,683,000","101,022,000","109,245,000","108,207,000","13,478,000","15,388,000","10,060,000"
			CashAndCashEquivalents,"77,231,000","82,528,000","104,770,000","93,924,000","148,741,000","324,543,000","280,099,000","246,839,000","255,142,000","131,496,000","130,742,000","137,094,000","172,708,000","149,369,000","151,255,000","170,788,000","143,517,000","112,304,000","117,109,000","117,473,000","79,904,000","73,278,000","88,876,000","122,313,000","124,287,000","122,706,000","128,032,000","146,450,000","143,410,000","125,977,000","126,339,000","148,052,000","126,969,000","92,749,000","66,126,000","64,339,000","75,332,000","63,975,000","70,770,000","53,210,000","64,220,000","65,865,000","98,589,000","81,247,000","62,041,000","39,099,000","76,664,000","45,442,000","28,665,000","52,843,000","98,176,000","113,284,000","116,501,000","101,938,000","116,646,000","104,831,000","105,064,000","79,565,000","14,283,000","29,622,000","20,920,000","108,207,000","13,478,000","15,388,000","10,060,000"
			OtherShortTermInvestments,"24,716,000","3,969,000","6,311,000","17,953,000","31,971,000","48,499,000","67,137,000","71,334,000","47,507,000","148,502,000","161,635,000","163,634,000","150,487,000","144,815,000","138,536,000","118,303,000","113,649,000","109,543,000","110,751,000","107,831,000","119,971,000","121,095,000","118,208,000","101,802,000","103,404,000","97,692,000","77,967,000","71,018,000","85,381,000","77,581,000","81,120,000","76,840,000","70,639,000","74,830,000","77,677,000","64,474,000","73,241,000","69,811,000","64,694,000","69,473,000","77,152,000","88,572,000","78,782,000","106,883,000","126,839,000","122,784,000","80,677,000","112,176,000","135,770,000","67,072,000","26,497,000","27,513,000","21,523,000","21,514,000",,"8,525,000","13,375,000","30,780,000","92,400,000","71,400,000","88,325,000",,,,
		Receivables,"164,806,000","166,310,000","157,291,000","133,217,000","134,279,000","87,705,000","101,274,000","117,148,000","149,497,000","105,347,000","102,961,000","90,659,000","84,919,000","85,696,000","80,293,000","73,672,000","69,889,000","50,943,000","48,600,000","44,407,000","88,481,000","40,428,000","46,929,000","51,378,000","74,944,000","53,332,000","57,380,000","47,772,000","50,963,000","48,119,000","43,075,000","34,331,000","49,252,000","57,105,000","51,614,000","44,135,000","42,851,000","55,358,000","69,394,000","74,893,000","83,451,000","48,720,000","47,247,000","36,178,000","66,342,000","64,021,000","52,197,000","35,634,000","57,355,000","63,397,000","56,550,000","37,479,000","66,036,000","56,225,000","56,096,000","50,885,000","50,378,000","46,504,000","43,678,000","38,644,000","34,185,000","28,811,000","19,623,000","26,424,000","20,166,000"
			AccountsReceivable,"60,170,000","41,739,000","26,552,000","45,764,000","62,647,000","26,621,000","30,701,000","43,357,000","73,660,000","27,936,000","40,564,000","42,724,000","31,051,000","34,064,000","34,639,000","13,802,000","56,813,000","25,690,000","35,106,000","30,685,000","74,361,000","23,121,000","26,102,000","32,635,000","56,045,000","38,991,000","42,746,000","28,205,000","33,607,000","37,834,000","31,096,000","23,213,000","31,739,000","42,617,000","36,238,000","19,604,000","19,770,000","31,600,000","48,330,000","49,880,000","56,417,000","24,213,000","25,571,000","22,034,000","44,376,000","44,452,000","33,299,000","17,057,000","38,645,000","40,860,000","32,279,000","17,485,000","42,551,000","30,078,000","56,096,000","50,885,000","50,378,000","43,881,000","38,871,000","38,644,000","34,185,000","28,811,000","19,623,000","26,424,000","20,166,000"
				GrossAccountsReceivable,"60,762,000","42,316,000","27,118,000","46,343,000","63,242,000","27,186,000","31,262,000","44,411,000","74,850,000","28,975,000","41,619,000","43,777,000","32,092,000","35,110,000","35,693,000","14,835,000","57,893,000","27,050,000","36,307,000","31,154,000","74,652,000","23,496,000","26,482,000","33,068,000","56,307,000","39,182,000","42,958,000","28,511,000","34,213,000","38,456,000","31,731,000","23,839,000","32,530,000","43,725,000","36,769,000","20,335,000","20,706,000","32,415,000","49,515,000","51,019,000","57,338,000","25,197,000","26,448,000","23,003,000",,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-592,000","-577,000","-566,000","-579,000","-595,000","-565,000","-561,000","-1,054,000","-1,190,000","-1,039,000","-1,055,000","-1,053,000","-1,041,000","-1,046,000","-1,054,000","-1,033,000","-1,080,000","-1,360,000","-1,201,000","-469,000","-291,000","-375,000","-380,000","-433,000","-262,000","-191,000","-212,000","-306,000","-606,000","-622,000","-635,000","-626,000","-791,000","-1,108,000","-531,000","-731,000","-936,000","-815,000","-1,185,000","-1,139,000","-921,000","-984,000","-877,000","-969,000",,,,,,,,,,,,,,,,,,,,,
			TaxesReceivable,"442,000","26,578,000","11,708,000","322,000",,,,,"0","0","0","0","821,000",,,,,"292,000",,"2,969,000",,"2,487,000","3,957,000","4,250,000",,"3,901,000","2,836,000","5,569,000","0","1,940,000","4,876,000","3,460,000","6,584,000","5,852,000","8,120,000","14,812,000","11,777,000","8,349,000",,"1,755,000",,,,"745,000",,,"2,321,000","2,743,000","0","3,218,000","4,355,000","5,536,000","3,415,000","3,043,000",,,,,,,,,,,
