name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002
TotalAssets,"12,179,310,000","12,530,826,000","12,607,695,000","13,022,665,000","13,166,911,000","13,869,547,000","13,967,116,000","14,885,675,000","14,273,347,000","13,871,281,000","13,277,058,000","13,165,274,000","13,161,227,000","13,216,269,000","12,377,491,000","11,816,556,000","12,215,174,000","12,681,739,000","12,427,954,000","11,856,899,000","11,829,528,000","11,953,557,000","10,925,944,000","10,610,351,000","10,646,560,000","10,522,259,000","9,981,185,000","9,283,042,000","9,151,680,000","9,062,861,000","9,181,699,000","9,071,342,000","9,113,221,000","8,377,030,000","8,069,628,000","7,773,339,000","7,535,926,000","7,276,594,000","7,956,227,000","7,480,591,000","7,403,067,000","6,899,496,000","7,428,974,000","7,107,712,000","6,783,167,000","6,674,497,000","7,361,883,000","7,369,175,000","7,290,162,000","7,581,769,000","6,862,058,000","6,648,726,000","7,312,438,000","6,742,615,000","7,287,502,000","6,529,053,000","6,205,535,000","6,299,282,000","5,086,109,000","4,857,503,000","4,695,032,000","4,660,180,000","5,236,768,000","4,101,465,000","4,009,387,000","3,945,283,000","3,942,764,000","3,911,529,000","3,868,376,000","3,464,212,000","2,469,984,000","2,127,836,000","1,736,326,000","1,733,323,000","1,733,313,000","1,453,716,000","1,413,023,000","1,398,601,000","579,704,000"
	CurrentAssets,"2,665,607,000","2,875,917,000","2,855,886,000","3,215,089,000","3,249,766,000","3,813,147,000","3,869,477,000","4,236,381,000","3,415,364,000","2,856,337,000","2,111,252,000","1,967,323,000","2,241,827,000","2,641,376,000","2,336,320,000","1,888,458,000","2,448,299,000","3,423,784,000","3,556,552,000","3,040,189,000","3,081,410,000","2,990,367,000","2,057,197,000","2,414,543,000","2,605,493,000","2,505,778,000","2,348,198,000","2,087,703,000","2,382,852,000","2,782,331,000","3,470,319,000","3,618,180,000","3,839,184,000","2,968,814,000","2,765,556,000","2,490,335,000","2,504,504,000","2,202,378,000","2,841,284,000","2,470,718,000","2,319,938,000","1,726,452,000","2,205,130,000","2,070,862,000","1,745,317,000","1,561,136,000","2,186,143,000","2,140,798,000","2,050,722,000","2,282,956,000","1,558,397,000","1,351,620,000","1,992,922,000","1,411,091,000","1,979,930,000","1,644,147,000","1,528,174,000","1,581,991,000","1,093,647,000","1,091,719,000","1,085,613,000","1,095,791,000","1,705,148,000","602,057,000","693,533,000","684,542,000","760,262,000","714,482,000","575,092,000","451,229,000","219,080,000","436,153,000","393,077,000","402,347,000","417,703,000","188,585,000","109,971,000","904,927,000","172,162,000"
		CashCashEquivalentsAndShortTermInvestments,"2,317,352,000","2,522,530,000","2,475,757,000","2,802,716,000","2,890,407,000","3,482,032,000","3,554,895,000","3,797,740,000","2,880,971,000","2,351,904,000","1,676,110,000","1,501,886,000","1,822,891,000","2,215,001,000","1,949,253,000","1,504,833,000","2,060,870,000","2,971,247,000","3,092,851,000","2,622,625,000","2,676,840,000","2,626,559,000","1,736,804,000","2,112,793,000","2,285,793,000","2,195,386,000","2,025,240,000","1,616,661,000","1,805,876,000","2,422,304,000","3,141,610,000","3,277,259,000","3,492,497,000","2,609,440,000","2,041,155,000","2,174,615,000","2,153,353,000","1,864,106,000","2,529,834,000","2,152,319,000","1,992,703,000","1,384,653,000","1,910,443,000","1,784,278,000","1,446,832,000","1,258,499,000","1,922,338,000","1,858,422,000","1,757,015,000","1,991,830,000","1,296,078,000","1,090,182,000","1,718,722,000","1,133,904,000","1,713,669,000","1,333,828,000","1,239,269,000","1,275,120,000","829,060,000","838,539,000","801,633,000","789,407,000","1,402,279,000","378,952,000","477,027,000","434,289,000","552,880,000","485,796,000","366,288,000","330,261,000","209,246,000","361,009,000","315,477,000","341,552,000","346,574,000","149,451,000","107,410,000","856,134,000","167,608,000"
			CashAndCashEquivalents,"2,317,352,000","2,522,530,000","2,475,757,000","2,802,716,000","2,890,407,000","3,482,032,000","3,554,895,000","3,797,740,000","2,880,971,000","2,351,904,000","1,676,110,000","1,501,886,000","1,822,891,000","2,215,001,000","1,949,253,000","1,445,163,000","2,031,662,000","2,804,474,000","2,935,985,000","2,486,423,000","2,543,431,000","2,453,122,000","1,510,808,000","1,902,323,000","2,107,253,000","2,080,089,000","1,900,209,000","1,488,220,000","1,641,908,000","2,182,164,000","2,890,878,000","3,035,111,000","3,273,621,000","2,435,041,000","2,041,155,000","2,028,229,000","2,056,705,000","1,725,219,000","2,330,937,000","1,933,189,000","1,871,070,000","1,262,587,000","1,776,024,000","1,684,989,000","1,446,832,000","1,258,499,000","1,922,338,000","1,858,422,000","1,757,015,000","1,991,830,000","1,296,078,000","1,090,182,000","1,718,722,000","1,133,904,000","1,713,669,000","1,333,828,000","1,239,269,000","1,275,120,000","829,060,000","838,539,000","801,633,000","789,407,000","1,402,279,000","378,952,000","477,027,000","434,289,000","552,880,000","485,796,000","366,288,000","330,261,000","209,246,000","361,009,000","315,477,000","341,552,000","346,574,000","149,451,000","107,410,000","109,644,000","167,608,000"
				CashFinancial,"1,765,903,000","2,021,553,000","2,054,901,000","2,437,127,000","2,476,330,000","2,501,452,000","2,518,812,000","2,407,678,000","1,722,706,000","1,265,502,000","1,191,948,000","1,111,691,000","1,310,594,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				CashEquivalents,"551,449,000","500,977,000","420,856,000","365,589,000","414,077,000","980,580,000","1,036,083,000","1,390,062,000","1,158,265,000","1,086,402,000","484,162,000","390,195,000","512,297,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherShortTermInvestments,,,,,,,,,,,,,,"0","0","59,670,000","29,208,000","166,773,000","156,866,000","136,202,000","133,409,000","173,437,000","225,996,000","210,470,000","178,540,000","115,297,000","125,031,000","128,441,000","163,968,000","240,140,000","250,732,000","242,148,000","218,876,000","174,399,000",,"146,386,000","96,648,000","138,887,000","198,897,000","219,130,000","121,633,000","122,066,000","134,419,000","99,289,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"746,490,000",
		Receivables,"187,007,000","199,463,000","221,933,000","245,959,000","215,337,000","200,158,000","178,826,000","296,318,000","380,771,000","346,429,000","286,611,000","296,696,000","259,804,000","276,644,000","232,672,000","230,114,000","228,226,000","224,128,000","224,132,000","196,179,000","186,002,000","218,968,000","177,591,000","173,550,000","188,476,000","187,887,000","204,650,000","267,960,000","290,757,000","237,957,000","206,466,000","218,905,000","230,690,000","241,932,000","216,247,000","207,031,000","243,578,000","238,573,000","213,322,000","218,068,000","222,547,000","238,490,000","190,346,000","180,792,000","186,841,000","187,464,000","141,379,000","157,560,000","157,860,000","152,879,000","122,258,000","118,553,000","123,485,000","125,196,000","138,858,000","153,596,000","156,224,000","179,059,000","134,202,000","124,969,000","129,427,000","140,232,000","101,902,000","65,772,000","66,533,000","88,468,000","55,455,000","55,544,000","802,000","227,000","145,000","8,000","44,000","78,000","207,000","59,000","154,000","184,000","171,000"
			AccountsReceivable,"187,007,000","199,463,000","221,933,000","245,959,000","215,337,000","200,158,000","178,826,000","296,318,000","380,771,000","346,429,000","286,611,000","296,696,000","259,804,000","276,644,000","232,672,000","230,114,000","228,226,000","224,128,000","224,132,000","196,179,000","186,002,000","218,968,000","177,591,000","173,550,000","188,476,000","187,887,000","204,650,000","267,960,000","290,757,000","237,957,000","206,466,000","218,905,000","230,690,000","241,932,000","216,247,000","207,031,000","243,578,000","238,573,000","309,632,000","309,553,000","366,315,000","367,968,000","310,719,000","300,372,000","306,144,000","187,464,000","141,379,000","157,560,000","157,860,000","152,879,000","122,258,000","118,553,000","123,485,000","125,196,000","138,858,000","153,596,000","156,224,000","179,059,000","134,202,000","124,969,000","129,427,000","140,232,000","101,902,000","65,772,000","84,891,000","88,468,000","55,455,000","55,544,000","802,000","227,000","145,000","8,000","44,000","78,000","207,000","59,000","154,000","184,000","171,000"
				GrossAccountsReceivable,"287,108,000","310,782,000","316,242,000","344,002,000","317,749,000","300,487,000","277,815,000","384,637,000","440,742,000","385,746,000","319,492,000","326,056,000","294,898,000","309,338,000","263,057,000","258,665,000","259,393,000","254,728,000","258,759,000","229,025,000","231,933,000","273,710,000","226,961,000","228,467,000","244,566,000","254,944,000","282,177,000","348,894,000","370,317,000","312,635,000","275,642,000","280,195,000","293,378,000","315,923,000","306,247,000","296,862,000","348,401,000","340,786,000",,,,,,,,"301,555,000","248,838,000","267,674,000","265,345,000","254,960,000","230,520,000","220,768,000","225,489,000","228,015,000","249,921,000","231,950,000","233,539,000",,,,,,,,,,,,,,,,,,,,,,
