name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005
TotalRevenue,"2,684,625,000","677,444,000","643,632,000","641,565,000","721,984,000","738,710,000","773,876,000","797,215,000","839,216,000","1,014,139,000","986,638,000","1,008,949,000","1,019,457,000","1,042,044,000","1,068,930,000","1,120,062,000","1,155,200,000","1,187,234,000","1,165,890,000","1,177,988,000","1,186,472,000","1,216,766,000","1,208,868,000","1,246,126,000","1,258,830,000","1,263,156,000","1,235,702,000","1,238,841,000","1,238,184,000","1,247,881,000","1,252,103,000","1,083,935,000","748,393,000","747,275,000","734,233,000","728,999,000","716,468,000","712,266,000","699,748,000","696,482,000","690,810,000","683,525,000","671,971,000","615,728,000","583,299,000","569,440,000","561,404,000","558,464,000","548,972,000","544,424,000","518,522,000","505,843,000","500,757,000","497,946,000","486,928,000","482,277,000","478,201,000","480,648,000","469,458,000","464,594,000","458,410,000","446,834,000","432,260,000","387,043,000","268,427,000","222,183,000","170,976,000","206,534,000","193,295,000","174,983,000"
	OperatingRevenue,"2,531,833,000","640,303,000","608,838,000","603,716,000","678,976,000","672,916,000","687,690,000","706,440,000","737,705,000","891,422,000","809,704,000","814,801,000","817,312,000","825,222,000","824,503,000","858,707,000","913,040,000","924,947,000","925,622,000","941,030,000","956,512,000","1,032,821,000","1,030,338,000","1,058,363,000","1,072,754,000","1,077,928,000","1,056,388,000","1,054,776,000","1,058,817,000","1,067,329,000","1,058,878,000","965,940,000","661,006,000","657,712,000","646,731,000","638,766,000","628,682,000","631,979,000","617,579,000","613,274,000","690,810,000","683,525,000","671,971,000","615,728,000","583,299,000","569,440,000","561,404,000","558,464,000","548,972,000","544,424,000","518,522,000","505,843,000","500,757,000","497,946,000","486,928,000","482,277,000","478,201,000","480,648,000","469,458,000","464,594,000","458,410,000","446,834,000","432,260,000","387,043,000","268,427,000","222,183,000","170,976,000","206,534,000","193,295,000","174,983,000"
CostOfRevenue,"2,185,107,000","549,905,000","523,076,000","518,272,000","593,854,000","622,106,000","662,999,000","661,305,000","707,545,000","711,199,000","775,372,000","809,865,000","792,391,000","802,916,000","831,278,000","868,431,000","869,236,000","894,612,000","874,822,000","887,612,000","872,365,000","858,487,000","864,706,000","891,984,000","879,179,000","901,130,000","876,576,000","883,785,000","874,358,000","882,767,000","901,224,000","755,079,000","522,802,000","519,433,000","509,838,000","510,812,000","503,813,000","493,290,000","499,337,000","494,675,000","484,439,000","477,964,000","389,961,000","381,414,000","366,242,000","370,954,000","360,619,000","368,936,000","353,051,000","355,324,000","338,640,000","328,939,000","316,586,000","318,112,000","322,595,000","322,601,000","306,526,000","305,059,000","309,265,000","294,997,000","285,866,000","280,809,000","276,383,000","245,192,000","161,281,000","136,945,000","99,457,000","131,477,000",,
GrossProfit,"499,518,000","127,539,000","120,556,000","123,293,000","128,130,000","116,604,000","110,877,000","135,910,000","131,671,000","302,940,000","211,266,000","199,084,000","227,066,000","239,128,000","237,652,000","251,631,000","285,964,000","292,622,000","291,068,000","290,376,000","314,107,000","358,279,000","344,162,000","354,142,000","379,651,000","362,026,000","359,126,000","355,056,000","363,826,000","365,114,000","350,879,000","328,856,000","225,591,000","227,842,000","224,395,000","218,187,000","212,655,000","218,976,000","200,411,000","201,807,000","206,371,000","205,561,000","282,010,000","234,314,000","217,057,000","198,486,000","200,785,000","189,528,000","195,921,000","189,100,000","179,882,000","176,904,000","184,171,000","179,834,000","164,333,000","159,676,000","171,675,000","175,589,000","160,193,000","169,597,000","172,544,000","166,025,000","155,877,000","141,851,000","107,146,000","85,238,000","71,519,000","75,057,000",,
OperatingExpense,"689,000,000","171,998,000","166,946,000","171,509,000","178,547,000","167,517,000","100,099,000","182,814,000","181,358,000","209,814,000","210,020,000","217,212,000","219,289,000","221,867,000","232,808,000","238,681,000","258,390,000","271,365,000","256,858,000","265,865,000","272,667,000","281,854,000","287,501,000","286,727,000","316,771,000","316,447,000","308,969,000","351,393,000","406,528,000","399,102,000","407,675,000","360,481,000","194,934,000","195,694,000","183,979,000","183,700,000","182,066,000","180,289,000","177,912,000","177,201,000","180,260,000","179,762,000","258,614,000","208,329,000","188,194,000","171,640,000","169,938,000","180,888,000","172,177,000","173,262,000","174,201,000","169,739,000","167,417,000","169,581,000","388,260,000","170,644,000","176,372,000","176,140,000","160,367,000","181,676,000","185,405,000","182,118,000","191,238,000","153,754,000","100,695,000","89,118,000","50,947,000","89,990,000","190,352,000","173,682,000"
	SellingGeneralAndAdministration,"351,603,000","86,690,000","81,611,000","87,038,000","96,264,000","94,361,000","90,877,000","105,758,000","114,897,000","119,076,000","115,049,000","123,662,000","125,265,000","124,979,000","126,704,000","127,701,000","142,274,000","157,110,000","140,804,000","148,216,000","151,780,000","154,367,000","158,413,000","155,944,000","183,377,000","189,310,000","182,591,000","190,678,000","180,883,000","178,675,000","191,043,000","181,482,000","123,846,000","125,378,000","115,779,000","115,056,000","114,812,000","115,630,000","115,412,000","114,325,000","116,699,000","116,418,000","116,556,000","107,025,000","99,746,000","99,858,000","106,691,000","101,321,000","99,009,000","100,201,000","102,601,000","102,756,000","100,155,000","101,448,000","99,914,000","103,578,000","40,297,000","36,388,000","95,132,000","102,441,000","35,758,000","40,653,000","117,238,000","92,871,000","69,748,000","21,085,000","58,154,000","70,961,000","11,323,000","11,658,000"
		GeneralAndAdministrativeExpense,"351,603,000","86,690,000","81,611,000","87,038,000","96,264,000","94,361,000","90,877,000","105,758,000","114,897,000","119,076,000","115,049,000","123,662,000","125,265,000","124,979,000","126,704,000","127,701,000","142,274,000","157,110,000","140,804,000","148,216,000","151,780,000","154,367,000","158,413,000","155,944,000","183,377,000","189,310,000","182,591,000","190,678,000","180,883,000","178,675,000","191,043,000","181,482,000","123,846,000","125,378,000","115,779,000","115,056,000","114,812,000","115,630,000","115,412,000","114,325,000","116,699,000","116,418,000","116,556,000","107,025,000","99,746,000","99,858,000","106,691,000","101,321,000","99,009,000","100,201,000","102,601,000","102,756,000","100,155,000","101,448,000",,,,,,,,,,,,,,,,
			SalariesAndWages,,,,,,,,,,"5,957,000",,"5,929,000","6,030,000","6,356,000","5,357,000","6,035,000","6,269,000","8,406,000","5,285,000","7,527,000","7,246,000","7,774,000","5,067,000","8,455,000","8,994,000","9,769,000","5,780,000","10,147,000","6,851,000","8,873,000","5,129,000","7,869,000","7,729,000","7,572,000","5,202,000","6,894,000","6,988,000","6,894,000","6,335,000","6,021,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			RentAndLandingFees,"171,504,000","41,564,000","42,850,000","43,226,000","43,864,000","44,418,000","45,553,000","51,620,000","62,379,000","64,481,000","66,056,000","67,253,000","67,689,000","68,668,000","70,542,000","70,392,000","81,960,000","80,400,000","81,787,000","84,437,000","84,690,000","88,807,000","91,745,000","92,519,000","92,682,000","96,689,000","90,621,000","91,144,000","91,338,000","94,471,000","92,469,000","91,462,000","70,030,000","69,869,000","69,701,000","69,232,000","68,777,000","69,019,000","70,785,000","71,167,000","70,628,000","71,445,000","74,164,000","68,314,000","66,065,000","66,315,000","71,999,000","68,090,000","67,175,000","68,249,000","67,885,000","68,036,000","68,434,000","67,741,000",,,,,,,,,,,,,,,,
			OtherGandA,"180,099,000","45,126,000","38,761,000","43,812,000","52,400,000","49,943,000","45,324,000","54,138,000","52,518,000","48,638,000","67,308,000","50,480,000","51,546,000","49,955,000","50,805,000","51,274,000","54,045,000","68,304,000","53,732,000","56,252,000","59,844,000","57,786,000","61,601,000","54,970,000","81,701,000","82,852,000","86,190,000","89,387,000","82,694,000","75,331,000","93,445,000","82,151,000","46,087,000","47,937,000","40,876,000","38,930,000","39,047,000","39,717,000","38,292,000","37,137,000","46,071,000","44,973,000","42,392,000","38,711,000","33,681,000","33,543,000","34,692,000","33,231,000","31,834,000","31,952,000","34,716,000","34,720,000","31,721,000","33,707,000",,,,,,,,,,,,,,,,
