name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013
TotalRevenue,"1,756,500,000","459,700,000","436,700,000","440,000,000","420,100,000","433,100,000","406,300,000","493,600,000","449,600,000","516,300,000","499,600,000","494,600,000","167,800,000","602,100,000","590,400,000","554,500,000","569,200,000","576,600,000","561,700,000","565,700,000","565,400,000","556,300,000","547,800,000","550,700,000","542,200,000","537,700,000","520,100,000","514,600,000","503,100,000","526,400,000","521,200,000","516,000,000","504,300,000","501,100,000","487,300,000","481,500,000","470,800,000"
	OperatingRevenue,"1,735,500,000","397,400,000","436,700,000","440,000,000","420,100,000","433,100,000","406,300,000","493,600,000","449,600,000","516,300,000","499,600,000","494,600,000","167,800,000","602,100,000","590,400,000","554,500,000","569,200,000","576,600,000","561,700,000","565,700,000","565,400,000","556,300,000","547,800,000","550,700,000","542,200,000","537,700,000","520,100,000","514,600,000","503,100,000","526,400,000","521,200,000","516,000,000","504,300,000","501,100,000","487,300,000","481,500,000","470,800,000"
CostOfRevenue,"919,100,000","241,200,000","229,900,000","226,700,000","221,300,000","221,300,000","207,700,000","262,100,000","240,800,000","242,500,000","235,900,000","247,300,000","2,500,000","305,800,000","309,900,000","281,600,000","288,500,000","295,000,000","290,800,000","307,700,000","308,900,000","307,700,000","303,200,000","315,100,000","315,600,000","315,800,000","301,200,000","310,800,000","316,600,000","321,800,000","326,900,000","309,800,000","302,400,000","304,900,000","297,900,000","296,900,000","286,200,000"
GrossProfit,"837,400,000","218,500,000","206,800,000","213,300,000","198,800,000","211,800,000","198,600,000","231,500,000","208,800,000","273,800,000","263,700,000","247,300,000","165,300,000","296,300,000","280,500,000","272,900,000","280,700,000","281,600,000","270,900,000","258,000,000","256,500,000","248,600,000","244,600,000","235,600,000","226,600,000","221,900,000","218,900,000","203,800,000","186,500,000","204,600,000","194,300,000","206,200,000","201,900,000","196,200,000","189,400,000","184,600,000","184,600,000"
OperatingExpense,"392,400,000","98,600,000","99,100,000","97,600,000","97,100,000","90,200,000","85,000,000","112,200,000","100,600,000","105,800,000","115,600,000","107,900,000","99,900,000","123,800,000","122,700,000","98,300,000","118,200,000","121,700,000","122,200,000","113,700,000","135,700,000","117,400,000","110,900,000","113,700,000","120,300,000","125,000,000","105,800,000","97,400,000","109,200,000","105,500,000","107,800,000","112,400,000","111,100,000","96,100,000","105,400,000","105,100,000","108,700,000"
	SellingGeneralAndAdministration,"392,400,000","98,600,000","99,100,000","97,600,000","97,100,000","90,200,000","85,000,000","112,200,000","100,600,000","105,800,000","115,600,000","107,900,000","99,900,000","123,800,000","122,700,000","98,300,000","118,200,000","121,700,000","122,200,000","113,700,000","135,700,000","117,400,000","110,900,000","113,700,000","120,300,000","125,000,000","105,800,000","97,400,000","109,200,000","105,500,000","107,800,000","112,400,000","111,100,000","96,100,000","105,400,000","105,100,000","108,700,000"
	OtherOperatingExpenses,,,,,,,,"12,000,000",,,,,"90,000,000",,,,,,,,,,,,,,,,,,,,,,,,
OperatingIncome,"445,000,000","119,900,000","107,700,000","115,700,000","101,700,000","121,600,000","113,600,000","119,300,000","108,200,000","168,000,000","148,100,000","139,400,000","65,400,000","172,500,000","157,800,000","174,600,000","162,500,000","159,900,000","148,700,000","144,300,000","120,800,000","131,200,000","133,700,000","121,900,000","106,300,000","96,900,000","113,100,000","106,400,000","77,300,000","99,100,000","86,500,000","93,800,000","90,800,000","100,100,000","84,000,000","79,500,000","75,900,000"
NetNonOperatingInterestIncomeExpense,"-89,400,000","-22,300,000","-22,300,000","-21,400,000","-23,400,000","-32,200,000","-34,300,000","-34,700,000","-35,100,000","-35,100,000","-36,400,000","-37,700,000","-37,200,000","-35,400,000","-34,300,000","-32,200,000","-25,300,000","-24,100,000","-23,200,000","-23,300,000","-19,100,000","-15,100,000","-12,300,000","-10,700,000","-10,700,000","-10,700,000","-9,500,000","-9,300,000","-9,400,000","-9,300,000","-9,000,000","-1,100,000","700,000","-200,000","-300,000","-200,000","600,000"
	InterestIncomeNonOperating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,000,000",,,,"800,000"
