name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009
OperatingCashFlow,"-27,493,861","-6,435,079","-8,070,983","-5,800,725","-7,187,074","-5,921,629","-2,704,176","-2,388,796","-4,672,330","-4,198,751","-4,303,525","-6,368,374","-5,808,764","-5,874,357","-4,608,064","-5,180,746","-6,282,786","-6,470,978","-4,373,722","-4,543,142","-3,715,643","-3,833,199","-4,358,804","-3,651,020","-3,174,565","-3,212,575","-2,793,374","-3,584,744","-2,542,006","-2,747,955","-1,258,714","-1,371,337","-905,688","-1,073,311","-2,237,052","-2,115,709","-479,786","-259,003","-317,664","-1,187,265","-1,612,586","294,219","47,769","217,281","426,133","-2,194,844","-1,482,557","145,871","-59,790","-1,447,934","-1,427,697","-356,792"
	CashFlowFromContinuingOperatingActivities,"-27,493,861","-6,435,079","-8,070,983","-5,800,725","-7,187,074","-5,921,629","-2,704,176","-2,388,796","-4,672,330","-4,198,751","-4,303,525","-6,368,374","-5,808,764","-5,874,357","-4,608,064","-5,180,746","-6,282,786","-6,470,978","-4,373,722","-4,543,142","-3,715,643","-3,833,199","-4,358,804","-3,651,020","-3,174,565","-3,212,575","-2,793,374","-3,584,744","-2,542,006","-2,747,955","-1,258,714","-1,371,337","-905,688","-1,073,311","-2,237,052","-2,115,709","-479,786","-259,003","-317,664","-1,187,265","-1,612,586","294,219","47,769","217,281","426,133","-2,194,844","-1,482,557","145,871","-59,790","-1,447,934","-1,427,697","-356,792"
		NetIncomeFromContinuingOperations,"-41,731,791","-10,506,001","-17,012,274","-7,946,066","-8,779,457","-6,639,363","-3,591,072","-4,760,810","-4,238,666","-5,361,624","-9,583,985","-5,476,690","-5,055,934","-6,359,761","-5,563,859","-4,797,756","-6,148,448","-5,365,650","-5,879,464","-5,502,276","-4,069,950","-4,181,812","-6,334,991","-5,035,862","-4,103,490","-3,775,739","-3,509,328","-2,424,971","-2,402,327","-5,090,852","-6,318,553","-3,301,321","239,110","1,511,906","-5,696,494","-1,856,700","-1,656,736","-936,298","-1,396,297","-7,018,785","3,764,598","-844,483",,,,"-420,306","-476,085","-1,186,965","-1,385,909","-1,508,174","-906,447","-856,412"
		OperatingGainsLosses,,,"99,706","0","0","83,908",,,,,,,,,"-1,664","-21,814","120,656","-28,133","30,394","-40,869","13,416","-22,560","-91,877","85,010","99,679","-101,666","129,998","-58,239","23,279","1,003,427","4,289,617","1,698,940","-1,248,556","-2,575,262","3,678,421","-259,426","280,261","14,287",,,,,,,,,,,,,,
			GainLossOnSaleOfPPE,"99,706","0","99,706","0","0","83,908",,,,,"0","0",,,"-1,664","0",,,"0",,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,,,,,,,,,,,,,,,"0","-21,814","63,820","-28,133","30,394","-41,454","13,416","-22,560","-91,877","59,120","99,679","-101,666","129,998","-58,239","23,279","1,003,427","4,318,879","1,698,940","-1,248,556","-2,575,262","3,540,156","-259,426","280,261","14,287",,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"2,215,090","483,030","675,908","494,376","561,776","577,511","717,888","634,669","640,712","648,541","645,799","628,728","607,965","559,089","523,329","573,948","294,988","273,622","264,353","466,204","242,979","239,830","6,588","267,981","326,911","169,188","440,819","88,285","6,935","131,252","90,107","59,680","101,438","99,705","93,284","95,596","90,612","98,348","86,555","123,983","122,452","135,827","135,622","111,052","111,051","111,098","100,443","119,659","113,990","110,266","114,858","101,257"
			DepreciationAndAmortization,"2,215,090","483,030","675,908","494,376","561,776","577,511","717,888","634,669","640,712","648,541","645,799","628,728","607,965","559,089","523,329","573,948","294,988","273,622","264,353","466,204","242,979","239,830","6,588","267,981","326,911","169,188","440,819","88,285","6,935","131,252","90,107","59,680","101,438","99,705","93,284","95,596","90,612","98,348","86,555","123,983","122,452","135,827","135,622","111,052","111,051","111,098","100,443","119,659","113,990","110,266","114,858","101,257"
				Depreciation,"1,775,978","422,931","417,092","434,277","501,678","517,412",,,,,"645,799",,,,"523,329",,,,"264,353",,,,,"196,370",,,,,"78,548","59,639",,,,,,,,,,,,,,,,,,,,,,
				AmortizationCashFlow,"439,112","60,099","258,816","60,099","60,098","60,099",,,,,"25,000",,,,"0",,,,"0",,,,,"71,611",,,,,"71,612","71,613",,,,,,,,,,,,,,,,,,,,,,
