name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013
OperatingCashFlow,"37,404,000","-937,000","9,268,000","16,313,000","12,760,000","11,503,000","13,582,000","7,799,000","7,113,000","4,749,000","1,987,000","4,697,000","18,763,000","5,119,000","-419,000","7,582,000","-2,546,000","1,783,000","-6,228,000","5,186,000","3,982,000","2,580,000","9,952,000","2,793,000","-4,036,000","-19,078,000","-5,037,000","-4,718,000","-2,608,000","-9,229,000","-4,801,000","-4,626,000","4,182,000","1,546,000","2,869,000"
	CashFlowFromContinuingOperatingActivities,"37,404,000","-937,000","9,268,000","16,313,000","12,760,000","11,503,000","13,582,000","7,799,000","7,113,000","4,749,000","1,987,000","4,697,000","18,763,000","5,119,000","-419,000","7,582,000","-2,546,000","1,783,000","-6,228,000","5,186,000","3,982,000","2,580,000","9,952,000","2,793,000","-4,036,000","-19,078,000","-5,037,000","-4,718,000","-2,608,000","-9,229,000","-4,801,000","-4,626,000","4,182,000","1,546,000","2,869,000"
		NetIncomeFromContinuingOperations,"-48,899,000","-18,493,000","-14,324,000","-6,568,000","-9,514,000","-7,324,000","-7,553,000","-10,507,000","-19,765,000","-10,573,000","-16,298,000","-16,051,000","-8,322,000","-7,463,000","-7,721,000","-10,964,000","-21,768,000","-9,618,000","-14,321,000","-14,073,000","-10,196,000","-5,836,000","-7,516,000","-12,891,000","-11,525,000","-12,045,000","-10,293,000","-14,630,000","-11,029,000","-7,447,000","-12,800,000","-13,382,000","-10,563,000","-4,552,000","-5,503,000"
		OperatingGainsLosses,,,"0","-3,698,000",,,,,,,,,,,,,,,,,,,"0",,"-4,000","-2,000","-6,000","-7,000",,,"256,000","48,000","136,000",,
			GainLossOnInvestmentSecurities,,,"0","-3,698,000",,,,,,,,,,,,,,,,,,,"0",,"-4,000","-2,000","-6,000","-7,000",,,"145,000","48,000","136,000",,
		DepreciationAmortizationDepletion,"6,149,000","1,959,000","1,664,000","1,429,000","1,097,000","1,054,000","863,000","1,160,000","1,131,000","1,142,000","1,228,000","1,058,000","971,000","903,000","900,000","1,133,000","876,000","872,000","934,000","854,000","867,000","891,000","904,000","944,000","975,000","997,000","1,056,000","1,058,000","1,127,000","1,169,000","1,125,000","1,132,000","852,000","768,000","755,000"
			DepreciationAndAmortization,"6,149,000","1,959,000","1,664,000","1,429,000","1,097,000","1,054,000","863,000","1,160,000","1,131,000","1,142,000","1,228,000","1,058,000","971,000","903,000","900,000","1,133,000","876,000","872,000","934,000","854,000","867,000","891,000","904,000","944,000","975,000","997,000","1,056,000","1,058,000","1,127,000","1,169,000","1,125,000","1,132,000","852,000","768,000","755,000"
		DeferredTax,"-1,838,000","-211,000","-1,059,000","-930,000","362,000","-346,000","68,000","63,000","-131,000","0","2,000","-21,000","-28,000","-18,000","-5,000","-4,000",,,,"0","0",,"-25,000","5,000","-12,000",,"-76,000",,,,,,,,
			DeferredIncomeTax,"-1,838,000","-211,000","-1,059,000","-930,000","362,000","-346,000","68,000","63,000","-131,000","0","2,000","-21,000","-28,000","-18,000","-5,000","-4,000",,,,"0","0",,"-25,000","5,000","-12,000",,"-76,000",,,,,,,,
		AmortizationOfSecurities,"3,059,000","660,000","825,000","811,000","763,000","625,000","349,000","106,000","112,000","101,000","102,000","15,000","-23,000","-81,000","-78,000","-66,000","-15,000","18,000","18,000","24,000","28,000","31,000","36,000","36,000","36,000","39,000","45,000","32,000",,,"133,000","0",,,"0"
