name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001
		Inventory,"308,200,000","281,100,000","222,567,000","216,909,000","212,773,000","167,389,000","129,033,000","116,384,000","71,153,000","184,399,000","205,952,000","172,907,000","195,048,000","185,735,000","179,366,000","183,578,000","195,987,000","182,345,000","168,762,000","119,451,000","146,428,000","134,378,000","123,011,000","156,430,000","132,088,000","130,868,000","135,181,000","159,920,000","160,949,000","157,762,000","202,475,000","188,942,000","210,235,000","187,224,000","208,485,000","207,904,000","205,152,000","221,888,000","220,716,000","215,667,000","240,167,000","258,860,000","257,120,000","285,996,000","224,559,000","216,408,000","203,275,000","208,800,000","242,643,000","193,001,000","190,202,000","73,125,000","65,825,000","47,734,000","81,134,000","75,672,000","100,195,000","120,462,000","105,983,000","95,320,000","79,607,000","91,550,000","91,965,000","87,066,000","62,768,000","78,155,000","43,397,000","43,397,000","43,397,000","43,397,000","24,359,000","17,588,000","14,260,000","17,282,000","17,062,000","5,080,000","5,224,000","5,224,000","4,401,000","9,508,000",,,,,
			RawMaterials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"130,774,000","60,984,000","46,691,000","55,490,000","91,354,000","72,195,000","49,127,000","27,982,000","61,314,000","32,338,000","18,197,000","17,263,000","38,054,000","31,419,000","14,472,000","7,534,000","34,282,000","29,686,000","19,194,000","16,233,000","38,472,000","31,001,000","30,457,000",,"34,058,000","28,625,000","12,600,000","19,282,000","12,682,000","12,682,000","12,682,000","12,682,000",,"12,362,000",,"12,362,000","13,659,000",,,"3,863,000",,,,,,,
			FinishedGoods,"239,200,000","205,400,000","169,235,000","157,798,000","163,017,000","138,638,000","103,542,000","95,723,000","52,835,000","138,824,000","166,723,000","133,564,000","152,719,000","150,583,000","129,599,000","139,891,000","151,623,000","143,161,000","117,091,000","77,457,000","104,399,000","99,992,000","84,187,000","127,422,000","103,856,000","103,794,000","100,474,000","106,305,000","121,119,000","114,712,000","119,524,000","102,736,000","125,479,000","107,808,000","144,796,000","151,668,000","135,422,000","151,730,000","83,127,000","81,655,000","117,865,000","127,999,000","105,770,000","142,398,000","114,026,000","146,211,000","102,269,000","139,208,000","186,682,000","152,776,000","127,094,000","15,529,000","22,484,000","20,917,000","0","0","37,714,000","65,215,000","35,032,000","24,040,000","33,138,000",,"41,413,000","43,723,000","37,046,000","56,680,000","28,694,000","28,694,000","28,694,000","28,694,000",,"3,741,000",,"3,435,000","2,239,000","3,760,000","3,863,000",,,,,,,,
			OtherInventories,"69,000,000","75,700,000","53,332,000","59,111,000","49,756,000","28,751,000","25,491,000","20,661,000","18,318,000","45,575,000","39,229,000","39,343,000","42,329,000","35,152,000","49,767,000","43,687,000","44,364,000","39,184,000","51,671,000","41,994,000","42,029,000","34,386,000","38,824,000","29,008,000","28,232,000","27,074,000","34,707,000","53,615,000","39,830,000","43,050,000","82,951,000","86,206,000","84,756,000","79,416,000","63,689,000","56,236,000","69,730,000","70,158,000","6,815,000","73,028,000","75,611,000","75,371,000","59,996,000","71,403,000","61,406,000","42,215,000","39,692,000","37,254,000","37,764,000","22,962,000","25,054,000","26,177,000","28,869,000","19,283,000","46,852,000","45,986,000","43,287,000","39,014,000","32,479,000","40,279,000","16,012,000",,"16,494,000","14,718,000","13,122,000","2,193,000","2,021,000","2,021,000","2,021,000","2,021,000",,"1,485,000",,"1,485,000","1,164,000","1,320,000","1,361,000","1,361,000",,,,,,,
		PrepaidAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,014,000"
		RestrictedCash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","14,379,000",,,,,,,,,,,,"0","0","0","10,620,000","5,283,000","11,170,000","5,551,000","11,117,000","5,537,000","5,847,000","5,847,000","5,847,000","5,847,000","11,683,000","8,223,000","16,472,000","8,223,000","16,513,000","8,259,000",,,,,,,,,
		AssetsHeldForSaleCurrent,"304,000,000","299,500,000","299,304,000","290,519,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		HedgingAssetsCurrent,"133,900,000","47,700,000","52,078,000","44,674,000","40,029,000","34,165,000","14,031,000","25,456,000","61,799,000","27,415,000","26,650,000","27,533,000","23,820,000","55,011,000","47,354,000","35,610,000","26,593,000","36,690,000","32,924,000","8,742,000","10,615,000","49,899,000","30,559,000","35,887,000","20,673,000","39,243,000","49,172,000","5,696,000","37,825,000","93,335,000","27,890,000","29,070,000","12,714,000","14,782,000","18,735,000","15,442,000","14,592,000","18,304,000","37,725,000","22,117,000","41,667,000","31,831,000","36,205,000","43,505,000","47,918,000","22,302,000","7,520,000","6,022,000","19,871,000","17,943,000","8,776,000","25,609,000","2,151,000","20,200,000","12,161,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherCurrentAssets,"35,700,000","43,100,000","44,738,000","39,064,000","42,967,000","44,392,000","52,852,000","60,896,000","39,743,000","40,237,000","45,631,000","38,580,000","39,767,000","58,143,000","66,221,000","75,282,000","66,446,000","63,396,000","62,247,000","66,123,000","42,318,000","39,966,000","52,600,000","46,305,000","43,880,000","43,418,000","39,937,000","40,893,000","31,619,000","34,331,000","39,107,000","36,620,000","33,969,000","46,735,000","31,296,000","26,206,000","24,472,000","28,365,000","26,401,000","26,749,000","17,582,000","19,303,000","19,881,000","27,537,000","20,244,000","25,644,000","21,458,000","20,673,000","29,142,000","27,662,000","26,433,000","38,451,000","22,095,000","15,440,000","9,079,000","20,322,000","11,411,000","10,882,000","7,933,000","8,219,000","12,765,000","8,294,000","8,317,000","9,863,000","7,838,000","5,034,000","6,385,000","6,385,000","6,385,000","6,385,000","6,279,000","3,941,000","7,673,000","3,941,000","6,858,000","8,039,000","4,584,000","4,584,000","13,257,000","6,235,000","604,000","330,000","491,000","482,000","278,000"
	TotalNonCurrentAssets,"7,159,800,000","7,186,800,000","7,247,369,000","7,270,389,000","7,770,083,000","7,791,789,000","7,798,953,000","7,787,746,000","7,758,315,000","7,978,321,000","7,824,342,000","7,598,422,000","7,406,363,000","7,101,194,000","6,923,661,000","7,112,764,000","6,882,857,000","6,782,536,000","6,696,019,000","6,605,066,000","6,527,451,000","6,401,679,000","6,271,510,000","6,062,622,000","5,876,783,000","5,702,713,000","5,608,027,000","5,399,355,000","5,209,467,000","5,114,618,000","4,909,416,000","4,765,801,000","4,576,740,000","4,424,079,000","4,160,724,000","3,923,749,000","3,820,218,000","3,719,789,000","3,604,887,000","3,483,139,000","3,443,346,000","3,432,811,000","3,399,177,000","3,390,593,000","3,368,559,000","3,333,317,000","3,249,908,000","2,926,275,000","2,852,408,000","2,839,180,000","2,790,671,000","2,186,096,000","2,153,707,000","2,130,532,000","2,068,615,000","1,998,072,000","1,947,695,000","1,896,112,000","1,857,671,000","1,828,186,000","1,797,246,000","1,775,631,000","1,738,533,000","1,718,422,000","1,697,190,000","1,690,829,000","1,580,091,000","1,580,091,000","1,580,091,000","1,580,091,000","1,076,056,000","1,010,303,000","1,063,859,000","1,010,303,000","1,014,132,000","1,003,692,000","991,137,000","991,137,000","984,579,000","979,046,000","369,248,000","368,587,000","333,074,000","332,196,000","303,269,000"
		NetPPE,"6,054,800,000","6,078,900,000","6,112,833,000","6,126,406,000","6,420,831,000","6,427,769,000","6,435,131,000","6,430,693,000","6,412,623,000","6,575,902,000","6,426,950,000","6,257,000,000","6,097,699,000","5,798,181,000","5,734,935,000","5,660,059,000","5,614,009,000","5,552,835,000","5,483,505,000","5,456,467,000","5,360,372,000","5,275,741,000","5,186,042,000","5,041,930,000","4,913,509,000","4,819,229,000","4,680,650,000","4,553,473,000","4,399,594,000","4,329,334,000","3,991,746,000","3,942,727,000","3,913,595,000","3,916,258,000","3,725,186,000","3,575,837,000","3,520,887,000","3,465,302,000","3,376,963,000","3,289,683,000","3,252,291,000","3,249,722,000","3,225,931,000","3,225,262,000","3,205,608,000","3,178,556,000","3,178,401,000","2,853,583,000","2,794,790,000","2,780,617,000","2,716,374,000","2,105,098,000","2,076,906,000","2,050,009,000","1,989,851,000","1,924,778,000","1,866,792,000","1,820,561,000","1,785,727,000","1,756,203,000","1,725,979,000","1,702,739,000","1,662,718,000","1,641,234,000","1,617,900,000","1,609,517,000","1,493,618,000","1,493,618,000","1,493,618,000","1,493,618,000","965,876,000","940,549,000","968,691,000","940,549,000","942,584,000","945,666,000","933,131,000","933,131,000","930,498,000","932,381,000","330,295,000","329,380,000","321,046,000","328,523,000","299,580,000"
