name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010
TotalRevenue,"226,746,000","54,885,000","57,322,000","64,295,000","50,244,000","32,114,000","29,565,000","34,969,000","20,173,000","60,209,000","74,697,000","90,080,000","87,874,000","75,679,000","73,699,000","90,226,000","86,590,000","74,033,000","70,321,000","81,404,000","77,909,000","69,222,000","67,237,000","79,733,000","78,001,000","68,850,000","67,549,000","78,229,000","72,257,000","58,916,000","52,612,000","60,662,000","47,077,000","36,866,000","34,333,000","35,370,000","30,746,000","25,779,000","24,276,000","27,002,000","26,359,000","22,827,000","22,129,000","23,578,000","14,902,000","12,487,000","12,429,000","8,384,000","4,658,000"
	OperatingRevenue,"212,720,000","51,579,000","53,539,000","60,330,000","47,270,000","29,753,000","26,660,000","32,544,000","18,506,000","55,111,000","68,831,000","84,243,000","82,505,000","70,512,000","72,210,000","83,731,000","80,486,000","68,349,000","66,953,000","77,599,000","74,274,000","65,895,000","63,400,000","76,230,000","74,494,000","65,442,000","63,721,000","74,702,000","69,053,000","56,199,000","50,394,000","58,148,000","44,563,000","34,586,000","32,386,000","33,550,000","29,159,000","24,235,000","18,378,000","27,002,000","26,359,000","22,827,000","22,129,000","23,578,000","14,902,000","12,487,000","12,429,000","8,384,000","4,658,000"
CostOfRevenue,"155,177,000","38,967,000","39,760,000","41,777,000","34,671,000","28,640,000","27,305,000","28,835,000","22,426,000","44,020,000","49,882,000","53,468,000","51,806,000","49,483,000","46,223,000","54,232,000","51,722,000","48,121,000","45,322,000","46,964,000","45,321,000","41,923,000","43,104,000","45,237,000","43,878,000","42,262,000","42,440,000","42,141,000","39,448,000","35,277,000","31,884,000","32,653,000","26,788,000","24,251,000","22,123,000","21,356,000","18,581,000","17,082,000","22,546,000","14,347,000","13,861,000","12,987,000","13,087,000","12,838,000","8,336,000","7,908,000","7,433,000","4,927,000","2,665,000"
GrossProfit,"71,569,000","15,918,000","17,562,000","22,518,000","15,573,000","3,474,000","2,260,000","6,134,000","-2,253,000","16,189,000","24,815,000","36,612,000","36,068,000","26,196,000","27,476,000","35,994,000","34,868,000","25,912,000","24,999,000","34,440,000","32,588,000","27,299,000","24,133,000","34,496,000","34,123,000","26,588,000","25,109,000","36,088,000","32,809,000","23,639,000","20,728,000","28,009,000","20,289,000","12,615,000","12,210,000","14,014,000","12,165,000","8,697,000","1,730,000","12,655,000","12,498,000","9,840,000","9,042,000","10,740,000","6,566,000","4,579,000","4,996,000","3,457,000","1,993,000"
OperatingExpense,"72,276,000","19,228,000","17,619,000","17,815,000","17,991,000","16,864,000","16,876,000","16,578,000","16,154,000","15,826,000","16,277,000","16,409,000","16,610,000","16,286,000","15,551,000","15,612,000","15,468,000","15,658,000","14,749,000","14,095,000","15,001,000","15,272,000","14,065,000","14,989,000","15,253,000","15,587,000","16,137,000","15,351,000","14,219,000","14,950,000","13,206,000","12,991,000","9,729,000","8,637,000","7,898,000","6,658,000","6,090,000","5,738,000","403,000","6,993,000","8,038,000","7,154,000","6,444,000","6,449,000","6,456,000","3,744,000","3,459,000","2,637,000","1,621,000"
	SellingGeneralAndAdministration,"16,164,000","3,942,000","3,759,000","4,147,000","4,316,000","3,530,000","3,354,000","2,958,000","2,487,000","2,765,000","3,466,000","3,486,000","3,611,000","3,514,000","3,302,000","3,649,000","3,547,000","3,622,000","3,119,000","3,151,000","3,287,000","3,268,000","2,043,000","2,992,000","2,972,000","3,112,000","3,302,000","2,792,000","2,156,000","3,427,000","2,449,000","2,718,000","2,364,000","2,321,000","2,175,000","1,910,000","2,064,000","1,982,000","2,165,000","1,676,000","1,947,000","1,777,000","1,522,000","1,427,000","1,584,000","1,268,000","1,207,000","1,368,000","972,000"
		GeneralAndAdministrativeExpense,"16,164,000","3,942,000","3,759,000","4,147,000","4,316,000","3,530,000","3,354,000","2,958,000","2,487,000","2,765,000","3,466,000","3,486,000","3,611,000","3,514,000","3,302,000","3,649,000","3,547,000","3,622,000","3,119,000","3,151,000","3,287,000","3,268,000","2,043,000","2,992,000","2,972,000","3,112,000","3,302,000","2,792,000","2,156,000","3,427,000","2,449,000","2,718,000","2,364,000","2,321,000","2,175,000","1,910,000","2,064,000","1,982,000","2,165,000","1,676,000","1,947,000","1,777,000",,"1,427,000","1,584,000","1,268,000","1,207,000","1,368,000","972,000"
			InsuranceAndClaims,,,,,,,,,,,,,,,,,,,,"297,000",,,,,"338,000",,,,,,,,,"215,000",,,,,,,,,,,,,,,
			OtherGandA,"16,164,000","3,942,000","3,759,000","4,147,000","4,316,000","3,530,000","3,354,000","2,958,000","2,487,000","2,765,000","3,466,000","3,486,000","3,611,000","3,514,000","3,302,000","3,649,000","3,547,000","3,622,000","3,119,000","3,151,000","3,287,000","3,268,000","2,043,000","2,992,000","2,972,000","3,112,000","3,302,000","2,792,000","2,156,000","3,427,000","2,449,000","2,718,000","2,364,000","2,321,000","2,175,000","1,910,000","2,064,000","1,982,000","2,165,000",,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"55,917,000","15,036,000","13,860,000","13,668,000","13,353,000","13,334,000","13,522,000","13,620,000","13,667,000","13,061,000","12,811,000","12,923,000","12,999,000","12,772,000","12,249,000","11,963,000","11,921,000","12,036,000","11,630,000","10,944,000","11,714,000","12,004,000","12,022,000","11,997,000","12,281,000","12,475,000","12,835,000","12,559,000","12,063,000","11,523,000","10,757,000","10,273,000","7,365,000","6,316,000","5,723,000","4,748,000","4,026,000","3,756,000","3,412,000","3,399,000","4,123,000","3,339,000","3,324,000","3,399,000","3,804,000","1,444,000","1,364,000","798,000","402,000"
