name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,12/31/2010
TotalAssets,"440,453,000","425,652,000","454,845,000","467,672,000","499,112,000","518,899,000","533,042,000","542,044,000","197,302,000","209,083,000","212,321,000","229,811,000","241,357,000","183,310,000","190,761,000","206,610,000","181,764,000","189,328,000","127,948,000","140,527,000","152,371,000","155,872,000","133,747,000","142,274,000","67,365,000","78,155,000","87,194,000","96,319,000","107,336,000","116,981,000","126,823,000","135,546,000","144,461,000","152,422,000","159,953,000","169,656,000","113,186,000","122,323,000","130,644,000","140,214,000","150,115,000","101,551,000","85,365,000","83,399,000","98,133,000"
	CurrentAssets,"351,632,000","269,177,000","293,383,000","317,133,000","390,641,000","441,570,000","474,442,000","507,233,000","186,669,000","174,362,000","172,519,000","202,003,000","226,676,000","181,384,000","176,067,000","184,925,000","149,798,000","179,830,000","122,393,000","124,167,000","119,854,000","148,691,000","122,668,000","127,041,000","65,180,000","72,035,000","74,169,000","71,359,000","76,053,000","74,329,000","86,066,000","100,799,000","133,687,000","134,302,000","125,622,000","131,667,000","77,781,000","104,480,000","126,513,000","133,216,000","121,469,000","91,319,000","76,551,000","73,951,000","94,585,000"
		CashCashEquivalentsAndShortTermInvestments,"340,601,000","264,492,000","269,427,000","312,604,000","376,284,000","436,570,000","471,384,000","504,620,000","183,691,000","172,786,000","170,933,000","199,357,000","222,110,000","176,984,000","173,118,000","182,041,000","146,568,000","127,291,000","120,564,000","121,645,000","118,447,000","117,764,000","121,595,000","125,709,000","64,189,000","71,278,000","73,388,000","70,447,000","74,842,000","73,357,000","85,299,000","99,906,000","132,573,000","133,313,000","124,539,000","129,771,000","75,905,000","102,694,000","125,472,000","131,577,000","119,487,000","89,490,000","74,805,000","72,434,000","81,575,000"
			CashAndCashEquivalents,"40,577,000","49,978,000","93,726,000","77,205,000","68,548,000","32,297,000","56,177,000","333,205,000","59,436,000","39,179,000","35,922,000","38,745,000","79,333,000","28,088,000","24,114,000","68,752,000","30,550,000","40,020,000","17,961,000","21,500,000","18,954,000","12,024,000","13,867,000","21,925,000","13,420,000","12,823,000","14,572,000","11,570,000","25,436,000","16,075,000","20,896,000","13,107,000","11,628,000","10,258,000","22,315,000","50,278,000","11,637,000","8,460,000","13,115,000","2,756,000","20,733,000","40,155,000","7,341,000","10,334,000","12,056,000"
				CashFinancial,,,,,,,,,,"8,854,000",,,,"2,058,000","2,988,000","12,948,000","3,612,000","3,207,000","863,000","1,614,000","905,000","2,278,000","1,314,000","210,000","855,000","1,483,000","1,417,000","1,957,000","1,140,000","153,000","2,225,000","1,848,000","1,587,000","2,046,000","989,000","2,137,000","1,548,000","1,391,000",,,,,,,
				CashEquivalents,,,,,,,,,,"30,325,000",,,,"26,030,000","21,126,000","55,804,000","26,938,000","36,813,000","17,098,000","19,886,000","18,049,000","9,746,000","12,553,000","21,715,000","12,565,000","11,340,000","13,155,000","9,613,000","24,296,000","15,922,000","18,671,000","11,259,000","10,041,000","8,212,000","21,326,000","48,141,000","10,089,000","7,069,000",,,,,,,
			OtherShortTermInvestments,"300,024,000","214,514,000","175,701,000","235,399,000","307,736,000","404,273,000","415,207,000","171,415,000","124,255,000","133,607,000","135,011,000","160,612,000","142,777,000","148,896,000","149,004,000","113,289,000","116,018,000","87,271,000","102,603,000","100,145,000","99,493,000","105,740,000","107,728,000","103,784,000","50,769,000","58,455,000","58,816,000","58,877,000","49,406,000","57,282,000","64,403,000","86,799,000","120,945,000","123,055,000","102,224,000","79,493,000","64,268,000","94,234,000","112,357,000","128,821,000","98,754,000","49,335,000","67,464,000","62,100,000","69,519,000"
		Receivables,"2,810,000","454,000","20,057,000","171,000","10,142,000","169,000","102,000","228,000","168,000","176,000","0",,"167,000","2,058,000","336,000","164,000","1,698,000","51,090,000","530,000","218,000","0","30,205,000","120,000","175,000",,,,,,"0","0","0","4,000","393,000","523,000","902,000","934,000","1,156,000","291,000","377,000","494,000","507,000","814,000","640,000","12,452,000"
			AccountsReceivable,"2,810,000","454,000","20,057,000","171,000","10,142,000","169,000","102,000","228,000","168,000","176,000","0",,"167,000","2,058,000","336,000","164,000","1,698,000","51,090,000","530,000","218,000","0","30,205,000","120,000","175,000",,,,,,"0","0","0","4,000","393,000","523,000","902,000","934,000","1,156,000",,,,,,"640,000","12,452,000"
			DuefromRelatedPartiesCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"291,000","377,000","494,000","507,000","814,000",,
