name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998
TotalAssets,"70,319,000,000","67,525,600,000","67,319,900,000","64,805,100,000","64,983,500,000","64,106,700,000","63,736,200,000","61,944,500,000","62,265,300,000","61,733,200,000","61,015,300,000","58,721,800,000","58,397,500,000","56,969,800,000","57,752,200,000","56,311,400,000","55,482,300,000","54,418,100,000","53,300,600,000","51,313,300,000","51,529,500,000","52,194,000,000","51,258,400,000","51,400,800,000","49,737,400,000","48,952,000,000","48,527,800,000","48,159,400,000","46,505,300,000","47,100,700,000","42,905,500,000","41,571,300,000","40,990,500,000","40,138,700,000","40,125,000,000","37,876,900,000","38,101,400,000","35,934,400,000","35,277,800,000","33,667,100,000","33,892,700,000","34,125,100,000","33,724,400,000","32,978,400,000","31,821,200,000","31,360,800,000","28,472,700,000","28,289,500,000","26,501,100,000","26,151,600,000","19,357,500,000","19,022,500,000","18,435,300,000","17,957,535,000","18,149,210,000","18,180,856,000","17,192,083,000","16,608,007,000","16,006,005,000","15,370,273,000","14,427,988,000","13,989,718,000","13,757,029,000","13,043,740,000","12,318,505,000","12,591,016,000","12,391,465,000","11,729,969,000","11,527,724,000","11,315,461,000","12,183,385,000","4,953,607,000","4,782,317,000","4,802,814,000","4,281,746,000","4,277,344,000","4,266,390,000","4,230,272,000","4,254,954,000","2,792,376,000","2,736,262,000","2,431,193,000","2,509,998,000","2,441,993,000","2,249,625,000","1,951,521,000","1,847,536,000","1,755,724,000","1,638,731,000","1,495,000,000","1,472,600,000","790,500,000","738,900,000","741,000,000","752,600,000"
	CurrentAssets,"12,978,000,000","13,269,400,000","12,828,400,000","10,311,200,000","10,584,100,000","9,909,400,000","8,793,300,000","7,116,300,000","7,719,100,000","7,862,900,000","7,913,800,000","6,258,900,000","6,628,600,000","6,060,700,000","7,685,900,000","7,002,600,000","6,791,000,000","6,506,400,000","6,031,100,000","4,784,500,000","5,641,500,000","6,528,200,000","5,741,600,000","5,969,700,000","4,592,600,000","4,313,000,000","4,660,000,000","7,178,800,000","4,434,800,000","5,490,700,000","8,365,500,000","7,471,900,000","7,333,200,000","7,023,400,000","7,770,900,000","6,580,000,000","7,368,300,000","5,843,100,000","5,893,100,000","5,069,400,000","6,097,200,000","6,068,700,000","6,348,400,000","5,938,500,000","5,446,800,000","5,507,100,000","4,643,400,000","4,905,600,000","4,607,200,000","4,246,900,000","3,149,000,000","2,868,900,000","2,290,600,000","2,163,720,000","2,983,095,000","3,330,259,000","2,604,256,000","2,537,885,000","2,375,837,000","2,179,146,000","1,973,085,000","1,922,158,000","2,154,758,000","2,003,994,000","1,503,904,000","1,971,447,000","2,012,691,000","1,543,838,000","1,413,626,000","1,440,723,000","2,528,711,000","840,253,000","685,706,000","687,183,000","639,225,000","663,464,000","649,111,000","637,568,000","658,015,000","481,059,000","449,506,000","518,775,000","625,946,000","695,013,000","751,677,000","581,392,000","532,460,000","496,101,000","419,802,000","384,500,000","383,900,000","161,100,000","114,600,000","137,700,000","151,600,000"
		CashCashEquivalentsAndShortTermInvestments,"231,000,000","2,819,400,000","2,213,500,000","404,500,000","229,400,000","1,059,900,000","1,032,200,000","1,298,500,000","2,025,700,000","334,700,000","1,207,800,000","107,300,000","99,300,000","344,800,000","30,200,000","57,900,000","102,100,000","5,100,000","32,900,000","28,600,000","62,400,000","63,100,000","57,100,000","113,500,000","160,600,000","19,000,000","80,500,000","551,100,000","81,100,000","74,400,000","1,061,600,000","242,000,000","988,400,000","56,900,000","9,600,000","45,300,000","1,280,300,000","16,100,000","14,500,000","14,500,000","88,300,000","19,800,000","29,100,000","109,100,000","150,400,000","65,500,000","42,700,000","494,500,000","134,900,000","168,500,000","73,800,000","65,000,000","41,500,000","35,373,000","55,403,000","24,710,000","65,559,000","39,722,000","43,881,000","63,363,000","58,237,000","22,619,000","117,400,000","24,524,000","34,991,000","42,098,000","32,688,000","33,045,000","57,730,000","50,713,000","146,602,000","62,562,000","52,821,000","44,317,000","54,887,000","40,505,000","41,346,000","22,568,000","61,976,000","7,929,000","44,553,000","137,823,000","67,076,000","123,279,000","379,411,000","60,409,000","41,443,000","87,135,000","50,142,000","5,200,000","21,600,000","4,000,000","4,700,000","24,100,000","11,000,000"
			CashAndCashEquivalents,"231,000,000","2,819,400,000","2,213,500,000","404,500,000","229,400,000","1,059,900,000","1,032,200,000","1,298,500,000","2,025,700,000","334,700,000","1,207,800,000","107,300,000","99,300,000","344,800,000","30,200,000","57,900,000","102,100,000","5,100,000","32,900,000","28,600,000","62,400,000","63,100,000","57,100,000","113,500,000","160,600,000","19,000,000","80,500,000","551,100,000","81,100,000","74,400,000","1,061,600,000","242,000,000","988,400,000","56,900,000","9,600,000","45,300,000","1,280,300,000","16,100,000","14,500,000","14,500,000","88,300,000","19,800,000","29,100,000","109,100,000","150,400,000","65,500,000","42,700,000","494,500,000","134,900,000","54,700,000","73,800,000","65,000,000","41,500,000","35,373,000","55,403,000","24,710,000","65,559,000","39,722,000","43,881,000","63,363,000","58,237,000","22,619,000","117,400,000","24,524,000","34,991,000","42,098,000","32,688,000","33,045,000","57,730,000","50,713,000","146,602,000","62,562,000","52,821,000","44,317,000","54,887,000","40,505,000","41,346,000","22,568,000","61,976,000","7,929,000","44,553,000","137,823,000","67,076,000","123,279,000","379,411,000","60,409,000","41,443,000","87,135,000","50,142,000","5,200,000","21,600,000","4,000,000","4,700,000","24,100,000","11,000,000"
			OtherShortTermInvestments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"113,800,000","0",,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Receivables,"9,018,000,000","6,987,800,000","6,122,500,000","5,261,600,000","5,786,900,000","4,808,200,000","3,780,300,000","2,910,300,000","3,295,700,000","4,876,100,000","4,263,700,000","3,801,800,000","4,293,200,000","3,662,600,000","4,224,500,000","4,320,300,000","4,443,500,000","4,360,200,000","3,395,400,000","2,658,700,000","3,154,400,000","3,330,600,000","2,945,800,000","3,057,500,000","2,450,500,000","2,571,100,000","2,803,700,000","3,348,500,000","2,988,500,000","3,825,800,000","5,323,400,000","5,449,800,000","4,993,600,000","5,482,300,000","5,481,900,000","4,671,300,000","4,504,900,000","4,353,400,000","4,399,800,000","3,727,200,000","4,540,100,000","4,545,300,000","4,045,900,000","4,312,000,000","3,912,300,000","3,836,900,000","3,067,600,000","2,943,300,000","3,082,900,000","3,137,400,000","1,509,300,000","1,279,600,000","1,139,400,000","1,247,144,000","1,929,455,000","2,578,407,000","2,096,708,000","2,010,544,000","1,590,198,000","1,583,475,000","1,299,677,000","1,323,028,000","1,382,456,000","1,337,302,000","1,099,817,000","1,454,583,000","1,294,732,000","1,022,380,000","946,972,000","1,083,536,000","828,676,000","536,266,000","408,582,000","462,545,000","373,195,000","439,916,000","483,371,000","399,415,000","322,760,000","285,761,000","259,681,000","261,302,000","338,703,000","392,691,000","326,002,000","415,618,000","339,816,000","252,049,000","344,263,000","318,400,000","238,200,000","79,400,000","67,100,000","72,800,000","71,400,000"
			AccountsReceivable,"9,018,000,000","6,967,200,000","6,119,500,000","5,253,800,000","5,779,900,000","4,802,600,000","3,776,200,000","2,907,700,000","3,293,800,000","4,873,600,000","4,261,700,000","3,787,600,000","4,290,700,000","3,659,100,000","4,222,900,000","4,318,300,000","4,439,900,000","4,358,400,000","3,392,200,000","2,655,700,000","3,152,800,000","3,329,500,000","2,944,100,000","3,055,400,000","2,449,400,000","2,569,900,000","2,802,000,000","3,346,100,000","2,985,100,000","3,823,000,000","5,320,800,000","5,393,500,000","4,988,100,000","5,475,500,000","5,469,100,000","4,651,500,000","4,502,200,000","4,350,900,000","4,389,400,000","3,724,900,000","4,526,700,000","4,545,300,000","4,045,900,000","4,274,300,000","3,881,300,000","3,800,100,000","3,036,600,000","2,943,300,000","3,082,900,000","3,137,400,000","1,509,300,000","1,279,600,000","1,139,400,000","1,247,144,000","1,929,455,000","2,578,407,000","2,096,708,000","2,010,544,000","1,590,198,000","1,583,475,000","1,299,677,000","1,323,028,000","1,382,456,000","1,337,302,000","1,099,817,000","1,454,583,000","1,294,732,000","1,022,380,000","946,972,000","1,083,536,000","828,676,000","536,266,000","408,582,000","462,545,000","373,195,000","439,916,000","483,371,000","399,415,000","322,441,000","285,761,000","259,681,000","261,302,000","338,703,000","392,691,000","326,002,000",,,,,,,,,,
				GrossAccountsReceivable,"9,073,000,000","7,019,900,000","6,169,500,000","5,303,800,000","5,826,900,000","4,849,100,000","3,790,000,000","2,921,600,000","3,310,500,000","4,886,000,000","4,273,000,000","3,799,100,000","4,302,300,000","3,670,600,000","4,235,100,000","4,330,100,000","4,451,300,000","4,370,500,000","3,404,500,000","2,667,800,000","3,165,100,000","3,340,800,000","2,958,100,000","3,066,100,000","2,461,300,000","2,582,000,000","2,814,900,000","3,360,000,000","2,999,400,000","3,836,900,000","5,335,600,000","5,408,300,000","4,998,700,000","5,483,000,000","5,475,800,000",,"4,514,100,000","4,364,100,000","4,402,600,000","3,737,900,000","4,539,700,000","4,558,700,000","4,059,300,000",,,"3,818,500,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-55,000,000","-52,700,000","-50,000,000","-50,000,000","-47,300,000","-46,500,000","-13,800,000","-13,900,000","-16,700,000","-12,400,000","-11,300,000","-11,500,000","-11,600,000","-11,500,000","-12,200,000","-11,800,000","-11,400,000","-12,100,000","-12,300,000","-12,100,000","-12,300,000","-11,300,000","-14,000,000","-10,700,000","-11,900,000","-12,100,000","-12,900,000","-13,900,000","-14,300,000","-13,900,000","-14,800,000","-14,800,000","-10,600,000","-7,500,000","-6,700,000",,"-11,900,000","-13,200,000","-13,200,000","-13,000,000","-13,000,000","-13,400,000","-13,400,000",,,"-18,400,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			DuefromRelatedPartiesCurrent,,"20,600,000","3,000,000","7,800,000","7,000,000","5,600,000","4,100,000","2,600,000","1,900,000","2,500,000","2,000,000","14,200,000","2,500,000","3,500,000","1,600,000","2,000,000","3,600,000","1,800,000","3,200,000","3,000,000","1,600,000","1,100,000","1,700,000","2,100,000","1,100,000","1,200,000","1,700,000","2,400,000","3,400,000","2,800,000","2,600,000","56,300,000","5,500,000","6,800,000","12,800,000","19,800,000","2,700,000","2,500,000","10,400,000","2,300,000","13,400,000",,,"37,700,000","31,000,000","36,800,000","31,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
