name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,03/31/2015
TotalRevenue,"100,004,000","23,417,000","24,813,000","25,079,000","26,695,000","21,462,000","18,924,000","22,205,000","13,593,000","16,356,000","18,952,000","20,744,000","18,200,000","14,656,000","14,568,000","15,820,000","15,077,000","12,094,000","11,681,000","12,375,000","11,802,000","9,762,000","9,418,000","10,135,000","9,674,000","8,071,000","6,180,000"
	OperatingRevenue,"100,004,000","23,417,000","24,813,000","25,079,000","26,695,000","21,462,000","18,924,000","22,205,000","13,593,000","16,356,000","18,952,000","20,744,000","18,200,000","14,656,000","14,568,000","15,820,000","15,077,000","12,094,000","11,681,000","12,375,000","11,802,000","9,762,000","9,418,000","10,135,000","9,674,000","8,071,000","6,180,000"
CostOfRevenue,"24,360,000","4,851,000","6,732,000","6,525,000","6,252,000","5,137,000","3,806,000","4,566,000","3,532,000","4,143,000","4,502,000","4,849,000","4,581,000","4,001,000","4,054,000","3,843,000","3,807,000","3,175,000","2,849,000","2,884,000","3,090,000","2,347,000","3,018,000","2,978,000","2,848,000","2,087,000","1,766,000"
GrossProfit,"75,644,000","18,566,000","18,081,000","18,554,000","20,443,000","16,325,000","15,118,000","17,639,000","10,061,000","12,213,000","14,450,000","15,895,000","13,619,000","10,655,000","10,514,000","11,977,000","11,270,000","8,919,000","8,832,000","9,491,000","8,712,000","7,415,000","6,400,000","7,157,000","6,826,000","5,984,000","4,414,000"
OperatingExpense,"93,931,000","24,952,000","23,492,000","22,198,000","23,289,000","22,298,000","21,519,000","20,137,000","17,078,000","16,710,000","17,481,000","17,434,000","15,409,000","13,372,000","12,380,000","13,149,000","13,390,000","13,314,000","13,036,000","10,247,000","9,389,000","8,252,000","9,652,000","7,680,000","7,691,000","7,470,000","6,258,000"
	SellingGeneralAndAdministration,"87,669,000","22,925,000","21,884,000","20,896,000","21,964,000","20,990,000","19,469,000","19,060,000","16,197,000","15,445,000","15,576,000","16,038,000","14,175,000","12,159,000","11,103,000","12,027,000","12,275,000","12,096,000","12,095,000","9,120,000","8,721,000","7,565,000","9,028,000","7,179,000","7,102,000","6,963,000","5,779,000"
		GeneralAndAdministrativeExpense,"47,187,000","13,167,000","11,898,000","11,034,000","11,088,000","12,041,000","10,036,000","9,823,000","10,577,000","7,881,000","7,216,000","7,267,000","6,569,000","5,612,000","4,545,000","4,877,000","5,499,000","6,017,000","6,690,000","3,487,000","3,422,000","3,373,000","4,768,000","2,890,000","2,766,000","3,193,000","2,572,000"
			OtherGandA,"47,187,000","13,167,000","11,898,000","11,034,000","11,088,000","12,041,000","10,036,000","9,823,000","10,577,000","7,881,000","7,216,000","7,267,000","6,569,000","5,612,000","4,545,000","4,877,000","5,499,000","6,017,000","6,690,000","3,487,000","3,422,000","3,373,000","4,768,000","2,890,000","2,766,000","3,193,000","2,572,000"
		SellingAndMarketingExpense,"40,482,000","9,758,000","9,986,000","9,862,000","10,876,000","8,949,000","9,433,000","9,237,000","5,620,000","7,564,000","8,360,000","8,771,000","7,606,000","6,547,000","6,558,000","7,150,000","6,776,000","6,079,000","5,405,000","5,633,000","5,299,000","4,192,000","4,260,000","4,289,000","4,336,000","3,770,000","3,207,000"
	ResearchAndDevelopment,"6,262,000","2,027,000","1,608,000","1,302,000","1,325,000","1,308,000","2,050,000","1,077,000","881,000","1,265,000","1,905,000","1,396,000","1,234,000","1,213,000","1,277,000","1,122,000","1,115,000","1,218,000","941,000","1,127,000","668,000","687,000","624,000","501,000","589,000","507,000","479,000"
