name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008
TotalAssets,"8,159,000,000","7,808,100,000","7,662,500,000","7,713,600,000","7,810,500,000","7,561,800,000","7,219,600,000","7,007,900,000","6,928,100,000","7,055,200,000","6,289,100,000","6,234,000,000","6,341,100,000","5,900,300,000","5,851,100,000","6,039,600,000","6,246,900,000","6,020,300,000","5,628,200,000","4,898,700,000","4,748,700,000","4,631,200,000","4,685,051,000","4,725,063,000","5,459,147,000","5,615,927,000","5,619,097,000","5,775,663,000","2,404,499,000","2,345,330,000","2,677,700,000","2,675,277,000","2,640,004,000","2,504,451,000","2,429,872,000","2,439,351,000","2,516,347,000","2,360,336,000","2,303,433,000","1,853,343,000","1,892,043,000","1,541,106,000","1,379,933,000","1,408,089,000","1,286,431,000","1,217,090,000","1,049,411,000","1,053,268,000","1,085,679,000","996,953,000","1,019,376,000","1,009,335,000","1,020,386,000","928,877,000"
	CurrentAssets,"1,119,400,000","902,600,000","934,100,000","918,700,000","1,041,600,000","794,200,000","799,700,000","878,700,000","814,000,000","744,900,000","831,000,000","710,300,000","734,900,000","644,500,000","593,700,000","625,100,000","708,600,000","597,600,000","544,700,000","522,800,000","513,800,000","500,900,000","464,301,000","496,917,000","586,783,000","604,569,000","617,762,000","609,987,000","453,993,000","384,483,000","705,652,000","704,563,000","679,204,000","474,845,000","461,330,000","493,609,000","552,543,000","390,559,000","361,337,000","397,495,000","419,840,000","453,654,000","271,764,000","295,477,000","311,698,000","240,435,000","285,772,000","285,490,000","315,849,000","225,345,000","220,763,000","212,495,000","204,230,000","168,927,000"
		CashCashEquivalentsAndShortTermInvestments,"397,900,000","280,300,000","302,100,000","276,300,000","390,900,000","218,800,000","221,800,000","309,400,000","204,400,000","184,600,000","311,800,000","153,300,000","179,500,000","139,500,000","151,600,000","135,800,000","153,600,000","146,100,000","145,700,000","144,300,000","158,600,000","138,500,000","168,244,000","199,774,000","135,290,000","141,924,000","172,455,000","149,216,000","156,702,000","43,160,000","436,220,000","423,285,000","431,294,000","169,712,000","184,717,000","176,841,000","272,499,000","94,702,000","102,665,000","101,980,000","119,898,000","196,669,000","57,674,000","57,321,000","106,841,000","60,627,000","112,605,000","111,894,000","136,538,000","76,972,000","65,912,000","50,985,000","49,785,000","38,299,000"
			CashAndCashEquivalents,"397,900,000","280,300,000","302,100,000","276,300,000","390,900,000","218,800,000","221,800,000","309,400,000","204,400,000","184,600,000","311,800,000","153,300,000","179,500,000","139,500,000","147,600,000","132,000,000","149,800,000","142,300,000","142,000,000","140,700,000","155,000,000","135,100,000","164,787,000","196,402,000","131,818,000","138,348,000","168,825,000","145,491,000","152,847,000","39,359,000","432,490,000","419,448,000","427,376,000","165,801,000","180,203,000","172,587,000","267,358,000","89,819,000","97,770,000","97,198,000","114,930,000","191,603,000","52,846,000","51,970,000","101,238,000","54,974,000","107,255,000","106,827,000","130,992,000","71,527,000","60,560,000","45,962,000","45,006,000","33,185,000"
			OtherShortTermInvestments,,,,,,,,,,,,,,,"4,000,000","3,800,000","3,800,000","3,800,000","3,700,000","3,600,000","3,600,000","3,400,000","3,457,000","3,372,000","3,472,000","3,576,000","3,630,000","3,725,000","3,855,000","3,801,000","3,730,000","3,837,000","3,918,000","3,911,000","4,514,000","4,254,000","5,141,000","4,883,000","4,895,000","4,782,000","4,968,000","5,066,000","4,828,000","5,351,000","5,603,000","5,653,000","5,350,000","5,067,000","5,546,000","5,445,000","5,352,000","5,023,000","4,779,000","5,114,000"
		Receivables,"528,300,000","483,000,000","489,000,000","498,200,000","519,500,000","457,800,000","459,400,000","454,500,000","523,300,000","467,500,000","428,800,000","468,000,000","444,600,000","390,400,000","336,100,000","370,200,000","432,200,000","374,300,000","320,100,000","318,500,000","302,000,000","313,200,000","241,175,000","247,074,000","305,873,000","368,952,000","311,209,000","332,561,000","239,430,000","286,180,000","218,823,000","206,473,000","180,950,000","225,893,000","209,958,000","240,562,000","205,997,000","224,405,000","184,058,000","204,950,000","218,287,000","190,014,000","158,550,000","179,305,000","167,981,000","151,270,000","143,156,000","139,545,000","132,896,000","106,157,000","111,002,000","115,617,000","116,902,000","96,941,000"
			AccountsReceivable,"528,300,000","395,500,000","468,000,000","467,400,000","519,500,000","380,500,000","433,400,000","454,500,000","523,300,000","372,700,000","405,500,000","442,600,000","438,600,000","299,700,000","324,200,000","347,800,000","424,100,000","291,400,000","285,800,000","266,400,000","298,700,000","216,400,000","229,939,000","241,326,000","297,312,000","283,509,000","266,000,000","267,379,000","226,637,000","203,339,000","188,711,000","177,973,000","173,451,000","143,059,000","167,767,000","186,549,000","190,917,000","165,174,000","175,520,000","173,607,000","194,540,000","153,339,000","152,803,000","145,632,000","163,888,000","126,564,000","130,360,000","118,470,000","132,896,000","89,436,000","104,083,000","107,151,000","115,288,000","83,941,000"
				GrossAccountsReceivable,"547,500,000",,"492,200,000","490,300,000","538,800,000",,"449,500,000","470,400,000","537,100,000",,"414,700,000","450,700,000","445,100,000",,"330,000,000","353,000,000","428,600,000",,"290,500,000","270,700,000","302,800,000",,"233,058,000","244,463,000","300,115,000",,"271,727,000","274,985,000","233,264,000",,"195,998,000","183,010,000","177,777,000",,"173,156,000","191,485,000","195,936,000",,"179,723,000","177,695,000","198,530,000","157,497,000","157,235,000","149,461,000",,"130,592,000",,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-19,200,000",,"-24,200,000","-22,900,000","-19,300,000",,"-16,100,000","-15,900,000","-13,800,000",,"-9,200,000","-8,100,000","-6,500,000",,"-5,800,000","-5,200,000","-4,500,000",,"-4,700,000","-4,300,000","-4,100,000",,"-3,119,000","-3,137,000","-2,803,000",,"-5,727,000","-7,606,000","-6,627,000",,"-7,287,000","-5,037,000","-4,326,000",,"-5,389,000","-4,936,000","-5,019,000",,"-4,203,000","-4,088,000","-3,990,000","-4,158,000","-4,432,000","-3,829,000",,"-4,028,000",,,,,,,,
			NotesReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0"
