name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020
MarketCap,"915,789,190","1,075,369,410","1,012,707,845","936,961,088","911,469,052","526,356,993","549,687,092","469,911,495"
EnterpriseValue,"1,234,983,190","1,334,854,410","1,198,487,845","1,045,224,088","1,103,809,052","624,748,993","603,370,092","649,158,495"
PeRatio,"191.1","280.5","76.333",,"328.556","1,849",,
PsRatio,"11.866","14.674","16.773","19.96","16.35","11.599","19.381","21.114"
PbRatio,"1.071","1.38","1.488","1.37","1.836","1.065","1.23","2.159"
EnterprisesValueRevenueRatio,"18.018","62.575","67.304","66.989","79.998","52.359","52.696","67.256"
EnterprisesValueEBITDARatio,"27.88","93.964","93.34","87.738","206.745","81.934","56.169","192.686"
