name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996
TotalAssets,"22,829,000,000","22,149,000,000","23,099,000,000","24,561,000,000","23,780,000,000","17,881,000,000","17,038,000,000","16,903,000,000","16,916,000,000","17,295,000,000","15,984,000,000","16,453,000,000","16,459,000,000","17,047,000,000","26,749,000,000","26,975,000,000","26,958,000,000","26,480,000,000","26,765,000,000","26,517,000,000","26,606,000,000","27,852,000,000","28,413,000,000","28,609,000,000","29,048,000,000","29,095,000,000","29,048,000,000","30,017,000,000","29,789,000,000","30,597,000,000","31,660,000,000","31,578,000,000","31,617,000,000","32,439,000,000","31,765,000,000","32,424,000,000","32,045,000,000","32,572,000,000","32,192,000,000","31,924,000,000","31,878,000,000","32,476,000,000","35,394,000,000","35,984,000,000","35,541,000,000","35,531,000,000","34,843,000,000","33,349,000,000","33,845,000,000","34,573,000,000","35,615,000,000","35,517,000,000","35,743,000,000","36,020,000,000","36,090,000,000","37,830,000,000","24,502,000,000","22,831,000,000","22,918,000,000","20,025,000,000","20,038,000,000","20,132,000,000","19,776,000,000","19,230,000,000","19,077,000,000","19,436,000,000","19,255,000,000","19,053,000,000","19,179,000,000","19,643,000,000","18,791,000,000","18,767,000,000","18,211,000,000","18,680,000,000","18,512,000,000","18,236,000,000","17,849,000,000","18,542,000,000","18,006,000,000","17,813,000,000","17,966,000,000","18,402,000,000","18,378,429,757","15,672,549,408","15,471,614,336","15,698,093,079","12,558,512,477","12,447,703,340","13,333,892,970","13,172,272,893"
	CurrentAssets,"2,341,000,000","2,453,000,000","3,008,000,000","3,885,000,000","4,158,000,000","3,975,000,000","3,159,000,000","3,040,000,000","2,942,000,000","3,071,000,000","2,868,000,000","3,861,000,000","3,996,000,000","4,529,000,000","16,444,000,000","16,608,000,000","16,478,000,000","2,977,000,000","3,258,000,000","3,137,000,000","3,256,000,000","4,634,000,000","4,701,000,000","4,678,000,000","4,841,000,000","3,540,000,000","3,228,000,000","3,733,000,000","3,516,000,000","3,646,000,000","4,115,000,000","3,235,000,000","3,309,000,000","3,900,000,000","3,269,000,000","4,091,000,000","3,413,000,000","4,151,000,000","3,367,000,000","4,278,000,000","3,846,000,000","3,914,000,000","4,141,000,000","4,269,000,000","3,693,000,000","3,659,000,000","3,739,000,000","3,033,000,000","3,425,000,000","3,663,000,000","4,447,000,000","4,090,000,000","4,037,000,000","3,673,000,000","3,807,000,000","3,598,000,000","11,286,000,000","9,678,000,000","9,563,000,000","3,081,000,000","3,039,000,000","3,265,000,000","3,151,000,000","2,670,000,000","2,668,000,000","3,009,000,000","2,855,000,000","2,581,000,000","2,564,000,000","2,892,000,000","2,601,000,000","2,780,000,000","2,599,000,000","3,044,000,000","2,874,000,000","2,702,000,000","2,534,000,000","3,019,000,000","2,487,000,000","2,351,000,000","2,520,000,000","2,763,000,000","2,726,062,987","2,242,051,689","2,081,826,832","2,527,670,356","2,200,110,597","2,092,124,814","2,680,167,891","2,224,881,430"
		CashCashEquivalentsAndShortTermInvestments,"703,000,000","886,000,000","1,594,000,000","2,419,000,000","2,661,000,000","2,399,000,000","1,702,000,000","1,438,000,000","1,264,000,000","1,358,000,000","1,202,000,000","2,156,000,000","2,306,000,000","2,782,000,000","549,000,000","927,000,000","555,000,000","972,000,000","1,004,000,000","857,000,000","943,000,000","2,556,000,000","956,000,000","801,000,000","979,000,000","1,102,000,000","869,000,000","1,299,000,000","1,032,000,000","1,179,000,000","1,837,000,000","847,000,000","800,000,000","1,499,000,000","672,000,000","1,708,000,000","527,000,000","1,373,000,000","769,000,000","1,801,000,000","467,000,000","422,000,000","589,000,000","713,000,000","611,000,000","864,000,000","1,158,000,000","508,000,000","904,000,000","1,187,000,000","1,860,000,000","1,572,000,000","1,251,000,000","841,000,000","983,000,000","789,000,000","9,222,000,000","7,497,000,000","7,455,000,000","422,000,000","350,000,000","334,000,000","491,000,000","224,000,000","285,000,000","407,000,000","451,000,000","318,000,000","327,000,000","405,000,000","374,000,000","609,000,000","549,000,000","683,000,000","656,000,000","598,000,000","550,000,000","709,000,000","471,000,000","450,000,000","577,000,000","532,000,000","548,127,495","302,729,857","201,712,655","336,711,562","329,024,677","306,996,576","606,016,090","374,972,638"
			CashAndCashEquivalents,"654,000,000","778,000,000","1,511,000,000","2,342,000,000","2,584,000,000","1,787,000,000","1,152,000,000","946,000,000","823,000,000","825,000,000","1,147,000,000","2,108,000,000","2,258,000,000","2,706,000,000","507,000,000","879,000,000","502,000,000","874,000,000","898,000,000","771,000,000","812,000,000","2,368,000,000","831,000,000","686,000,000","869,000,000","926,000,000","710,000,000","1,127,000,000","769,000,000","1,018,000,000","1,686,000,000","704,000,000","667,000,000","1,316,000,000","607,000,000","1,613,000,000","423,000,000","1,301,000,000","769,000,000","1,801,000,000","467,000,000","422,000,000","589,000,000","713,000,000","611,000,000","864,000,000","1,158,000,000","508,000,000","828,000,000","1,111,000,000","1,860,000,000","1,572,000,000","1,251,000,000","841,000,000","983,000,000","789,000,000","9,222,000,000","7,497,000,000","7,455,000,000","422,000,000","350,000,000","334,000,000","491,000,000","224,000,000","285,000,000","407,000,000","451,000,000","318,000,000","327,000,000","405,000,000","374,000,000","609,000,000","549,000,000","683,000,000","656,000,000","598,000,000","550,000,000","709,000,000","471,000,000","450,000,000","577,000,000","532,000,000","548,127,495","302,729,857","201,712,655","336,711,562","329,024,677","306,996,576","606,016,090","374,972,638"
				CashFinancial,,"389,000,000",,,,"311,000,000",,,,"335,000,000",,,,"309,000,000",,,,"614,000,000",,,,"590,000,000",,,,"622,000,000",,,,"633,000,000",,,,"428,000,000",,,,"327,000,000",,,,,,,,,,,,"438,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				CashEquivalents,,"389,000,000",,,,"1,476,000,000",,,,"490,000,000",,,,"2,397,000,000",,,,"260,000,000",,,,"1,778,000,000",,,,"304,000,000",,,,"385,000,000",,,,"888,000,000",,,,"974,000,000",,,,,,,,,,,,"673,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherShortTermInvestments,"49,000,000","108,000,000","83,000,000","77,000,000","77,000,000","612,000,000","550,000,000","492,000,000","441,000,000","533,000,000","55,000,000","48,000,000","48,000,000","76,000,000","42,000,000","48,000,000","53,000,000","98,000,000","106,000,000","86,000,000","131,000,000","188,000,000","125,000,000","115,000,000","110,000,000","176,000,000","159,000,000","172,000,000","263,000,000","161,000,000","151,000,000","143,000,000","133,000,000","183,000,000","65,000,000","95,000,000","104,000,000","72,000,000",,,,,,,,,,,"76,000,000","76,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Receivables,"982,000,000","1,125,000,000","951,000,000","1,041,000,000","1,049,000,000","1,216,000,000","1,045,000,000","1,093,000,000","1,120,000,000","1,239,000,000","1,112,000,000","1,178,000,000","1,137,000,000","1,313,000,000","871,000,000","856,000,000","839,000,000","1,457,000,000","1,530,000,000","1,545,000,000","1,573,000,000","1,392,000,000","1,403,000,000","1,479,000,000","1,468,000,000","1,755,000,000","1,633,000,000","1,693,000,000","1,777,000,000","1,810,000,000","1,694,000,000","1,798,000,000","1,825,000,000","1,751,000,000","1,709,000,000","1,760,000,000","1,920,000,000","1,835,000,000","1,772,000,000","1,733,000,000","1,796,000,000","1,984,000,000","1,745,000,000","1,653,000,000","1,895,000,000","1,809,000,000","1,685,000,000","1,620,000,000","1,716,000,000","1,742,000,000","1,729,000,000","1,746,000,000","1,760,000,000","1,780,000,000","1,710,000,000","1,811,000,000","1,454,000,000","1,565,000,000","1,327,000,000","1,269,000,000","1,285,000,000","1,369,000,000","1,654,000,000","1,437,000,000","1,421,000,000","1,699,000,000","1,545,000,000","1,370,000,000","1,362,000,000","1,648,000,000","1,389,000,000","1,227,000,000","1,200,000,000","1,521,000,000","1,362,000,000","1,201,000,000","1,219,000,000","1,534,000,000","1,415,000,000","1,261,000,000","1,355,000,000","1,662,000,000","1,551,866,168","1,286,932,382","1,214,716,143","1,522,202,960","1,243,035,875","1,276,051,425","1,355,089,192","1,167,967,895"
			AccountsReceivable,"982,000,000","1,038,000,000","951,000,000","1,041,000,000","1,049,000,000","1,122,000,000","1,045,000,000","1,093,000,000","1,120,000,000","1,120,000,000","1,112,000,000","1,178,000,000","1,137,000,000","1,069,000,000","871,000,000","856,000,000","839,000,000","1,415,000,000","1,530,000,000","1,545,000,000","1,573,000,000","1,327,000,000","1,403,000,000","1,479,000,000","1,468,000,000","1,737,000,000","1,633,000,000","1,693,000,000","1,777,000,000","1,792,000,000","1,694,000,000","1,798,000,000","1,825,000,000","1,733,000,000","1,709,000,000","1,760,000,000","1,920,000,000","1,812,000,000","1,772,000,000","1,733,000,000","1,796,000,000","2,062,000,000","1,745,000,000","1,653,000,000","1,895,000,000","1,809,000,000","1,685,000,000","1,620,000,000","1,716,000,000","1,854,000,000","1,729,000,000","1,746,000,000","1,760,000,000","1,780,000,000","1,710,000,000","1,811,000,000","1,454,000,000","1,565,000,000","1,327,000,000","1,269,000,000","1,285,000,000","1,369,000,000","1,654,000,000","1,437,000,000","1,421,000,000","1,699,000,000","1,545,000,000","1,370,000,000","1,362,000,000","1,648,000,000","1,389,000,000","1,227,000,000","1,200,000,000","1,521,000,000","1,362,000,000","1,201,000,000","1,219,000,000","1,534,000,000","1,415,000,000","1,261,000,000","1,355,000,000","1,662,000,000","1,551,866,168","1,286,932,382","1,214,716,143","1,522,202,960","1,243,035,875","1,276,051,425","1,355,089,192","1,167,967,895"
				GrossAccountsReceivable,,"1,117,000,000",,,,"1,195,000,000",,,,"1,184,000,000",,,,"1,132,000,000",,,,"1,500,000,000",,,,"1,414,000,000",,,,"1,840,000,000",,,,"1,910,000,000",,,,"1,850,000,000",,,,"1,947,000,000",,,,"2,111,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
