name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013
OperatingCashFlow,"181,238,000","-73,407,000","163,848,000","67,623,000","23,174,000","-25,492,000","106,253,000","99,557,000","-43,744,000","-68,284,000","88,251,000","-46,675,000","-1,036,000","-64,984,000","45,963,000","9,763,000","-1,048,000","-97,112,000","56,990,000","55,523,000","-11,428,000","-137,938,000","12,696,000","-41,724,000","-45,460,000","-33,265,000","20,848,000","4,622,000","65,874,000","66,267,000","43,190,000","46,983,000","-10,965,000","17,714,000","82,330,000","23,387,000","-34,365,000","31,125,000"
	CashFlowFromContinuingOperatingActivities,"181,238,000","-73,407,000","163,848,000","67,623,000","23,174,000","-25,492,000","106,253,000","99,557,000","-43,744,000","-68,284,000","88,251,000","-46,675,000","-1,036,000","-64,984,000","45,963,000","9,763,000","-1,048,000","-97,112,000","56,990,000","55,523,000","-11,428,000","-137,938,000","12,696,000","-41,724,000","-45,460,000","-33,265,000","20,848,000","4,622,000","65,874,000","66,267,000","43,190,000","46,983,000","-10,965,000","17,714,000","82,330,000","23,387,000","-34,365,000","31,125,000"
		NetIncomeFromContinuingOperations,"387,024,000","5,685,000","52,626,000","311,761,000","16,952,000","-10,168,000","44,413,000","3,307,000","-50,975,000","-63,528,000","95,820,000","-74,810,000","-11,287,000","-24,365,000","31,671,000","-27,089,000","-37,269,000","-76,347,000","-55,848,000","14,661,000","-30,536,000","-111,150,000","-115,709,000","-104,068,000","-91,767,000","-107,459,000","-34,451,000","18,799,000","35,031,000","16,752,000","122,260,000","14,620,000","-19,841,000","11,049,000","43,729,000","-1,101,000","-5,085,000","23,035,000"
		OperatingGainsLosses,,,,,,,"5,389,000",,,,,,,,"-5,000,000",,,,,,,,,,,,"-241,000","447,000","-604,000","2,190,000",,"-496,000","51,000","247,000","570,000","-105,000","480,000","279,000"
			GainLossOnSaleOfPPE,,,,,,,,,,,"0",,,,"-5,000,000",,,,,,,,,,,,,,,,,"-496,000","51,000","247,000","570,000","-105,000","480,000","279,000"
			NetForeignCurrencyExchangeGainLoss,,,,,,,,,,,,,,,,,,,,,,,,,,,"-241,000","447,000","-604,000","2,190,000",,,,,,,,
		DepreciationAmortizationDepletion,"9,730,000","2,302,000","2,364,000","2,370,000","2,694,000","3,534,000","3,570,000","4,802,000","4,710,000","5,983,000","6,445,000","1,032,000","9,315,000","9,476,000","7,290,000","9,693,000","9,173,000","8,907,000","9,218,000","9,100,000","11,467,000","11,693,000","11,100,000","12,736,000","9,482,000","8,322,000","9,596,000","7,594,000","6,422,000","5,369,000","5,176,000","4,781,000","4,177,000","3,811,000","3,526,000","3,092,000","3,207,000","2,209,000"
			DepreciationAndAmortization,"9,730,000","2,302,000","2,364,000","2,370,000","2,694,000","3,534,000","3,570,000","4,802,000","4,710,000","5,983,000","6,445,000","1,032,000","9,315,000","9,476,000","7,290,000","9,693,000","9,173,000","8,907,000","9,218,000","9,100,000","11,467,000","11,693,000","11,100,000","12,736,000","9,482,000","8,322,000","9,596,000","7,594,000","6,422,000","5,369,000","5,176,000","4,781,000","4,177,000","3,811,000","3,526,000","3,092,000","3,207,000","2,209,000"
				Depreciation,,,,,,,,,,,"5,836,000","1,032,000","9,315,000","9,476,000",,,,,,,,,,,,,,,,,,,,,,,,
				AmortizationCashFlow,,,,,,,,,,,,"2,210,000","2,763,000","2,626,000",,,,,,,,,,,,,,,,,,,,,,,,
