name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998
TotalAssets,"12,567,509,000","12,859,689,000","12,899,330,000","12,415,449,000","10,759,563,000","10,544,047,000","10,539,628,000","10,835,965,000","9,721,405,000","9,695,729,000","9,753,760,000","9,612,667,000","9,537,334,000","7,702,357,000","7,889,385,000","7,775,544,000","7,778,746,000","7,860,640,000","6,913,789,000","5,531,367,000","5,438,935,000","5,425,170,000","5,592,241,000","5,510,199,000","3,890,630,000","3,998,976,000","3,863,565,000","3,885,274,000","3,937,184,000","3,665,607,000","3,520,917,000","3,507,449,000","3,542,061,000","3,539,575,000","3,532,024,000","3,511,389,000","3,648,310,000","3,618,056,000","3,529,664,000","3,524,723,000","3,536,990,000","3,402,122,000","3,392,885,000","3,470,888,000","3,517,965,000","3,605,003,000","3,533,213,000","3,699,216,000","3,702,480,000","3,814,852,000","3,973,906,000","4,276,514,000","4,470,475,000","4,460,093,000","4,339,219,000","4,265,431,000","4,251,822,000","4,192,925,000","4,288,150,000","2,500,196,000","2,510,512,000","2,509,514,000","2,419,221,000","2,342,375,000","2,273,066,000","2,263,422,000","2,277,572,000","2,027,862,000","1,981,130,000","1,964,441,000","1,965,498,000","1,875,058,000","1,533,594,000","1,522,084,000","1,494,185,000","1,500,212,000","1,454,142,000","1,435,578,000","1,402,088,000","1,356,565,000","1,276,718,000","1,300,689,000","1,325,956,000","1,334,547,000","1,331,401,000","1,355,044,000","1,323,002,000","1,262,560,000","1,227,487,000","1,247,100,000","1,051,000,000","991,000,000","958,400,000","951,500,000","958,600,000","952,500,000","934,900,000"
TotalLiabilitiesNetMinorityInterest,"11,349,484,000","11,540,577,000","11,566,254,000","11,069,758,000","9,493,741,000","9,273,978,000","9,283,923,000","9,599,881,000","8,503,820,000","8,475,295,000","8,537,779,000","8,409,059,000","8,351,193,000","6,707,393,000","6,917,245,000","6,818,362,000","6,836,600,000","6,925,637,000","6,077,721,000","4,918,252,000","4,836,588,000","4,830,856,000","4,996,167,000","4,922,082,000","3,507,366,000","3,625,790,000","3,419,337,000","3,442,686,000","3,497,384,000","3,231,968,000","3,090,889,000","3,080,682,000","3,121,727,000","3,124,211,000","3,117,645,000","3,101,359,000","3,234,605,000","3,209,259,000","3,112,343,000","3,109,876,000","3,124,324,000","2,992,855,000","2,985,419,000","3,041,112,000","3,094,034,000","3,184,498,000","3,196,646,000","3,365,960,000","3,373,764,000","3,486,724,000","3,650,847,000","3,747,558,000","3,918,787,000","4,005,276,000","3,825,359,000","3,751,908,000","3,729,201,000","3,663,228,000","3,749,876,000","2,308,469,000","2,322,904,000","2,324,240,000","2,239,544,000","2,168,469,000","2,101,513,000","2,093,708,000","2,112,382,000","1,883,988,000","1,842,282,000","1,825,569,000","1,830,864,000","1,746,435,000","1,405,029,000","1,396,907,000","1,368,948,000","1,376,689,000","1,334,818,000","1,295,415,000","1,264,430,000","1,220,794,000","1,169,095,000","1,169,899,000","1,221,897,000","1,235,948,000","1,235,266,000","1,262,719,000","1,234,839,000","1,177,675,000","1,145,560,000","1,164,800,000","965,300,000","904,700,000","871,100,000","864,400,000","872,500,000","867,100,000","851,300,000"
TotalEquityGrossMinorityInterest,"1,218,025,000","1,319,112,000","1,333,076,000","1,345,691,000","1,265,822,000","1,270,069,000","1,255,705,000","1,236,084,000","1,217,585,000","1,220,434,000","1,215,981,000","1,203,608,000","1,186,141,000","994,964,000","972,140,000","957,182,000","942,146,000","935,003,000","836,068,000","613,115,000","602,347,000","594,314,000","596,074,000","588,117,000","383,264,000","373,186,000","444,228,000","442,588,000","439,800,000","433,639,000","430,028,000","426,767,000","420,334,000","415,364,000","414,379,000","410,030,000","413,705,000","408,797,000","417,321,000","414,847,000","412,666,000","409,267,000","407,466,000","429,776,000","423,931,000","420,505,000","336,567,000","333,256,000","328,716,000","328,128,000","323,059,000","528,956,000","551,688,000","454,817,000","513,860,000","513,523,000","522,621,000","529,697,000","538,274,000","191,727,000","187,608,000","185,274,000","179,677,000","173,906,000","171,553,000","169,714,000","165,190,000","143,874,000","138,848,000","138,872,000","134,634,000","128,623,000","128,565,000","125,177,000","125,237,000","123,523,000","119,324,000","140,163,000","137,658,000","135,771,000","107,623,000","130,790,000","104,059,000","98,599,000","96,135,000","92,325,000","88,163,000","84,885,000","81,927,000","82,300,000","85,700,000","86,300,000","87,300,000","87,100,000","86,100,000","85,400,000","83,600,000"
	StockholdersEquity,"1,218,025,000","1,319,112,000","1,333,076,000","1,345,691,000","1,265,822,000","1,270,069,000","1,255,705,000","1,236,084,000","1,217,585,000","1,220,434,000","1,215,981,000","1,203,608,000","1,186,141,000","994,964,000","972,140,000","957,182,000","942,146,000","935,003,000","836,068,000","613,115,000","602,347,000","594,314,000","596,074,000","588,117,000","383,264,000","373,186,000","444,228,000","442,588,000","439,800,000","433,639,000","430,028,000","426,767,000","420,334,000","415,364,000","414,379,000","410,030,000","413,705,000","408,797,000","417,321,000","414,847,000","412,666,000","409,267,000","407,466,000","429,776,000","423,931,000","420,505,000","336,567,000","333,256,000","328,716,000","328,128,000","323,059,000","528,956,000","551,688,000","454,817,000","513,860,000","513,523,000","522,621,000","529,697,000","538,274,000","191,727,000","187,608,000","185,274,000","179,677,000","173,906,000","171,553,000","169,714,000","165,190,000","143,874,000","138,848,000","138,872,000","134,634,000","128,623,000","128,565,000","125,177,000","125,237,000","123,523,000","119,324,000","115,163,000","112,658,000","110,771,000","107,623,000","105,790,000","104,059,000","98,599,000","96,135,000","92,325,000","88,163,000","84,885,000","81,927,000","82,300,000","85,700,000","86,300,000","87,300,000","87,100,000","86,100,000","85,400,000","83,600,000"
		CapitalStock,"58,000","58,000","58,000","58,000","56,000","56,000","56,000","56,000","56,000","56,000","56,000","56,000","56,000","49,000","49,000","49,000","49,000","49,000","46,000","39,000","39,000","39,000","39,000","39,000","29,000","29,000","72,693,000","72,752,000","72,752,000","72,752,000","72,752,000","72,752,000","72,752,000","72,752,000","72,752,000","72,752,000","72,752,000","72,752,000","72,752,000","72,752,000","72,752,000","72,752,000","72,752,000","99,743,000","99,710,000","131,533,000","99,626,000","99,593,000","99,561,000","99,528,000","98,669,000","98,571,000","98,492,000","38,000","38,000","38,000","38,000","38,000","38,000","22,000","22,000","22,000","22,000","22,000","22,000","22,000","22,000","21,000","6,291,000","6,291,000","6,291,000","6,291,000","6,291,000","6,291,000","6,291,000","6,291,000","6,291,000","6,291,000","6,291,000","6,291,000","6,291,000","6,291,000","6,291,000","6,291,000","6,291,000","6,291,000","6,291,000","6,291,000","6,291,000","6,300,000",,,,,,,
			PreferredStock,,,,,,,,,,,,,,,,,,,,,,,,,,,"72,664,000","72,664,000","72,664,000","72,664,000","72,664,000","72,664,000","72,664,000","72,664,000","72,664,000","72,664,000","72,664,000","72,664,000","72,664,000","72,664,000","72,664,000","72,664,000","72,664,000","99,655,000","99,622,000","131,452,000","99,558,000","99,525,000","99,493,000","99,460,000","98,610,000","98,533,000","98,454,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			CommonStock,"58,000","58,000","58,000","58,000","56,000","56,000","56,000","56,000","56,000","56,000","56,000","56,000","56,000","49,000","49,000","49,000","49,000","49,000","46,000","39,000","39,000","39,000","39,000","39,000","29,000","29,000","29,000","88,000","88,000","88,000","88,000","88,000","88,000","88,000","88,000","88,000","88,000","88,000","88,000","88,000","88,000","88,000","88,000","88,000","88,000","81,000","68,000","68,000","68,000","68,000","59,000","38,000","38,000","38,000","38,000","38,000","38,000","38,000","38,000","22,000","22,000","22,000","22,000","22,000","22,000","22,000","22,000","21,000","6,291,000","6,291,000","6,291,000","6,291,000","6,291,000","6,291,000","6,291,000","6,291,000","6,291,000","6,291,000","6,291,000","6,291,000","6,291,000","6,291,000","6,291,000","6,291,000","6,291,000","6,291,000","6,291,000","6,291,000","6,291,000","6,300,000",,,,,,,
		AdditionalPaidInCapital,"1,318,701,000","1,316,984,000","1,315,038,000","1,316,716,000","1,255,044,000","1,253,360,000","1,250,391,000","1,248,045,000","1,249,301,000","1,248,216,000","1,247,560,000","1,246,160,000","1,247,340,000","1,080,084,000","1,079,111,000","1,082,323,000","1,084,411,000","1,084,889,000","988,972,000","780,916,000","780,427,000","781,716,000","783,409,000","785,825,000","591,076,000","591,053,000","590,648,000","593,789,000","593,609,000","593,687,000","593,520,000","593,279,000","593,164,000","593,144,000","593,458,000","594,374,000","594,313,000","594,411,000","594,470,000","594,364,000","594,185,000","594,009,000","594,178,000","594,308,000","594,266,000","562,375,000","510,226,000","510,192,000","510,200,000","510,198,000","472,609,000","394,510,000","393,010,000","393,005,000","393,174,000","393,162,000","393,245,000","392,726,000","392,739,000","46,870,000","46,776,000","46,624,000","45,548,000","45,129,000","44,973,000","44,812,000","44,435,000","28,147,000","21,767,000","21,696,000","21,447,000","21,071,000","21,019,000","20,968,000","20,932,000","21,004,000","20,977,000","20,862,000","20,906,000","20,906,000","20,947,000","21,170,000","21,447,000","21,746,000","21,861,000","22,044,000","21,962,000","21,956,000","21,750,000","21,800,000",,,,,,,
		RetainedEarnings,"107,890,000","92,463,000","75,643,000","62,926,000","45,897,000","20,830,000","4,718,000","-13,951,000","-27,599,000","-14,813,000","-31,868,000","-44,878,000","-57,125,000","-72,167,000","-87,532,000","-104,504,000","-119,467,000","-132,122,000","-135,552,000","-145,996,000","-155,507,000","-163,689,000","-168,552,000","-177,372,000","-184,792,000","-190,265,000","-195,832,000","-201,851,000","-207,213,000","-210,384,000","-213,386,000","-217,906,000","-221,524,000","-225,722,000","-228,222,000","-231,747,000","-234,796,000","-240,321,000","-233,838,000","-234,343,000","-234,836,000","-238,085,000","-239,441,000","-242,499,000","-245,224,000","-249,418,000","-252,772,000","-254,884,000","-256,665,000","-256,976,000","-225,541,000","60,923,000","84,179,000","85,810,000","154,326,000","152,654,000","155,236,000","157,185,000","159,404,000","151,758,000","147,757,000","144,956,000","141,024,000","136,793,000","133,175,000","129,729,000","126,150,000","121,453,000","118,030,000","114,359,000","111,244,000","108,036,000","105,070,000","102,288,000","100,237,000","97,225,000","94,176,000","91,639,000","89,308,000","86,764,000","84,511,000","81,861,000","79,959,000","77,846,000","75,565,000","73,215,000","71,836,000","69,875,000","67,560,000","65,600,000","64,300,000","62,300,000","60,500,000","59,000,000","57,700,000","56,100,000","54,400,000"
		TreasuryStock,"71,019,000","66,635,000","56,297,000","44,734,000","38,996,000","37,486,000","34,985,000","35,103,000","37,274,000","27,985,000","17,158,000","12,357,000","5,725,000","6,190,000","6,464,000","9,821,000","13,173,000","15,003,000","17,857,000","22,149,000","22,477,000","23,788,000","25,580,000","28,346,000","29,366,000","29,971,000","30,107,000","27,421,000","27,581,000","28,233,000","28,525,000","28,778,000","28,993,000","29,266,000","29,970,000","31,116,000","31,235,000","31,587,000","31,699,000","31,930,000","32,026,000","32,116,000","32,183,000","32,183,000","32,183,000","32,183,000","32,183,000","32,183,000","32,183,000","32,183,000","32,183,000","32,183,000","32,183,000","32,205,000","32,317,000","32,344,000","30,977,000","22,299,000","18,818,000","11,700,000","11,736,000","11,830,000","11,729,000","11,729,000","11,041,000","10,477,000","10,745,000","11,026,000","11,737,000","10,173,000","10,529,000","11,651,000","10,780,000","10,667,000","10,731,000","10,312,000","10,546,000","12,050,000","11,753,000","10,205,000","9,811,000","9,639,000","10,046,000","12,123,000","12,267,000","12,858,000","12,453,000","12,061,000","12,182,000","10,800,000",,,,,,,
