name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012
TotalRevenue,"206,872,000","48,799,000","56,822,000","50,791,000","50,460,000","37,577,000","46,868,000","37,172,000","34,735,000","32,409,000","39,284,000","35,846,000","39,147,000","35,110,000","46,014,000","37,239,000","34,791,000","29,035,000","23,952,000","32,173,000","35,180,000","33,159,000","39,407,000","33,116,000","35,031,000","30,971,000","36,236,000","31,465,000","32,618,000","29,471,000","33,202,000","28,781,000","29,055,000","20,951,000","25,876,259","23,704,566","22,929,281","13,495,000","23,090,087","17,543,854","17,227,640"
	OperatingRevenue,"201,906,000","48,179,000","54,673,000","49,567,000","49,487,000","35,855,000","46,322,000","36,604,000","31,651,000","31,649,000","37,075,000","34,773,000","37,236,000","34,495,000","48,309,000","36,142,000","34,791,000","29,035,000","23,952,000","32,173,000","35,180,000","33,159,000","39,407,000","33,116,000","35,031,000","30,971,000","36,236,000","31,465,000","32,618,000","29,471,000","33,202,000","28,781,000","29,055,000","20,951,000","25,876,259","23,704,566","22,929,281","13,495,000","23,090,087","17,543,854","17,227,640"
CostOfRevenue,"62,901,000","15,125,000","16,954,000","16,024,000","14,798,000","11,779,000","13,788,000","10,994,000","12,560,000","10,967,000","11,162,000","10,445,000","11,317,000","10,214,000","10,874,000","11,039,000","10,834,000","9,427,000","9,539,000","9,883,000","10,298,000","10,245,000","10,646,000","9,826,000","10,638,000","10,183,000","11,580,000","10,249,000","9,908,000","9,453,000","10,383,000","9,174,000","9,292,000","7,598,000","10,132,258","10,290,353","7,671,847","5,856,000","9,150,965","9,234,086","7,439,854"
GrossProfit,"143,971,000","33,674,000","39,868,000","34,767,000","35,662,000","25,798,000","33,080,000","26,178,000","22,175,000","21,442,000","28,122,000","25,401,000","27,830,000","24,896,000","35,140,000","26,200,000","23,957,000","19,608,000","14,413,000","22,290,000","24,882,000","22,914,000","28,761,000","23,290,000","24,393,000","20,788,000","24,656,000","21,216,000","22,710,000","20,018,000","22,819,000","19,607,000","19,763,000","13,353,000","15,744,001","13,414,213","15,257,434","7,639,000","13,939,122","8,309,768","9,787,786"
OperatingExpense,"146,897,000","39,405,000","34,446,000","42,438,000","30,608,000","20,784,000","15,168,000","13,762,000","13,029,000","17,385,000","14,775,000","14,980,000","13,791,000","15,199,000","16,259,000","15,311,000","15,669,000","14,814,000","15,042,000","13,883,000","14,384,000","15,857,000","16,158,000","13,720,000","13,700,000","13,625,000","13,575,000","13,265,000","13,896,000","12,965,000","12,610,000","13,993,000","13,135,000","9,708,000","11,492,010","9,304,194","14,873,213","7,731,000","4,919,786","4,659,222","4,332,454"
	SellingGeneralAndAdministration,"113,080,000","30,658,000","26,350,000","31,164,000","24,908,000","11,391,000","12,386,000","10,819,000","10,208,000","11,233,000","11,178,000","11,869,000","10,813,000","10,901,000","11,712,000","11,095,000","11,108,000","10,584,000","10,592,000","9,510,000","9,843,000","9,492,000","10,558,000","8,999,000","9,520,000","9,256,000","9,221,000","8,907,000","9,325,000","8,584,000","8,135,000","8,353,000","8,241,000","6,881,000","8,007,843","6,596,524","11,644,388","3,429,000","3,751,517","3,309,493","3,325,613"
		GeneralAndAdministrativeExpense,,,,,,,,,,,,,"10,813,000","10,901,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,,,,,,,,,,,,,"10,813,000","10,901,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
		SellingAndMarketingExpense,,,,,,,,,,,,,,,,,"11,108,000","10,584,000",,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"30,468,000","7,629,000","7,641,000","10,861,000","4,337,000","2,665,000","2,776,000","2,771,000","2,794,000","3,131,000","3,329,000","2,581,000","2,556,000","4,067,000","4,041,000","4,023,000","4,020,000","3,997,000","4,005,000","4,041,000","4,067,000","4,115,000","4,108,000","4,083,000","4,061,000","4,356,000","4,289,000","4,283,000","4,265,000","4,381,000","4,475,000","4,668,000","4,832,000","2,578,000","2,584,610","2,585,615","1,848,472","1,010,000","980,823","919,788","921,228"
