name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999
TotalRevenue,"263,418,000","151,805,000","27,439,000","38,283,000","45,891,000","32,811,000","21,303,000","7,632,855","27,375,778","23,528,853","29,454,579","43,292,770","42,696,636","48,148,275","34,657,896","11,255,000","727,375","650,125","3,509,821","8,713,786","9,342,498","8,985,930","4,365,496","31,250","39,583","43,750","43,750","43,750","123,750","43,750","170,750","43,750","43,750","43,750","43,750","43,750","43,750","43,750","159,016","43,750","47,917","31,250","23,958","0","0","296,139","4,994,969","180,694","133,990","157,346","148,068","202,583","2,633,191","235,650","701,723","-59,798","235,372","729,766","402,861","578,028","622,599",,"11,092","39,229","246,229","57,500","252,500","210,275","173,304","77,614","129,490","159,106","37,200",,,,"207","875","1,569","89","270","555","1,352","720","3,297","95","5,200","8,436","4,827","6,600","5,015"
	OperatingRevenue,"263,418,000","151,805,000","27,439,000","38,283,000","45,891,000","32,811,000","21,303,000","7,632,855","27,375,778","23,528,853","29,454,579","43,292,770","42,696,636","48,148,275","34,657,896","11,255,000","727,375","650,125","3,509,821","8,713,786","9,342,498","8,985,930","4,365,496","31,250","39,583","43,750","43,750","43,750","123,750","43,750","170,750","43,750","43,750","43,750","43,750","43,750","43,750","43,750","159,016","43,750","47,917","31,250","23,958","0","0","296,139","4,994,969","180,694","133,990","157,346","148,068","202,583","2,633,191","235,650","701,723","-59,798","235,372","729,766","402,861","578,028","622,599",,"11,092","39,229","246,229","57,500","252,500","210,275","173,304","77,614","129,490","159,106","37,200",,,,"207","875","1,569","89","270","555","1,352","720","3,297","95","5,200","8,436","4,827","6,600","5,015"
CostOfRevenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,"160,742","394,817","327,206","376,487","347,601",,,,,,,,,,,,,,,,"9","21","51","3","9","15","60","5,961","150","6","180","1,374","210","246","264"
GrossProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"43,750","47,917","31,250","23,958","0","0","296,139","4,994,969","180,694","133,990","157,346","148,068","202,583","2,633,191","235,650",,,"74,630","334,949","75,655","201,541","274,998",,,,,,,,,,,,,,,,"198","854","1,518","86","261","540","1,292","-5,241","3,147","89","5,020","7,062","4,617","6,354","4,751"
OperatingExpense,"381,937,000","110,252,000","90,760,000","103,166,000","77,759,000","61,043,000","45,357,000","57,751,947","43,321,640","45,769,108","34,307,616","33,654,721","24,100,887","26,137,628","23,712,043","22,424,109","16,647,094","15,684,184","17,323,169","18,963,999","15,056,662","15,115,572","19,267,383","19,775,548","19,381,070","21,308,605","19,385,020","25,273,582","16,117,456","29,676,493","25,286,026","20,225,671","12,743,850","11,256,248","7,053,132","8,042,853","5,125,568","5,434,038","4,969,037","5,422,228","6,850,853","4,900,007","4,062,997","2,912,716","1,770,165","1,811,618","6,004,286","2,528,956","2,298,099","2,286,805","2,308,286","3,716,454","4,956,951","5,451,972","9,376,404","12,381,959","9,971,212","7,407,638","6,960,778","11,843,242","13,672,290","8,436,538","4,484,732","8,798,971","4,729,227","4,002,650","4,305,232","2,271,287","3,529,200","2,096,644","2,092,387","1,657,201","633,214","388,936","142,522","15,034","15,299","30,323","33,782","1,319,257","49,132","22,967","27,037","24,622","18,665","25,618","40,375","34,717","27,785","31,851","37,666"
	SellingGeneralAndAdministration,"114,599,000","33,863,000","24,592,000","38,287,000","17,857,000","16,190,000","8,648,000","14,267,054","10,748,506","16,325,773","10,785,000","10,268,416","4,809,177","5,333,000","6,135,000","6,430,229","4,594,441","3,681,830","7,750,093","9,529,068","6,987,986","6,951,103","8,554,721","13,122,830","9,139,675","10,483,867","8,251,838","12,137,062","7,885,998","7,443,354","7,251,675","9,161,285","6,075,596","5,644,023","3,516,713","2,974,822","2,914,955","2,860,254","2,942,774","2,930,598","5,208,203","3,117,368","2,850,475","965,713","1,344,095","1,610,508","2,415,922","2,195,215","1,991,389","1,856,854","1,951,592","2,620,810","2,337,523","3,818,118","5,363,570","6,652,502","6,519,187","5,613,610","5,192,098","5,325,316","5,004,898","3,863,375","3,134,883","3,157,858","3,647,895","2,866,469","2,582,839","845,123","2,126,184","1,606,127","1,415,304","1,298,492","400,979","308,026","81,772","11,659","15,299","30,323","33,782","44,664","49,132","22,967","27,037","24,622","18,665","25,618","40,375","34,717","27,785","31,851","37,666"
		GeneralAndAdministrativeExpense,"114,599,000","33,863,000","24,592,000","38,287,000","17,857,000","16,190,000","8,648,000","14,267,054","10,748,506","16,325,773","10,785,000","10,268,416","4,809,177","5,333,000","6,135,000","6,430,229","4,594,441","3,681,830","7,750,093","9,529,068","6,987,986","6,951,103","8,554,721","13,122,830","9,139,675","10,483,867","8,251,838","12,137,062","7,885,998","7,443,354","7,251,675","9,161,285","6,075,596","5,644,023","3,516,713","2,974,822","2,914,955","2,860,254","2,942,774","2,930,598","5,208,203","3,117,368","2,850,475","965,713","1,344,095","1,610,508","2,415,922","2,195,215","1,991,389","1,856,854","1,951,592","2,620,810","2,337,523","3,818,118",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16,266","19,651","23,952"
			SalariesAndWages,,"28,920,000","20,717,000",,"14,590,000","12,210,000","5,242,000",,,,"7,411,000",,,"3,299,000","4,166,000",,,,"6,078,908","8,021,383","5,134,317","5,328,230","6,700,547","11,227,664","6,864,047","6,665,532","6,300,229","9,818,097","6,056,605","5,746,731","5,165,473","7,133,122","4,493,131","4,296,346","2,602,929","2,083,237","2,015,322","2,080,284","2,025,098","1,826,466","2,070,835","2,186,454","1,572,571","-758,299","700,930","787,696","1,056,437","1,234,370","914,336","1,045,121","1,104,103","1,570,304","889,428","2,441,953",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"82,414,000","4,943,000","3,875,000","70,329,000","3,267,000","3,980,000","3,406,000","14,267,054","10,748,506","16,325,773","3,374,000","10,268,416","4,809,177","2,034,000","1,969,000","6,430,229","4,594,441","3,681,830","1,671,185","1,507,685","1,853,669","1,622,873","1,854,174","1,895,166","2,275,628","3,818,335","1,951,609","2,318,965","1,829,393","1,696,623","2,086,202","2,028,163","1,582,465","1,347,677","913,784","891,585","899,633","779,970","917,676","1,104,132","3,137,368","930,914","1,277,904","1,724,012","643,165","822,812","1,359,485","960,845","1,077,053","811,733","847,489","1,050,506","1,448,095","1,376,165",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16,266","19,651","23,952"
		SellingAndMarketingExpense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,519","12,200","13,714"
