name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004
OperatingCashFlow,"2,829,000,000","700,000,000","757,000,000","755,000,000","617,000,000","265,000,000","431,000,000","357,000,000","448,000,000","61,000,000","333,000,000","501,000,000","320,000,000","147,000,000","254,000,000","606,000,000","324,000,000","225,000,000","575,336,000","482,950,000","322,320,000","157,394,000","289,692,000","174,268,000","240,957,000","128,935,000","237,536,000","405,945,000","244,799,000","190,556,000","256,252,000","343,882,000","219,737,000","212,505,000","205,229,000","292,020,000","139,228,000","116,252,000","123,431,000","178,009,000","212,557,000","110,057,000","117,943,000","119,048,000","84,645,000","40,660,000","68,303,000","159,387,000","110,672,000","-55,078,000","22,066,000","60,104,000","33,049,000","120,303,000","109,503,000","84,633,000","20,207,000","-28,254,000","-32,835,000","60,823,000","76,592,000","-42,414,000","23,316,000","66,968,000","80,141,000","66,759,000","143,321,000","31,428,000","91,442,000","52,256,000","67,420,000","44,376,000"
	CashFlowFromContinuingOperatingActivities,"2,829,000,000","700,000,000","757,000,000","755,000,000","617,000,000","265,000,000","431,000,000","357,000,000","448,000,000","61,000,000","333,000,000","501,000,000","320,000,000","147,000,000","254,000,000","606,000,000","324,000,000","225,000,000","575,336,000","482,950,000","322,320,000","157,394,000","289,692,000","174,268,000","240,957,000","128,935,000","237,536,000","405,945,000","244,799,000","190,556,000","256,252,000","343,882,000","219,737,000","212,505,000","205,229,000","292,020,000","139,228,000","116,252,000","123,431,000","178,009,000","212,557,000","110,057,000","117,943,000","119,048,000","84,645,000","40,660,000","68,303,000","159,387,000","110,672,000","-55,078,000","22,066,000","60,104,000","33,049,000","120,303,000","109,503,000","84,633,000","20,207,000","-28,254,000","-32,835,000","60,823,000","76,592,000","-42,414,000","23,316,000","66,968,000","80,141,000","66,759,000","143,321,000","31,428,000","91,442,000","52,256,000","67,420,000","44,376,000"
		NetIncomeFromContinuingOperations,"2,581,000,000","764,000,000","661,000,000","620,000,000","536,000,000","253,000,000","123,000,000","69,000,000","24,000,000","157,000,000","85,000,000","166,000,000","129,000,000","82,000,000","131,000,000","318,000,000","288,000,000","297,000,000","815,722,000","219,150,000","159,418,000","144,710,000","105,289,000","70,014,000","115,620,000","128,936,000","116,157,000","188,420,000","210,061,000","150,407,000","187,385,000","170,156,000","169,443,000","158,032,000","170,972,000","170,290,000","145,816,000","123,347,000",,,,,,,,"83,544,000","84,073,000","62,731,000","56,942,000","17,647,000","12,453,000","29,766,000","16,851,000","-6,075,000","-109,567,000","27,364,000","47,273,000","5,387,000","18,826,000","38,341,000","37,890,000","19,672,000","14,397,000","61,656,000","67,169,000","51,337,000","73,622,000","43,526,000","48,526,000","61,143,000","47,326,000","28,317,000"
		OperatingGainsLosses,"33,000,000","9,000,000","14,000,000","7,000,000","3,000,000","4,000,000","7,000,000","17,000,000","4,000,000","5,000,000","17,000,000","5,000,000","7,000,000","20,000,000","18,000,000","11,000,000","9,000,000","6,000,000","9,813,000","4,825,000","3,952,000","3,410,000","3,618,000","-49,531,000","2,257,000","34,000","8,682,000","2,444,000","-1,382,000","-3,283,000","4,321,000","-1,197,000","463,000","170,000","-1,027,000","771,000","3,285,000","2,209,000","2,379,000","1,421,000","-14,521,000","1,183,000","2,369,000","-11,000","-969,000","-441,000","-2,243,000","868,000","-38,000","-218,000","-3,222,000","3,913,000","-783,000","-1,470,000","2,323,000","1,010,000","-371,000","1,317,000","-364,000","-213,000","-876,000","-619,000","467,000","1,721,000","-4,424,000","3,318,000","2,852,000","-400,000","-933,000","1,472,000","-1,092,000","4,900,000"
			GainLossOnSaleOfPPE,"33,000,000","9,000,000","14,000,000","7,000,000","3,000,000","4,000,000","7,000,000","17,000,000","4,000,000","5,000,000","17,000,000","5,000,000","7,000,000","20,000,000","18,000,000","11,000,000","9,000,000","6,000,000","7,681,000","7,109,000","4,311,000","2,899,000","2,088,000","3,210,000","3,022,000","309,000","8,301,000","1,700,000","757,000","133,000","1,546,000","763,000","1,017,000","855,000","360,000","554,000","1,738,000","2,387,000",,,,,"353,000",,,"44,000","-31,000","663,000","-238,000","187,000","-2,857,000","5,063,000","212,000","293,000",,,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,,,,,,,,,,,,,,,,,,,,"-2,284,000",,,,,"-1,267,000","-52,000","-3,000","0",,,,,,,,,,,"0","-477,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			EarningsLossesFromEquityInvestments,,,,,,,,,,,,,,,,,,,"0",,,"511,000","1,530,000","-54,060,000","502,000","-223,000","384,000","744,000","1,656,000","-3,416,000","2,775,000","-1,960,000","-554,000","-685,000","-1,387,000","217,000","1,547,000","-178,000","438,000","641,000","1,224,000","702,000","2,016,000","-891,000","-1,067,000","-485,000",,,"200,000","-405,000","-365,000","-695,000","-995,000","-1,763,000",,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"902,000,000","257,000,000","240,000,000","203,000,000","202,000,000","195,000,000","196,000,000","196,000,000","191,000,000","190,000,000","188,000,000","178,000,000","176,000,000","171,000,000","168,000,000","161,000,000","156,000,000","156,000,000","152,467,000","153,634,000","144,630,000","150,269,000","150,473,000","94,229,000","67,250,000","65,714,000","65,528,000","61,248,000","60,340,000","58,641,000","60,092,000","53,920,000","48,502,000","45,972,000","41,514,000","40,728,000","40,210,000","35,356,000","34,940,000","38,424,000","35,783,000","35,394,000","33,153,000","32,861,000","32,805,000","32,578,000","32,410,000","32,201,000","32,093,000","32,028,000","31,889,000","31,409,000","30,914,000","28,987,000","30,399,000","27,711,000","27,815,000","26,001,000","26,282,000","26,898,000","26,550,000","24,544,000","24,477,000","21,267,000","20,606,000","20,762,000","20,948,000","19,462,000","20,817,000","21,470,000","18,662,000","21,666,000"
			DepreciationAndAmortization,"902,000,000","257,000,000","240,000,000","203,000,000","202,000,000","195,000,000","196,000,000","196,000,000","191,000,000","190,000,000","188,000,000","178,000,000","176,000,000","171,000,000","168,000,000","161,000,000","156,000,000","156,000,000","152,467,000","153,634,000","144,630,000","150,269,000","150,473,000","94,229,000","67,250,000","65,714,000","65,528,000","61,248,000","60,340,000","58,641,000","60,092,000","53,920,000","48,502,000","45,972,000","41,514,000","40,728,000","40,210,000","35,356,000","34,940,000","38,424,000","35,783,000","35,394,000","33,153,000","32,861,000","32,805,000","32,578,000","32,410,000","32,201,000","32,093,000","32,028,000","31,889,000","31,409,000","30,914,000","28,987,000","30,399,000","27,711,000","27,815,000","26,001,000","26,282,000","26,898,000","26,550,000","24,544,000","24,477,000","21,267,000","20,606,000","20,762,000","20,948,000","19,462,000","20,817,000","21,470,000","18,662,000","21,666,000"
				Depreciation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26,089,000","26,709,000","26,361,000","24,355,000","24,288,000","21,078,000","20,421,000","20,475,000","20,592,000","19,105,000","20,461,000","21,083,000","18,226,000","21,111,000"
