name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008
TotalRevenue,"-1,358,683","14,299","-1,999,256","-576,602","1,202,876","521,060","651,570","564,707","91,942","84,300","2,614","4,258","5,508","364,182","21,263","10,997","170,684","560,229","5,513,423","3,285,000","270,000","1,778,037","3,038,200","1,906,000","1,234,600","236,000","0","72,000","67,980","0","41","0","177,459","0","0","177,500","0","0","50,000","0","222,098","0","0","0","107,535","82,500","140,707","0","0","0","0","0","0","0","0","0","0","0"
	OperatingRevenue,"-1,358,683","14,299","-1,954,322","-535,000","1,120,000","517,400","651,047","560,327","85,000","60,783","280","0","0","240,000","-25,252","0","118,398","404,854","5,513,423","3,285,000","270,000","1,778,037","3,038,200","1,906,000","1,234,600","236,000","0","72,000","67,980","0","41","0","177,459","0","0","177,500","0","0","50,000","0","222,098","0","0","0","107,535","82,500","140,707","0","0","0","0","0","0","0","0","0","0","0"
CostOfRevenue,"130,190,162","3,923,351","99,921,494","11,549,187","14,796,130","6,225,299","6,992,531","2,815,242","1,511,360","1,747,975","2,093,217","1,423,904","930,164","1,397,606","11,106,468","1,476,822","1,655,905","1,714,370","11,650,768","7,558,082","995,925","4,312,088","6,645,846","4,173,364","2,294,675","464,377","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
GrossProfit,"-131,548,845","-3,909,052","-101,920,750","-12,125,789","-13,593,254","-5,704,239","-6,340,961","-2,250,535","-1,419,418","-1,663,675","-2,090,603","-1,419,646","-924,656","-1,033,424","-11,085,205","-1,465,825","-1,485,221","-1,154,141","-6,137,345","-4,273,082","-725,925","-2,534,051","-3,607,646","-2,267,364","-1,060,075","-228,377","0","72,000","67,980","0","41","0","177,459","0","0","177,500","0","0","50,000","0","222,098","0","0","0","107,535","82,500","140,707","0","0","0","0","0","0","0","0","0","0","0"
OperatingExpense,"56,943,470","15,922,193","18,510,900","13,380,980","20,829,063","147,355,497","-313,538,706","7,564,543","5,565,685","6,603,123","-8,308,998","4,191,860","3,212,781","3,453,165","4,428,883","4,812,600","4,897,914","4,737,778","6,217,949","8,367,615","8,451,923","5,350,904","3,368,520","2,992,730","1,875,188","4,111,932","3,224,489","3,535,416","1,841,045","1,915,381","1,500,837","1,692,864","2,078,632","1,114,885","1,222,858","1,144,147","2,082,806","1,554,168","1,099,866","1,198,400","832,723","1,136,263","2,231,611","2,119,844","2,517,082","1,944,169","2,091,389","1,052,869","1,121,141","881,672","1,480,825","8,621","18,461","19,376","20,767","2,789","0","920"
	SellingGeneralAndAdministration,"45,185,224","11,910,259","15,689,842","10,579,586","7,005,537","6,885,830","4,692,732","5,950,058","3,949,081","5,565,787","3,561,184","2,551,406","1,996,054","2,090,890","2,719,030","3,363,103","3,003,202","2,400,147","2,296,843","3,283,196","2,640,590","2,107,582","1,446,927","1,968,260","1,617,036","1,170,992","1,102,373","1,789,435","968,811","1,068,247","428,772","797,195","1,178,970","545,530","948,436","1,000,976","1,932,858","1,165,930","1,108,786","1,175,360","809,072","1,053,489","-761,781","1,914,790","2,451,737","1,923,260","2,063,273","1,042,724","1,111,256","872,711","1,445,961","8,621","18,461","19,376","20,767","2,789","0","920"
		GeneralAndAdministrativeExpense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"875,941","995,557","1,925,830","1,131,195","763,783","1,149,298","785,796","1,018,347","-809,468","1,838,309","2,369,876","1,923,260","2,063,273","1,042,724","1,111,256","835,420",,,,,,,,
			SalariesAndWages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"515,018","477,942","1,242,240","359,419","482,864","530,454","507,360","749,441","-1,539,054","1,069,973","1,652,703","1,040,620","1,517,900","447,299","399,704","373,055",,,,,,,,
			RentAndLandingFees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"38,207","34,841","36,694","39,694","36,694","34,903","38,625","38,347","48,931","34,713","28,200","28,050","25,500","25,500","25,500","24,085",,,,,,,,
			InsuranceAndClaims,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"39,169","44,412","27,253","37,850","33,879","45,275","20,426","17,327","35,437","39,878","37,015","27,659","20,610","26,586","22,044","17,249",,,,,,,,
			OtherGandA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"283,547","438,362","619,643","694,232","210,346","538,666","219,385","213,232","645,218","693,745","651,958","826,931","499,263","543,339","664,008","421,031",,,,,,,,
		SellingAndMarketingExpense,,,,,,,,,,,,"2,551,406","1,996,054","2,090,890","2,719,030","3,363,103","3,003,202",,,,,,,,,,,,,,,,,,"72,495","5,419","7,028","34,735","345,003","26,062","23,276","35,142","47,687","76,481","81,861",,,,,"37,291",,,,,,,,
	ResearchAndDevelopment,"11,758,246","4,011,934","2,821,058","2,801,394","2,123,860","3,863,715","4,015,606","1,614,485","1,616,604","1,902,236","3,979,618","1,640,454","1,216,727","1,362,275","1,709,853","1,449,497","1,894,712","2,337,631","3,921,106","5,084,419","5,811,333","3,243,322","1,921,593","1,024,470","258,152","2,940,940","2,122,116","1,745,981","872,234","847,134","1,072,065","895,669","899,662","569,355","176,233","0","2,700","32,900","0","0","0","57,786","74,000","190,415",,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"101,494","101,491","101,493","15,171","15,171","15,573","16,682","16,203","15,476","14,639","16,180","11,742","11,742","10,145","9,885","8,961",,,,,,,,
