name,ttm,04/30/2022,01/31/2022,10/31/2021,07/31/2021,04/30/2021,01/31/2021,10/31/2020,07/31/2020,04/30/2020,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019,10/31/2018,07/31/2018,04/30/2018,01/31/2018,10/31/2017,07/31/2017,04/30/2017,01/31/2017,10/31/2016,07/31/2016,04/30/2016,01/31/2016,10/31/2015,07/31/2015,04/30/2015,01/31/2015,10/31/2014,07/31/2014,04/30/2014,01/31/2014,10/31/2013,07/31/2013,04/30/2013,01/31/2013,10/31/2012,07/31/2012,04/30/2012,01/31/2012,10/31/2011,07/31/2011,04/30/2011,04/30/2008,01/31/2008,10/31/2007,07/31/2007,04/30/2007,01/31/2007,10/31/2006,07/31/2006,04/30/2006,01/31/2006,10/31/2005,07/31/2005,04/30/2005,01/31/2005,10/31/2004,07/31/2004,04/30/2004,01/31/2004,10/31/2003,07/31/2003,04/30/2003,01/31/2003,10/31/2002,07/31/2002,04/30/2002,01/31/2002,10/31/2001,07/31/2001,04/30/2001,01/31/2001,10/31/2000,07/31/2000,04/30/2000
TotalRevenue,"3,855,320,000","957,292,000","902,741,000","1,006,428,000","988,859,000","860,792,000","812,436,000","844,013,000","709,282,000","482,895,000","664,976,000","677,526,000","706,514,000","598,421,000","670,891,000","636,558,000","640,798,000","557,406,000","670,295,000","592,473,000","615,326,000","562,080,000","586,706,000","549,328,000","543,381,000","455,456,000","647,208,000","532,411,000","506,942,000","422,445,000","582,727,000","484,675,000","433,766,000","366,254,000","471,694,000","395,832,000","382,098,000","301,337,000","398,055,000","284,171,000","292,906,000","217,914,000","305,242,000","232,459,000","235,623,000","184,760,000","144,738,000","222,630,000","173,681,000","183,820,000","142,112,000","243,014,000","157,073,000","179,343,000","133,380,000","191,009,000","128,402,000","144,781,000","117,465,000","187,858,000","118,165,000","120,942,000","98,858,000","164,955,000","95,814,000","95,973,000","81,766,000","155,167,000","90,774,000","85,019,000","69,377,000","147,177,000","76,614,000","74,780,000","67,902,000","149,991,000","79,713,000","71,185,000","68,573,000"
	OperatingRevenue,"3,855,320,000","957,292,000","902,741,000","1,006,428,000","988,859,000","860,792,000","812,436,000","844,013,000","709,282,000","482,895,000","664,976,000","677,526,000","706,514,000","598,421,000","670,891,000","636,558,000","640,798,000","557,406,000","670,295,000","592,473,000","615,326,000","562,080,000","586,706,000","549,328,000","543,381,000","455,456,000","647,208,000","532,411,000","506,942,000","422,445,000","582,727,000","484,675,000","433,766,000","366,254,000","471,694,000","395,832,000","382,098,000","301,337,000","398,055,000","284,171,000","292,906,000","217,914,000","305,242,000","232,459,000","235,623,000","184,760,000","144,738,000","222,630,000","173,681,000","183,820,000","142,112,000","243,014,000","157,073,000","179,343,000","133,380,000","191,009,000","128,402,000","144,781,000","117,465,000","187,858,000","118,165,000","120,942,000","98,858,000","164,955,000","95,814,000","95,973,000","81,766,000","155,167,000","90,774,000","85,019,000","69,377,000","147,177,000","76,614,000","74,780,000","67,902,000","149,991,000","79,713,000","71,185,000","68,573,000"
CostOfRevenue,"1,908,303,000","458,709,000","447,237,000","501,174,000","501,183,000","453,815,000","427,308,000","435,683,000","376,863,000","283,241,000","381,903,000","393,360,000","411,556,000","365,607,000","408,190,000","382,047,000","369,198,000","345,371,000","411,622,000","378,148,000","409,513,000","391,824,000","390,052,000","373,509,000","363,542,000","327,981,000","422,947,000","341,661,000","312,679,000","279,027,000","364,584,000","304,302,000","265,857,000","241,905,000","296,717,000","255,032,000","242,872,000","199,460,000","252,881,000","182,291,000","178,779,000","142,646,000","187,716,000","148,066,000","144,377,000","121,576,000","104,602,000","154,880,000","115,615,000","122,802,000","97,638,000","151,280,000","103,232,000","120,098,000","88,495,000","116,881,000","84,033,000","101,507,000","81,823,000","119,539,000","80,196,000","88,630,000","71,443,000","105,968,000","67,027,000","71,160,000","61,825,000","98,808,000","63,669,000","62,106,000","58,489,000","115,011,000","60,628,000","59,541,000","53,156,000","93,337,000","59,305,000","52,180,000","51,101,000"
GrossProfit,"1,947,017,000","498,583,000","455,504,000","505,254,000","487,676,000","406,977,000","385,128,000","408,330,000","332,419,000","199,654,000","283,073,000","284,166,000","294,958,000","232,814,000","262,701,000","254,511,000","271,600,000","212,035,000","258,673,000","214,325,000","205,813,000","170,256,000","196,654,000","175,819,000","179,839,000","127,475,000","224,261,000","190,750,000","194,263,000","143,418,000","218,143,000","180,373,000","167,909,000","124,349,000","174,977,000","140,800,000","139,226,000","101,877,000","145,174,000","101,880,000","114,127,000","75,268,000","117,526,000","84,393,000","91,246,000","63,184,000","40,136,000","67,750,000","58,066,000","61,018,000","44,474,000","91,734,000","53,841,000","59,245,000","44,885,000","74,128,000","44,369,000","43,274,000","35,642,000","68,319,000","37,969,000","32,312,000","27,415,000","58,987,000","28,787,000","24,813,000","19,941,000","56,359,000","27,105,000","22,913,000","10,888,000","32,166,000","15,986,000","15,239,000","14,746,000","56,654,000","20,408,000","19,005,000","17,472,000"
OperatingExpense,"1,002,436,000","293,295,000","237,738,000","232,715,000","238,688,000","219,089,000","201,512,000","297,109,000","195,851,000","164,201,000","182,093,000","194,929,000","190,977,000","164,181,000","159,463,000","207,495,000","186,225,000","158,434,000","189,553,000","171,163,000","193,690,000","163,360,000","169,544,000","160,433,000","157,824,000","138,950,000","157,028,000","145,874,000","137,840,000","126,389,000","142,818,000","143,685,000","118,974,000","119,571,000","116,717,000","116,940,000","167,006,000","101,366,000","233,769,000","99,886,000","94,465,000","77,401,000","90,615,000","88,496,000","81,803,000","68,816,000","57,806,000","80,598,000","70,950,000","66,509,000","56,397,000","76,041,000","57,545,000","57,138,000","48,353,000","59,744,000","50,302,000","46,437,000","39,986,000","50,740,000","42,511,000","35,172,000","33,516,000","45,196,000","33,031,000","28,862,000","28,029,000","41,415,000","30,024,000","27,781,000","27,070,000","38,062,000","27,878,000","24,492,000","24,175,000","37,924,000","27,205,000","23,663,000","23,855,000"
	SellingGeneralAndAdministration,"1,002,436,000","293,295,000","237,738,000","232,715,000","238,688,000","219,089,000","201,512,000","297,109,000","195,851,000","164,201,000","182,093,000","194,929,000","190,977,000","164,181,000","159,463,000","207,495,000","186,225,000","158,434,000","189,553,000","171,163,000","193,690,000","163,360,000","169,544,000","160,433,000","157,824,000","138,950,000","157,028,000","145,874,000","137,840,000","126,389,000","142,818,000","143,685,000","118,974,000","119,571,000","116,717,000","116,940,000","167,006,000","101,366,000","233,769,000","99,886,000","94,465,000","77,401,000","90,615,000","88,496,000","81,803,000","68,816,000","57,806,000","80,598,000","70,950,000","66,509,000","56,397,000","76,041,000","57,545,000","57,138,000","48,353,000","59,744,000","50,302,000","46,437,000","39,986,000","50,740,000","42,511,000","35,172,000","33,516,000","45,196,000","33,031,000","28,862,000","28,029,000","41,415,000","30,024,000","27,781,000","27,070,000","38,062,000","27,878,000","24,492,000","24,175,000","37,814,000","26,832,000","23,447,000","23,539,000"
	OtherOperatingExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"110,000","373,000","216,000","316,000"
OperatingIncome,"944,581,000","205,288,000","217,766,000","272,539,000","248,988,000","187,888,000","183,616,000","111,221,000","136,568,000","35,453,000","100,980,000","89,237,000","103,981,000","68,633,000","103,238,000","47,016,000","85,375,000","53,601,000","69,120,000","43,162,000","12,123,000","6,896,000","27,110,000","15,386,000","22,015,000","-11,475,000","67,233,000","44,876,000","56,423,000","17,029,000","75,325,000","36,688,000","48,935,000","4,778,000","58,260,000","23,860,000","-27,780,000","511,000","-88,595,000","1,994,000","19,662,000","-2,133,000","26,911,000","-4,103,000","9,443,000","-5,632,000","-17,670,000","-12,848,000","-12,884,000","-5,491,000","-11,923,000","15,693,000","-3,704,000","2,107,000","-3,468,000","14,384,000","-5,933,000","-3,163,000","-4,344,000","17,579,000","-4,542,000","-2,860,000","-6,101,000","13,791,000","-4,244,000","-4,049,000","-8,088,000","14,944,000","-2,919,000","-4,868,000","-16,182,000","-5,896,000","-11,892,000","-9,253,000","-9,429,000","18,730,000","-6,797,000","-4,658,000","-6,383,000"
NetNonOperatingInterestIncomeExpense,"-72,494,000","-20,855,000","-24,835,000","-13,223,000","-13,581,000","-13,308,000","-14,547,000","-15,656,000","-19,418,000","-19,629,000","-19,982,000","-21,564,000","-24,513,000","-21,118,000","-21,188,000","-19,371,000","-17,480,000","-17,035,000","-17,074,000","-18,915,000","-14,402,000","-12,179,000","-11,954,000","-11,091,000","-10,909,000","-10,528,000","-11,619,000","-11,003,000","-7,406,000","-5,649,000","-5,939,000","-5,210,000","-4,346,000","-2,056,000","-1,537,000","-2,165,000","-1,191,000","-840,000","-1,178,000","-1,544,000","-1,479,000","-1,575,000","-1,648,000","-1,598,000","-989,000","-899,000","-1,933,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	InterestIncomeNonOperating,"2,772,000","1,181,000","628,000","572,000","391,000","345,000","795,000","223,000","186,000","194,000","291,000","479,000","280,000","282,000","191,000","282,000","199,000","162,000","75,000","30,000","95,000","314,000","685,000","672,000","725,000","907,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
