name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997
TotalAssets,"2,308,413,000","2,209,114,000","1,951,334,000","1,754,950,000","1,715,530,000","1,757,355,000","1,677,969,000","1,675,443,000","1,618,067,000","1,505,012,000","1,467,460,000","1,444,596,000","1,080,032,000","1,062,564,000","1,059,940,000","959,166,000","882,718,000","881,120,000","884,587,000","893,155,000","687,612,000","708,903,000","717,742,000","729,013,000","708,969,000","691,594,000","694,526,000","703,049,000","678,804,000","665,750,000","656,406,000","668,111,000","588,844,000","601,822,000","594,454,000","595,246,000","583,608,000","580,754,000","591,726,000","604,621,000","576,058,000","591,066,000","565,646,000","621,544,000","616,275,000","640,020,000","641,233,000","548,487,000","556,119,000","574,948,000","581,326,000","590,774,000","568,406,000","598,492,000","614,930,000","604,330,000","564,389,000","547,067,000","506,068,000","484,402,000","446,248,000","460,874,000","452,236,000","434,925,000","399,140,000","408,683,000","416,192,000","400,086,000","377,078,000","383,116,000","370,751,000","358,090,000","344,819,000","351,110,000","358,096,000","359,427,000","354,735,000","366,535,000","369,246,000","381,362,000","381,371,000","876,625,000","919,294,000","909,195,000","910,849,000","926,410,000","981,331,000","978,581,000","950,161,000","943,300,000","928,300,000","868,300,000","812,500,000","789,300,000","600,600,000","491,000,000","361,800,000","287,800,000","250,600,000"
	CurrentAssets,"1,139,629,000","1,027,321,000","904,711,000","819,400,000","762,572,000","811,852,000","811,296,000","792,505,000","878,443,000","790,184,000","750,402,000","726,582,000","557,272,000","609,700,000","599,679,000","561,823,000","491,793,000","489,357,000","495,377,000","497,169,000","396,453,000","415,957,000","422,864,000","434,539,000","414,684,000","424,273,000","437,940,000","446,822,000","422,806,000","413,192,000","410,000,000","423,496,000","384,172,000","396,997,000","389,226,000","389,228,000","377,233,000","372,553,000","379,480,000","390,241,000","373,525,000","387,282,000","388,002,000","385,900,000","378,682,000","402,948,000","399,890,000","392,909,000","393,753,000","413,155,000","430,716,000","437,487,000","413,932,000","444,931,000","458,781,000","458,531,000","423,440,000","450,623,000","415,273,000","394,225,000","356,387,000","376,385,000","369,749,000","351,487,000","315,459,000","325,399,000","294,922,000","278,251,000","254,259,000","260,729,000","245,490,000","231,658,000","217,168,000","222,937,000","223,273,000","219,866,000","214,254,000","223,393,000","225,487,000","236,232,000","234,762,000","402,880,000","439,515,000","424,515,000","420,997,000","433,294,000","472,165,000","459,544,000","422,017,000","412,600,000","405,200,000","363,900,000","318,500,000","312,600,000","253,500,000","188,400,000","133,300,000","110,900,000","99,900,000"
		CashCashEquivalentsAndShortTermInvestments,"115,615,000","58,776,000","67,721,000","53,659,000","52,116,000","54,896,000","70,540,000","53,253,000","133,264,000","50,788,000","40,363,000","36,787,000","29,130,000","45,620,000","19,248,000","28,001,000","25,219,000","36,542,000","29,496,000","34,465,000","31,444,000","32,074,000","25,337,000","38,282,000","43,540,000","56,464,000","45,072,000","40,714,000","38,892,000","32,064,000","43,882,000","49,759,000","40,650,000","52,054,000","45,305,000","23,346,000","25,435,000","40,757,000","35,665,000","28,811,000","27,873,000","51,237,000","43,692,000","50,101,000","63,636,000","86,346,000","44,661,000","107,602,000","109,770,000","127,850,000","139,863,000","120,415,000","108,149,000","117,015,000","102,300,000","101,508,000","88,636,000","139,631,000","97,727,000","87,932,000","69,038,000","90,286,000","68,918,000","67,091,000","58,361,000","55,593,000","33,709,000","26,455,000","22,454,000","32,576,000","20,493,000","16,705,000","5,119,000","10,136,000","7,820,000","11,415,000","11,329,000","6,104,000","10,625,000","12,624,000","9,855,000","10,625,000","15,135,000","17,152,000","21,810,000","16,021,000","7,700,000","8,902,000","8,344,000","3,700,000","7,600,000","4,400,000","3,800,000","7,000,000","9,700,000","6,300,000","5,700,000","14,500,000","37,100,000"
			CashAndCashEquivalents,"115,615,000","58,776,000","67,721,000","53,659,000","52,116,000","54,896,000","70,540,000","53,253,000","133,264,000","50,788,000","40,363,000","36,787,000","29,130,000","45,620,000","19,248,000","28,001,000","25,219,000","36,542,000","29,496,000","34,465,000","31,444,000","32,074,000","25,337,000","38,282,000","43,540,000","56,464,000","45,072,000","40,714,000","38,892,000","32,064,000","43,882,000","49,759,000","40,650,000","52,054,000","45,305,000","23,346,000","25,435,000","40,757,000","35,665,000","28,811,000","27,873,000","51,237,000","43,692,000","50,101,000","63,636,000","86,346,000","44,661,000","107,602,000","109,770,000","127,850,000","139,863,000","120,415,000","108,149,000","117,015,000","102,300,000","101,508,000","88,636,000","139,631,000","97,727,000","87,932,000","69,038,000","90,286,000","68,918,000","67,091,000","58,361,000","55,593,000","33,709,000","26,455,000","22,454,000","32,576,000","20,493,000","16,705,000","5,119,000","10,136,000","7,820,000","11,415,000","11,329,000","6,104,000","10,625,000","12,624,000","9,855,000","10,625,000","15,135,000","17,152,000","21,810,000","16,021,000","7,700,000","8,902,000","8,344,000","3,700,000","7,600,000","4,400,000","3,800,000","7,000,000","9,700,000","6,300,000","5,700,000","14,500,000","37,100,000"
		Receivables,"967,723,000","922,988,000","805,563,000","735,554,000","680,991,000","727,974,000","717,743,000","716,587,000","720,255,000","714,947,000","688,584,000","669,811,000","507,758,000","545,120,000","561,307,000","516,653,000","449,410,000","434,218,000","443,481,000","446,522,000","349,054,000","368,569,000","380,669,000","380,154,000","355,642,000","354,032,000","356,667,000","369,097,000","347,147,000","346,715,000","331,765,000","340,084,000","310,051,000","311,965,000","308,759,000","329,917,000","315,040,000","295,539,000","306,473,000","291,314,000","305,774,000","273,587,000","309,966,000","270,815,000","275,661,000","250,119,000","285,016,000","229,959,000","248,024,000","229,229,000","236,936,000","262,883,000","252,575,000","273,655,000","327,878,000","329,356,000","302,154,000","287,120,000","295,718,000","285,614,000","265,753,000","263,472,000","275,143,000","262,779,000","211,424,000","226,712,000","210,640,000","202,703,000","181,709,000","178,785,000","181,115,000","170,792,000","168,995,000","173,110,000","175,672,000","170,213,000","162,753,000","176,284,000","192,889,000","178,914,000","196,834,000","356,199,000","394,298,000","377,435,000","368,243,000","340,031,000","414,649,000","406,840,000","307,055,000","368,200,000","358,700,000","329,800,000","284,700,000","276,500,000","220,000,000","143,400,000","114,000,000","73,700,000","47,400,000"
			AccountsReceivable,"804,832,000","773,716,000","700,629,000","630,446,000","585,594,000","619,544,000","608,861,000","624,526,000","643,748,000","619,037,000","607,061,000","587,082,000","447,298,000","481,366,000","497,861,000","455,596,000","392,998,000","382,867,000","390,497,000","391,536,000","297,079,000","318,837,000","331,111,000","335,280,000","306,111,000","302,052,000","311,463,000","329,338,000","306,864,000","303,575,000","290,021,000","290,589,000","263,165,000","267,470,000","270,612,000","291,828,000","271,499,000","256,959,000","268,839,000","285,333,000","265,941,000","267,060,000","259,769,000","255,286,000","232,825,000","233,893,000","270,870,000","208,183,000","205,109,000","203,353,000","228,250,000","257,077,000","247,305,000","267,498,000","321,614,000","323,448,000","292,726,000","279,865,000","290,583,000","280,750,000","259,778,000","258,443,000","270,677,000","258,608,000","206,410,000","197,121,000","206,147,000","199,492,000","178,979,000","174,682,000","176,227,000","166,495,000","164,529,000","167,939,000","170,737,000","164,423,000","155,229,000","168,392,000","168,398,000","175,778,000","160,701,000","349,695,000","341,424,000","325,839,000","319,040,000",,,,,,,,,,,,,,
				GrossAccountsReceivable,"813,526,000","782,524,000","708,247,000","639,094,000","593,587,000","628,631,000","618,757,000","634,524,000","654,085,000","625,944,000","613,587,000","592,428,000","453,163,000","487,264,000","503,521,000","459,798,000","396,514,000","388,765,000","394,825,000","396,251,000","301,471,000","323,125,000","336,020,000","340,103,000","311,109,000","307,210,000","316,214,000","333,979,000","311,121,000","307,954,000","294,253,000","294,755,000","267,604,000","271,930,000","275,010,000","296,412,000","277,904,000","263,292,000","275,936,000","292,604,000","271,703,000","272,401,000","264,535,000",,"238,396,000",,,,"212,362,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-8,694,000","-8,808,000","-7,618,000","-8,648,000","-7,993,000","-9,087,000","-9,896,000","-9,998,000","-10,337,000","-6,907,000","-6,526,000","-5,346,000","-5,865,000","-5,898,000","-5,660,000","-4,202,000","-3,516,000","-5,898,000","-4,328,000","-4,715,000","-4,392,000","-4,288,000","-4,909,000","-4,823,000","-4,998,000","-5,158,000","-4,751,000","-4,641,000","-4,257,000","-4,379,000","-4,232,000","-4,166,000","-4,439,000","-4,460,000","-4,398,000","-4,584,000","-6,405,000","-6,333,000","-7,097,000","-7,271,000","-5,762,000","-5,341,000","-4,766,000",,"-5,571,000",,,,"-7,253,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			TaxesReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","11,478,000","9,995,000","11,493,000","9,544,000","13,658,000","17,451,000","18,788,000","20,075,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherReceivables,"162,891,000","149,272,000","104,934,000","105,108,000","95,397,000","108,430,000","108,882,000","92,061,000","76,507,000","95,910,000","81,523,000","82,729,000","60,460,000","63,754,000","63,446,000","61,057,000","56,412,000","51,351,000","52,984,000","54,986,000","51,975,000","49,732,000","49,558,000","44,874,000","49,531,000","51,980,000","45,204,000","39,759,000","40,283,000","43,140,000","41,744,000","49,495,000","46,886,000","44,495,000","38,147,000","38,089,000","43,541,000","38,580,000","37,634,000","5,981,000","39,833,000","6,527,000","38,719,000","5,534,000","31,343,000","6,682,000","7,028,000","4,325,000","24,127,000","5,801,000","8,686,000","5,806,000","5,270,000","6,157,000","6,264,000","5,908,000","9,428,000","7,255,000","5,135,000","4,864,000","5,975,000","5,029,000","4,466,000","4,171,000","5,014,000","29,591,000","4,493,000","3,211,000","2,730,000","4,103,000","4,888,000","4,297,000","4,466,000","5,171,000","4,935,000","5,790,000","7,524,000","7,892,000","24,491,000","3,136,000","36,133,000","6,504,000","52,874,000","51,596,000","49,203,000",,,,,,,,,,,,,,
			ReceivablesAdjustmentsAllowances,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-6,540,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Inventory,"24,918,000","21,853,000","19,908,000","18,837,000","15,653,000","13,472,000","12,700,000","12,212,000","10,312,000","10,053,000","12,667,000","12,734,000","12,908,000","12,416,000","12,795,000","11,986,000","11,029,000","10,303,000","10,778,000","10,571,000","9,958,000","9,208,000","9,719,000","9,953,000","9,783,000","7,941,000","9,052,000","10,204,000","10,027,000","8,646,000","8,937,000","9,084,000","8,893,000","8,430,000","9,336,000","9,651,000","9,601,000","9,638,000","9,908,000","10,465,000","10,699,000","10,631,000","9,742,000","10,062,000","9,637,000","9,365,000","9,637,000","9,290,000","9,259,000","9,817,000","9,412,000","10,179,000","10,899,000","11,629,000","11,396,000","11,851,000","10,863,000","9,397,000","10,077,000","9,963,000","10,309,000","8,762,000","9,609,000","9,569,000","8,276,000","8,107,000","9,196,000","9,831,000","10,376,000","10,590,000","10,510,000","10,778,000","10,628,000","9,838,000","10,279,000","10,692,000","11,201,000","12,415,000","12,508,000","13,170,000","13,997,000","18,253,000","19,670,000","18,957,000","19,035,000","19,399,000","19,908,000","20,581,000","20,090,000","20,900,000","19,000,000","17,800,000","16,400,000","14,800,000","13,200,000","10,300,000","7,000,000","6,200,000","5,600,000"
		PrepaidAssets,"31,373,000","23,704,000","11,519,000","11,350,000","13,812,000","15,510,000","10,313,000","10,453,000","14,612,000","14,396,000","8,788,000","7,250,000","7,476,000","6,544,000","6,329,000","5,183,000","6,135,000","8,294,000","11,622,000","5,611,000","5,997,000","6,106,000","7,139,000","6,150,000","5,719,000","5,836,000","26,973,000","26,631,000","26,564,000","25,591,000","25,138,000","24,258,000","24,313,000","24,209,000","25,529,000","25,714,000","25,900,000","25,037,000","27,434,000","28,572,000","29,179,000","24,664,000","24,602,000","28,499,000","29,748,000","30,470,000","34,197,000","23,960,000","26,700,000","25,827,000","26,694,000","27,251,000","24,696,000","23,409,000","17,207,000","15,816,000","21,787,000","14,475,000","11,746,000","10,709,000","11,280,000","13,644,000","15,338,000","11,056,000","11,680,000","11,489,000","14,038,000","13,053,000","13,986,000","13,338,000","10,547,000","11,112,000","13,788,000","13,691,000","11,577,000","11,550,000","10,706,000","10,626,000","8,217,000","9,783,000","12,490,000","17,803,000","10,412,000","8,885,000","9,711,000",,,,,,,,,,,,,,
		AssetsHeldForSaleCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,"176,000","176,000","176,000","176,000","278,000","311,000","265,000","339,000","297,000","600,000","1,257,000","1,582,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherCurrentAssets,,,"61,916,000",,,"73,194,000",,,,,,"45,297,000","34,095,000","35,321,000",,,,"39,832,000","39,333,000","40,653,000","35,974,000","35,677,000","36,239,000","27,225,000","34,350,000","34,419,000","36,535,000","33,744,000","31,476,000","49,757,000",,"38,663,000","32,873,000","49,012,000","30,497,000","44,140,000","35,099,000","47,051,000","30,521,000","31,079,000","33,572,000","27,163,000","84,541,000","26,423,000","25,699,000","26,648,000","26,379,000","22,098,000","78,874,000","20,432,000","17,811,000","16,759,000","17,613,000","19,223,000","0","0","0","0","5,000","7,000","7,000","221,000","741,000","992,000","25,718,000","23,498,000","27,339,000","26,209,000","25,734,000","25,440,000","22,825,000","22,271,000","18,638,000","16,162,000","17,925,000","15,996,000","18,265,000","17,964,000","1,248,000","21,741,000","1,586,000","0","0","2,086,000","2,198,000","57,843,000","29,908,000","23,221,000","86,528,000","19,800,000","19,900,000","11,900,000","13,600,000","14,300,000","10,600,000","28,400,000","6,600,000","16,500,000","9,800,000"
	TotalNonCurrentAssets,"1,168,784,000","1,181,793,000","1,046,623,000","935,550,000","952,958,000","945,503,000","866,673,000","882,938,000","739,624,000","714,828,000","717,058,000","718,014,000","522,760,000","452,864,000","460,261,000","397,343,000","390,925,000","391,763,000","389,210,000","395,986,000","291,159,000","292,946,000","294,878,000","294,474,000","294,285,000","267,321,000","256,586,000","256,227,000","255,998,000","252,558,000","246,406,000","244,615,000","204,672,000","204,825,000","205,228,000","206,018,000","206,375,000","208,201,000","212,246,000","214,380,000","202,533,000","203,784,000","177,644,000","235,644,000","237,593,000","237,072,000","241,343,000","155,578,000","162,366,000","161,793,000","150,610,000","153,287,000","154,474,000","153,561,000","156,149,000","145,799,000","140,949,000","96,444,000","90,795,000","90,177,000","89,861,000","84,489,000","82,487,000","83,438,000","83,681,000","83,284,000","121,270,000","121,835,000","122,819,000","122,387,000","125,261,000","126,432,000","127,651,000","128,173,000","134,823,000","139,561,000","140,481,000","143,142,000","143,759,000","145,130,000","146,609,000","473,745,000","479,779,000","484,680,000","489,852,000","493,116,000","509,166,000","519,037,000","528,144,000","530,700,000","523,100,000","504,400,000","494,000,000","476,700,000","347,100,000","302,600,000","228,500,000","176,900,000","150,700,000"
