name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995
			DepreciationAndAmortization,"4,391,000","1,093,000","1,080,000","1,026,000","1,192,000","1,202,000","1,174,000","1,308,000","1,380,000","1,393,000","1,430,000","1,428,000","1,651,000","1,972,000","2,019,000","2,074,000","2,057,000","2,115,000","2,135,000","2,165,000","2,105,000","2,103,000","2,094,000","2,102,000","2,263,000","2,337,000","2,438,000","2,583,000","2,428,000","2,400,000","2,517,000","2,778,000","2,400,000","2,363,000","2,451,000","2,536,000","2,462,000","2,397,000","2,371,000","2,659,000","2,877,000","2,955,000","3,075,000","3,072,000","3,211,000","3,336,000","3,262,000","3,236,000","3,137,000","2,976,000","2,919,000","2,829,000","2,885,000","3,040,000","3,174,000","3,028,000","3,670,000","3,952,000","3,475,000","3,757,000","4,046,000","3,850,000","5,032,000","2,944,000","3,000,000","2,603,000","2,929,000","2,587,000","2,414,000","2,148,000","1,921,000","1,710,000","1,138,000","1,699,000","863,000","925,000","1,277,000","1,306,000","2,104,000","2,446,000","2,563,000","2,774,000","4,088,000","4,645,000","4,602,000","3,990,000","6,960,000","4,032,000","3,744,000","3,704,000","5,800,000","3,500,000","2,800,000","2,400,000","3,100,000","2,300,000","2,700,000","1,400,000","1,100,000","800,000","600,000","700,000","600,000","400,000","600,000","200,000","100,000"
				Depreciation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,687,000","3,842,000","3,498,000","3,460,000","3,607,000","2,798,000","2,641,000","2,506,000","2,312,000","2,194,000","2,022,000","1,755,000","1,776,000","1,567,000","995,000","883,000",,"1,028,000","1,073,000","1,102,000","2,016,000","2,386,000","2,503,000","2,724,000",,,,,,,,,,,,,,,,,,,,,,,,,
				AmortizationCashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-212,000","-85,000","548,000","390,000","1,425,000","146,000","359,000","97,000","617,000","393,000","392,000","393,000","145,000","143,000","143,000","816,000",,"-103,000","204,000","204,000","88,000","60,000","60,000","50,000",,,,,,,,,,,,,,,,,,,,,,,,,
					AmortizationOfIntangibles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-212,000","-85,000","548,000","390,000","1,425,000","146,000","359,000","97,000","617,000","393,000","392,000","393,000","145,000","143,000","143,000","816,000",,"-103,000","204,000","204,000","88,000","60,000","60,000","50,000",,,,,,,,,,,,,,,,,,,,,,,,,
		DeferredTax,"9,815,000","8,321,000","2,123,000","-597,000","-32,000","931,000","2,116,000","-673,000","-3,615,000","-126,000","-1,071,000","-713,000","20,049,000","-18,314,000","2,014,000","-527,000","-539,000","41,000","8,265,000","1,240,000","980,000","1,758,000","654,000","-846,000","-1,144,000","3,343,000","1,506,000","-396,000","584,000","686,000","-937,000","-324,000","-224,000","1,976,000","-285,000","-870,000","1,818,000","503,000","-2,367,000","771,000","-21,837,000","6,297,000","164,000","-1,092,000","1,635,000","1,162,000","3,094,000","456,000","1,335,000","-14,000","117,000","999,000","-97,000","262,000","-15,870,000","-843,000","-578,000","902,000","315,000","1,216,000","1,011,000","3,634,000","3,582,000","5,507,000","5,465,000","4,049,000","4,649,000","4,650,000","3,302,000","2,344,000",,,,,,,,,,,,,,,,,,,,,"400,000","0",,,,,,,,,,,,,,,
			DeferredIncomeTax,"9,815,000","8,321,000","2,123,000","-597,000","-32,000","931,000","2,116,000","-673,000","-3,615,000","-126,000","-1,071,000","-713,000","20,049,000","-18,314,000","2,014,000","-527,000","-539,000","41,000","8,265,000","1,240,000","980,000","1,758,000","654,000","-846,000","-1,144,000","3,343,000","1,506,000","-396,000","584,000","686,000","-937,000","-324,000","-224,000","1,976,000","-285,000","-870,000","1,818,000","503,000","-2,367,000","771,000","-21,837,000","6,297,000","164,000","-1,092,000","1,635,000","1,162,000","3,094,000","456,000","1,335,000","-14,000","117,000","999,000","-97,000","262,000","-15,870,000","-843,000","-578,000","902,000","315,000","1,216,000","1,011,000","3,634,000","3,582,000","5,507,000","5,465,000","4,049,000","4,649,000","4,650,000","3,302,000","2,344,000",,,,,,,,,,,,,,,,,,,,,"400,000","0",,,,,,,,,,,,,,,
		AmortizationOfSecurities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"38,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		AssetImpairmentCharge,"1,206,000",,,,,,,,"1,077,000","15,000","7,000","107,000","169,000","801,000",,,,,,,,,,,,,,,,,,,,,"14,510,000","0",,,"3,858,000","0",,,,,,,"0","0",,,"0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		ProvisionandWriteOffofAssets,"1,035,000","172,000","150,000","42,000","671,000","-852,000","-593,000","-112,000","606,000","2,229,000","273,000","139,000","448,000","349,000","316,000","543,000","593,000","368,000","135,000","540,000","-36,000","392,000","401,000","-199,000","418,000","356,000","-308,000","458,000","356,000","1,047,000","-255,000","159,000","452,000","469,000","-423,000","434,000","241,000","294,000","-310,000","46,000","1,060,000","1,064,000","11,000","253,000","-278,000","-911,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		StockBasedCompensation,"15,033,000","4,437,000","3,551,000","3,512,000","3,533,000","3,403,000","2,888,000","2,908,000","2,903,000","2,896,000","2,443,000","2,419,000","2,430,000","2,620,000","2,239,000","2,006,000","2,292,000","2,260,000","1,933,000","1,798,000","1,805,000","2,064,000","1,663,000","1,336,000","1,762,000","1,944,000","1,558,000","1,348,000","1,622,000","1,291,000","944,000","680,000","605,000","799,000","1,633,000","336,000","327,000","274,000","53,000","38,000","0","25,649,000","3,230,000","3,088,000","2,837,000","2,821,000","1,499,000","1,631,000","1,511,000","1,395,000","413,000","4,339,000","717,000","902,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
