name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997
TotalAssets,"221,906,000","237,499,000","218,946,000","223,223,000","220,582,000","221,415,000","213,354,000","215,494,000","215,363,000","165,535,000","164,438,000","174,627,000","175,926,000","163,460,000","161,657,000","151,846,000","144,421,000","98,244,000","97,086,000","83,485,000","84,941,000","103,476,000","116,125,000","120,451,000","127,938,000","139,470,000","135,188,000","151,406,000","143,225,000","81,776,000","79,395,000","76,852,000","73,227,000","83,381,000","79,439,000","82,548,000","92,207,000","48,919,000","48,653,000","46,063,000","52,020,000","45,367,000","36,552,000","39,100,000","45,680,000","48,167,000","32,160,000","29,892,000","32,497,000","34,491,000","43,027,000","34,561,000","39,164,000","47,339,000","52,398,000","64,210,000","70,020,000","78,209,000","85,030,000","91,815,000","106,164,000","115,817,000","89,010,000","91,362,000","99,953,000","58,660,000","56,802,000","58,785,000","62,578,000","102,078,000","96,303,000","102,210,000","108,786,000","118,463,000","131,369,000","144,323,000","105,185,000","72,947,000","90,296,000","107,546,000","116,074,000","128,260,000","141,799,000","151,546,000","84,485,000","94,161,000","104,700,000","51,901,000","58,918,000","41,800,000","49,600,000","59,400,000","26,600,000","20,900,000","24,100,000","19,400,000","24,400,000","27,300,000","25,500,000","27,900,000","31,900,000"
	CurrentAssets,"172,812,000","187,102,000","178,052,000","185,590,000","181,272,000","183,431,000","177,299,000","178,971,000","178,319,000","128,108,000","126,317,000","135,837,000","134,920,000","146,902,000","150,154,000","141,198,000","133,776,000","89,898,000","88,434,000","74,307,000","75,720,000","94,105,000","108,029,000","112,212,000","119,437,000","130,439,000","128,423,000","144,471,000","136,419,000","74,885,000","72,652,000","70,320,000","67,079,000","78,154,000","74,502,000","77,770,000","87,440,000","43,996,000","43,536,000","40,789,000","46,598,000","39,739,000","30,674,000","33,032,000","39,473,000","41,755,000","25,300,000","26,901,000","30,516,000","32,359,000","38,315,000","29,858,000","34,220,000","42,043,000","48,001,000","59,674,000","65,385,000","73,902,000","81,293,000","88,203,000","93,071,000","102,743,000","81,051,000","83,364,000","91,962,000","51,005,000","54,477,000","56,635,000","60,365,000","99,871,000","94,205,000","100,910,000","106,788,000","115,754,000","127,830,000","140,077,000","100,191,000","67,248,000","83,979,000","101,054,000","110,475,000","125,060,000","138,920,000","148,505,000","81,452,000","91,040,000","103,154,000","50,736,000","57,771,000","40,700,000","48,500,000","58,600,000","25,800,000","20,100,000","23,200,000","18,400,000","23,300,000","26,200,000","24,300,000","26,500,000","30,400,000"
		CashCashEquivalentsAndShortTermInvestments,"108,557,000","129,359,000","119,961,000","122,841,000","131,725,000","133,594,000","135,124,000","136,470,000","133,105,000","85,718,000","85,111,000","96,202,000","100,428,000","117,577,000","118,996,000","111,910,000","105,865,000","60,696,000","59,630,000","50,906,000","53,757,000","71,628,000","81,206,000","88,541,000","96,386,000","107,879,000","107,447,000","122,945,000","111,893,000","51,294,000","47,574,000","49,696,000","48,255,000","57,676,000","53,326,000","58,201,000","69,163,000","26,696,000","26,661,000","26,667,000","31,536,000","25,784,000","15,218,000","17,780,000","24,357,000","30,009,000","13,209,000","15,864,000","18,986,000","19,931,000","22,660,000","12,862,000","15,419,000","22,578,000","29,491,000","38,969,000","46,714,000","56,850,000","69,035,000","74,435,000","79,614,000","93,416,000","69,591,000","76,124,000","82,829,000","45,805,000","49,240,000","52,175,000","55,858,000","95,334,000","89,587,000","94,817,000","99,446,000","110,010,000","123,125,000","135,784,000","96,406,000","64,318,000","81,795,000","93,274,000","107,496,000","123,461,000","137,903,000","147,301,000","80,114,000","90,261,000","102,688,000","50,328,000","57,248,000","40,400,000","48,400,000","58,300,000","4,500,000","6,200,000","5,400,000","5,200,000","6,700,000","11,600,000","20,100,000","24,200,000","29,000,000"
			CashAndCashEquivalents,"38,372,000","48,759,000","78,460,000","59,030,000","57,607,000","36,594,000","28,950,000","34,900,000","33,679,000","34,986,000","24,425,000","23,543,000","29,002,000","28,859,000","22,327,000","14,305,000","14,877,000","13,683,000","16,985,000","20,278,000","10,930,000","22,560,000","12,880,000","7,704,000","20,791,000","71,018,000","50,795,000","35,059,000","17,934,000","22,781,000","22,343,000","28,562,000","23,992,000","29,485,000","24,355,000","58,201,000","69,163,000","26,696,000","26,661,000","26,667,000","31,449,000","25,497,000","14,761,000","17,167,000","23,599,000","28,948,000","11,884,000","14,139,000","16,813,000","17,287,000","19,466,000","7,790,000","6,983,000","10,303,000","15,306,000","22,405,000","21,743,000","19,625,000","37,986,000","33,287,000","39,192,000","46,287,000","42,566,000","56,696,000","52,787,000","5,780,000","5,405,000","4,933,000","4,836,000","39,169,000","7,614,000","7,900,000","25,743,000","23,165,000","52,878,000","92,828,000","55,347,000","22,435,000","42,128,000","26,491,000","47,956,000","64,503,000","99,301,000","138,368,000","69,212,000","71,872,000","85,154,000","35,512,000","38,335,000","3,500,000","7,500,000","9,500,000","4,500,000","6,200,000","5,400,000","5,200,000","6,700,000","11,600,000","20,100,000","24,200,000","29,000,000"
			OtherShortTermInvestments,"70,185,000","80,600,000","41,501,000","63,811,000","74,118,000","97,000,000","106,174,000","101,570,000","99,426,000","50,732,000","60,686,000","72,659,000","71,426,000","88,718,000","96,669,000","97,605,000","90,988,000","47,013,000","42,645,000","30,628,000","42,827,000","49,068,000","68,326,000","80,837,000","75,595,000","36,861,000","56,652,000","87,886,000","93,959,000","28,513,000","25,231,000","21,134,000","24,263,000","28,191,000","28,971,000",,,"0","0","0","87,000","287,000","457,000","613,000","758,000","1,061,000","1,325,000","1,725,000","2,173,000","2,644,000","3,194,000","5,072,000","8,436,000","12,275,000","14,185,000","16,564,000","24,971,000","37,225,000","31,049,000","41,148,000","40,422,000","47,129,000","27,025,000","19,428,000","30,042,000","40,025,000","43,835,000","47,242,000","51,022,000","56,165,000","81,973,000","86,917,000","73,703,000","86,845,000","70,247,000","42,956,000","41,059,000","41,883,000","39,667,000","66,783,000","59,540,000","58,958,000","38,602,000","8,933,000","10,902,000","18,389,000","17,534,000","14,816,000","18,913,000","36,900,000","40,900,000","48,800,000",,,,,,,,,
		Receivables,"25,645,000","25,129,000","22,439,000","22,865,000","18,253,000","21,166,000","16,236,000","17,624,000","18,165,000","16,882,000","14,502,000","13,432,000","13,756,000","8,752,000","10,476,000","11,388,000","10,489,000","12,415,000","10,476,000","7,932,000","5,583,000","6,868,000","7,441,000","5,149,000","4,086,000","5,794,000","5,646,000","5,425,000","5,153,000","5,493,000","7,366,000","4,478,000","4,943,000","6,125,000","7,025,000","5,868,000","4,733,000","4,444,000","3,950,000","3,725,000","5,022,000","6,096,000","4,783,000","4,420,000","4,800,000","4,792,000","3,512,000","3,467,000","3,639,000","3,625,000","6,124,000","6,133,000","6,346,000","7,152,000","7,078,000","7,337,000","7,633,000","7,772,000","6,876,000","8,393,000","9,304,000","5,279,000","9,624,000","5,344,000","7,065,000","5,200,000","5,237,000","4,460,000","4,507,000","4,537,000","4,618,000","6,093,000","7,342,000","5,744,000","4,705,000","4,293,000","3,785,000","2,930,000","55,000","5,028,000","28,000","26,000","63,000","149,000","177,000","267,000","152,000","162,000","292,000",,,,,,,,"1,300,000","4,400,000","3,900,000","2,000,000","1,000,000"
			AccountsReceivable,"25,645,000","25,129,000","22,439,000","22,865,000","18,253,000","21,166,000","16,236,000","17,624,000","18,165,000","16,882,000","14,502,000","13,432,000","13,756,000","8,752,000","10,476,000","11,388,000","10,489,000","12,415,000","10,476,000","7,932,000","5,583,000","6,868,000","7,441,000","5,149,000","4,086,000","5,794,000","5,646,000","5,425,000","5,153,000","5,493,000","7,366,000","4,478,000","4,943,000","6,125,000","7,025,000","5,868,000","4,733,000","4,444,000","3,950,000","3,725,000","5,022,000","6,096,000","4,783,000","4,420,000","4,800,000","4,792,000","3,512,000","3,467,000","3,639,000","3,625,000","6,124,000","6,133,000","6,346,000","7,152,000","7,078,000","7,337,000","7,633,000","7,772,000","6,876,000","8,393,000","9,304,000","5,279,000","9,624,000","5,344,000","7,065,000","5,200,000","5,237,000","4,460,000","4,507,000","4,537,000","4,618,000","6,093,000","29,000","8,000","25,000","4,293,000","21,000","46,000","55,000","5,028,000","28,000","26,000","63,000","149,000","177,000",,,,,,,,,,,,,,,,
				GrossAccountsReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,493,000",,,,"6,125,000",,,,"4,444,000","3,950,000","3,725,000","5,022,000","6,101,000","4,831,000","4,489,000","4,867,000","4,843,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,"0",,,,"0","0","0","0","-5,000","-48,000","-69,000","-67,000","-51,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherReceivables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,313,000","5,736,000","4,680,000",,"3,764,000","2,884,000",,,,,,,,,,,,,,,,,,,,,,,
