name,ttm,04/30/2022,01/31/2022,10/31/2021,07/31/2021,04/30/2021,01/31/2021,10/31/2020,07/31/2020,04/30/2020,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019,10/31/2018,07/31/2018,04/30/2018,01/31/2018,10/31/2017,07/31/2017,04/30/2017,01/31/2017,10/31/2016,07/31/2016,04/30/2016,01/31/2016,10/31/2015,07/31/2015,04/30/2015,01/31/2015,10/31/2014,07/31/2014,04/30/2014,01/31/2014,10/31/2013,07/31/2013,04/30/2013,01/31/2013,10/31/2012,07/31/2012,04/30/2012,01/31/2012,10/31/2011,07/31/2011,04/30/2011,01/31/2011,10/31/2010,07/31/2010,04/30/2010,01/31/2010,10/31/2009,07/31/2009,04/30/2009,01/31/2009,10/31/2008,07/31/2008,04/30/2008,01/31/2008,10/31/2007,07/31/2007,04/30/2007,01/31/2007,10/31/2006,07/31/2006,04/30/2006,01/31/2006,10/31/2005,07/31/2005,04/30/2005,01/31/2005,10/31/2004,07/31/2004,04/30/2004,01/31/2004,10/31/2003,07/31/2003,04/30/2003,01/31/2003,10/31/2002,07/31/2002,04/30/2002,01/31/2002,10/31/2001,07/31/2001,04/30/2001,01/31/2001,10/31/2000,07/31/2000,04/30/2000,01/31/2000,10/31/1999,07/31/1999,04/30/1999,01/31/1999,10/31/1998,07/31/1998,04/30/1998,01/31/1998,10/31/1997,07/31/1997,04/30/1997,01/31/1997,10/31/1996,07/31/1996,04/30/1996,01/31/1996,10/31/1995,07/31/1995,04/30/1995,01/31/1995,10/31/1994,07/31/1994
TotalRevenue,"119,597,000","31,226,000","31,508,000","26,109,000","30,754,000","27,606,000","21,806,000","21,064,000","25,392,000","12,550,000","13,585,000","18,313,000","15,254,000","17,055,000","13,781,000","10,178,000","12,589,000","6,943,000","6,819,000","12,782,000","27,077,000","17,904,000","10,747,000","23,370,000","5,609,000","18,783,000","6,709,000","9,523,000","9,671,000","9,308,000","5,677,000","6,300,000","5,496,000","6,474,000","3,885,000","7,354,000","4,688,000","4,254,000","7,039,000","6,139,000","4,251,000","2,065,000","3,281,000","4,232,000","5,655,000","2,729,000","2,883,000","4,671,000","3,209,000","4,420,000","9,877,000","6,896,000","6,750,000","7,867,000","6,826,000","1,941,000","1,517,000","901,000","1,675,000","1,892,000","1,625,000","2,240,000","363,000","684,000","421,000","901,000","1,528,000","556,000","208,000","919,000","1,353,000","2,183,000","504,000","1,855,000","229,000","858,000","372,000","2,314,000","512,000","621,000","474,000","391,000","125,000","125,000","3,125,000","563,000","156,000","1,000","1,000","-99,000","100,000","100,000","100,000","0","100,000","100,000","100,000","400,000","100,000","100,000","200,000","100,000","100,000","100,000","100,000","3,000,000","100,000","800,000","700,000","0","100,000","100,000","100,000"
	OperatingRevenue,"119,597,000","31,226,000","31,508,000","26,109,000","30,754,000","27,606,000","21,806,000","21,064,000","25,392,000","12,550,000","13,585,000","18,313,000","15,254,000","17,055,000","13,781,000","10,178,000","12,589,000","6,943,000","6,819,000","12,782,000","27,077,000","17,904,000","10,747,000","23,370,000","5,609,000","18,783,000","6,709,000","9,523,000","9,671,000","9,308,000","5,677,000","6,300,000","5,496,000","6,474,000","3,885,000","7,354,000","4,688,000","4,254,000","7,039,000","6,139,000","4,251,000","2,065,000","3,281,000","4,232,000","5,655,000","2,729,000","2,883,000","4,671,000","3,209,000","4,420,000","9,877,000","6,896,000","6,750,000","7,867,000","6,826,000","1,941,000","1,517,000","901,000","1,675,000","1,892,000","1,625,000","2,240,000","363,000","684,000","421,000","901,000","1,528,000","556,000","208,000","919,000","1,353,000","2,183,000","504,000","1,855,000","229,000","858,000","372,000","2,314,000","512,000","621,000","474,000","391,000","125,000","125,000","3,125,000","563,000","156,000","1,000","1,000","-99,000","100,000","100,000","100,000","0","100,000","100,000","100,000","400,000","100,000","100,000","200,000","100,000","100,000","100,000","100,000","3,000,000","100,000","800,000","700,000","0","100,000","100,000","100,000"
CostOfRevenue,"82,949,000","24,242,000","22,421,000","16,923,000","19,363,000","19,463,000","15,604,000","14,646,000","16,848,000","13,849,000","12,800,000","14,953,000","14,168,000","13,407,000","11,731,000","9,844,000","11,397,000","8,904,000","10,951,000","16,242,000","20,448,000","11,782,000","7,974,000","15,441,000","3,062,000","9,721,000","3,896,000","4,741,000","4,608,000","4,758,000","3,113,000","4,139,000","3,583,000","3,829,000","2,416,000","4,195,000","2,670,000","3,217,000","3,651,000","3,703,000","2,024,000","934,000","2,484,000","3,718,000","3,017,000","1,411,000","1,726,000","3,003,000","1,156,000","2,229,000","1,874,000","3,540,000","1,073,000","3,392,000","4,106,000","663,000","903,000","932,000","1,289,000","1,402,000","1,181,000","2,049,000","223,000","494,000","530,000","1,477,000","1,088,000","428,000","304,000","1,136,000","1,273,000","1,544,000","448,000","1,005,000","223,000","666,000","318,000","1,559,000","270,000","711,000","320,000",,,,,"567,000","-302,000","-600,000","-77,000","-116,000","-100,000","-200,000","-100,000","4,200,000",,"-300,000","-200,000","-200,000","-200,000","-200,000","-100,000",,,,"-100,000",,,,,,,,
GrossProfit,"36,648,000","6,984,000","9,087,000","9,186,000","11,391,000","8,143,000","6,202,000","6,418,000","8,544,000","-1,299,000","785,000","3,360,000","1,086,000","3,648,000","2,050,000","334,000","1,192,000","-1,961,000","-4,132,000","-3,460,000","6,629,000","6,122,000","2,773,000","7,929,000","2,547,000","9,062,000","2,813,000","4,782,000","5,063,000","4,550,000","2,564,000","2,161,000","1,913,000","2,645,000","1,469,000","3,159,000","2,018,000","1,037,000","3,388,000","2,436,000","2,227,000","1,131,000","797,000","514,000","2,638,000","1,318,000","1,157,000","1,668,000","2,053,000","2,191,000","8,003,000","3,356,000","5,677,000","4,475,000","2,720,000","1,278,000","614,000","-31,000","386,000","490,000","444,000","191,000","140,000","190,000","-109,000","-576,000","440,000","128,000","-96,000","-217,000","80,000","639,000","56,000","850,000","6,000","192,000","54,000","755,000","242,000","-90,000","154,000",,,,,"-4,000","458,000","601,000","78,000","17,000","200,000","300,000","200,000","-4,200,000",,"400,000","300,000","600,000","300,000","300,000","300,000",,,,"200,000",,,,,,,,
OperatingExpense,"21,226,000","5,915,000","5,818,000","5,033,000","4,460,000","5,055,000","4,018,000","4,166,000","3,825,000","3,528,000","2,996,000","3,534,000","4,459,000","3,573,000","3,242,000","2,816,000","3,215,000","4,183,000","4,824,000","7,589,000","7,858,000","11,426,000","10,570,000","12,006,000","13,629,000","20,977,000","19,680,000","18,606,000","18,817,000","16,719,000","15,586,000","14,298,000","15,084,000","13,174,000","11,212,000","10,973,000","9,638,000","9,500,000","8,549,000","9,493,000","9,898,000","12,021,000","11,890,000","12,550,000","10,689,000","11,272,000","10,000,000","10,046,000","9,565,000","9,760,000","9,320,000","5,893,000","7,867,000","7,847,000","5,954,000","5,828,000","5,774,000","6,266,000","6,788,000","7,043,000","5,332,000","5,630,000","5,420,000","5,590,000","5,682,000","4,934,000","4,922,000","4,814,000","4,309,000","4,498,000","3,886,000","4,341,000","3,537,000","4,104,000","3,819,000","3,084,000","2,891,000","2,401,000","2,357,000","2,910,000","4,063,000","6,296,000","3,916,000","3,265,000","2,507,000","2,383,000","3,374,000","3,510,000","2,337,000","1,027,000","3,000,000","5,900,000","3,100,000","5,300,000","3,300,000","3,800,000","3,400,000","3,300,000","3,200,000","3,800,000","2,500,000","29,800,000","1,400,000","1,700,000","1,100,000","700,000","900,000",,,,,,
	SellingGeneralAndAdministration,"21,226,000","5,915,000","5,818,000","5,033,000","4,460,000","5,055,000","4,018,000","4,166,000","3,825,000","3,528,000","2,996,000","3,534,000","4,459,000","3,573,000","3,242,000","2,816,000","3,215,000","4,183,000","4,824,000","3,867,000","4,213,000","4,709,000","4,581,000","4,984,000","5,060,000","4,712,000","4,524,000","4,416,000","4,899,000","5,188,000","4,325,000","4,295,000","4,883,000","4,361,000","4,563,000","4,016,000","4,334,000","3,665,000","3,112,000","3,440,000","2,917,000","3,091,000","2,710,000","2,732,000","2,929,000","3,274,000","2,947,000","2,702,000","2,498,000","2,630,000","1,998,000","1,761,000","1,793,000","2,257,000","1,489,000","1,527,000","1,706,000","1,652,000","1,847,000","1,943,000","1,708,000","1,622,000","1,513,000","1,670,000","1,641,000","1,849,000","1,628,000","1,570,000","1,517,000","1,456,000","1,338,000","1,337,000","967,000","1,001,000","1,096,000","1,109,000","1,019,000","783,000","681,000","813,000","710,000","775,000","746,000","490,000","466,000","1,072,000","1,079,000","854,000","807,000","-664,000","1,100,000","2,900,000","1,000,000","2,600,000","1,100,000","1,200,000","1,300,000","800,000","1,100,000","1,600,000","1,100,000","1,700,000","600,000","800,000","400,000","100,000","300,000",,,,,,
	ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,"3,722,000","3,645,000","6,717,000","5,989,000","7,022,000","8,569,000","16,265,000","15,156,000","14,190,000","13,918,000","11,531,000","11,261,000","10,003,000","10,201,000","8,813,000","6,649,000","6,957,000","5,304,000","5,835,000","5,437,000","6,053,000","6,981,000","8,930,000","9,180,000","9,818,000","7,760,000","7,998,000","7,053,000","7,344,000","7,067,000","7,130,000","7,322,000","4,132,000","6,074,000","5,590,000","4,465,000","4,301,000","4,068,000","4,614,000","4,941,000","5,100,000","3,624,000","4,008,000","3,907,000","3,920,000","4,041,000","3,085,000","3,294,000","3,244,000","2,792,000","3,042,000","2,548,000","3,004,000","2,570,000","3,103,000","2,723,000","1,975,000","1,872,000","1,618,000","1,676,000","2,097,000","3,353,000","5,521,000","3,170,000","2,775,000","2,041,000","1,878,000","1,993,000","2,056,000","1,453,000","1,575,000","1,800,000","2,800,000","2,000,000","2,400,000","2,200,000","2,300,000","1,900,000","2,300,000","1,900,000","2,000,000","1,300,000","28,000,000","700,000","800,000","600,000","500,000","600,000",,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-567,000","302,000","600,000","77,000","116,000","100,000","200,000","100,000","300,000",,"300,000","200,000","200,000","200,000","200,000","100,000","100,000","100,000","100,000","100,000","100,000",,,,,,,
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-567,000","302,000","600,000","77,000","116,000","100,000","200,000","100,000","300,000",,"300,000","200,000","200,000","200,000","200,000","100,000","100,000","100,000","100,000","100,000","100,000",,,,,,,
OperatingIncome,"15,422,000","1,069,000","3,269,000","4,153,000","6,931,000","3,088,000","2,184,000","2,252,000","4,719,000","-4,827,000","-2,211,000","-174,000","-3,373,000","75,000","-1,192,000","-2,482,000","-2,023,000","-6,144,000","-8,956,000","-11,049,000","-1,229,000","-5,304,000","-7,797,000","-4,077,000","-11,082,000","-11,915,000","-16,867,000","-13,824,000","-13,754,000","-12,169,000","-13,022,000","-12,137,000","-13,171,000","-10,529,000","-9,743,000","-7,814,000","-7,620,000","-8,463,000","-5,161,000","-7,057,000","-7,671,000","-10,890,000","-11,093,000","-12,036,000","-8,051,000","-9,954,000","-8,843,000","-8,378,000","-7,512,000","-7,569,000","-1,317,000","-2,537,000","-2,190,000","-3,372,000","-3,234,000","-4,550,000","-5,160,000","-6,297,000","-6,402,000","-6,553,000","-4,888,000","-5,439,000","-5,280,000","-5,400,000","-5,791,000","-5,510,000","-4,482,000","-4,686,000","-4,405,000","-4,715,000","-3,806,000","-3,702,000","-3,481,000","-3,254,000","-3,813,000","-2,892,000","-2,837,000","-1,646,000","-2,115,000","-3,000,000","-3,909,000","-5,905,000","-3,791,000","-3,140,000","618,000","-2,387,000","-2,916,000","-2,909,000","-2,259,000","-1,010,000","-2,800,000","-5,600,000","-2,900,000","-9,500,000","-3,200,000","-3,400,000","-3,100,000","-2,700,000","-2,900,000","-3,500,000","-2,200,000","-29,400,000","-1,300,000","-1,600,000","-900,000","2,200,000","-800,000","800,000","700,000","-1,900,000","100,000","100,000","100,000"
