name,04/30/2022,01/31/2022,10/31/2021,07/31/2021,04/30/2021,01/31/2021,10/31/2020,07/31/2020,04/30/2020,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019,10/31/2018,07/31/2018,04/30/2018,01/31/2018,10/31/2017,07/31/2017,04/30/2017,01/31/2017,10/31/2016,07/31/2016,04/30/2016,01/31/2016,10/31/2015,07/31/2015,04/30/2015,01/31/2015,10/31/2014,07/31/2014,04/30/2014,01/31/2014,10/31/2013,07/31/2013,04/30/2013,01/31/2013,10/31/2012,07/31/2012,04/30/2012,01/31/2012,10/31/2011,07/31/2011,04/30/2011,10/31/2010,07/31/2010,04/30/2010,01/31/2010,10/31/2009,07/31/2009,04/30/2009,01/31/2009,10/31/2008,07/31/2008,04/30/2008,01/31/2008,10/31/2007,07/31/2007,04/30/2007,01/31/2007,10/31/2006,07/31/2006,04/30/2006,01/31/2006,10/31/2005,07/31/2005,04/30/2005,01/31/2005,10/31/2004,07/31/2004,04/30/2004,01/31/2004,10/31/2003,07/31/2003,04/30/2003,01/31/2003,10/31/2002,07/31/2002,04/30/2002,01/31/2002,10/31/2001,07/31/2001,04/30/2001,01/31/2001,10/31/2000,07/31/2000,04/30/2000,01/31/2000,10/31/1999,07/31/1999,04/30/1999,01/31/1999,10/31/1998,07/31/1998,04/30/1998,01/31/1998,10/31/1997,07/31/1997,04/30/1997,01/31/1997,10/31/1996,07/31/1996,04/30/1996,01/31/1996,10/31/1995,07/31/1995,04/30/1995,01/31/1995,10/31/1994,07/31/1994,04/30/1994
TotalAssets,"5,443,874,000","5,136,956,000","4,918,852,000","4,562,143,000","4,281,946,000","3,934,438,000","3,741,188,000","3,455,261,000","3,161,583,000","3,048,605,000","2,855,939,000","2,547,617,000","2,391,763,000","2,296,905,000","2,381,788,000","2,307,698,000","2,165,193,000","2,143,541,000","2,062,670,000","1,982,501,000","1,811,686,000","1,841,241,000","1,770,396,000","1,649,820,000","1,624,135,000","1,604,364,000","1,855,764,000","1,799,952,000","2,002,977,000","1,952,071,000","1,536,586,000","1,506,804,000","1,476,672,000","1,438,493,000","1,397,388,000","1,334,481,000","1,298,682,000","1,253,946,000","1,214,526,000","1,155,066,000","1,204,763,000","1,139,658,000","1,225,884,000","1,084,436,000","1,191,312,000","1,210,147,000","1,228,812,000","1,202,006,000","1,147,889,000","1,123,340,000","1,058,032,000","1,005,986,000","955,666,000","949,562,000","956,247,000","1,008,261,000","1,052,903,000","1,077,687,000","1,005,344,000","1,015,033,000","969,027,000","939,027,000","894,705,000","869,863,000","828,368,000","834,562,000","793,528,000","770,215,000","732,089,900","707,510,400","673,023,100","658,789,500","619,414,000","598,570,100","587,100,400","571,578,600","571,622,500","557,309,700","535,847,600","509,842,300","484,755,900","346,000,400","316,634,700","310,010,200","292,697,100","277,039,500","262,324,300","248,690,100","237,500,000","229,500,000","218,700,000","212,300,000","201,900,000","198,000,000","190,900,000","188,800,000","182,800,000","180,300,000","175,300,000","173,100,000","168,300,000","162,200,000","158,100,000","149,100,000","144,400,000","139,500,000","135,200,000","76,200,000","71,000,000","66,900,000","62,600,000","59,100,000"
	CurrentAssets,"2,457,426,000","2,189,373,000","2,039,780,000","1,702,611,000","1,499,371,000","1,225,467,000","1,138,176,000","963,759,000","794,152,000","731,963,000","744,076,000","687,167,000","613,585,000","628,466,000","763,222,000","709,116,000","630,902,000","666,476,000","654,371,000","587,261,000","593,609,000","659,252,000","630,711,000","499,306,000","464,505,000","506,858,000","785,656,000","734,582,000","954,459,000","888,425,000","457,766,000","412,291,000","385,754,000","332,929,000","320,955,000","306,452,000","353,162,000","311,905,000","327,069,000","322,293,000","383,375,000","328,212,000","384,271,000","241,868,000","353,366,000","416,716,000","437,415,000","419,683,000","365,108,000","366,480,000","315,933,000","274,505,000","227,628,000","220,884,000","212,753,000","271,521,000","361,618,000","407,509,000","354,452,000","387,094,000","472,622,000","447,206,000","411,350,000","407,695,000","381,932,000","388,511,000","376,128,000","370,343,000","343,037,000","323,801,000","293,110,900","291,951,700","249,906,000","233,983,900","225,766,200","212,175,400","213,521,900","226,187,700","225,992,400","238,757,000","234,724,300","116,072,000","110,519,000","109,303,300","103,953,400","99,174,300","91,414,500","88,757,000","86,400,000","91,300,000","89,300,000","88,800,000","79,800,000","79,900,000","75,000,000","80,900,000","76,900,000","74,700,000","71,300,000","69,200,000","66,100,000","60,800,000","57,300,000","58,900,000","54,500,000","50,500,000","48,000,000","29,900,000","29,300,000","27,500,000","28,400,000","29,400,000"
		CashCashEquivalentsAndShortTermInvestments,"1,679,707,000","1,346,517,000","1,298,373,000","1,048,260,000","911,890,000","616,403,000","605,732,000","477,718,000","306,387,000","93,511,000","181,102,000","186,319,000","102,826,000","108,174,000","320,309,000","274,520,000","204,275,000","195,300,000","224,246,000","210,100,000","189,621,000","174,952,000","168,421,000","155,849,000","137,653,000","158,881,000","494,809,000","456,012,000","678,742,000","590,366,000","198,484,000","158,668,000","132,832,000","46,199,000","77,052,000","63,631,000","139,331,000","49,510,000","131,430,000","140,112,000","207,134,000","127,640,000","212,677,000","74,009,000","192,148,000","260,470,000","268,188,000","264,252,000","189,290,000","218,279,000","162,691,000","118,963,000","22,449,000","50,770,000","38,954,000","96,345,000","173,225,000","249,854,000","200,990,000","249,114,000","319,938,000","313,700,000","275,315,000","251,912,000","202,328,000","255,488,000","252,548,000","243,903,000","207,175,000","200,041,300","178,320,100","165,639,100","105,579,000","119,463,500","116,746,400","110,897,400","94,003,800","125,679,100","132,690,000","144,020,800","123,440,800","13,348,800","15,245,200","18,103,100","2,521,600","15,676,800","12,164,900","20,595,000","15,300,000","33,000,000","37,000,000","38,100,000","22,800,000","22,800,000","15,700,000","36,700,000","27,700,000","30,900,000","27,700,000","19,600,000","12,300,000","15,400,000","13,000,000","17,700,000","12,000,000","15,100,000","13,800,000","12,900,000","13,100,000","14,900,000","17,900,000","21,200,000"
			CashAndCashEquivalents,"1,454,818,000","971,651,000","1,298,373,000","1,048,260,000","911,890,000","616,403,000","605,732,000","477,718,000","306,387,000","93,511,000","181,102,000","186,319,000","102,826,000","108,174,000","320,309,000","274,520,000","204,275,000","195,300,000","224,246,000","210,100,000","189,621,000","174,952,000","168,421,000","155,849,000","137,653,000","141,416,000","472,916,000","456,012,000","678,742,000","590,366,000","198,484,000","158,668,000","132,832,000","46,199,000","77,052,000","63,631,000","139,331,000","49,510,000","131,430,000","140,112,000","207,134,000","127,640,000","212,677,000","74,009,000","192,148,000","260,470,000","268,188,000","264,252,000","189,290,000","218,279,000","162,691,000","118,963,000","22,449,000","50,770,000","38,954,000","96,345,000","173,225,000","249,854,000","98,365,000","120,779,000","124,053,000","126,645,000","126,590,000","124,012,000","96,828,000","105,768,000","252,548,000","243,903,000","0","200,041,300","178,320,100","165,639,100","105,579,000","119,463,500","116,746,400","110,897,400","94,003,800","125,679,100","132,690,000","144,020,800","123,440,800","13,348,800","15,245,200","18,103,100","2,521,600","15,676,800","12,164,900","20,595,000","15,300,000","33,000,000","37,000,000","38,100,000","22,800,000","22,800,000","15,700,000","36,700,000","27,700,000","30,900,000","27,700,000","19,600,000","12,300,000","15,400,000","13,000,000","17,700,000","12,000,000","15,100,000","13,800,000","12,900,000","13,100,000","14,900,000","17,900,000","21,200,000"
			OtherShortTermInvestments,"224,889,000","374,866,000",,,,,,,,,,,,,,,,,,,,,,,,"17,465,000","21,893,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"102,625,000","128,335,000","195,885,000","187,055,000","148,725,000","127,900,000","105,500,000","149,720,000",,,"207,175,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Receivables,"587,495,000","646,055,000","563,174,000","500,640,000","445,461,000","468,903,000","408,812,000","376,947,000","377,822,000","514,378,000","442,679,000","386,791,000","395,466,000","393,586,000","336,028,000","366,913,000","357,488,000","402,808,000","366,780,000","318,264,000","344,734,000","423,962,000","405,281,000","285,021,000","266,064,000","288,961,000","232,353,000","221,788,000","219,590,000","243,280,000","205,214,000","199,273,000","195,968,000","227,732,000","189,461,000","192,130,000","168,539,000","211,267,000","150,774,000","141,278,000","133,300,000","154,880,000","137,069,000","128,004,000","122,378,000","119,412,000","120,019,000","107,351,000","131,575,000","109,715,000","114,674,000","116,040,000","158,345,000","125,772,000","130,746,000","129,526,000","138,986,000","114,888,000","113,103,000","105,694,000","117,514,000","100,375,000","102,023,000","112,845,000","123,896,000","92,194,000","91,323,000","94,348,000","99,705,900","90,710,100","81,632,700","84,391,400","94,916,000","78,888,600","75,570,800","68,079,400","83,341,900","66,501,500","64,071,900","64,033,100","76,980,100","67,405,000","64,907,300","62,623,000","68,507,800","55,621,400","52,509,600","48,585,100","50,900,000","41,900,000","37,500,000","36,200,000","40,700,000","34,300,000","32,800,000","30,800,000","35,600,000","32,000,000","31,300,000","35,800,000","38,400,000","30,800,000","30,000,000","28,900,000","30,600,000","26,400,000","23,900,000","12,100,000","11,700,000","8,900,000","7,200,000","5,300,000"
			AccountsReceivable,"136,563,000","127,196,000","117,337,000","97,249,000","99,584,000","98,412,000","97,583,000","94,281,000","79,078,000","98,529,000","87,467,000","89,274,000","97,174,000","84,290,000","79,229,000","125,255,000","356,125,000","398,972,000","366,641,000","110,189,000","302,071,000","340,438,000","294,358,000","86,455,000","263,292,000","281,227,000","231,403,000","73,773,000","217,003,000","235,477,000","204,810,000","72,170,000","192,610,000","222,104,000","187,615,000","65,660,000","164,155,000","198,805,000","149,554,000","138,966,000","129,335,000","151,903,000","136,284,000","122,859,000","117,534,000","117,032,000","109,061,000","102,093,000","121,753,000","109,715,000","109,248,000","107,472,000","137,810,000","118,508,000","111,705,000","129,526,000","137,286,000","114,888,000","109,895,000","105,694,000","112,174,000","100,375,000","99,959,000","112,845,000","123,896,000","92,194,000","91,323,000","94,348,000","99,705,900","90,710,100","81,632,700","84,391,400","94,916,000","78,888,600","71,552,900","68,079,400","83,341,900","66,501,500","64,071,900","64,033,100","76,980,100","67,405,000","64,907,300","62,623,000","68,507,800","55,621,400",,,,,,,,,,,,,,,,,,,,,,,,,,
				GrossAccountsReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"141,886,000",,,,"125,981,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-2,920,000",,,,"-3,122,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			TaxesReceivable,"1,581,000","15,426,000","537,000","20,012,000","10,588,000","6,498,000","915,000","26,740,000","31,578,000","68,415,000","48,370,000","19,526,000","18,902,000","25,000","24,000","15,312,000","1,363,000","3,836,000","139,000","6,418,000","42,663,000","83,524,000","110,923,000","18,751,000","2,772,000","7,734,000","950,000","6,092,000","2,587,000","7,803,000","404,000","2,288,000","3,358,000","5,628,000","1,846,000","9,416,000","4,384,000","12,462,000","1,220,000","2,312,000","3,965,000","2,977,000","785,000","5,145,000","4,844,000","2,380,000","10,958,000","5,258,000","9,822,000","0","5,426,000","8,568,000","20,535,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
