name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009
TotalRevenue,"18,276,200,000","4,959,100,000","5,441,600,000","4,459,700,000","3,415,900,000","3,632,700,000","2,572,800,000","2,115,100,000","1,523,500,000","2,048,900,000","2,473,900,000","1,902,500,000","1,995,300,000","2,299,400,000","2,597,700,000","2,986,400,000","2,444,400,000","2,455,600,000","2,702,800,000","2,131,800,000","1,867,700,000","2,112,600,000","2,012,500,000","1,652,300,000","1,583,600,000","1,442,400,000","1,647,400,000","1,632,100,000","1,699,400,000","1,679,700,000","2,032,800,000","2,288,300,000","2,061,900,000","2,352,900,000","2,159,800,000","1,556,800,000","1,441,600,000","1,397,800,000","1,527,300,000","1,393,500,000","1,319,100,000","1,645,800,000","1,934,000,000","1,713,600,000","1,727,700,000","1,618,100,000","1,527,200,000","1,220,000,000","1,240,100,000","1,483,600,000","1,391,000,000","1,125,600,000"
	OperatingRevenue,"18,276,200,000","4,959,100,000","5,441,600,000","4,459,700,000","3,415,900,000","3,632,700,000","2,572,800,000","2,115,100,000","1,523,500,000","2,048,900,000","2,473,900,000","1,902,500,000","1,995,300,000","2,299,400,000","2,597,700,000","2,986,400,000","2,444,400,000","2,455,600,000","2,702,800,000","2,131,800,000","1,867,700,000","2,112,600,000","2,012,500,000","1,652,300,000","1,583,600,000","1,442,400,000","1,647,400,000","1,632,100,000","1,699,400,000","1,679,700,000","2,032,800,000","2,288,300,000","2,061,900,000","2,352,900,000","2,159,800,000","1,556,800,000","1,441,600,000","1,397,800,000","1,527,300,000","1,393,500,000","1,319,100,000","1,645,800,000","1,934,000,000","1,713,600,000","1,727,700,000","1,618,100,000","1,527,200,000","1,220,000,000","1,240,100,000","1,483,600,000","1,391,000,000","1,125,600,000"
CostOfRevenue,"15,960,800,000","4,413,200,000","4,789,400,000","3,837,500,000","2,920,900,000","3,052,500,000","1,976,100,000","1,506,900,000","1,065,100,000","1,427,400,000","1,955,500,000","1,572,400,000","1,598,800,000","1,963,400,000","2,217,300,000","2,589,800,000","2,107,900,000","2,139,100,000","2,375,000,000","1,871,400,000","1,624,000,000","1,845,300,000","1,738,100,000","1,406,700,000","1,331,300,000","1,204,500,000","1,424,100,000","1,338,200,000","1,400,900,000","1,387,900,000","1,732,600,000","1,968,100,000","1,763,800,000","2,052,900,000","1,877,900,000","1,328,800,000","1,242,100,000","1,201,500,000","1,464,800,000","1,153,000,000","1,074,600,000","1,384,200,000","1,674,500,000","1,485,500,000","1,477,200,000","1,400,600,000","1,300,100,000","1,033,700,000","1,057,900,000","1,297,700,000","1,166,200,000","936,300,000"
GrossProfit,"2,315,400,000","545,900,000","652,200,000","622,200,000","495,000,000","580,200,000","596,700,000","608,200,000","458,400,000","621,500,000","518,400,000","330,100,000","396,500,000","336,000,000","380,400,000","396,600,000","336,500,000","316,500,000","327,800,000","260,400,000","243,700,000","267,300,000","274,400,000","245,600,000","252,300,000","237,900,000","223,300,000","293,900,000","298,500,000","291,800,000","300,200,000","320,200,000","298,100,000","300,000,000","281,900,000","228,000,000","199,500,000","196,300,000","62,500,000","240,500,000","244,500,000","261,600,000","259,500,000","228,100,000","250,500,000","217,500,000","227,100,000","186,300,000","182,200,000","185,900,000","224,800,000","189,300,000"
OperatingExpense,"1,034,300,000","250,100,000","279,200,000","255,700,000","249,200,000","236,100,000","289,000,000","241,200,000","245,300,000","256,200,000","320,400,000","270,100,000","283,000,000","274,700,000","265,500,000","258,800,000","227,800,000","230,300,000","215,000,000","205,700,000","206,400,000","200,700,000","183,000,000","194,000,000","186,000,000","178,400,000","148,200,000","178,600,000","186,100,000","154,500,000","142,100,000","151,500,000","147,800,000","141,600,000","132,900,000","139,500,000","138,600,000","122,400,000","-39,600,000","181,500,000","161,300,000","153,900,000","151,200,000","157,300,000","152,000,000","144,000,000","177,500,000","143,000,000","133,800,000","131,100,000","131,700,000","139,300,000"
	SellingGeneralAndAdministration,"278,900,000","67,100,000","80,800,000","67,300,000","63,700,000","61,400,000","74,000,000","58,600,000","61,500,000","60,500,000","57,200,000","69,900,000","72,800,000","81,100,000","80,000,000","63,200,000","57,000,000","56,700,000","53,900,000","49,900,000","51,000,000","48,700,000","48,900,000","46,100,000","47,000,000","45,300,000","25,200,000","44,900,000","49,200,000","42,600,000","25,600,000","43,000,000","41,600,000","38,000,000","39,000,000","37,700,000","38,400,000","36,300,000","33,300,000","35,700,000","35,700,000","34,900,000","31,000,000","35,400,000","35,100,000","34,600,000","63,400,000","27,000,000","28,000,000","26,000,000","36,800,000","31,500,000"
		GeneralAndAdministrativeExpense,"278,900,000","67,100,000","80,800,000","67,300,000","63,700,000","61,400,000","74,000,000","58,600,000","61,500,000","60,500,000","57,200,000","69,900,000","72,800,000","81,100,000","80,000,000","63,200,000","57,000,000","56,700,000","53,900,000","49,900,000","51,000,000","48,700,000","48,900,000","46,100,000","47,000,000","45,300,000","25,200,000","44,900,000","49,200,000","42,600,000","25,600,000","43,000,000","41,600,000","38,000,000","39,000,000","37,700,000","38,400,000","36,300,000","33,500,000",,,,,,,,,,,,,
			OtherGandA,"278,900,000","67,100,000","80,800,000","67,300,000","63,700,000","61,400,000","74,000,000","58,600,000","61,500,000","60,500,000","57,200,000","69,900,000","72,800,000","81,100,000","80,000,000","63,200,000","57,000,000","56,700,000","53,900,000","49,900,000","51,000,000","48,700,000","48,900,000","46,100,000","47,000,000","45,300,000","25,200,000","44,900,000","49,200,000","42,600,000","25,600,000","43,000,000","41,600,000","38,000,000","39,000,000","37,700,000","38,400,000","36,300,000","33,500,000",,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"48,600,000","48,300,000","47,400,000","46,700,000","45,700,000","45,300,000","43,400,000","48,600,000","50,200,000","43,900,000","42,800,000","42,400,000","44,300,000"
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"48,600,000","48,300,000","47,400,000","46,700,000","45,700,000","45,300,000","43,400,000","48,600,000","50,200,000","43,900,000","42,800,000","42,400,000","44,300,000"
	OtherTaxes,,,,,,,,,,,,"0",,,"2,200,000","400,000","300,000","300,000","200,000","300,000","200,000","100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
