name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015
TotalRevenue,"60,059,739","16,292,947","15,088,764","14,498,147","14,179,881","13,205,019","11,233,883","11,606,836","11,492,564","11,410,180","11,316,044","10,822,808","10,139,561","9,110,725","8,815,172","5,393,518","2,989,759","2,822,944","2,764,554","2,384,981","1,994,883","1,869,927","1,293,457","1,042,237","994,279","513,544","364,051","349,161","0"
	OperatingRevenue,"60,059,739","16,292,947","15,088,764","14,498,147","14,179,881","13,205,019","11,233,883","11,606,836","11,492,564","11,410,180","11,316,044","10,822,808","10,139,561","9,110,725","8,815,172","5,393,518","2,989,759","2,822,944","2,764,554","2,384,981","1,994,883","1,869,927","1,293,457","1,042,237","994,279","513,544","364,051","349,161","0"
CostOfRevenue,"19,462,959","5,619,038","4,279,448","4,763,909","4,800,564","4,747,170","4,290,089","4,668,224","5,020,506","4,529,839","4,535,375","4,883,000","4,195,873","3,997,119","3,466,476","2,079,018","1,107,459","935,698","1,120,964","944,248","687,304","677,679","391,699","379,913","303,526","190,735","62,605","166,902","0"
GrossProfit,"40,596,780","10,673,909","10,809,316","9,734,238","9,379,317","8,457,849","6,943,794","6,938,612","6,472,058","6,880,341","6,780,669","5,939,808","5,943,688","5,113,606","5,348,696","3,314,500","1,882,300","1,887,246","1,643,590","1,440,733","1,307,579","1,192,248","901,758","662,324","690,753","322,809","301,446","182,259","0"
OperatingExpense,"65,238,466","13,177,848","29,176,930","12,433,758","10,449,930","9,847,877","8,042,908","7,533,762","7,154,288","7,956,697","7,144,021","9,653,380","9,030,296","9,838,399","9,306,570","6,187,533","4,289,619","4,629,637","4,262,196","2,828,218","2,464,778","2,292,143","1,545,340","1,446,848","1,346,647","1,089,339","709,914","632,259","176,178"
	SellingGeneralAndAdministration,"54,336,343","10,194,652","26,585,549","9,594,859","7,961,283","7,503,810","6,073,482","5,486,823","5,156,339","6,138,604","5,063,525","5,500,204","5,279,448","6,113,786","5,351,815","4,106,226","3,289,061","3,537,553","2,952,760","2,036,335","1,808,864","1,695,450","1,158,925","945,766","914,463","771,879","463,415","442,928","154,205"
		GeneralAndAdministrativeExpense,"54,336,343","10,194,652","26,585,549","9,594,859","7,961,283","7,503,810","6,073,482","5,486,823","5,156,339","6,138,604","5,063,525","5,500,204","5,279,448","6,113,786","5,351,815","4,106,226","3,289,061","3,537,553","2,952,760","2,036,335","1,808,864","1,695,450","1,158,925","945,766","914,463","771,879","463,415","442,928","154,205"
			SalariesAndWages,"35,427,599","5,424,220","20,932,534","4,544,796","4,526,049","4,242,147","3,498,543","3,311,885","3,097,815","3,133,145","2,991,960","3,109,483","2,966,433","2,878,019","2,866,672","2,029,254","1,863,658","1,842,366","1,553,964","1,105,933","929,487","830,847","619,949","504,117","418,457","217,435","164,412","70,729","6,662"
			InsuranceAndClaims,,,,,,,,,,,,,,,,,,,,"188,120","68,080","186,594",,,,"0",,,
			OtherGandA,"18,908,744","4,770,432","5,653,015","5,050,063","3,435,234","3,261,663","2,574,939","2,174,938","2,058,524","3,005,459","2,071,565","2,390,721","2,313,015","3,235,767","2,485,143","2,076,972","1,425,403","1,695,187","1,398,796","930,402","879,377","864,603","538,976","441,649","496,006","554,444","299,003","372,199","147,543"
