name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,12/31/2018
TotalAssets,"719,537,000","756,487,000","762,617,000","717,334,000","744,189,000","746,263,000","680,116,000","349,551,000","349,872,000","155,270,000","155,346,000","120,730,000"
	CurrentAssets,"586,168,000","625,060,000","622,025,000","649,788,000","675,238,000","682,978,000","621,114,000","307,014,000","312,815,000","118,536,000","116,447,000","104,690,000"
		CashCashEquivalentsAndShortTermInvestments,"525,532,000","576,479,000","597,186,000","613,591,000","648,494,000","642,691,000","598,984,000","284,026,000","288,254,000","85,830,000","98,303,000","84,067,000"
			CashAndCashEquivalents,"117,257,000","120,267,000","160,879,000","117,699,000","133,122,000","202,296,000","210,490,000","110,380,000","144,749,000","25,986,000","33,089,000","77,716,000"
			OtherShortTermInvestments,"408,275,000","456,212,000","436,307,000","495,892,000","515,372,000","440,395,000","388,494,000","173,646,000","143,505,000","59,844,000","65,214,000","6,351,000"
		Receivables,"45,594,000","40,551,000","16,330,000","25,904,000","18,290,000","35,378,000","17,181,000","17,194,000","18,180,000","25,738,000","14,665,000","18,021,000"
			AccountsReceivable,"29,321,000","31,744,000","11,352,000","21,359,000","11,270,000","31,423,000","12,290,000","13,849,000","16,272,000","18,676,000","11,878,000","13,638,000"
				GrossAccountsReceivable,"29,448,000","31,852,000","11,460,000","21,469,000","11,330,000","31,483,000",,"13,899,000","16,322,000","18,726,000","11,928,000","13,875,000"
				AllowanceForDoubtfulAccountsReceivable,"-127,000","-108,000","-108,000","-110,000","-60,000","-60,000",,"-50,000","-50,000","-50,000","-50,000","-237,000"
			OtherReceivables,"16,273,000","8,807,000","4,978,000","4,545,000","7,020,000","3,955,000","4,891,000","3,345,000","1,908,000","7,062,000","2,787,000","4,383,000"
		PrepaidAssets,"11,542,000","5,030,000","5,509,000","7,293,000","7,954,000","4,409,000","4,449,000","5,294,000","5,881,000","6,468,000","3,479,000","2,602,000"
		RestrictedCash,"3,500,000","3,000,000","3,000,000","3,000,000","500,000","500,000","500,000","500,000","500,000","500,000",,
	TotalNonCurrentAssets,"133,369,000","131,427,000","140,592,000","67,546,000","68,951,000","63,285,000","59,002,000","42,537,000","37,057,000","36,734,000","38,899,000","16,040,000"
		NetPPE,"89,256,000","85,409,000","85,533,000","14,451,000","13,664,000","15,269,000","15,879,000","17,755,000","19,729,000","19,030,000","20,823,000","7,967,000"
			GrossPPE,"89,256,000","97,764,000","85,533,000","14,451,000","13,664,000","29,071,000","15,879,000","17,755,000","19,729,000","29,592,000","20,823,000","17,400,000"
				Properties,,"0",,,,"0",,,,"0",,"0"
				MachineryFurnitureEquipment,,"20,104,000",,,,"14,557,000",,,,"12,456,000",,"13,855,000"
				OtherProperties,"89,256,000","75,384,000","85,533,000","14,451,000","13,664,000","10,129,000","15,879,000","17,755,000","19,729,000","12,762,000","20,823,000",
				Leases,,"2,276,000",,,,"4,385,000",,,,"4,374,000",,"3,545,000"
			AccumulatedDepreciation,,"-12,355,000",,,,"-13,802,000",,,,"-10,562,000",,"-9,433,000"
		GoodwillAndOtherIntangibleAssets,"5,777,000",,,,,,,,,"0",,"15,000"
			Goodwill,"4,791,000",,,,,,,,,,,
			OtherIntangibleAssets,"986,000",,,,,,,,,,,"15,000"
		InvestmentsAndAdvances,"37,002,000","43,167,000","51,087,000","49,713,000","52,931,000","45,664,000","40,914,000","22,680,000","15,156,000","15,366,000","16,051,000","5,444,000"
			LongTermEquityInvestment,"37,002,000","43,167,000","51,087,000","49,713,000","52,931,000","45,664,000","40,914,000","22,680,000","15,156,000","15,366,000","16,051,000","5,444,000"
		OtherNonCurrentAssets,"1,334,000","2,851,000","3,972,000","3,382,000","2,356,000","2,352,000","2,209,000","2,102,000","2,172,000","2,338,000","2,025,000","2,614,000"
TotalLiabilitiesNetMinorityInterest,"188,867,000","199,402,000","182,795,000","111,563,000","112,413,000","122,244,000","49,230,000","53,404,000","54,324,000","248,593,000","51,013,000","192,290,000"
	CurrentLiabilities,"85,532,000","91,211,000","72,916,000","70,378,000","67,621,000","73,205,000","39,276,000","43,048,000","42,166,000","45,020,000","37,833,000","27,005,000"
		PayablesAndAccruedExpenses,"27,610,000","33,801,000","27,064,000","23,789,000","23,286,000","23,259,000","14,718,000","14,071,000","14,605,000","14,382,000","15,444,000","9,360,000"
			Payables,"9,766,000","8,079,000","8,228,000","5,960,000","7,220,000","8,398,000","4,812,000","5,523,000","6,675,000","3,524,000","6,463,000","2,773,000"
				AccountsPayable,"9,766,000","8,079,000","8,228,000","5,960,000","7,220,000","8,398,000","4,812,000","5,523,000","6,675,000","3,524,000","6,463,000","2,773,000"
			CurrentAccruedExpenses,"17,844,000","25,722,000","18,836,000","17,829,000","16,066,000","14,861,000","9,906,000","8,548,000","7,930,000","10,858,000","8,981,000","6,587,000"
		CurrentDebtAndCapitalLeaseObligation,"4,151,000","2,042,000","1,978,000","2,520,000","3,576,000","4,543,000","5,491,000","5,839,000","5,851,000","5,584,000","5,493,000",
			CurrentCapitalLeaseObligation,"4,151,000","2,042,000","1,978,000","2,520,000","3,576,000","4,543,000","5,491,000","5,839,000","5,851,000","5,584,000","5,493,000",
		CurrentDeferredLiabilities,"53,771,000","55,368,000","43,874,000","44,069,000","40,759,000","45,403,000","19,067,000","23,138,000","21,710,000","25,054,000","16,896,000","17,645,000"
			CurrentDeferredRevenue,"53,771,000","55,368,000","43,874,000","44,069,000","40,759,000","45,403,000","19,067,000","23,138,000","21,710,000","25,054,000","16,896,000","17,617,000"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"103,335,000","108,191,000","109,879,000","41,185,000","44,792,000","49,039,000","9,954,000","10,356,000","12,158,000","203,573,000","13,180,000","165,285,000"
		LongTermDebtAndCapitalLeaseObligation,"77,353,000","77,827,000","77,135,000","6,428,000","6,836,000","7,221,000","6,762,000","7,777,000","9,133,000","8,888,000","10,047,000",
			LongTermCapitalLeaseObligation,"77,353,000","77,827,000","77,135,000","6,428,000","6,836,000","7,221,000","6,762,000","7,777,000","9,133,000","8,888,000","10,047,000",
		NonCurrentDeferredLiabilities,"24,582,000","30,064,000","32,444,000","34,457,000","37,356,000","41,164,000","2,592,000","1,979,000","2,125,000","2,205,000","2,233,000","3,598,000"
			NonCurrentDeferredRevenue,"24,582,000","30,064,000","32,444,000","34,457,000","37,356,000","41,164,000","2,592,000","1,979,000","2,125,000","2,205,000","2,233,000","3,113,000"
		PreferredSecuritiesOutsideStockEquity,,,,,,"0","0","0","0","191,580,000","0","161,687,000"
		OtherNonCurrentLiabilities,"1,400,000","300,000","300,000","300,000","600,000","654,000","600,000","600,000","900,000","900,000","900,000",
TotalEquityGrossMinorityInterest,"530,670,000","557,085,000","579,822,000","605,771,000","631,776,000","624,019,000","630,886,000","296,147,000","295,548,000","-93,323,000","104,333,000","-71,560,000"
	StockholdersEquity,"530,667,000","557,071,000","579,806,000","605,751,000","631,768,000","624,015,000","630,878,000","296,120,000","295,517,000","-93,364,000","104,288,000","-71,560,000"
		CapitalStock,"712,000","710,000","709,000","708,000","705,000","699,000","695,000","633,000","633,000","61,000","496,000","59,000"
			PreferredStock,"0",,"0","0","0",,,,,,"0",
			CommonStock,"712,000","710,000","709,000","708,000","705,000","699,000","695,000","633,000","633,000","61,000","496,000","59,000"
		AdditionalPaidInCapital,"797,004,000","786,964,000","778,292,000","769,199,000","760,574,000","752,558,000","748,123,000","417,032,000","414,248,000","11,655,000","202,095,000","8,915,000"
		RetainedEarnings,"-264,392,000","-229,952,000","-199,239,000","-164,232,000","-129,588,000","-129,559,000","-118,420,000","-122,272,000","-118,922,000","-105,096,000","-98,327,000","-80,525,000"
		GainsLossesNotAffectingRetainedEarnings,"-2,657,000","-651,000","44,000","76,000","77,000","317,000","480,000","727,000","-442,000","16,000","24,000","-9,000"
	MinorityInterest,"3,000","14,000","16,000","20,000","8,000","4,000","8,000","27,000","31,000","41,000","45,000",
TotalCapitalization,"530,667,000","557,071,000","579,806,000","605,751,000","631,768,000","624,015,000","630,878,000","296,120,000","295,517,000","-93,364,000","104,288,000","-71,560,000"
CommonStockEquity,"530,667,000","557,071,000","579,806,000","605,751,000","631,768,000","624,015,000","630,878,000","296,120,000","295,517,000","-93,364,000","104,288,000","-71,560,000"
CapitalLeaseObligations,"81,504,000","79,869,000","79,113,000","8,948,000","10,412,000","11,764,000","12,253,000","13,616,000","14,984,000","14,472,000","15,540,000",
NetTangibleAssets,"524,890,000","557,071,000","579,806,000","605,751,000","631,768,000","624,015,000","630,878,000","296,120,000","295,517,000","-93,364,000","104,288,000","-71,575,000"
WorkingCapital,"500,636,000","533,849,000","549,109,000","579,410,000","607,617,000","609,773,000","581,838,000","263,966,000","270,649,000","73,516,000","78,614,000","77,685,000"
InvestedCapital,"530,667,000","557,071,000","579,806,000","605,751,000","631,768,000","624,015,000","630,878,000","296,120,000","295,517,000","-93,364,000","104,288,000","-71,560,000"
TangibleBookValue,"524,890,000","557,071,000","579,806,000","605,751,000","631,768,000","624,015,000","630,878,000","296,120,000","295,517,000","-93,364,000","104,288,000","-71,575,000"
TotalDebt,"81,504,000","79,869,000","79,113,000","8,948,000","10,412,000","11,764,000","12,253,000","13,616,000","14,984,000","14,472,000","15,540,000",
ShareIssued,"71,136,593","70,998,708","70,867,634","70,717,803","70,464,868","69,877,727","69,462,409","63,303,832","63,287,131","59,564,846","59,564,846","59,564,846"
OrdinarySharesNumber,"71,136,593","70,998,708","70,867,634","70,717,803","70,464,868","69,877,727","69,462,409","63,303,832","63,287,131","59,564,846","59,564,846","59,564,846"
