name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005
TotalAssets,"1,167,502,000","1,203,002,000","1,176,765,000","1,182,465,000","1,180,343,000","1,232,809,000","1,317,547,000","1,354,566,000","1,380,966,000","1,528,892,000","1,561,964,000","1,564,444,000","1,606,170,000","1,627,470,000","1,632,274,000","1,508,098,000","1,452,567,000","1,520,959,000","1,516,483,000","1,541,719,000","1,551,431,000","1,568,960,000","1,493,456,000","1,530,388,000","1,644,099,000","1,724,074,000","1,648,217,000","1,669,600,000","1,694,819,000","1,926,599,000","2,828,686,000","2,902,184,000","2,957,254,000","2,837,724,000","2,777,660,000","2,803,190,000","2,843,371,000","2,894,573,000","3,074,139,000","3,115,009,000","3,119,277,000","3,179,373,000","3,187,920,000","3,190,707,000","3,182,708,000","3,143,554,000","2,583,301,000","2,570,279,000","2,336,802,000","2,296,140,000","2,084,260,000","2,033,885,000","1,990,006,000","2,030,947,000","1,951,696,000","1,746,773,000","1,653,272,000","1,338,347,000","689,556,000","577,342,000","578,262,000","502,377,000","500,963,000","496,036,000","489,958,000","464,265,000","445,166,000","408,121,000"
	CurrentAssets,"105,140,000","174,830,000","142,471,000","220,094,000","227,880,000","247,202,000","222,428,000","210,938,000","227,533,000","223,195,000","241,064,000","219,364,000","249,763,000","270,451,000","237,308,000","322,282,000","221,280,000","217,239,000","194,583,000","184,354,000","173,651,000","172,605,000","87,818,000","103,556,000","123,969,000","172,529,000","90,872,000","108,470,000","116,819,000","157,320,000","103,007,000","140,096,000","165,878,000","152,512,000","111,398,000","97,367,000","102,460,000","113,414,000","274,292,000","278,509,000","259,365,000","318,934,000","311,269,000","299,535,000","293,681,000","304,566,000","233,916,000","437,055,000","218,068,000","275,125,000","247,232,000","193,839,000","140,748,000","220,815,000","270,895,000","221,803,000","267,594,000","316,271,000","208,491,000","94,318,000","88,118,000","70,103,000","64,311,000","57,644,000","49,705,000","50,329,000","28,951,000","25,630,000"
		CashCashEquivalentsAndShortTermInvestments,"43,113,000","114,573,000","80,172,000","116,280,000","123,191,000","143,872,000","136,233,000","127,722,000","134,338,000","155,889,000","165,876,000","165,121,000","187,713,000","197,499,000","165,724,000","269,996,000","172,775,000","174,479,000","152,511,000","147,153,000","138,873,000","133,400,000","40,028,000","56,662,000","75,604,000","121,074,000","44,478,000","61,648,000","68,783,000","106,620,000","57,720,000","92,408,000","122,722,000","109,492,000","69,555,000","55,049,000","72,600,000","87,778,000","246,018,000","246,683,000","227,968,000","291,785,000","286,230,000","275,466,000","270,877,000","264,867,000","196,139,000","405,483,000","188,267,000","243,757,000","228,764,000","175,785,000","124,956,000","202,916,000","254,916,000","207,318,000","239,020,000","268,886,000","200,105,000","87,158,000","73,554,000","65,599,000","59,962,000","54,894,000","46,912,000","47,273,000","26,222,000","17,330,000"
			CashAndCashEquivalents,"43,113,000","114,573,000","80,172,000","116,280,000","123,191,000","143,872,000","136,233,000","127,722,000","134,338,000","155,889,000","165,876,000","165,121,000","187,713,000","197,499,000","165,724,000","269,996,000","172,775,000","174,479,000","152,511,000","147,153,000","138,873,000","133,400,000","40,028,000","56,662,000","75,604,000","121,074,000","44,478,000","61,648,000","68,783,000","106,620,000","57,720,000","92,408,000","122,722,000","109,492,000","69,555,000","55,049,000","72,600,000","87,778,000","246,018,000","246,683,000","227,968,000","291,785,000","286,230,000","275,466,000","270,877,000","264,867,000","196,139,000","405,483,000","188,267,000","243,757,000","228,764,000","175,785,000","124,956,000","142,455,000","95,964,000","48,295,000","71,496,000","51,238,000","67,798,000","87,158,000","73,554,000","65,599,000","59,962,000","54,894,000","46,912,000","47,273,000","26,222,000","17,330,000"
				CashFinancial,,,,,,,,,,,,,,,,,,,"185,105,000","180,995,000","173,895,000","169,068,000","59,843,000","76,477,000",,"140,889,000","54,543,000","71,698,000",,,,,,,"79,705,000","65,199,000","82,750,000","97,928,000","255,768,000","256,433,000",,,,"285,216,000",,,,,,,,,,,,,,,,,,,,,,,,
			OtherShortTermInvestments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","60,461,000","158,952,000","159,023,000","167,524,000","217,648,000","132,307,000",,,,,,,,,
		Receivables,"20,039,000","22,465,000","22,069,000","13,912,000","11,243,000","14,908,000","10,906,000","13,370,000","17,221,000","15,740,000","22,135,000","16,419,000","18,504,000","23,157,000","19,557,000","15,829,000","15,904,000","16,353,000","15,841,000","12,605,000","9,375,000","11,403,000","9,754,000","9,786,000","10,548,000","13,324,000","17,799,000","16,930,000","15,140,000","18,313,000","12,000,000","12,282,000","15,337,000","16,132,000","12,446,000","13,849,000","13,531,000","8,616,000","10,956,000","11,239,000","14,713,000","11,069,000","8,860,000","7,679,000","8,794,000","5,595,000","3,076,000","2,430,000","2,117,000","1,413,000","2,130,000","1,147,000","2,297,000","1,515,000","3,900,000","2,696,000","2,343,000","2,750,000","1,882,000","985,000","471,000","217,000","561,000","306,000","219,000","376,000","43,000","29,000"
			AccountsReceivable,"20,039,000","20,116,000","22,069,000","13,912,000","11,243,000","12,991,000","10,906,000","13,370,000","15,004,000","13,701,000","20,391,000","15,718,000","17,265,000","22,306,000","18,536,000","14,408,000","13,286,000","12,855,000","10,868,000","6,433,000","9,060,000","10,373,000","8,471,000","8,249,000","8,373,000","10,586,000","14,139,000","14,456,000","12,366,000","15,594,000","12,000,000","11,438,000","14,241,000","14,780,000","10,946,000","12,141,000","11,714,000",,"10,956,000",,"1,025,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
				GrossAccountsReceivable,"21,595,000","21,519,000","23,704,000","14,732,000","11,736,000","13,660,000","11,362,000","14,032,000","15,669,000","14,765,000","21,648,000","16,765,000",,"22,975,000",,,,"13,101,000",,,,,,,,,,,,,,,,,,,,,"11,762,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-1,556,000","-1,403,000","-1,635,000","-820,000","-493,000","-669,000","-456,000","-662,000","-665,000","-1,064,000","-1,257,000","-1,047,000",,"-669,000",,,,"-246,000",,,,,,,,,,,,,,,,,,,,,"-806,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
