name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,12/31/2003
TotalAssets,"2,437,320,000","2,511,952,000","2,442,553,000","2,448,945,000","2,406,728,000","2,325,161,000","2,188,011,000","2,130,484,000","2,054,704,000","1,983,565,000","1,855,561,000","1,868,851,000","1,937,950,000","1,469,276,000","1,324,826,000","1,311,593,000","1,343,142,000","1,330,623,000","1,212,719,000","1,199,281,000","1,197,888,000","1,179,971,000","1,084,522,000","1,073,201,000","1,061,614,000","1,032,706,000","992,471,000","965,624,000","960,269,000","943,142,000","876,307,000","876,554,000","874,539,000","877,644,000","827,068,000","813,401,000","801,428,000","791,254,000","774,497,000","759,376,000","752,740,000","740,670,000","695,983,000","708,209,000","698,804,000","702,801,000","670,547,000","672,587,000","667,593,000","662,073,000","646,632,000","637,060,000","622,873,000","622,663,000","608,877,000","576,795,000","560,616,000","546,029,000","521,706,000","510,149,000","450,884,000","452,588,000","401,007,000","386,428,000","376,399,000","312,593,000","275,243,000","258,567,000","280,832,000","276,663,000","175,468,000","219,965,000","148,193,000"
	CurrentAssets,"425,987,000","563,525,000","537,915,000","581,773,000","577,618,000","510,651,000","399,541,000","359,377,000","302,574,000","247,899,000","164,662,000","217,428,000","322,998,000","345,019,000","216,155,000","216,799,000","255,968,000","257,081,000","165,329,000","172,412,000","186,704,000","200,259,000","133,265,000","145,960,000","147,210,000","133,813,000","121,588,000","128,918,000","145,556,000","147,726,000","98,953,000","118,683,000","133,350,000","145,743,000","122,366,000","133,470,000","129,079,000","122,472,000","118,370,000","111,694,000","112,819,000","111,974,000","84,289,000","108,594,000","107,323,000","113,922,000",,"87,998,000","82,946,000","74,316,000","56,647,000","47,287,000","32,080,000","34,808,000","35,430,000","29,023,000","40,666,000","41,631,000","32,009,000","75,340,000","33,653,000","52,505,000","25,420,000","32,047,000","41,766,000","49,279,000","30,523,000","25,284,000","58,251,000","61,647,000","20,560,000","27,963,000","20,974,000"
		CashCashEquivalentsAndShortTermInvestments,"325,723,000","335,645,000","436,563,000","483,419,000","495,646,000","363,155,000","328,636,000","282,493,000","230,606,000","107,879,000","99,540,000","144,839,000","252,107,000","210,125,000","151,190,000","154,353,000","197,829,000","150,918,000","114,436,000","116,508,000","137,512,000","112,944,000","81,713,000","95,305,000","95,992,000","59,334,000","72,616,000","70,965,000","98,512,000","86,122,000","59,307,000","77,461,000","90,696,000","94,874,000","87,344,000","100,117,000","95,453,000","81,746,000","84,320,000","77,225,000","77,322,000","73,731,000","55,673,000","79,376,000","77,420,000","82,215,000","55,425,000","60,235,000","53,743,000","46,858,000","35,833,000","24,979,000","7,753,000","5,258,000","13,719,000","7,071,000","18,173,000","11,564,000","15,336,000","57,791,000","14,550,000","33,784,000","9,290,000","14,359,000","23,819,000","28,987,000","15,136,000","9,481,000","41,971,000","46,235,000","9,395,000","17,462,000","5,728,000"
			CashAndCashEquivalents,"325,723,000","335,645,000","436,563,000","483,419,000","495,646,000","363,155,000","328,636,000","282,493,000","230,606,000","107,879,000","99,540,000","144,839,000","252,107,000","210,125,000","151,190,000","154,353,000","197,829,000","150,918,000","114,436,000","116,508,000","137,512,000","112,944,000","81,713,000","95,305,000","95,992,000","59,334,000","72,616,000","70,965,000","98,512,000","86,122,000","59,307,000","77,461,000","90,696,000","94,874,000","87,344,000","100,117,000","95,453,000","81,746,000","84,320,000","77,225,000","77,322,000","73,731,000","55,673,000","79,376,000","77,420,000","82,215,000","55,425,000","60,235,000","53,743,000","46,858,000","35,833,000","24,979,000","7,753,000","5,258,000","13,719,000","7,071,000","18,173,000","11,564,000","15,336,000","57,791,000","14,550,000","33,784,000","9,290,000","14,359,000","23,819,000","28,987,000","15,136,000","9,481,000","41,971,000","46,235,000","9,395,000","17,462,000","5,728,000"
		Receivables,"45,152,000","161,358,000","52,346,000","48,600,000","37,742,000","98,418,000","32,015,000","30,285,000","25,441,000","99,305,000","33,948,000","39,409,000","34,685,000","92,114,000","34,804,000","32,151,000","26,060,000","76,496,000","24,979,000","29,295,000","21,005,000","56,127,000","22,039,000","21,101,000","19,195,000","45,421,000","22,957,000","19,883,000","21,007,000","34,023,000","15,701,000","17,170,000","16,939,000","25,391,000","11,518,000","12,077,000","11,051,000","16,416,000","13,683,000","14,045,000","12,793,000","16,526,000","12,187,000","12,350,000","12,152,000","12,563,000",,"12,428,000","12,543,000","12,312,000","8,471,000","8,963,000","8,600,000","9,922,000","10,999,000","10,432,000","10,289,000","18,303,000","7,444,000","8,572,000","8,234,000","8,299,000","8,285,000","8,451,000","9,464,000","9,613,000","7,485,000","6,835,000","7,139,000","6,139,000","5,526,000","5,183,000","10,473,000"
			AccountsReceivable,"45,152,000","161,358,000","52,346,000","48,600,000","37,742,000","98,418,000","32,015,000","30,285,000","25,441,000","99,305,000","33,948,000","39,409,000","34,685,000","92,114,000","34,804,000","32,151,000","26,060,000","76,496,000","24,979,000","29,295,000","21,005,000","56,127,000","22,039,000","21,101,000","19,195,000","45,421,000","22,957,000","19,883,000","21,007,000","34,023,000","15,701,000","17,170,000","16,939,000","25,391,000","11,518,000","12,077,000","11,051,000","16,416,000","13,683,000","14,045,000","12,793,000","16,526,000","12,187,000","12,350,000","12,152,000",,,,,,,,,"9,922,000","10,999,000","10,432,000","10,289,000","18,303,000","7,444,000","8,572,000","8,234,000","8,299,000","8,285,000","8,451,000","9,464,000","9,613,000","7,485,000","6,835,000","7,139,000","6,139,000","5,526,000","5,183,000",
				GrossAccountsReceivable,"45,181,000","161,375,000","52,360,000","48,610,000","37,762,000","98,429,000","32,036,000","30,313,000","25,513,000","99,317,000","33,964,000","39,424,000","34,715,000","92,148,000","34,831,000","32,211,000","26,138,000","76,539,000","25,031,000","29,347,000","21,057,000","56,160,000","22,054,000","21,142,000","19,210,000","45,427,000","23,008,000","19,937,000","21,064,000","34,033,000","15,714,000","17,179,000","16,951,000","25,395,000","11,521,000","12,097,000","11,051,000","16,438,000","13,708,000","14,068,000","12,821,000","16,565,000","12,231,000","12,644,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-29,000","-17,000","-14,000","-10,000","-20,000","-11,000","-21,000","-28,000","-72,000","-12,000","-16,000","-15,000","-30,000","-34,000","-27,000","-60,000","-78,000","-43,000","-52,000","-52,000","-52,000","-33,000","-15,000","-41,000","-15,000","-6,000","-51,000","-54,000","-57,000","-10,000","-13,000","-9,000","-12,000","-4,000","-3,000","-20,000","0","-22,000","-25,000","-23,000","-28,000","-39,000","-44,000","-294,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherReceivables,,,,,,,,,"25,513,000","99,317,000","33,964,000","39,424,000","34,715,000","92,148,000","34,831,000","32,211,000","26,138,000","76,539,000","25,031,000","29,347,000","21,057,000","56,160,000","22,054,000","21,142,000","19,210,000","45,427,000","23,008,000","19,937,000","21,064,000","34,033,000","15,714,000","17,179,000","16,951,000","25,395,000","11,521,000","12,097,000","11,051,000","16,438,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			ReceivablesAdjustmentsAllowances,,,,,,,,,"-72,000","-12,000","-16,000","-15,000","-30,000","-34,000","-27,000","-60,000","-78,000","-43,000","-52,000","-52,000","-52,000","-33,000","-15,000","-41,000","-15,000","-6,000","-51,000","-54,000","-57,000","-10,000","-13,000","-9,000","-12,000","-4,000","-3,000","-20,000","0","-22,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
