name,ttm,02/28/2022,11/30/2021,08/31/2021,05/31/2021,02/28/2021,11/30/2020,08/31/2020,05/31/2020,02/29/2020,11/30/2019,08/31/2019,05/31/2019,02/28/2019,11/30/2018,08/31/2018,05/31/2018,02/28/2018,11/30/2017,08/31/2017,05/31/2017,02/28/2017,11/30/2016,08/31/2016,05/31/2016,02/29/2016,11/30/2015,08/31/2015,05/31/2015,02/28/2015,11/30/2014,08/31/2014,05/31/2014,02/28/2014,11/30/2013,08/31/2013,05/31/2013,02/28/2013,11/30/2012,08/31/2012,05/31/2012,02/29/2012,11/30/2011,08/31/2011,05/31/2011,02/28/2011,11/30/2010,08/31/2010,05/31/2010,02/28/2010,11/30/2009,08/31/2009,05/31/2009,02/28/2009,11/30/2008,08/31/2008,05/31/2008,02/29/2008,11/30/2007,08/31/2007,05/31/2007,02/28/2007,11/30/2006,08/31/2006,05/31/2006,02/28/2006,11/30/2005,08/31/2005,05/31/2005,02/28/2005,11/30/2004,08/31/2004,05/31/2004,02/29/2004,11/30/2003,08/31/2003,05/31/2003,02/28/2003,11/30/2002,08/31/2002,05/31/2002,02/28/2002,11/30/2001,08/31/2001,05/31/2001,02/28/2001,11/30/2000,08/31/2000,05/31/2000,02/29/2000,11/30/1999,08/31/1999,05/31/1999,02/28/1999,11/30/1998,08/31/1998,05/31/1998,02/28/1998,11/30/1997,08/31/1997,05/31/1997
OperatingCashFlow,"18,748,000","2,597,000","3,582,000","8,273,000","4,296,000","1,301,000","5,333,000","4,807,904","2,278,277","1,191,623","2,634,134","4,124,473","1,826,230","3,075,996","2,611,721","3,503,781","1,713,319","1,428,805","2,641,283","2,114,022","3,039,196","-218,380","1,942,901","2,666,558","2,096,239","1,012,557","-360,145","3,191,955","2,135,406","1,580,837","226,793","1,971,198","1,684,046","299,843","1,351,067","983,249","995,006","845,713","-261,586","879,040","1,429,684","685,288","789,973","616,680","1,327,490","921,674","631,699","269,714","768,085","902,032","966,126","875,929","122,569","1,158,819","334,344","793,446","687,993","936,546","58,830","1,648,612","-328,388","1,080,786","562,535","700,854","111,358","182,436","152,968","621,539","410,566","-16,944","423,212","406,225","334,344","-272,025","106,502","253,566","135,083","88,608","64,592","-17,818","96,950","123,510","-91,574","170,938","65,412","5,395","50,353","-31,107","40,952","94,401","43,701",,,,,"-192,481","-300,000","-500,000","-300,000","-900,095","-100,000"
	CashFlowFromContinuingOperatingActivities,"18,748,000","2,597,000","3,582,000","8,273,000","4,296,000","1,301,000","5,333,000","4,807,904","2,278,277","1,191,623","2,634,134","4,124,473","1,826,230","3,075,996","2,611,721","3,503,781","1,713,319","1,428,805","2,641,283","2,114,022","3,039,196","-218,380","1,942,901","2,666,558","2,096,239","1,012,557","-360,145","3,191,955","2,135,406","1,580,837","226,793","1,971,198","1,684,046","299,843","1,351,067","983,249","995,006","845,713","-261,586","879,040","1,429,684","685,288","1,478,835","616,680","1,327,490","921,674","631,699","269,714","768,085","902,032","966,126","875,929","122,569","1,158,819","334,344","793,446","687,993","936,546","58,830","1,648,612","-328,388","1,080,786","562,535","700,854","111,358","182,436","152,968","621,539","410,566","-16,944","423,212","406,225","334,344","-272,025","106,502","253,566","135,083","88,608","64,592","-17,818","96,950","123,510","-91,574","170,938","65,412","5,395","50,353","-31,107","40,952","94,401","43,701",,,,,"-192,481","-300,000","-500,000","-300,000","-900,095","-100,000"
		NetIncomeFromContinuingOperations,"11,527,000","4,409,000","3,026,000","305,000","3,787,000","3,211,000","2,479,000","2,188,135","2,935,568","2,150,080","2,058,277","2,059,227","2,888,706","2,099,449","1,535,947","1,337,984","2,406,038","3,474,784","1,716,006","1,150,243","2,080,029","1,195,760","1,361,565","788,975","1,909,339","1,145,349","1,106,473","491,403","1,852,422","970,232","528,904","222,923","1,307,549","809,864","685,155","244,807","993,230","1,061,575","586,986","0","0","0","-215,922",,,"907,480","567,493","345,294","740,113","640,863","429,803","163,156","569,134","368,072","311,722","164,838","752,661","564,810","243,260","-57,265","782,292","667,856","73,215","239,805","386,138","248,463","-198,531","57,725","173,250","8,836","22,507","605,589","151,550","32,627","46,719","2,078,823","229,889","66,635","130,713","147,441","109,038","217,930","10,506","-144,979","-67,890","3,047","-15,778","-93,527","-168,736","47,619","-42,958","-276,665","0","-200,000","-100,000","-769,239","-300,000","-600,000","-400,000","-636,477","-400,000"
		OperatingGainsLosses,"-372,000","-38,000","-237,000","-137,000","40,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0",,,"0","0",,,"-969","0","0","-1,024",,,,,,,,,"-398","-774",,,"-3,035","-4,613",,,"-8,090","-2,201","0","-5,200",,,,,,,,,,,,,,,,,"-3,665",,,,,,,,,,,,,
			GainLossOnSaleOfPPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","-240","0","-969","0","0","-1,024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			NetForeignCurrencyExchangeGainLoss,"-372,000","-38,000","-237,000","-137,000","40,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"3,654,000","995,000","845,000","928,000","886,000","911,000","865,000","828,254","788,363","674,601","670,712","679,662","677,820","697,974","694,789","705,479","687,655","689,666","638,504","588,037","514,092","517,261","515,688","482,045","479,242","484,793","486,236","506,028","503,573","521,791","458,201","386,844","239,317","205,668","205,607","197,818","185,380","189,112","194,650","207,175","183,674","315,558","9,037","712,870","-334,560","173,199","195,794","174,757","171,031","176,393","160,762","147,673","139,975","131,659","141,700","148,623","117,971","140,768","136,053","126,760","122,098","136,330","127,260","108,498","103,893","93,215","57,569","53,275","54,287","56,763","42,565","55,577","39,711","68,078","60,612","48,074","53,069","48,970","45,482","47,486","45,700","52,770","45,874","-35,532","67,576","194,053","67,754","77,198","88,803","47,530","47,621","703,764","0","-100,000","-100,000","832,093","-100,000","0","-100,000","339,864","-100,000"
			DepreciationAndAmortization,"3,654,000","995,000","845,000","928,000","886,000","911,000","865,000","828,254","788,363","674,601","670,712","679,662","677,820","697,974","694,789","705,479","687,655","689,666","638,504","588,037","514,092","517,261","515,688","482,045","479,242","484,793","486,236","506,028","503,573","521,791","458,201","386,844","239,317","205,668","205,607","197,818","185,380","189,112","194,650","207,175","183,674","315,558","9,037","712,870","-334,560","173,199","195,794","174,757","171,031","176,393","160,762","147,673","139,975","131,659","141,700","148,623","117,971","140,768","136,053","126,760","122,098","136,330","127,260","108,498","103,893","93,215","57,569","53,275","54,287","56,763","42,565","55,577","39,711","68,078","60,612","48,074","53,069","48,970","45,482","47,486","45,700","52,770","45,874","-35,532","67,576","194,053","67,754","77,198","88,803","47,530","47,621","703,764","0","-100,000","-100,000","832,093","-100,000","0","-100,000","339,864","-100,000"
				Depreciation,,,,,,,,,,,,,"677,820","697,974","694,789","705,479","687,655","1,295,393","32,777","35,096","34,775","38,852","42,721","47,808","49,450","48,774","50,218","42,869","56,144","19,405","93,036","11,501","11,857","11,970","11,903","11,162","10,412","10,309","10,690","11,360","10,805",,,"22,847","13,362","7,662","7,051","5,775","6,194","6,869","6,377","5,284","5,890","-1,664","12,383","10,537","14,013","13,547","12,900","13,325","13,391","12,593","11,604","14,311","12,363","9,606","11,860","7,967","13,020","10,822","10,696","15,318","7,777","11,452","8,060","-5","10,029","13,418","9,932","20,848","14,370","14,040","14,900","19,026","15,302",,,,,,,"280,497","0","-100,000","-100,000","267,794","-100,000","0","-100,000","231,777","-100,000"
				AmortizationCashFlow,,,,,,,,,,,,,,,,,,,"605,727","552,941","479,317","478,409","472,967","434,237","429,792","436,019","436,018","463,159","447,429","502,386","365,165","375,343","227,460","193,698","193,704","186,656","174,968","178,803","183,960","195,815","172,869",,,"690,023","-347,922","165,537","188,743","168,982","164,837","169,524","154,385","142,389","134,085","133,323","129,317","138,086","103,958","127,221","123,153","113,435","108,707","123,737","115,656","94,187","91,530","83,609","45,709","45,308","41,267","45,941","31,869","40,259","31,934","56,626","52,552","48,079","43,040","35,552","35,550","26,638","31,330","38,730","30,974","-54,558","52,274",,,,,,,,,,,,,,,,
					AmortizationOfIntangibles,,,,,,,,,,,,,,,,,,,"605,727","552,941","479,317","478,409","472,967","434,237","429,792","436,019","436,018","463,159","447,429","502,386","365,165","375,343","227,460","193,698","193,704","186,656","174,968","178,803","183,960","195,815","172,869",,,"690,023","-347,922","165,537","188,743","168,982","164,837","169,524","154,385","142,389","134,085","133,323","129,317","138,086","103,958","127,221","123,153","113,435","108,707","123,737","115,656","94,187","91,530","83,609","45,709","45,308","41,267","45,941","31,869","40,259","31,934","56,626","52,552","48,079","43,040","35,552","35,550","26,638","31,330","38,730","30,974","-54,558","52,274",,,,,,,,,,,,,,,,
		DeferredTax,"-210,000","37,000","387,000","-544,000","-90,000","-41,000","47,000","-421,541","61,000","10,687","-27,905","-50,570","-98,903","-107,922","-41,701","5,378","-14,612","-1,587,087","-135,500","-277,633","299,829","-149,425","-51,145","-18,331","158,018","-145,567","-17,361","-321,747","217,698","127,598","32,370","-50,689","1,248,499","30,908","70,178","267,584","28,035","25,028","46,339","-60,514","128,078","-109,949","250,002","9,708","16,267","185,506","129,789","91,758","127,164","70,907","0","-32,472","127,500","-75,100","12,700","-130,000","631,300","-189,561","125,661","657,434",,,"20,650","128,239",,,"-42,000","34,200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			DeferredIncomeTax,"-210,000","37,000","387,000","-544,000","-90,000","-41,000","47,000","-421,541","61,000","10,687","-27,905","-50,570","-98,903","-107,922","-41,701","5,378","-14,612","-1,587,087","-135,500","-277,633","299,829","-149,425","-51,145","-18,331","158,018","-145,567","-17,361","-321,747","217,698","127,598","32,370","-50,689","1,248,499","30,908","70,178","267,584","28,035","25,028","46,339","-60,514","128,078","-109,949","250,002","9,708","16,267","185,506","129,789","91,758","127,164","70,907","0","-32,472","127,500","-75,100","12,700","-130,000","631,300","-189,561","125,661","657,434",,,"20,650","128,239",,,"-42,000","34,200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		AmortizationOfSecurities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"158,198",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		StockBasedCompensation,"2,927,000","791,000","722,000","709,000","705,000","804,000","532,000","432,390","359,600","417,418","367,117","301,550","273,682","257,670","244,935","194,667","169,153","215,042","130,221","229,653","142,879","116,626","95,860","112,461","114,367","56,287","63,962","64,742","79,877","84,825","65,799","40,829","32,411","55,727","15,360","17,246","28,241","32,154","38,099","30,543","37,790","33,050","26,355","41,939","32,905","35,402","45,006","46,422","48,890","-20,165","52,450","53,634","48,692",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		ExcessTaxBenefitFromStockBasedCompensation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0",,,"0","0",,,"22,091","0",,,"0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherNonCashItems,"2,682,000","634,000","731,000","720,000","597,000","768,000","751,000","121,500",,,,"-1","32,685","38,188","38,188","38,188","38,188","1,415","74,961",,,,,,,,,,,,,,,,,,,,,"348,953","869,333","838,577","971,021","185,525",,,,"-1,093,018","69,136","83,184","-12,901","0","185,784","-61,602","95,816","37,668","37,275","10,080","68,132","17,570","4,173","50,624","7,225",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-236,059","100,000","100,000","100,000","-279,057","200,000"
		ChangeInWorkingCapital,"-1,460,000","-4,231,000","-1,892,000","6,292,000","-1,629,000","-4,348,000","659,000","1,659,166","-1,947,254","-2,061,163","-434,067","1,134,605","-1,947,760","90,637","139,563","1,222,085","-1,573,103","-1,365,015","217,091","348,771","2,367","-1,898,602","20,933","1,301,408","-564,727","-528,305","-1,999,455","2,451,529","-518,164","-123,609","-858,481","1,371,291","-1,143,730","-802,324","374,767","255,794","-239,880","-391,350","-1,127,660","330,792","210,809","-234,183","280,144","186,993","38,380","-355,592","-306,383","705,470","-388,249","-49,150","337,036","543,938","-948,516","714,822","-227,594","572,317","-851,214","410,449","-514,276","904,511","-1,665,843","248,954","334,185","227,347","-457,121","-198,116","335,930","484,429","135,230","-82,543","363,340","-254,941","143,083","-372,730","-829","-1,875,642","-147,875","-26,997","-111,603","-212,745","-57,788","-147,190","-147,954","225,153","65,726","-191,705","-1,623","-11,113","119,826","-748","39,038","166,074","0","100,000","-100,000","-19,276","0","0","100,000","-224,805","100,000"
			ChangeInReceivables,"-3,790,000","-4,883,000","-305,000","3,844,000","-1,702,000","-4,975,000","347,000","2,995,502","-1,775,666","-1,523,179","-1,574,133","2,155,894","-1,924,038","-945,337","-46,612","2,219,954","-1,879,075","-1,248,937","-1,062,259","926,455","-249,004","-1,439,182","-748,909","1,918,822","-957,831","120,736","-2,396,543","2,526,428","-1,087,039","-97,759","-531,163","1,476,941","-479,269","-709,259","-40,957","814,171","-457,134","-610,374","-390,434","826,915","8,911","-883,037","-66,869","718,812","-312,570","-695,637","-228,952","815,212","-372,796","-104,581","-2,619","680,861","-554,443","215,984","-425,799","755,695","-896,022","414,827","-334,849","833,837","-1,379,107","-177,878","372,475","45,739","-533,627","-229,062","442,031","295,381","114,692","-117,172","314,601","-188,678","353,813","-317,613","140,788","-848,179","-89,809","122,714","50,168","-289,690","31,603","-48,968","-176,782","141,441","101,424","-136,775","-7,921","-99,806","42,670","67,726","17,187","34,365","-100,000","0","-100,000",,,"0","100,000","-47,786",
				ChangesInAccountReceivables,"-3,733,000","-3,216,000","-1,972,000","3,111,000","-1,656,000","-3,975,000","91,000","3,250,773","-3,050,779","-890,928","-1,326,858","2,708,765","-1,507,768","-940,429","227,402","2,187,131","-1,698,608","-772,227","-1,182,099","1,124,841","-342,370","-1,250,740","-407,962","1,573,056","-774,492","234,355","-2,448,729","2,396,760","-811,179","-183,329","-353,283","1,476,941","-518,008","-670,520","-40,957","968,067","-459,784","-761,620","-390,434","826,915","8,911","-883,037","-66,869","718,812",,,,,"-372,796","-104,581","-2,619","680,861","-554,443",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-100,000","0","-100,000",,,"0","100,000",,
			ChangeInInventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","106,202","4,650","19,973","32,389","-146,125","-72,564","34,514","-44,765","49,464","16,288","14,436","8,017","-63,610","21,157","-44,218","-6,253","29,654","13,815","-40,477","3,142","-5,178","9,982","71,438","-31,890","19,158","-50,126","77,397","30,761","21,573","-135,774","6,821","-44,571","28,291","29,863","28,807","-47,417","-8,150","13,955","-31,699","-353","41,529","17,495","-65,262","-17,803","2,180","-7,649","36,857","3,469","55,501","0",,,"-272,570",,,"100,000","-30,736","0"
			ChangeInPrepaidAssets,"2,531,000","1,388,000","449,000","-614,000","564,000","-361,000","269,000","-971,500","161,218","-421,530","821,219","-935,654","-15,260","-16,449","420,969","-539,377","189,309","-224,256","570,492","-286,778","124,851","-356,092","651,590","-569,443","152,414","-286,206","118,656","-111,942","325,245","295,201","135,019","129,180","-586,581","-241,244","255,873","-202,278","30,779","43,435","-60,930","-37,372","26,949","-33,650","17,171","-32,250","25,803","-69,121","32,970",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
