name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993
		AssetImpairmentCharge,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,"-528,000","-929,000","0","0","19,000","-40,586,000","0","-958,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		ProvisionandWriteOffofAssets,,,,,,,,,,,,,,,"-90,000","278,000","471,000","-337,000","-281,000","-266,000","267,000","-53,000","-196,000","131,000","-501,000","-178,000","911,000","-30,000","161,000","-505,000","320,000","310,000","77,000","-606,000","-150,000","193,000","229,000","-42,000","2,772,000","500,000","-90,000","61,000","541,000","385,000","232,000","376,000",,,,"69,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		StockBasedCompensation,"8,226,000","-1,529,000","3,260,000","3,299,000","3,196,000","2,939,000","3,399,000","3,261,000","3,051,000","3,347,000","3,085,000","3,116,000","3,004,000","-1,567,000","3,065,000","3,104,000","2,964,000","2,038,000","2,875,000","2,893,000","2,839,000","2,092,000","9,642,000","462,000","462,000","-4,314,000","18,000","298,000","297,000","360,000","475,000","475,000","475,000","475,000","476,000","475,000","3,069,000","-2,113,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherNonCashItems,"-6,495,000","-815,000","-2,427,000","-403,000","-2,850,000","1,739,000","-1,130,000","-3,527,000","-116,000","153,000","-2,428,000","-6,729,000","-177,000","3,807,000","-6,618,000","-5,684,000","-1,689,000","2,569,000","-1,075,000","-1,017,000","-991,000","-1,093,000","-1,108,000","-1,142,000","-1,219,000","-1,134,000","-1,085,000","-1,083,000","-1,128,000","-1,314,000","-2,005,000","-1,315,000","-1,356,000","-1,183,000","-1,307,000","-2,605,000","-1,206,000","-1,267,000","-2,782,000","-865,000","-979,000","-813,000","-62,000","-416,000","-1,034,000","-649,000","-1,154,000","-1,375,000","-19,000","296,000","-448,000","-634,000","2,008,000","1,620,000","80,000","-15,416,000","7,092,000","8,898,000","6,599,000","235,000","6,083,000","5,293,000","5,188,000","4,873,000","5,154,000","6,216,000","24,773,000","447,000","932,000","4,382,000","1,697,000","2,326,000","1,989,000","3,365,000","3,216,000","3,788,000","-5,341,000","5,504,000","-3,321,000","1,699,000","8,669,000","3,830,000","8,306,000","1,734,000","2,897,000","-337,000","25,774,000","4,125,000","-5,168,000","-1,299,000","8,706,000","-1,200,000","3,000,000","-4,500,000","36,089,000","-22,400,000","-7,200,000","1,400,000","6,640,000","-2,700,000","-4,500,000","2,900,000","4,495,000","-3,000,000","500,000","-5,600,000","-7,100,000","10,800,000","-1,400,000","-6,200,000","2,400,000","-1,100,000","3,000,000","-700,000","2,400,000","1,200,000","-100,000","-500,000"
		ChangeInWorkingCapital,"109,569,000","42,043,000","21,771,000","3,383,000","42,372,000","52,327,000","-1,712,000","20,900,000","18,060,000","16,193,000","-4,076,000","3,104,000","26,835,000","20,282,000","3,334,000","2,042,000","22,315,000","17,994,000","-4,531,000","3,747,000","22,074,000","18,870,000","3,218,000","8,107,000","13,558,000","19,346,000","-5,455,000","4,085,000","33,228,000","31,566,000","-5,633,000","1,390,000","8,175,000","21,350,000","891,000","864,000","3,207,000","14,742,000","-7,215,000","3,803,000","4,816,000","10,170,000","6,801,000","-12,949,000","5,035,000","12,020,000","-1,716,000","-3,881,000","17,264,000","11,273,000","1,984,000","5,638,000","-536,000","12,829,000","-6,964,000","-2,020,000","7,431,000","1,031,000","2,642,000","-1,107,000","105,000","4,135,000","-1,617,000","4,369,000","-4,617,000","274,000","1,671,000","2,157,000","4,628,000","-7,962,000","-12,797,000","-5,067,000","-3,868,000","1,156,000","-6,559,000","7,688,000","-4,934,000","353,000","-10,553,000","6,914,000","-7,573,000","6,009,000","-3,752,000","1,637,000","1,196,000","-240,000","-31,954,000","984,000","-4,408,000","10,450,000","-13,720,000","7,000,000","-3,600,000","12,600,000","-52,455,000","38,200,000","11,200,000","7,000,000","-12,545,000","7,400,000","4,600,000","1,600,000","-8,397,000","6,600,000","1,600,000","11,200,000","3,800,000","-9,000,000","2,400,000","12,200,000","-4,200,000","3,800,000","-4,400,000","1,400,000","-3,400,000","-1,200,000","1,600,000","-1,600,000"
			ChangeInReceivables,"-2,636,000","189,000","-62,000","-1,879,000","-884,000","-1,366,000","294,000","-976,000","-167,000","-317,000","-395,000","-1,362,000","-1,201,000","122,000","-527,000","-67,000","27,000","320,000","6,000","-55,000","-237,000","-45,000","-31,000","-12,000","197,000","164,000","45,000","122,000","183,000","-284,000","308,000","-193,000","-215,000","-937,000","-171,000","-230,000","-434,000","712,000","-2,786,000","-594,000","289,000","236,000","164,000","-1,476,000","-144,000","-337,000","439,000","-548,000","87,000","0","-211,000","30,000","658,000","-517,000","-32,000","-698,000","410,000","84,000","-89,000","178,000","0","-241,000","70,000","-49,000","-194,000","26,000","-576,000","548,000","-31,000","-177,000","-27,589,000","-502,000","400,000","345,000","-539,000","339,000","-422,000","-152,000","-982,000","-113,000","140,000","-231,000","-319,000","-168,000","63,000","-102,000","-9,759,000","72,000","329,000","-133,000","-1,667,000","-700,000","2,000,000","-300,000","-6,084,000","10,000,000","-1,800,000","-2,000,000","636,000","-1,000,000","800,000","-500,000","-288,000","-1,800,000","-1,300,000","3,600,000","-1,900,000","600,000","-1,300,000","3,500,000","300,000","-1,100,000","-3,200,000","-100,000","-1,200,000","-1,400,000","700,000","100,000"
				ChangesInAccountReceivables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-269,000","241,000",,,,,,,,,,,,,,,,,,,"-7,780,000","647,000","4,985,000","1,675,000","-2,711,000","-829,000","15,323,000","3,338,000","-10,846,000","-3,535,000","3,577,000","1,913,000","-1,407,000","-11,230,000","-10,464,000","-8,811,000","-4,888,000","-3,183,000","-1,602,000","6,362,000","-2,393,000","-2,734,000","-4,177,000","-692,000","-2,932,000","892,000","2,204,000","-786,000","2,328,000","-2,942,000","-4,997,000","-2,648,000","-3,936,000","2,090,000","-2,500,000","-700,000","2,000,000","-300,000","-9,400,000","10,000,000","-1,800,000","-2,000,000","-1,600,000","-1,000,000","800,000","-500,000","-400,000","-1,800,000","-1,300,000","3,600,000","-1,900,000","600,000","-1,300,000","3,500,000","300,000","-1,100,000","-3,200,000","-100,000","-1,200,000","-1,400,000","700,000","100,000"
			ChangeInInventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-651,000","-63,000","677,000","788,000","-225,000","139,000","73,000","581,000","1,094,000","648,000",,,"1,442,000","600,000","1,800,000","-573,000","641,000","192,000","-1,999,000","-1,909,000","-1,784,000","563,000","2,069,000","3,356,000","718,000","-1,627,000","2,446,000","585,000","-6,312,000","-4,778,000","-382,000","-1,091,000","-280,000","-6,768,000","-5,928,000","-5,064,000","-6,161,000","-702,000","-917,000","3,730,000","1,020,000","-1,987,000","599,000","565,000","1,185,000","-462,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			ChangeInPrepaidAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,782,000","-1,552,000","-367,000","12,123,000",,,"41,000",,,,,,,,,,,,,,,,,,"2,802,000","-4,340,000","1,217,000","4,535,000","2,456,000","-1,096,000","-4,285,000",,"-3,245,000","873,000","-2,826,000","-146,000","2,293,000","-2,991,000","-595,000","-3,794,000","-1,144,000","-4,257,000","1,585,000","4,636,000","-2,731,000","2,265,000","-2,840,000","-6,091,000","-1,256,000","-825,000","-1,217,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
			ChangeInPayablesAndAccruedExpense,"16,305,000","-1,923,000","-17,511,000","14,408,000","21,331,000","11,781,000","-18,643,000","6,111,000","18,014,000","-2,096,000","-20,193,000","9,809,000","5,560,000","20,402,000","-13,031,000","8,578,000","2,519,000","2,761,000","-27,936,000","10,686,000","5,842,000","-5,526,000","-5,070,000","12,939,000","-3,756,000","6,209,000","-20,676,000","7,833,000","9,760,000","8,715,000","-20,718,000","4,637,000","4,427,000","6,372,000","-14,676,000","5,793,000","3,894,000","5,072,000","-15,981,000","8,692,000","1,283,000","2,965,000","-14,091,000","12,543,000","5,619,000","2,665,000","-18,490,000","766,000","7,823,000","2,015,000","-19,934,000","6,078,000","8,146,000","2,206,000","-15,989,000","5,077,000","12,692,000","-216,000","-11,188,000","3,802,000","2,504,000","4,964,000","-10,722,000","5,090,000","4,715,000","3,105,000","-7,600,000","3,299,000","6,981,000","2,202,000","-6,192,000","5,152,000","5,688,000","1,315,000","-3,813,000","841,000","-658,000","575,000","-3,936,000","4,950,000","211,000","246,000","-5,111,000","2,661,000","-101,000","1,193,000","-4,730,000","2,115,000","2,511,000","2,649,000","-4,509,000","4,200,000","-3,800,000","6,600,000","-16,812,000","9,100,000","7,400,000","5,500,000","-4,653,000","4,700,000","1,500,000","1,300,000","-3,800,000","5,100,000","2,100,000","2,000,000",,,"2,500,000","2,600,000","-2,400,000","3,000,000","1,000,000","800,000",,,"100,000","-900,000"
