name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999
OperatingCashFlow,"143,981,000","-163,807,000","260,939,000","-42,204,000","89,053,000","-39,530,000","269,766,000","81,315,000","253,115,000","-14,302,000","313,860,000","-31,110,000","67,442,000","37,023,000","334,840,000","-81,705,000","38,956,000","64,107,000","212,115,000","10,173,000","23,153,000","84,180,000","252,655,000","30,975,000","-42,683,000","128,282,000","161,953,000","118,902,000","-60,092,000","87,224,000","257,470,000","-8,197,000","2,564,000","30,560,000","146,230,000","-6,374,000","16,712,000","53,128,000","149,404,000","39,276,000","7,497,000","82,442,000","166,862,000","514,000","-95,596,000","9,294,000","80,620,000","-10,127,000","-8,100,000","23,428,000","129,650,000","31,588,000","-6,351,000","33,352,000","126,270,000","33,294,000","-4,875,000","28,934,000","90,604,000","-30,307,000","-14,987,000","6,677,000","93,457,000","-2,524,000","11,254,000","-13,963,000","103,108,000","11,523,000","-2,012,000","24,648,000","56,764,000","-8,725,000","-18,751,000","13,388,000","31,094,000","-17,916,000","3,071,000","11,943,000","20,603,000","-22,103,000","13,754,000","14,416,000"
	CashFlowFromContinuingOperatingActivities,"143,981,000","-163,807,000","260,939,000","-42,204,000","89,053,000","-39,530,000","269,766,000","81,315,000","253,115,000","-14,302,000","313,860,000","-31,110,000","67,442,000","37,023,000","334,840,000","-81,705,000","38,956,000","64,107,000","212,115,000","10,173,000","23,153,000","84,180,000","252,655,000","30,975,000","-42,683,000","128,282,000","161,953,000","118,902,000","-60,092,000","87,224,000","257,470,000","-8,197,000","2,564,000","30,560,000","146,230,000","-6,374,000","16,712,000","53,128,000","149,404,000","39,276,000","7,497,000","82,442,000","166,862,000","514,000","-95,596,000","9,294,000","80,620,000","-10,127,000","-8,100,000","23,428,000","129,650,000","31,588,000","-6,351,000","33,352,000","126,270,000","33,294,000","-4,875,000","28,934,000","90,604,000","-30,307,000","-14,987,000","6,677,000","93,457,000","-2,524,000","11,254,000","-13,963,000","103,108,000","11,523,000","-2,012,000","24,648,000","56,764,000","-8,725,000","-18,751,000","13,388,000","31,094,000","-17,916,000","3,071,000","11,943,000","20,603,000","-22,103,000","13,754,000","14,416,000"
		NetIncomeFromContinuingOperations,"321,485,000","67,933,000","96,973,000","84,976,000","71,603,000","86,196,000","99,014,000","81,241,000","8,156,000","-78,694,000","125,147,000","60,252,000","43,937,000","34,466,000","130,562,000","71,769,000","37,268,000","42,469,000","135,689,000","82,486,000","37,925,000","46,664,000","87,117,000","80,811,000","36,198,000","53,980,000","72,599,000","79,326,000","36,105,000","49,792,000","68,591,000","65,886,000","25,896,000","34,297,000","42,748,000","56,571,000","19,673,000","41,415,000",,,,,,,"12,659,000","32,123,000","34,894,000","49,657,000","19,096,000","42,825,000","32,996,000","54,947,000","11,329,000","16,368,000","27,345,000","33,375,000","2,779,000","11,559,000","28,602,000","34,618,000","-143,449,000","9,611,000","27,439,000","34,977,000","9,019,000","15,785,000","17,325,000","10,578,000","5,450,000","13,849,000","15,016,000","18,412,000","5,917,000","10,313,000","1,625,000","-1,829,000","477,000","4,663,000","7,531,000","-88,000","547,000","-3,428,000"
		OperatingGainsLosses,"133,000","-189,000","276,000","34,000","12,000","49,000","-993,000","-267,000","-2,235,000","3,856,000","-695,000","340,000","20,000","8,046,000","818,000","-232,000","683,000","-3,000","1,500,000","-218,000","-461,000","127,000","-1,982,000","-81,000","-709,000","3,972,000","573,000","127,000","-1,530,000","1,704,000","2,994,000","-3,000","355,000","189,000","-104,000","264,000","24,000","88,000","55,000","230,000","126,000","391,000","-10,000","9,000","40,000","100,000","-115,000","169,000","9,000","-181,000","-1,058,000",,,,"-60,000","378,000",,,"70,000","234,000","192,000","194,000","-79,000","89,000","-1,306,000","1,414,000","-243,000","23,149,000","2,829,000","968,000","1,097,000","2,443,000","792,000","86,000","9,323,000",,,,,,,
			GainLossOnSaleOfPPE,,,,,,,,,,,"45,000","22,000","-48,000","433,000","479,000","38,000","128,000","350,000","970,000","381,000","32,000","189,000","346,000","688,000","-59,000","192,000","790,000","-10,000","38,000","52,000","616,000","-3,000","355,000","189,000","-104,000","264,000","24,000","88,000","55,000","230,000","126,000","391,000","-10,000","9,000","40,000","100,000","-115,000","169,000","9,000","-181,000","-1,058,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			NetForeignCurrencyExchangeGainLoss,"133,000","-189,000","276,000","34,000","12,000","49,000","-993,000","-267,000","-2,235,000","3,856,000","-740,000","318,000","68,000","-210,000","339,000","-270,000","555,000","-353,000","530,000","-599,000","-493,000","-62,000","-2,328,000","-769,000","-650,000","3,780,000","-217,000","137,000","-1,568,000","1,652,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"84,207,000","14,214,000","26,040,000","21,589,000","22,364,000","24,115,000","24,230,000","24,137,000","22,264,000","23,368,000","25,139,000","23,950,000","23,299,000","23,566,000","23,429,000","22,390,000","21,776,000","22,058,000","22,270,000","21,545,000","20,834,000","19,763,000","19,182,000","17,512,000","18,575,000","18,172,000","18,790,000","14,842,000","17,567,000","17,200,000","17,936,000","15,432,000","19,931,000","21,625,000","25,167,000","17,400,000","13,547,000","12,389,000","13,510,000","8,732,000","9,111,000","8,495,000","9,026,000","7,155,000","8,237,000","8,130,000","8,997,000","6,648,000","8,200,000","7,882,000","7,878,000","7,406,000","8,595,000","8,395,000","10,727,000","5,859,000","7,430,000","7,287,000","7,681,000","6,533,000","7,912,000","8,953,000","9,111,000","5,858,000","7,237,000","6,637,000","9,904,000","18,180,000","5,853,000","4,677,000","5,015,000","4,549,000","5,960,000","5,816,000","5,568,000","4,769,000","4,656,000","5,138,000","4,280,000","3,968,000","4,134,000","5,546,000"
			DepreciationAndAmortization,"84,207,000","14,214,000","26,040,000","21,589,000","22,364,000","24,115,000","24,230,000","24,137,000","22,264,000","23,368,000","25,139,000","23,950,000","23,299,000","23,566,000","23,429,000","22,390,000","21,776,000","22,058,000","22,270,000","21,545,000","20,834,000","19,763,000","19,182,000","17,512,000","18,575,000","18,172,000","18,790,000","14,842,000","17,567,000","17,200,000","17,936,000","15,432,000","19,931,000","21,625,000","25,167,000","17,400,000","13,547,000","12,389,000","13,510,000","8,732,000","9,111,000","8,495,000","9,026,000","7,155,000","8,237,000","8,130,000","8,997,000","6,648,000","8,200,000","7,882,000","7,878,000","7,406,000","8,595,000","8,395,000","10,727,000","5,859,000","7,430,000","7,287,000","7,681,000","6,533,000","7,912,000","8,953,000","9,111,000","5,858,000","7,237,000","6,637,000","9,904,000","18,180,000","5,853,000","4,677,000","5,015,000","4,549,000","5,960,000","5,816,000","5,568,000","4,769,000","4,656,000","5,138,000","4,280,000","3,968,000","4,134,000","5,546,000"
				Depreciation,"80,477,000","13,282,000","25,109,000","20,656,000","21,430,000","23,183,000","23,299,000","23,211,000","21,341,000","22,433,000","24,202,000","23,014,000","22,362,000","22,629,000","22,495,000","21,452,000","20,852,000","21,137,000","21,341,000","20,750,000","20,192,000","19,513,000","19,138,000","17,468,000","17,739,000","17,177,000","17,795,000","13,849,000","15,463,000","14,875,000","15,656,000","13,152,000","14,325,000","15,354,000","11,579,000","17,400,000","13,547,000","12,389,000",,,,,,,,,,,,,,,,,,,"7,143,000","7,007,000","7,393,000","6,244,000","7,621,000","8,661,000","8,217,000","5,537,000","6,566,000","6,169,000","5,705,000","6,829,000","5,290,000","4,088,000","4,391,000","4,198,000","5,609,000","5,338,000","6,207,000",,,,,,,
				AmortizationCashFlow,"3,730,000","932,000","931,000","933,000","934,000","932,000","931,000","926,000","923,000","935,000","937,000","936,000","937,000","937,000","934,000","938,000","924,000","921,000","929,000","795,000","642,000","250,000","44,000","44,000","836,000","995,000","995,000","993,000","2,104,000","2,325,000","2,280,000","2,280,000","5,606,000","6,271,000",,,,,,,,,,,,,,,,,,,,,,,"287,000","280,000","288,000","289,000","291,000","292,000","894,000","321,000","671,000","468,000","4,199,000","11,351,000","563,000","589,000","624,000","351,000","351,000","478,000","-639,000",,,,,,,
