name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,12/31/2011
TotalAssets,"11,445,873,000","11,273,079,000","11,419,378,000","11,626,299,000","11,435,043,000","11,830,027,000","11,689,675,000","11,953,243,000","11,908,998,000","12,346,453,000","12,178,225,000","11,980,531,000","11,796,995,000","9,238,643,000","9,033,557,000","8,668,829,000","8,815,893,000","8,016,311,000","7,915,919,000","7,747,752,000","7,634,782,000","7,736,097,000","7,504,699,000","7,507,813,000","7,365,683,000","6,709,409,000","7,174,004,000","7,217,653,000","7,096,275,000","6,752,340,000","5,064,969,000","4,976,474,000","4,788,578,000","4,281,044,000","4,061,006,000","3,927,781,000","3,674,931,000","3,476,954,000","2,953,944,000","2,837,626,000"
	CurrentAssets,"906,293,000","684,764,000","756,710,000","886,251,000","611,160,000","943,064,000","643,933,000","559,163,000","490,548,000","402,412,000","393,238,000","336,185,000","335,942,000","335,824,000","383,883,000","249,357,000","735,818,000","255,210,000","358,970,000","335,683,000","286,235,000","595,591,000","369,750,000","387,167,000","295,121,000","289,028,000","236,809,000","273,712,000","214,984,000","175,944,000","211,384,000","235,865,000","202,615,000","207,827,000","141,690,000","175,792,000","129,038,000","466,225,000","78,239,000","256,448,000"
		CashCashEquivalentsAndShortTermInvestments,"248,249,000","201,999,000","99,862,000","305,573,000","56,376,000","444,922,000","138,045,000","59,738,000","152,282,000","99,962,000","117,430,000","95,795,000","100,047,000","92,142,000","132,877,000","55,317,000","523,686,000","79,588,000","153,036,000","188,829,000","122,653,000","359,072,000","146,348,000","159,671,000","111,456,000","99,694,000","74,842,000","89,262,000","59,823,000","67,213,000","78,219,000","122,142,000","94,119,000","113,085,000","57,083,000","92,412,000","91,464,000","422,556,000","47,494,000","226,559,000"
			CashAndCashEquivalents,"248,249,000","201,999,000","99,862,000","305,573,000","56,376,000","444,922,000","138,045,000","59,738,000","152,282,000","99,962,000","117,430,000","95,795,000","100,047,000","92,142,000","132,877,000","55,317,000","523,686,000","79,588,000","153,036,000","188,829,000","122,653,000","359,072,000","146,348,000","159,671,000","111,456,000","99,694,000","74,842,000","89,262,000","59,823,000","67,213,000","78,219,000","122,142,000","94,119,000","113,085,000","57,083,000","92,412,000","91,464,000","422,556,000","47,494,000","226,559,000"
		Receivables,"647,301,000","467,129,000","622,376,000","559,348,000","525,173,000","471,194,000","477,660,000","483,387,000","276,897,000","272,331,000","242,066,000","235,542,000","225,395,000","231,155,000","231,464,000","184,026,000","201,007,000","161,879,000","194,540,000","137,426,000","153,521,000","226,504,000","215,572,000","222,844,000","181,026,000","182,899,000","150,604,000","173,443,000","145,801,000","98,305,000","127,431,000","109,783,000","102,600,000","87,548,000","78,424,000","78,824,000","31,057,000","36,671,000","21,359,000","22,703,000"
			AccountsReceivable,"601,640,000","436,513,000","583,646,000","519,109,000","480,265,000","452,718,000","451,731,000","457,405,000","254,314,000","260,458,000","232,759,000","219,924,000","212,342,000","216,847,000","224,719,000","166,924,000","188,352,000","160,194,000","192,394,000","136,360,000","152,467,000","192,606,000","184,239,000","177,197,000","130,559,000","131,005,000","150,427,000","172,427,000","144,119,000","97,890,000","126,250,000","108,809,000","100,499,000","83,943,000","75,695,000","76,847,000","28,488,000","36,671,000","21,359,000","22,703,000"
			DuefromRelatedPartiesCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"400,000",,
			OtherReceivables,"34,764,000","25,309,000","14,964,000","21,539,000","30,163,000","13,138,000","5,777,000","10,898,000","9,608,000","4,744,000","4,177,000","3,117,000","5,881,000","8,909,000","3,997,000","7,762,000","6,817,000","1,685,000","2,146,000","1,066,000","1,054,000","33,898,000","31,333,000","45,647,000","50,467,000","51,894,000","177,000","1,016,000","1,682,000","415,000","1,181,000","974,000","2,101,000","3,605,000","2,729,000","1,977,000","2,569,000",,,
		Inventory,"1,953,000","3,370,000","4,002,000","3,088,000","4,373,000","882,000","506,000","559,000","50,760,000","24,350,000","25,655,000","3,589,000","6,861,000","6,370,000","11,212,000","9,421,000","9,275,000","10,788,000","8,459,000","8,869,000","8,348,000","7,126,000","5,086,000","4,032,000","832,000","2,403,000","6,486,000","6,447,000","6,087,000","5,316,000","2,022,000","2,188,000","2,793,000","2,584,000","2,438,000","2,327,000","3,088,000",,,
			OtherInventories,"1,953,000","3,370,000","4,002,000","3,088,000","4,373,000","882,000","506,000","559,000","469,000","906,000","504,000","3,589,000","6,861,000","6,370,000","11,212,000","9,421,000","9,275,000","10,788,000","8,459,000","8,869,000","8,348,000","7,126,000","5,086,000","4,032,000","832,000","2,403,000","6,486,000","6,447,000","6,087,000","5,316,000","2,022,000","2,188,000","2,793,000","2,584,000","2,438,000","2,327,000","3,088,000",,,
		PrepaidAssets,"5,792,000","10,369,000","14,425,000","2,436,000","6,741,000","8,131,000","11,303,000","1,877,000","3,785,000","5,676,000","8,087,000","1,259,000","1,064,000","1,973,000","3,203,000","521,000","1,753,000","2,955,000","2,935,000","559,000","1,713,000","2,889,000","2,744,000","620,000","1,807,000","2,998,000","2,732,000","699,000","1,978,000","3,217,000","2,663,000","703,000","1,813,000","2,900,000","2,083,000","533,000","1,702,000",,,
		OtherCurrentAssets,"2,998,000","1,897,000","16,045,000","15,806,000","18,497,000","17,935,000","16,419,000","13,602,000","6,824,000","93,000",,,"2,575,000","4,184,000","5,127,000","72,000","97,000","0","0","0","0","0","0","0","0","1,034,000","2,145,000","3,861,000","1,295,000","1,893,000","1,049,000","1,049,000","1,290,000","1,710,000","1,662,000","1,696,000","1,727,000","6,998,000","9,386,000","7,186,000"
