name,ttm,04/30/2022,01/31/2022,10/31/2021,07/31/2021,04/30/2021,01/31/2021,10/31/2020,07/31/2020,04/30/2020,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019,10/31/2018,07/31/2018,04/30/2018,01/31/2018,10/31/2017,07/31/2017,04/30/2017,01/31/2017,10/31/2016,07/31/2016,04/30/2016,01/31/2016,10/31/2015,07/31/2015,04/30/2015,01/31/2015,10/31/2014,07/31/2014,04/30/2014,01/31/2014,10/31/2013,07/31/2013,04/30/2013,01/31/2013,10/31/2012,07/31/2012,04/30/2012,01/31/2012,10/31/2011,07/31/2011,04/30/2011
OperatingCashFlow,"1,786,800,000","389,500,000","482,600,000","588,900,000","325,800,000","277,800,000","364,500,000","534,900,000","333,700,000","169,900,000","306,900,000","225,200,000","231,500,000","296,400,000","275,400,000","252,300,000","277,900,000","241,300,000","243,700,000","274,100,000","239,500,000","211,200,000","214,500,000","203,300,000","187,500,000","170,100,000","153,800,000","146,700,000","111,325,000","87,225,000","76,826,000","74,928,000","-26,150,000","34,279,000","41,396,000","38,881,000","41,730,000","15,206,000","34,507,000","23,076,000","18,890,000","10,775,000","27,111,000","20,592,000","10,141,000","12,355,000"
	CashFlowFromContinuingOperatingActivities,"1,786,800,000","389,500,000","482,600,000","588,900,000","325,800,000","277,800,000","364,500,000","534,900,000","333,700,000","169,900,000","306,900,000","225,200,000","231,500,000","296,400,000","275,400,000","252,300,000","277,900,000","241,300,000","243,700,000","274,100,000","239,500,000","211,200,000","214,500,000","203,300,000","187,500,000","170,100,000","153,800,000","146,700,000","111,325,000","87,225,000","76,826,000","74,928,000","-26,150,000","34,279,000","41,396,000","38,881,000","41,730,000","15,206,000","34,507,000","23,076,000","18,890,000","10,775,000","27,111,000","20,592,000","10,141,000","12,355,000"
		NetIncomeFromContinuingOperations,"-389,600,000","-73,200,000","-93,500,000","-103,600,000","-119,300,000","-145,100,000","-142,300,000","-92,200,000","-58,900,000","-74,800,000","-73,700,000","-59,600,000","-20,800,000","-20,200,000","-2,600,000","-38,300,000","-2,300,000","-46,700,000","-34,900,000","-64,000,000","-38,200,000","-60,900,000","-55,700,000","-61,800,000","-54,500,000","-70,200,000","-62,500,000","-38,700,000","-45,971,000","-45,935,000","-43,008,000","-30,068,000","-32,058,000","-146,587,000","-39,946,000","-7,861,000","-15,836,000","-7,282,000","-2,613,000","-3,515,000",,,,"4,116,000",,
		OperatingGainsLosses,,,,,,,,,,,,,"0","0","400,000","2,200,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"328,300,000","83,800,000","82,100,000","81,700,000","80,700,000","80,600,000","75,600,000","68,000,000","73,700,000","66,300,000","59,100,000","54,400,000","42,200,000","40,300,000","38,800,000","32,500,000","28,400,000","24,600,000","22,100,000","21,300,000","16,700,000","15,100,000","14,400,000","13,600,000","12,100,000","11,200,000","10,300,000","9,200,000","8,608,000","7,356,000","6,802,000","6,115,000","7,781,000","4,556,000","3,936,000","3,146,000","2,671,000","2,753,000","2,415,000","2,053,000","1,941,000","1,719,000","1,324,000","1,150,000","1,058,000","444,000"
			DepreciationAndAmortization,"328,300,000","83,800,000","82,100,000","81,700,000","80,700,000","80,600,000","75,600,000","68,000,000","73,700,000","66,300,000","59,100,000","54,400,000","42,200,000","40,300,000","38,800,000","32,500,000","28,400,000","24,600,000","22,100,000","21,300,000","16,700,000","15,100,000","14,400,000","13,600,000","12,100,000","11,200,000","10,300,000","9,200,000","8,608,000","7,356,000","6,802,000","6,115,000","7,781,000","4,556,000","3,936,000","3,146,000","2,671,000","2,753,000","2,415,000","2,053,000","1,941,000","1,719,000","1,324,000","1,150,000","1,058,000","444,000"
				Depreciation,"328,300,000","83,800,000","82,100,000","81,700,000","80,700,000","80,600,000","75,600,000","68,000,000","73,700,000","66,300,000","59,100,000","54,400,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		AmortizationOfSecurities,"14,400,000","3,200,000","3,700,000","3,600,000","3,900,000","3,300,000","3,200,000","2,700,000","0","-1,600,000","-1,400,000","-3,200,000","-4,500,000","-5,300,000","-5,300,000","-2,400,000","-100,000","0","100,000","500,000","600,000","700,000","700,000","700,000","600,000","800,000","800,000","800,000","853,000","798,000","843,000","667,000","338,000","433,000","361,000","386,000","498,000","623,000","506,000","316,000",,,,"0",,
		AssetImpairmentCharge,,,,,,,,,,,,,"2,900,000","4,100,000","0","0","0","24,400,000","1,300,000","15,400,000",,,,,,,,,,,,,,,,,,,,,,,,,,
		StockBasedCompensation,"1,001,500,000","247,300,000","265,100,000","259,100,000","230,000,000","233,100,000","225,600,000","205,800,000","174,200,000","165,800,000","168,500,000","149,900,000","150,200,000","138,200,000","142,400,000","136,900,000","123,600,000","116,600,000","130,800,000","125,700,000","117,700,000","116,200,000","126,400,000","114,200,000","109,600,000","108,400,000","101,900,000","72,900,000","65,817,000","60,207,000","56,848,000","38,443,000","33,089,000","27,956,000","24,346,000","14,383,000","14,096,000","12,578,000","8,746,000","8,284,000","6,487,000","3,851,000","2,050,000","1,449,000","923,000","2,366,000"
