name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003
TotalAssets,"4,321,900,000","4,323,400,000","4,467,300,000","3,277,600,000","3,542,100,000","3,308,600,000","3,455,400,000","3,201,900,000","3,306,200,000","3,061,800,000","3,103,100,000","3,046,700,000","2,965,700,000","2,715,400,000","2,808,700,000","2,765,600,000","2,750,000,000","2,694,000,000","2,735,300,000","2,711,200,000","2,680,300,000","2,702,600,000","2,746,200,000","2,719,400,000","2,576,800,000","2,655,500,000","2,739,400,000","2,716,900,000","2,655,100,000","2,662,600,000","2,699,700,000","2,751,900,000","2,771,400,000","2,729,900,000","2,761,500,000","2,716,300,000","2,826,900,000","1,313,000,000","913,520,000","865,540,000","874,460,000","828,640,000","828,636,000","802,025,000","746,512,000","716,003,000","715,950,000","671,937,000","689,188,000","643,379,000","642,661,000","636,707,000","641,918,000","646,531,000","782,318,000","798,190,000","820,635,000","806,432,000","773,820,000","746,222,000","751,145,000","725,666,000","717,868,000","716,603,000","712,188,000","702,311,000","742,553,000","679,984,000","639,260,000","639,623,000","603,237,000","585,469,000","566,347,000","620,349,000"
	CurrentAssets,"1,218,800,000","1,275,600,000","1,482,800,000","925,700,000","1,214,300,000","968,400,000","1,148,100,000","945,500,000","1,046,400,000","900,200,000","960,500,000","891,700,000","853,000,000","805,400,000","877,600,000","686,200,000","659,800,000","607,400,000","657,300,000","647,600,000","640,800,000","671,500,000","769,300,000","848,900,000","708,900,000","809,100,000","854,300,000","813,600,000","771,700,000","766,400,000","791,800,000","818,000,000","773,200,000","727,500,000","750,600,000","699,200,000","760,300,000","821,100,000","441,212,000","412,755,000","425,904,000","379,470,000","380,458,000","349,963,000","301,318,000","271,480,000","267,858,000","227,651,000","261,694,000","208,983,000","205,151,000","197,264,000","201,177,000","196,814,000","320,139,000","322,726,000","340,187,000","326,635,000","293,999,000","266,885,000","267,071,000","237,556,000","234,009,000","230,656,000","232,115,000","228,268,000","275,090,000","227,070,000","206,355,000","213,846,000","185,418,000","170,386,000","153,653,000","145,444,000"
		CashCashEquivalentsAndShortTermInvestments,"116,300,000","300,700,000","503,300,000","58,100,000","290,500,000","65,000,000","229,200,000","146,800,000","197,000,000","64,900,000","52,900,000","38,300,000","39,600,000","45,800,000","32,100,000","32,600,000","34,500,000","41,900,000","41,800,000","38,500,000","42,500,000","65,700,000","89,000,000","137,900,000","37,100,000","153,900,000","71,800,000","35,400,000","45,000,000","62,500,000","81,800,000","121,500,000","79,700,000","81,000,000","126,600,000","101,400,000","91,500,000","179,300,000","151,743,000","134,198,000","134,016,000","111,367,000","103,015,000","86,739,000","59,360,000","53,623,000","38,048,000","15,367,000","38,422,000","14,042,000","20,003,000","24,974,000","21,127,000","15,385,000","87,677,000","68,353,000","46,567,000","33,315,000","23,580,000","24,832,000","16,774,000","15,788,000","15,253,000","15,812,000","13,181,000","17,855,000","52,401,000","28,168,000","12,995,000","28,368,000","25,174,000","25,083,000","11,573,000","14,230,000"
			CashAndCashEquivalents,"116,300,000","300,700,000","503,300,000","58,100,000","290,500,000","65,000,000","229,200,000","146,800,000","197,000,000","64,900,000","52,900,000","38,300,000","39,600,000","45,800,000","32,100,000","32,600,000","34,500,000","41,900,000","41,800,000","38,500,000","42,500,000","65,700,000","89,000,000","137,900,000","37,100,000","153,900,000","71,800,000","35,400,000","45,000,000","62,500,000","81,800,000","121,500,000","79,700,000","81,000,000","126,600,000","101,400,000","91,500,000","179,300,000","151,743,000","134,198,000","134,016,000","111,367,000","103,015,000","86,739,000","59,360,000","53,623,000","38,048,000","15,367,000","38,422,000","14,042,000","20,003,000","24,974,000","21,127,000","15,385,000","87,677,000","68,353,000","46,567,000","33,315,000","23,580,000","24,832,000","16,774,000","15,788,000","15,253,000","15,812,000","13,181,000","17,855,000","52,401,000","28,168,000","12,995,000","28,368,000","25,174,000","25,083,000","11,573,000","14,230,000"
				CashFinancial,,,"503,300,000","58,100,000","290,500,000",,"229,200,000","146,800,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Receivables,"426,400,000","419,500,000","510,200,000","462,500,000","397,400,000","383,700,000","440,800,000","341,800,000","372,800,000","372,000,000","431,200,000","386,300,000","356,400,000","321,500,000","374,100,000","359,400,000","339,400,000","317,700,000","363,600,000","356,200,000","344,100,000","345,100,000","404,300,000","414,000,000","384,700,000","379,400,000","454,700,000","433,300,000","390,100,000","385,800,000","402,400,000","376,200,000","368,400,000","349,200,000","349,300,000","331,600,000","417,700,000","504,800,000","161,521,000","131,192,000","152,961,000","142,412,000","151,419,000","140,413,000","134,407,000","115,630,000","127,453,000","112,338,000","118,997,000","105,576,000","105,397,000","91,002,000","90,500,000","99,811,000","137,112,000","132,555,000","152,581,000","163,730,000","165,735,000","141,800,000","146,206,000","142,647,000","136,236,000","123,916,000","122,644,000","111,745,000","116,408,000","96,701,000","98,872,000","93,804,000","92,580,000","75,177,000","69,786,000","60,309,000"
			AccountsReceivable,"426,400,000","419,500,000","510,200,000","462,500,000","397,400,000","383,700,000","440,800,000","341,800,000","372,800,000","372,000,000","431,200,000","386,300,000","356,400,000","321,500,000","374,100,000","359,400,000","339,400,000","317,700,000","363,600,000","356,200,000","344,100,000","345,100,000","404,300,000","414,000,000","384,700,000","379,400,000","454,700,000","424,700,000","390,100,000","385,800,000","402,400,000","376,200,000","368,400,000","349,200,000","349,300,000","331,600,000","325,000,000","129,800,000","161,521,000","131,192,000","152,961,000","142,412,000","151,419,000","140,413,000","134,407,000","115,630,000","127,453,000","112,338,000","118,997,000","105,576,000","105,397,000","91,002,000","90,500,000","99,811,000","137,112,000","132,555,000","152,581,000","163,730,000","165,735,000","141,800,000","146,206,000","142,059,000","136,236,000","123,916,000","122,644,000","111,726,000","116,408,000","96,701,000","98,872,000","93,804,000","92,580,000","75,177,000","69,786,000","60,309,000"
				GrossAccountsReceivable,"488,400,000",,"579,700,000","533,700,000","469,900,000",,"537,400,000","435,700,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-62,000,000",,"-69,500,000","-71,200,000","-72,500,000",,"-96,600,000","-93,900,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			TaxesReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,600,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
